Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ONWARDTEC,220.2,239.5,215.0,229.7,25277,0.6465000000000001,39096
2021-09-02,ONWARDTEC,240.5,252.65,234.0,252.65,68278,0.4757,143520
2021-09-03,ONWARDTEC,252.85,262.9,237.65,245.3,39205,0.4698,83454
2021-09-06,ONWARDTEC,243.0,248.85,230.35,237.1,20437,0.5478000000000001,37310
2021-09-07,ONWARDTEC,238.25,243.05,230.1,234.1,9772,0.6311,15484
2021-09-08,ONWARDTEC,234.1,237.95,231.6,233.95,4819,0.6498,7416
2021-09-09,ONWARDTEC,233.95,236.3,231.0,233.15,5859,0.5578000000000001,10504
2021-09-13,ONWARDTEC,230.0,239.75,227.2,228.55,21215,0.5254,40377
2021-09-14,ONWARDTEC,234.45,235.05,228.35,229.8,12379,0.6476000000000001,19116
2021-09-15,ONWARDTEC,233.5,233.5,228.65,232.4,5547,0.6058,9157
2021-09-16,ONWARDTEC,232.0,234.4,225.5,229.3,14795,0.7018000000000001,21082
2021-09-17,ONWARDTEC,234.0,234.0,222.65,228.35,15307,0.7521,20352
2021-09-20,ONWARDTEC,228.35,231.0,224.0,225.7,7492,0.6794,11028
2021-09-21,ONWARDTEC,221.35,233.75,220.55,224.4,15154,0.7739,19581
2021-09-22,ONWARDTEC,229.0,238.0,226.0,233.65,14105,0.7865000000000001,17934
2021-09-23,ONWARDTEC,239.95,239.95,230.0,230.35,6674,0.7562000000000001,8826
2021-09-24,ONWARDTEC,233.45,234.4,229.3,230.65,13940,0.7656999999999999,18205
2021-09-27,ONWARDTEC,230.2,233.95,226.55,227.95,9667,0.8033,12034
2021-09-28,ONWARDTEC,227.95,229.65,224.0,227.7,3821,0.6866,5565
2021-09-29,ONWARDTEC,234.35,234.35,223.4,226.1,3644,0.5795,6288
2021-09-30,ONWARDTEC,228.3,233.05,225.45,227.55,3995,0.5476,7296
2021-10-01,ONWARDTEC,225.3,229.4,225.15,226.75,3952,0.6688,5909
2021-10-04,ONWARDTEC,225.0,230.0,225.0,229.05,7826,0.7288,10738
2021-10-05,ONWARDTEC,233.65,233.65,217.6,224.9,11511,0.5640999999999999,20405
2021-10-06,ONWARDTEC,225.65,231.65,224.05,226.6,6851,0.6478,10576
2021-10-07,ONWARDTEC,228.65,230.0,218.0,219.25,31421,0.7944,39555
2021-10-08,ONWARDTEC,223.0,225.5,214.9,222.6,22041,0.6576000000000001,33517
2021-10-11,ONWARDTEC,225.25,225.25,215.2,217.55,14189,0.6698000000000001,21185
2021-10-12,ONWARDTEC,217.55,222.4,215.7,217.65,17046,0.7958,21421
2021-10-13,ONWARDTEC,217.3,221.0,213.55,216.95,28998,0.7963,36415
2021-10-14,ONWARDTEC,216.2,224.0,216.2,220.7,21299,0.6491,32814
2021-10-18,ONWARDTEC,225.0,229.95,219.7,225.15,25144,0.6672,37686
2021-10-19,ONWARDTEC,230.0,230.0,216.2,221.45,36922,0.7328,50387
2021-10-20,ONWARDTEC,219.15,227.4,211.95,222.95,25539,0.7835,32594
2021-10-21,ONWARDTEC,229.9,229.9,220.25,221.45,14319,0.5858,24444
2021-10-22,ONWARDTEC,219.0,227.95,216.0,219.35,15194,0.6201,24503
2021-10-25,ONWARDTEC,215.75,221.15,215.15,217.1,8980,0.7098000000000001,12652
2021-10-26,ONWARDTEC,217.05,230.0,214.55,226.6,25375,0.7914,32064
2021-10-27,ONWARDTEC,227.1,234.0,222.55,224.65,14390,0.6947,20714
2021-10-28,ONWARDTEC,220.5,226.35,220.1,220.95,8694,0.7948000000000001,10939
2021-10-29,ONWARDTEC,220.1,223.25,214.5,221.0,13199,0.7154,18449
2021-11-01,ONWARDTEC,224.85,226.95,221.0,225.45,14434,0.8974,16084
2021-11-02,ONWARDTEC,221.2,228.0,219.0,224.6,15466,0.6675,23169
2021-11-03,ONWARDTEC,220.15,229.4,220.15,226.05,10653,0.8064,13211
2021-11-04,ONWARDTEC,231.6,231.6,220.6,225.5,5983,0.7170000000000001,8345
2021-11-08,ONWARDTEC,225.5,230.0,221.5,229.25,16772,0.8634999999999999,19423
2021-11-09,ONWARDTEC,229.8,231.5,218.0,222.65,23568,0.7959999999999999,29609
2021-11-10,ONWARDTEC,225.5,225.55,221.0,223.05,7717,0.8462000000000001,9120
2021-11-11,ONWARDTEC,226.85,229.8,218.0,224.85,16569,0.7156999999999999,23150
2021-11-12,ONWARDTEC,220.2,224.55,217.0,220.15,28243,0.7945000000000001,35550
2021-11-15,ONWARDTEC,225.45,225.45,215.0,216.45,19481,0.8012,24316
2021-11-16,ONWARDTEC,219.85,228.0,218.5,224.7,21971,0.6672,32930
2021-11-17,ONWARDTEC,221.2,247.15,221.2,247.15,92708,0.6098,152037
2021-11-18,ONWARDTEC,266.0,266.0,240.35,245.75,62066,0.5384000000000001,115280
2021-11-22,ONWARDTEC,249.95,249.95,233.0,244.7,42849,0.6873,62342
2021-11-23,ONWARDTEC,244.7,269.15,244.7,269.15,89759,0.6307,142309
2021-11-24,ONWARDTEC,273.0,296.05,260.8,282.95,200062,0.44329999999999997,451256
2021-11-25,ONWARDTEC,287.0,287.7,271.0,276.7,58802,0.4947,118871
2021-11-26,ONWARDTEC,270.6,275.5,262.9,262.9,27441,0.7503000000000001,36574
2021-11-29,ONWARDTEC,265.0,265.0,249.8,250.45,42887,0.5963,71923
