Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ORBTEXP,71.95,72.55,70.05,70.9,7344,0.5709000000000001,12864
2021-09-02,ORBTEXP,71.0,74.95,69.1,73.0,15036,0.56,26849
2021-09-03,ORBTEXP,71.75,74.5,71.75,73.55,7898,0.7696,10262
2021-09-06,ORBTEXP,72.6,74.45,70.25,71.6,17899,0.7595000000000001,23567
2021-09-07,ORBTEXP,73.65,73.65,70.5,70.95,8272,0.6364,12999
2021-09-08,ORBTEXP,73.0,73.2,72.0,72.3,4999,0.5727000000000001,8729
2021-09-09,ORBTEXP,73.6,73.6,72.1,72.95,9517,0.8240000000000001,11550
2021-09-13,ORBTEXP,72.9,77.7,72.15,76.25,22459,0.6726000000000001,33391
2021-09-14,ORBTEXP,76.9,78.0,75.05,76.1,16231,0.7889,20573
2021-09-15,ORBTEXP,76.0,78.0,75.65,76.8,14479,0.7439,19463
2021-09-16,ORBTEXP,76.85,77.15,75.0,75.65,7203,0.6909000000000001,10425
2021-09-17,ORBTEXP,76.0,76.0,73.2,74.35,11200,0.6548999999999999,17101
2021-09-20,ORBTEXP,75.0,75.0,72.3,73.5,11872,0.8220999999999999,14441
2021-09-21,ORBTEXP,72.5,74.0,70.8,72.8,10770,0.6512000000000001,16539
2021-09-22,ORBTEXP,72.85,72.95,69.2,70.7,78706,0.5775,136294
2021-09-23,ORBTEXP,72.65,72.9,70.0,70.7,21513,0.7786,27630
2021-09-24,ORBTEXP,72.0,76.0,70.55,73.15,31338,0.8725,35917
2021-09-27,ORBTEXP,72.55,74.0,71.0,71.65,18408,0.7712000000000001,23870
2021-09-28,ORBTEXP,71.3,72.75,71.1,72.05,9491,0.8351999999999999,11364
2021-09-29,ORBTEXP,73.2,85.5,70.05,80.1,92774,0.2652,349800
2021-09-30,ORBTEXP,80.35,81.35,77.55,78.05,20259,0.5235000000000001,38700
2021-10-01,ORBTEXP,78.05,78.05,75.55,76.0,7596,0.6404000000000001,11861
2021-10-04,ORBTEXP,77.0,77.0,74.2,74.9,16803,0.6569,25581
2021-10-05,ORBTEXP,74.3,76.65,74.3,75.25,10135,0.6304,16076
2021-10-06,ORBTEXP,76.95,90.0,75.4,83.75,186619,0.397,470037
2021-10-07,ORBTEXP,85.9,89.0,84.15,85.65,86081,0.5152,167085
2021-10-08,ORBTEXP,84.65,85.6,78.65,83.0,30870,0.615,50197
2021-10-11,ORBTEXP,84.0,91.9,82.1,87.9,101108,0.557,181527
2021-10-12,ORBTEXP,87.0,89.05,85.1,86.25,27362,0.5716,47866
2021-10-13,ORBTEXP,85.3,87.6,81.65,82.8,18876,0.5589000000000001,33776
