Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ORIENTABRA,28.4,28.9,27.15,28.25,47789,0.433,110367
2021-09-02,ORIENTABRA,28.15,29.3,28.0,28.6,52653,0.5107,103097
2021-09-03,ORIENTABRA,28.9,29.4,28.5,28.8,38934,0.5667,68700
2021-09-06,ORIENTABRA,29.5,29.5,28.0,29.05,75248,0.6179,121785
2021-09-07,ORIENTABRA,29.4,29.4,28.6,28.75,24735,0.682,36269
2021-09-08,ORIENTABRA,28.75,29.45,28.55,28.75,29763,0.6916,43032
2021-09-09,ORIENTABRA,28.85,29.25,28.5,28.85,24815,0.5601,44304
2021-09-13,ORIENTABRA,28.7,30.75,28.2,30.05,172632,0.4548,379586
2021-09-14,ORIENTABRA,30.0,30.5,30.0,30.25,58428,0.6561,89050
2021-09-15,ORIENTABRA,30.5,30.75,29.55,29.85,58158,0.6901999999999999,84264
2021-09-16,ORIENTABRA,30.4,30.4,29.15,29.4,38356,0.6731,56988
2021-09-17,ORIENTABRA,29.3,30.2,28.1,28.5,66577,0.6072,109645
2021-09-20,ORIENTABRA,28.5,32.25,28.05,30.55,255405,0.3649,699898
2021-09-21,ORIENTABRA,32.0,32.0,29.5,29.9,92209,0.5232,176246
2021-09-22,ORIENTABRA,29.8,30.8,29.3,29.5,61474,0.5435,113102
2021-09-23,ORIENTABRA,29.7,30.95,29.3,29.7,86064,0.4233,203313
2021-09-24,ORIENTABRA,30.3,30.5,29.05,29.15,60898,0.6788,89715
2021-09-27,ORIENTABRA,29.15,29.85,28.6,28.95,40580,0.5886,68948
2021-09-28,ORIENTABRA,29.05,29.1,28.5,28.75,36623,0.6638,55174
2021-09-29,ORIENTABRA,28.25,29.0,28.05,28.6,41924,0.5573,75233
2021-09-30,ORIENTABRA,29.0,29.6,28.3,28.45,54725,0.657,83301
2021-10-01,ORIENTABRA,28.4,29.25,28.35,28.85,40997,0.7034999999999999,58273
2021-10-04,ORIENTABRA,28.65,31.35,28.0,31.1,264666,0.5998,441259
2021-10-05,ORIENTABRA,31.1,33.5,30.6,32.3,364302,0.5456000000000001,667767
2021-10-06,ORIENTABRA,32.95,34.15,31.05,31.45,145625,0.5431,268136
2021-10-07,ORIENTABRA,33.0,33.0,31.55,31.85,79420,0.5637,140881
2021-10-08,ORIENTABRA,31.45,33.0,31.15,31.45,187404,0.5468999999999999,342669
