Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ORIENTHOT,34.3,35.2,34.3,34.85,38734,0.5965,64931
2021-09-02,ORIENTHOT,34.75,35.7,34.7,34.8,50191,0.5931000000000001,84618
2021-09-03,ORIENTHOT,35.45,35.7,34.65,35.1,48285,0.6135,78707
2021-09-06,ORIENTHOT,35.45,36.5,35.05,35.65,47267,0.5381,87837
2021-09-07,ORIENTHOT,36.05,36.05,35.3,35.5,29110,0.6315,46099
2021-09-08,ORIENTHOT,35.3,35.9,34.8,35.4,41739,0.623,66998
2021-09-09,ORIENTHOT,35.7,37.7,35.45,36.25,204585,0.41240000000000004,496041
2021-09-13,ORIENTHOT,36.65,36.8,35.95,36.25,123370,0.5527000000000001,223204
2021-09-14,ORIENTHOT,36.5,36.6,35.8,36.0,40603,0.6222,65261
2021-09-15,ORIENTHOT,35.6,37.3,35.6,36.1,71309,0.489,145832
2021-09-16,ORIENTHOT,36.2,36.45,35.5,35.7,55937,0.6365999999999999,87865
2021-09-17,ORIENTHOT,36.15,36.25,34.85,34.95,60933,0.6808,89504
2021-09-20,ORIENTHOT,34.65,38.3,34.0,34.6,803100,0.5736,1400076
2021-09-21,ORIENTHOT,34.95,37.15,34.6,36.65,175963,0.6029,291857
2021-09-22,ORIENTHOT,37.8,39.1,36.55,37.75,397235,0.5406000000000001,734736
2021-09-23,ORIENTHOT,37.45,39.3,37.45,38.2,174048,0.37079999999999996,469388
2021-09-24,ORIENTHOT,38.45,38.7,36.4,36.65,118265,0.5228,226197
2021-09-27,ORIENTHOT,37.35,41.4,36.1,39.8,965667,0.3517,2745911
2021-09-28,ORIENTHOT,39.95,41.8,39.15,39.85,611057,0.4778,1278859
2021-09-29,ORIENTHOT,39.35,40.7,38.9,39.45,164207,0.4562,359930
2021-09-30,ORIENTHOT,39.1,39.7,38.35,38.5,117482,0.6586,178385
2021-10-01,ORIENTHOT,38.45,39.5,38.05,38.55,64375,0.42310000000000003,152137
2021-10-04,ORIENTHOT,38.95,40.0,38.6,39.0,139003,0.49729999999999996,279534
2021-10-05,ORIENTHOT,38.65,39.85,38.0,38.25,110193,0.47909999999999997,229981
2021-10-06,ORIENTHOT,38.2,39.15,37.7,37.85,141420,0.4031,350871
2021-10-07,ORIENTHOT,38.45,39.8,38.0,38.3,105069,0.3207,327644
2021-10-08,ORIENTHOT,39.2,40.7,38.75,39.35,267998,0.3871,692255
2021-10-11,ORIENTHOT,40.0,41.3,39.5,39.85,265450,0.3749,708146
2021-10-12,ORIENTHOT,40.0,40.95,39.5,39.75,148930,0.4413,337460
2021-10-13,ORIENTHOT,40.25,40.3,39.0,39.4,238176,0.5115,465660
2021-10-14,ORIENTHOT,39.5,39.9,38.7,39.0,147544,0.5956,247715
2021-10-18,ORIENTHOT,39.7,42.6,39.5,40.65,516887,0.3865,1337508
2021-10-19,ORIENTHOT,41.15,42.2,38.6,39.85,277225,0.46090000000000003,601524
2021-10-20,ORIENTHOT,42.85,43.8,41.1,41.6,668967,0.368,1817743
2021-10-21,ORIENTHOT,42.1,42.65,40.0,40.45,191956,0.467,411052
2021-10-22,ORIENTHOT,40.7,41.35,38.75,39.2,137008,0.5004,273793
2021-10-25,ORIENTHOT,39.4,39.95,37.8,38.05,99119,0.522,189890
2021-10-26,ORIENTHOT,38.55,39.3,38.3,38.55,74312,0.5710000000000001,130146
2021-10-27,ORIENTHOT,38.8,39.45,38.5,38.65,75954,0.5818,130544
2021-10-28,ORIENTHOT,38.1,38.65,37.05,37.4,80596,0.5347999999999999,150712
2021-10-29,ORIENTHOT,37.25,37.8,36.3,36.85,70312,0.4949,142068
2021-11-01,ORIENTHOT,37.4,37.7,36.85,37.4,41586,0.46399999999999997,89632
2021-11-02,ORIENTHOT,37.95,38.85,37.5,37.85,52862,0.48310000000000003,109415
2021-11-03,ORIENTHOT,38.15,38.45,37.3,37.5,53815,0.6412000000000001,83930
2021-11-04,ORIENTHOT,37.6,38.5,37.6,38.3,44471,0.7293999999999999,60969
2021-11-08,ORIENTHOT,38.85,39.3,38.05,38.4,77846,0.4744,164105
2021-11-09,ORIENTHOT,38.7,39.4,38.5,38.75,91992,0.48490000000000005,189699
2021-11-10,ORIENTHOT,38.8,39.3,38.1,38.25,75152,0.6467,116210
2021-11-11,ORIENTHOT,38.2,43.5,37.7,42.2,449406,0.42869999999999997,1048397
2021-11-12,ORIENTHOT,42.95,43.9,41.0,41.2,266625,0.5233,509469
2021-11-15,ORIENTHOT,40.5,41.9,39.65,40.3,114557,0.4079,280817
2021-11-16,ORIENTHOT,41.25,41.25,39.35,39.55,114127,0.46280000000000004,246608
2021-11-17,ORIENTHOT,39.5,40.1,39.1,39.35,51499,0.6202000000000001,83035
2021-11-18,ORIENTHOT,39.0,39.75,38.0,38.25,80924,0.5566,145396
2021-11-22,ORIENTHOT,38.65,38.65,36.5,36.75,99108,0.6701,147905
2021-11-23,ORIENTHOT,36.0,39.6,36.0,39.35,145605,0.6107,238413
2021-11-24,ORIENTHOT,39.05,39.65,38.1,38.95,73836,0.5216,141545
2021-11-25,ORIENTHOT,39.0,39.4,37.65,38.15,123544,0.6367,194042
2021-11-26,ORIENTHOT,37.2,37.9,35.7,35.95,180888,0.6487999999999999,278800
2021-11-29,ORIENTHOT,35.3,35.4,33.15,34.4,99968,0.5191,192564
2021-11-30,ORIENTHOT,35.45,35.9,34.5,34.75,48573,0.5085000000000001,95529
2021-12-01,ORIENTHOT,35.3,35.3,34.3,34.9,34706,0.6244,55587
2021-12-02,ORIENTHOT,35.3,37.75,34.5,37.3,110276,0.5487,200990
2021-12-03,ORIENTHOT,37.5,39.35,37.45,38.2,138700,0.5970000000000001,232315
2021-12-06,ORIENTHOT,39.35,39.35,37.45,38.05,213512,0.6626000000000001,322234
2021-12-07,ORIENTHOT,38.85,39.95,37.9,39.3,164360,0.66,249046
2021-12-08,ORIENTHOT,40.0,40.8,39.4,40.55,195418,0.6168,316822
2021-12-09,ORIENTHOT,40.9,41.65,40.55,40.85,170182,0.6111,278507
2021-12-10,ORIENTHOT,40.85,41.35,40.05,40.5,104253,0.6068,171802
2021-12-13,ORIENTHOT,40.6,41.7,40.6,40.9,144685,0.5821000000000001,248545
2021-12-14,ORIENTHOT,40.8,41.2,39.85,40.6,67736,0.5525,122590
2021-12-15,ORIENTHOT,40.8,41.2,40.0,40.35,69215,0.6234000000000001,111030
2021-12-16,ORIENTHOT,40.8,41.15,38.95,39.25,74836,0.5412,138289
2021-12-17,ORIENTHOT,39.65,39.65,37.3,37.85,68538,0.5864,116878
2021-12-20,ORIENTHOT,37.0,37.65,35.2,35.8,113500,0.5773,196594
2021-12-21,ORIENTHOT,37.3,38.3,36.65,37.05,59407,0.47520000000000007,125005
2021-12-22,ORIENTHOT,37.8,39.85,37.0,39.1,138182,0.5549000000000001,249019
2021-12-23,ORIENTHOT,39.5,39.95,38.0,38.1,54866,0.5023,109229
2021-12-24,ORIENTHOT,38.45,38.45,36.75,37.65,47447,0.5138,92354
2021-12-27,ORIENTHOT,37.9,38.9,36.8,37.85,78024,0.6147,126925
2021-12-28,ORIENTHOT,38.1,38.65,37.85,38.4,48324,0.5944,81300
2021-12-29,ORIENTHOT,38.2,38.6,36.2,37.6,78566,0.6171,127314
2021-12-30,ORIENTHOT,37.6,38.95,37.0,38.45,115467,0.7155,161375
2021-12-31,ORIENTHOT,38.85,39.75,37.85,39.0,124998,0.5799000000000001,215564
2022-01-03,ORIENTHOT,39.75,46.8,39.05,46.55,2615361,0.5004,5226440
2022-01-04,ORIENTHOT,47.85,49.75,45.0,45.2,771435,0.46,1677185
2022-01-05,ORIENTHOT,45.7,46.45,43.8,44.05,250183,0.5626,444677
2022-01-06,ORIENTHOT,42.65,49.5,42.65,47.3,432525,0.43090000000000006,1003827
