Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,PANACEABIO,302.0,302.0,291.8,295.7,29689,0.6282,47257
2021-09-02,PANACEABIO,298.95,301.85,294.0,297.25,82593,0.8172,101073
2021-09-03,PANACEABIO,298.0,300.05,295.0,296.05,35289,0.6601,53457
2021-09-06,PANACEABIO,298.9,301.5,294.0,294.55,82955,0.8079000000000001,102677
2021-09-07,PANACEABIO,314.0,324.0,308.6,321.7,331252,0.2961,1118691
2021-09-08,PANACEABIO,320.7,320.7,306.6,308.95,87121,0.5186999999999999,167974
2021-09-09,PANACEABIO,308.8,310.8,292.2,297.0,167423,0.7012,238764
2021-09-13,PANACEABIO,298.7,299.65,287.95,289.05,180308,0.7269,248052
2021-09-14,PANACEABIO,291.4,299.95,290.0,296.8,89005,0.6847,129982
2021-09-15,PANACEABIO,298.0,310.0,297.55,300.9,112280,0.5012,224042
2021-09-16,PANACEABIO,300.6,306.9,296.1,303.55,99444,0.6958,142917
2021-09-17,PANACEABIO,306.4,306.4,291.0,297.45,45487,0.5048,90113
2021-09-20,PANACEABIO,291.1,296.95,291.1,292.7,78350,0.8099,96742
2021-09-21,PANACEABIO,293.05,296.7,290.0,292.05,70316,0.7352,95644
2021-09-22,PANACEABIO,292.2,296.05,290.8,291.3,31520,0.5249,60045
2021-09-23,PANACEABIO,292.6,294.7,291.0,291.4,65242,0.6893000000000001,94649
2021-09-24,PANACEABIO,293.0,293.95,286.0,286.55,47342,0.6663,71056
2021-09-27,PANACEABIO,286.55,289.4,276.5,278.6,97902,0.4964,197208
2021-09-28,PANACEABIO,280.0,280.7,268.85,272.45,82641,0.4916,168104
2021-09-29,PANACEABIO,273.5,299.65,271.25,288.35,188278,0.24760000000000001,760544
2021-09-30,PANACEABIO,291.0,292.65,283.05,285.9,63732,0.4351,146467
2021-10-01,PANACEABIO,283.0,287.35,280.3,281.55,43963,0.5011,87729
2021-10-04,PANACEABIO,283.8,286.45,279.0,280.8,53105,0.5105,104016
2021-10-05,PANACEABIO,280.8,283.0,277.0,277.8,81124,0.6455,125680
2021-10-06,PANACEABIO,277.9,281.75,274.0,275.85,42488,0.5112,83122
2021-10-07,PANACEABIO,277.05,279.2,272.0,274.75,57665,0.5218,110509
2021-10-08,PANACEABIO,275.0,279.3,270.5,273.05,59504,0.5146000000000001,115632
