Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,PCJEWELLER,22.95,23.1,22.5,22.6,302756,0.5608,539887
2021-09-02,PCJEWELLER,22.6,26.1,22.55,24.95,2597770,0.4179,6216962
2021-09-03,PCJEWELLER,25.1,26.9,25.0,26.35,3000065,0.4656,6443959
2021-09-06,PCJEWELLER,26.35,26.9,25.85,26.0,1014765,0.43570000000000003,2328996
2021-09-07,PCJEWELLER,26.0,26.8,26.0,26.1,714053,0.4255,1678248
2021-09-08,PCJEWELLER,26.1,26.7,25.6,25.75,560673,0.37950000000000006,1477259
2021-09-09,PCJEWELLER,25.8,26.25,25.4,25.85,397177,0.4466,889241
2021-09-13,PCJEWELLER,25.6,26.15,24.65,24.95,807132,0.5313,1519090
2021-09-14,PCJEWELLER,24.95,25.3,24.5,24.85,517012,0.5318,972239
2021-09-15,PCJEWELLER,25.0,25.9,24.9,25.25,717421,0.47140000000000004,1521764
2021-09-16,PCJEWELLER,25.4,25.95,25.3,25.5,592502,0.4989,1187594
2021-09-17,PCJEWELLER,25.65,26.2,24.9,25.35,944077,0.5729,1648007
2021-09-20,PCJEWELLER,25.2,25.65,24.7,24.75,478389,0.5462,875858
2021-09-21,PCJEWELLER,24.6,25.45,24.15,25.0,454982,0.5402,842241
2021-09-22,PCJEWELLER,25.2,25.75,25.0,25.55,566883,0.5489,1032727
2021-09-23,PCJEWELLER,25.6,26.2,25.5,25.6,790400,0.6231,1268499
2021-09-24,PCJEWELLER,25.6,26.3,25.3,25.45,540379,0.5368,1006602
2021-09-27,PCJEWELLER,25.25,26.3,25.15,26.05,928637,0.5687,1632982
2021-09-28,PCJEWELLER,26.2,26.8,25.75,26.3,693888,0.5801,1196224
2021-09-29,PCJEWELLER,26.8,27.4,26.45,27.15,1534759,0.6023,2548078
2021-09-30,PCJEWELLER,27.45,27.7,26.6,26.65,833150,0.395,2109245
2021-10-01,PCJEWELLER,26.9,26.9,26.0,26.35,565935,0.5656,1000529
2021-10-04,PCJEWELLER,26.55,26.75,25.85,25.9,1120805,0.5525,2028586
2021-10-05,PCJEWELLER,26.0,26.2,25.2,25.4,1266956,0.7036,1800622
2021-10-06,PCJEWELLER,25.55,25.9,24.5,24.65,1475314,0.6048,2439273
2021-10-07,PCJEWELLER,25.3,26.6,25.25,26.25,2335738,0.3679,6349448
2021-10-08,PCJEWELLER,26.45,29.15,26.0,27.85,4474769,0.3321,13474310
2021-10-11,PCJEWELLER,28.2,29.4,27.9,28.45,3515820,0.47700000000000004,7371351
2021-10-12,PCJEWELLER,28.6,29.35,27.75,28.9,2035507,0.3821,5327352
2021-10-13,PCJEWELLER,29.0,29.6,28.3,28.7,2206540,0.4169,5293356
2021-10-14,PCJEWELLER,28.7,30.55,28.6,29.4,3261261,0.3712,8785571
2021-10-18,PCJEWELLER,29.4,30.25,29.4,29.95,3136651,0.4949,6337862
2021-10-19,PCJEWELLER,29.85,29.9,28.6,29.1,2850118,0.5857,4866108
2021-10-20,PCJEWELLER,28.9,28.95,27.55,27.8,1094267,0.4272,2561204
2021-10-21,PCJEWELLER,28.0,29.4,27.8,28.1,1124290,0.3168,3548892
2021-10-22,PCJEWELLER,28.35,28.7,28.0,28.2,825455,0.43829999999999997,1883385
2021-10-25,PCJEWELLER,28.7,28.95,27.6,27.9,1026121,0.5197999999999999,1974100
2021-10-26,PCJEWELLER,28.05,28.9,27.9,28.45,847805,0.5217,1625062
2021-10-27,PCJEWELLER,28.8,30.0,28.45,29.05,2137045,0.41020000000000006,5209493
2021-10-28,PCJEWELLER,29.3,29.5,27.6,27.95,1607363,0.5145000000000001,3124240
2021-10-29,PCJEWELLER,27.9,28.2,26.9,27.6,799040,0.397,2012738
