Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,PEARLPOLY,15.5,16.2,15.4,15.75,3154,0.9968000000000001,3164
2021-09-02,PEARLPOLY,16.4,16.4,15.65,16.15,985,0.6506000000000001,1514
2021-09-03,PEARLPOLY,15.85,16.2,15.45,15.65,11454,0.7837000000000001,14615
2021-09-06,PEARLPOLY,16.0,16.0,15.55,15.7,873,0.6624,1318
2021-09-07,PEARLPOLY,16.25,16.25,15.75,15.9,9414,0.8212999999999999,11462
2021-09-08,PEARLPOLY,16.15,16.15,15.6,15.95,3414,0.6706000000000001,5091
2021-09-09,PEARLPOLY,16.45,16.45,15.75,16.0,4682,0.8517,5497
2021-09-13,PEARLPOLY,15.7,16.8,15.7,15.9,10331,0.9577,10787
2021-09-14,PEARLPOLY,16.2,16.2,15.7,15.75,5788,0.9152,6324
2021-09-15,PEARLPOLY,16.15,16.4,15.85,16.15,6298,0.7276,8656
2021-09-16,PEARLPOLY,15.75,16.7,15.6,15.9,14362,0.7682,18696
2021-09-17,PEARLPOLY,15.65,16.2,15.6,16.0,5196,0.6356,8175
2021-09-20,PEARLPOLY,16.35,16.35,15.5,15.6,10342,0.7869,13142
2021-09-21,PEARLPOLY,15.8,16.0,15.5,15.85,6375,0.9784999999999999,6515
2021-09-22,PEARLPOLY,16.15,16.2,15.7,15.9,2334,0.768,3039
2021-09-23,PEARLPOLY,15.95,15.95,15.4,15.75,7769,0.7123,10907
2021-09-24,PEARLPOLY,15.95,15.95,15.35,15.6,7034,0.7526999999999999,9345
2021-09-27,PEARLPOLY,15.7,15.9,14.85,14.95,54094,0.7177,75375
2021-09-28,PEARLPOLY,15.3,15.3,14.8,14.8,10446,0.9288,11247
2021-09-29,PEARLPOLY,14.8,15.2,14.5,14.75,7736,0.8788,8803
2021-09-30,PEARLPOLY,15.0,15.0,14.3,14.9,10163,0.6609999999999999,15376
2021-10-01,PEARLPOLY,15.5,15.5,14.65,15.25,8953,0.8272,10823
2021-10-04,PEARLPOLY,15.2,15.45,14.5,15.15,14321,0.6920000000000001,20696
2021-10-05,PEARLPOLY,14.75,15.4,14.75,15.35,4468,0.6668999999999999,6700
2021-10-06,PEARLPOLY,15.5,15.85,15.15,15.5,7032,0.8059000000000001,8726
2021-10-07,PEARLPOLY,15.5,16.1,15.2,15.6,5554,0.6828000000000001,8134
2021-10-08,PEARLPOLY,15.8,15.85,15.4,15.55,9332,0.8308,11233
2021-10-11,PEARLPOLY,15.8,16.5,15.15,15.8,8490,0.9267000000000001,9162
2021-10-12,PEARLPOLY,15.95,16.25,15.6,16.0,12100,0.9396,12878
2021-10-13,PEARLPOLY,15.65,16.25,15.65,16.0,5443,0.9137000000000001,5957
2021-10-14,PEARLPOLY,16.2,16.2,15.6,15.75,4030,0.9609000000000001,4194
2021-10-18,PEARLPOLY,16.0,16.3,15.4,15.95,9730,0.7647,12724
2021-10-19,PEARLPOLY,16.5,16.5,15.55,15.9,8115,0.9117000000000001,8901
2021-10-20,PEARLPOLY,15.6,15.65,15.2,15.4,13645,0.5962,22888
2021-10-21,PEARLPOLY,15.5,15.8,15.15,15.25,5560,0.8022,6931
2021-10-22,PEARLPOLY,15.5,15.9,15.25,15.6,4889,0.7565000000000001,6463
2021-10-25,PEARLPOLY,16.0,16.0,15.1,15.4,3637,0.8193000000000001,4439
2021-10-26,PEARLPOLY,15.6,15.6,15.1,15.1,5588,0.8618000000000001,6484
2021-10-27,PEARLPOLY,15.15,15.75,15.15,15.4,7059,0.5324,13260
2021-10-28,PEARLPOLY,15.15,15.4,14.9,15.0,11274,0.8212,13729
2021-10-29,PEARLPOLY,15.15,15.15,14.65,15.1,3041,0.8293,3667
2021-11-01,PEARLPOLY,15.1,15.75,14.7,14.85,3643,0.2579,14123
2021-11-02,PEARLPOLY,15.9,15.9,14.6,15.3,7448,0.466,15982
2021-11-03,PEARLPOLY,15.6,15.6,14.85,15.0,1721,0.7528,2286
2021-11-04,PEARLPOLY,15.0,15.5,15.0,15.2,460,1.0,460
2021-11-08,PEARLPOLY,15.0,15.2,14.85,14.9,3416,0.8129000000000001,4202
