Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,PGIL,337.0,342.8,323.85,324.9,10973,0.7034,15599
2021-09-02,PGIL,330.95,331.95,312.35,323.25,10945,0.47520000000000007,23031
2021-09-03,PGIL,323.25,323.8,312.0,313.7,6305,0.5791,10887
2021-09-06,PGIL,321.0,321.0,314.0,315.9,4669,0.6018,7759
2021-09-07,PGIL,315.0,323.2,315.0,319.8,5789,0.7633,7584
2021-09-08,PGIL,320.15,338.85,318.15,328.6,13161,0.3935,33448
2021-09-09,PGIL,337.0,338.0,302.5,315.9,15216,0.6138,24790
2021-09-13,PGIL,315.0,322.95,310.35,319.65,7026,0.6755,10401
2021-09-14,PGIL,320.15,326.85,312.4,321.3,10848,0.6036,17972
2021-09-15,PGIL,319.85,329.8,318.6,323.85,5430,0.5841,9297
2021-09-16,PGIL,324.9,328.9,322.0,324.95,3101,0.5149,6023
2021-09-17,PGIL,322.5,339.85,320.0,325.05,18877,0.3329,56707
2021-09-20,PGIL,319.0,325.0,307.0,310.3,11120,0.629,17678
2021-09-21,PGIL,302.25,319.4,297.15,305.45,9081,0.5104,17791
2021-09-22,PGIL,316.95,319.95,297.55,301.8,16253,0.5534,29371
2021-09-23,PGIL,302.0,316.0,300.0,301.05,6606,0.6463,10222
2021-09-24,PGIL,303.0,309.95,292.35,297.65,6356,0.4761,13349
2021-09-27,PGIL,299.1,306.0,295.0,301.5,3079,0.5535,5563
2021-09-28,PGIL,307.95,307.95,295.1,298.45,2541,0.6634000000000001,3830
2021-09-29,PGIL,303.95,318.0,298.05,315.0,13164,0.682,19302
2021-09-30,PGIL,319.65,319.65,306.75,314.05,6968,0.5966,11679
2021-10-01,PGIL,318.7,318.7,301.2,303.8,5888,0.6354,9267
2021-10-04,PGIL,307.5,312.0,303.4,307.95,6083,0.7279000000000001,8357
2021-10-05,PGIL,302.05,312.0,301.0,309.3,11297,0.6344,17807
2021-10-06,PGIL,314.95,317.85,305.1,307.3,3626,0.3089,11740
2021-10-07,PGIL,315.0,315.0,298.55,302.45,13006,0.593,21932
2021-10-08,PGIL,302.05,309.6,299.25,300.95,4787,0.33240000000000003,14401
2021-10-11,PGIL,304.65,304.9,296.1,300.0,3948,0.4098,9635
2021-10-12,PGIL,295.25,309.95,295.25,300.2,6803,0.4974,13677
2021-10-13,PGIL,300.4,323.75,300.25,311.75,18939,0.5661,33454
2021-10-14,PGIL,316.5,329.0,306.3,311.15,11152,0.29,38456
2021-10-18,PGIL,318.95,318.95,304.7,306.85,13515,0.6294,21474
2021-10-19,PGIL,308.9,312.15,300.0,300.75,7102,0.47140000000000004,15065
2021-10-20,PGIL,298.0,308.25,298.0,299.05,12830,0.943,13605
2021-10-21,PGIL,301.0,303.0,296.5,298.55,1780,0.20620000000000002,8634
2021-10-22,PGIL,297.15,300.1,284.0,286.8,9257,0.7387,12531
2021-10-25,PGIL,298.9,298.9,287.4,290.8,7303,0.4626,15788
2021-10-26,PGIL,294.9,307.0,291.0,302.3,8659,0.5619,15410
2021-10-27,PGIL,307.9,322.0,302.75,304.65,12053,0.5599000000000001,21526
2021-10-28,PGIL,304.65,309.8,297.0,298.55,2256,0.6679,3378
2021-10-29,PGIL,308.95,308.95,295.25,296.9,6732,0.3945,17065
2021-11-01,PGIL,296.6,305.0,296.05,297.1,3363,0.44770000000000004,7512
2021-11-02,PGIL,304.65,304.65,292.4,295.55,6928,0.7402,9360
2021-11-03,PGIL,295.7,303.7,295.7,298.35,7857,0.8068000000000001,9739
2021-11-04,PGIL,306.95,306.95,297.1,301.55,1217,0.6803,1789
2021-11-08,PGIL,302.35,302.35,292.65,295.55,5343,0.5544,9637
2021-11-09,PGIL,301.6,301.6,294.35,295.45,9538,0.755,12633
2021-11-10,PGIL,296.0,299.45,292.9,293.55,2017,0.7614000000000001,2649
2021-11-11,PGIL,298.9,298.9,292.35,295.75,1975,0.6846,2885
2021-11-12,PGIL,295.0,298.0,291.25,292.6,4129,0.7472,5526
2021-11-15,PGIL,303.0,344.7,303.0,337.95,47404,0.37939999999999996,124933
2021-11-16,PGIL,343.7,404.0,335.05,395.85,365252,0.5997,609050
2021-11-17,PGIL,399.0,406.0,367.6,373.15,48315,0.3418,141336
2021-11-18,PGIL,377.15,390.0,365.5,373.0,34331,0.4549,75473
2021-11-22,PGIL,373.0,376.7,344.0,347.15,12502,0.5709000000000001,21899
2021-11-23,PGIL,345.0,401.7,338.0,396.5,32215,0.43770000000000003,73608
2021-11-24,PGIL,402.0,405.6,381.9,385.9,25487,0.5739,44407
2021-11-25,PGIL,385.0,435.0,385.0,420.25,45300,0.4161,108879
2021-11-26,PGIL,426.4,426.4,389.0,396.05,16718,0.5436,30756
2021-11-29,PGIL,398.0,398.0,364.0,367.8,15996,0.522,30645
2021-11-30,PGIL,379.0,394.0,361.0,368.8,13897,0.5193,26759
2021-12-01,PGIL,378.6,399.0,371.85,382.1,7436,0.6095,12201
2021-12-02,PGIL,393.9,399.9,375.8,389.55,9141,0.6443000000000001,14187
