Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,PIONDIST,143.5,147.65,140.0,146.4,14808,0.36200000000000004,40902
2021-09-02,PIONDIST,147.65,158.9,147.65,153.2,215386,0.3182,676938
2021-09-03,PIONDIST,153.65,158.45,151.35,152.35,56221,0.4648,120952
2021-09-06,PIONDIST,154.65,154.65,148.55,149.6,23875,0.6135,38914
2021-09-07,PIONDIST,146.6,151.6,146.6,150.25,12993,0.6654000000000001,19527
2021-09-08,PIONDIST,149.65,152.45,147.6,149.1,7142,0.5112,13972
2021-09-09,PIONDIST,150.8,152.95,148.55,150.25,5921,0.5847,10127
2021-09-13,PIONDIST,149.1,153.0,149.1,151.5,14200,0.42840000000000006,33145
2021-09-14,PIONDIST,152.4,155.2,149.65,150.75,12845,0.3289,39055
2021-09-15,PIONDIST,151.5,151.95,149.7,150.1,8564,0.7586,11289
2021-09-16,PIONDIST,150.3,153.0,147.55,148.05,9408,0.6707,14028
2021-09-17,PIONDIST,150.95,152.9,147.0,147.25,13352,0.5739,23265
2021-09-20,PIONDIST,150.5,151.9,144.75,145.35,21861,0.8056000000000001,27135
2021-09-21,PIONDIST,145.05,149.75,143.55,146.25,9288,0.7879,11789
2021-09-22,PIONDIST,146.3,155.85,146.3,153.45,28632,0.5068,56496
2021-09-23,PIONDIST,157.7,173.95,154.2,169.95,156717,0.28300000000000003,553815
2021-09-24,PIONDIST,171.5,175.0,166.2,170.1,106785,0.3601,296519
2021-09-27,PIONDIST,170.75,171.0,163.05,165.3,26888,0.4703,57170
2021-09-28,PIONDIST,165.55,171.7,164.0,166.45,27231,0.49710000000000004,54779
2021-09-29,PIONDIST,166.45,168.3,162.5,165.25,18765,0.5441,34487
2021-09-30,PIONDIST,163.25,173.0,163.25,170.9,42071,0.4533,92812
2021-10-01,PIONDIST,170.0,175.35,169.05,173.45,31543,0.3274,96352
2021-10-04,PIONDIST,173.0,182.15,172.45,178.7,187254,0.38810000000000006,482502
2021-10-05,PIONDIST,177.9,184.9,176.5,183.0,55501,0.34950000000000003,158790
2021-10-06,PIONDIST,183.0,184.5,176.05,177.6,39832,0.5903,67479
2021-10-07,PIONDIST,179.0,189.0,178.9,185.1,50708,0.38430000000000003,131962
2021-10-08,PIONDIST,185.8,189.9,183.45,185.25,26145,0.36590000000000006,71452
2021-10-11,PIONDIST,183.55,186.35,182.1,183.15,31239,0.541,57744
2021-10-12,PIONDIST,182.8,192.5,180.05,184.7,43522,0.2695,161513
2021-10-13,PIONDIST,185.6,187.0,181.05,183.6,28871,0.6573000000000001,43923
2021-10-14,PIONDIST,184.95,185.15,178.05,180.6,20398,0.6961,29305
2021-10-18,PIONDIST,180.0,182.75,178.0,179.35,49758,0.7825,63585
2021-10-19,PIONDIST,179.15,180.95,173.05,175.6,17228,0.5971000000000001,28855
2021-10-20,PIONDIST,170.05,174.4,169.05,170.35,24067,0.5852,41125
2021-10-21,PIONDIST,168.0,177.95,168.0,171.3,18471,0.8787,21021
2021-10-22,PIONDIST,171.7,173.7,166.5,168.1,9663,0.5805,16646
2021-10-25,PIONDIST,164.05,169.5,163.05,167.0,23862,0.4617,51687
2021-10-26,PIONDIST,169.5,171.45,167.1,167.65,3642,0.33409999999999995,10901
2021-10-27,PIONDIST,167.85,180.0,167.85,174.9,11823,0.6478,18251
2021-10-28,PIONDIST,183.0,190.0,177.2,179.35,53348,0.33,161649
2021-10-29,PIONDIST,180.0,197.65,177.8,194.9,99573,0.3685,270234
2021-11-01,PIONDIST,201.8,201.8,192.05,196.35,74714,0.43090000000000006,173376
2021-11-02,PIONDIST,197.65,200.5,194.95,197.3,37843,0.5944,63662
2021-11-03,PIONDIST,198.6,203.9,194.8,195.55,33708,0.4241,79481
2021-11-04,PIONDIST,196.7,198.85,196.0,197.95,5096,0.6958,7324
2021-11-08,PIONDIST,203.95,206.95,198.05,203.5,25965,0.3925,66153
2021-11-09,PIONDIST,202.05,209.4,201.75,205.65,19684,0.40149999999999997,49021
2021-11-10,PIONDIST,205.0,206.5,197.0,198.25,25127,0.51,49267
2021-11-11,PIONDIST,198.25,199.25,192.0,193.65,14402,0.6722,21424
2021-11-12,PIONDIST,194.5,198.0,193.5,194.7,11719,0.6648000000000001,17628
2021-11-15,PIONDIST,198.0,198.0,191.15,192.5,8827,0.6246,14133
2021-11-16,PIONDIST,194.5,194.5,188.05,191.55,11265,0.6785,16604
2021-11-17,PIONDIST,191.0,192.75,187.0,188.35,5655,0.6393,8846
2021-11-18,PIONDIST,188.35,193.4,182.25,187.3,18383,0.685,26835
2021-11-22,PIONDIST,190.05,192.0,182.75,186.35,27269,0.5961,45745
2021-11-23,PIONDIST,185.05,191.95,185.05,189.55,7376,0.5733,12865
2021-11-24,PIONDIST,191.8,195.0,189.6,192.1,15900,0.6091,26104
2021-11-25,PIONDIST,188.0,191.95,187.95,190.75,6697,0.5947,11262
2021-11-26,PIONDIST,191.5,191.5,181.0,181.65,12377,0.5968,20739
2021-11-29,PIONDIST,173.0,183.05,173.0,181.2,47821,0.7266,65817
2021-11-30,PIONDIST,180.75,184.75,179.75,182.2,3359,0.48729999999999996,6893
2021-12-01,PIONDIST,183.6,183.6,176.5,178.4,7262,0.4437,16366
2021-12-02,PIONDIST,176.0,182.0,176.0,180.55,6131,0.6417,9554
2021-12-03,PIONDIST,184.5,184.9,180.75,182.3,6595,0.7219,9136
2021-12-06,PIONDIST,184.8,184.8,178.0,178.6,2644,0.793,3334
2021-12-07,PIONDIST,180.7,183.95,178.05,181.1,10132,0.3779,26810
2021-12-08,PIONDIST,185.0,188.75,183.8,187.75,11548,0.6201,18622
2021-12-09,PIONDIST,193.5,193.5,184.65,188.15,8154,0.644,12662
2021-12-10,PIONDIST,188.3,190.4,187.05,188.05,6384,0.8205,7781
2021-12-13,PIONDIST,191.85,191.85,186.05,186.8,3266,0.6633,4924
2021-12-14,PIONDIST,187.95,190.0,186.65,186.75,31920,0.8292,38495
2021-12-15,PIONDIST,183.05,189.65,183.05,185.7,15423,0.7873000000000001,19589
2021-12-16,PIONDIST,188.95,189.0,184.55,185.5,71263,0.913,78052
2021-12-17,PIONDIST,188.0,188.0,177.0,177.6,5796,0.6864,8444
2021-12-20,PIONDIST,180.55,182.1,171.1,173.85,7350,0.7049,10427
2021-12-21,PIONDIST,173.85,181.45,173.85,178.95,2810,0.539,5213
2021-12-22,PIONDIST,183.0,183.95,177.9,181.8,2839,0.46530000000000005,6101
2021-12-23,PIONDIST,190.0,190.0,180.05,181.95,3876,0.5978,6484
2021-12-24,PIONDIST,180.95,184.1,178.0,179.35,2169,0.5113000000000001,4242
2021-12-27,PIONDIST,182.95,182.95,175.65,178.6,2608,0.5091,5123
2021-12-28,PIONDIST,175.1,181.45,174.05,178.05,4584,0.7262000000000001,6312
2021-12-29,PIONDIST,177.6,181.9,177.05,178.05,2334,0.7637,3056
2021-12-30,PIONDIST,179.9,179.9,171.65,176.9,1300,0.3601,3610
2021-12-31,PIONDIST,180.7,182.0,178.85,180.7,3203,0.6192000000000001,5173
2022-01-03,PIONDIST,185.05,195.1,178.85,181.1,2103,0.3924,5359
2022-01-04,PIONDIST,184.75,185.65,179.15,182.1,33572,0.757,44346
2022-01-05,PIONDIST,185.7,185.7,179.0,179.65,10605,0.47250000000000003,22445
2022-01-06,PIONDIST,178.85,180.0,176.1,179.45,931,0.4598,2025
2022-01-07,PIONDIST,184.0,184.0,177.0,177.05,928,0.7290000000000001,1273
2022-01-10,PIONDIST,184.0,184.0,176.1,178.85,4109,0.4844,8482
2022-01-11,PIONDIST,175.55,180.0,175.55,176.25,2221,0.7453000000000001,2980
2022-01-12,PIONDIST,181.95,183.5,176.0,182.45,6306,0.6338,9950
2022-01-13,PIONDIST,184.9,197.1,182.05,191.0,42604,0.4154,102567
2022-01-14,PIONDIST,189.7,193.4,188.35,189.5,16794,0.5524,30400
2022-01-17,PIONDIST,189.8,192.9,187.05,189.65,7525,0.5378000000000001,13992
2022-01-18,PIONDIST,190.0,192.8,182.0,183.5,4110,0.3095,13280
2022-01-19,PIONDIST,182.65,186.95,179.3,185.55,67423,0.7020000000000001,96039
2022-01-20,PIONDIST,185.8,186.8,181.4,183.05,11677,0.4908,23791
2022-01-21,PIONDIST,183.05,184.95,178.7,179.6,7227,0.5169,13982
2022-01-24,PIONDIST,179.05,180.9,170.45,171.9,1948,0.39630000000000004,41404
