Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,PNCINFRA,315.45,341.8,311.2,338.25,628052,0.2788,2252627
2021-09-02,PNCINFRA,345.0,352.75,341.0,349.4,571336,0.3511,1627150
2021-09-03,PNCINFRA,353.0,363.0,351.05,359.9,440901,0.44,1002101
2021-09-06,PNCINFRA,363.8,364.55,356.95,360.4,520889,0.6262,831859
2021-09-07,PNCINFRA,360.0,388.7,349.65,373.8,470326,0.306,1536933
2021-09-08,PNCINFRA,375.0,375.8,365.0,367.55,133600,0.3268,408843
2021-09-09,PNCINFRA,362.0,367.0,358.7,359.8,169692,0.5881000000000001,288529
2021-09-13,PNCINFRA,359.0,366.2,355.0,362.25,258391,0.7177,360005
2021-09-14,PNCINFRA,364.7,365.5,359.25,361.95,236467,0.6439,367248
2021-09-15,PNCINFRA,357.2,360.0,354.1,357.75,325258,0.7484000000000001,434623
2021-09-16,PNCINFRA,355.0,373.95,352.45,370.35,248210,0.39299999999999996,631504
2021-09-17,PNCINFRA,368.0,388.0,362.65,372.65,2962019,0.8432,3512964
2021-09-20,PNCINFRA,364.35,368.7,352.8,355.7,512686,0.7136,718438
2021-09-21,PNCINFRA,353.4,357.9,347.0,355.2,160980,0.5569,289048
2021-09-22,PNCINFRA,351.0,364.05,351.0,359.55,710563,0.8259000000000001,860377
2021-09-23,PNCINFRA,359.35,362.05,352.25,354.85,119441,0.47140000000000004,253398
2021-09-24,PNCINFRA,357.65,370.5,355.4,368.05,173912,0.41000000000000003,424186
2021-09-27,PNCINFRA,370.45,377.65,356.6,362.05,90126,0.2353,383067
2021-09-28,PNCINFRA,362.8,364.8,353.0,355.5,43759,0.3197,136894
2021-09-29,PNCINFRA,351.0,357.65,349.85,355.25,26127,0.3461,75492
2021-09-30,PNCINFRA,354.0,394.95,354.0,382.85,243403,0.24370000000000003,998651
2021-10-01,PNCINFRA,390.0,392.9,366.15,371.45,222312,0.3025,734834
2021-10-04,PNCINFRA,369.3,369.3,357.0,359.1,214030,0.4421,484099
2021-10-05,PNCINFRA,357.0,379.9,356.45,370.4,128750,0.2231,577035
2021-10-06,PNCINFRA,372.95,376.25,358.55,363.45,105311,0.3632,289958
2021-10-07,PNCINFRA,366.0,370.2,361.6,363.85,103647,0.4667,222079
2021-10-08,PNCINFRA,362.25,366.85,355.8,357.4,505569,0.8154000000000001,620005
2021-10-11,PNCINFRA,359.5,373.0,359.35,368.7,133934,0.48740000000000006,274798
2021-10-12,PNCINFRA,365.0,368.0,360.15,365.2,56206,0.35450000000000004,158542
2021-10-13,PNCINFRA,365.0,395.9,364.3,391.35,529560,0.5123,1033704
2021-10-14,PNCINFRA,392.0,392.65,374.2,377.5,368988,0.5163,714661
2021-10-18,PNCINFRA,379.85,380.6,368.0,371.65,173809,0.6146,282812
2021-10-19,PNCINFRA,374.9,374.9,354.0,356.55,118825,0.5767,206059
2021-10-20,PNCINFRA,356.9,360.25,345.7,358.1,242807,0.612,396724
2021-10-21,PNCINFRA,363.5,368.75,355.0,358.4,125197,0.4568,274072
2021-10-22,PNCINFRA,359.0,359.9,338.15,342.15,112273,0.461,243566
2021-10-25,PNCINFRA,345.6,345.6,327.1,330.75,117103,0.32920000000000005,355769
2021-10-26,PNCINFRA,330.85,344.55,330.85,335.95,67227,0.3531,190386
2021-10-27,PNCINFRA,339.0,348.9,336.3,339.05,40035,0.2883,138854
2021-10-28,PNCINFRA,332.9,338.75,329.0,331.15,44000,0.4587,95932
2021-10-29,PNCINFRA,331.9,338.65,323.0,324.4,66887,0.36590000000000006,182789
2021-11-01,PNCINFRA,325.15,332.15,323.75,326.3,167119,0.6322,264337
2021-11-02,PNCINFRA,327.0,330.05,324.35,325.05,116992,0.6545000000000001,178739
2021-11-03,PNCINFRA,326.7,338.0,324.4,333.75,149367,0.4623,323093
2021-11-04,PNCINFRA,336.7,348.6,336.7,341.65,43295,0.4047,106984
2021-11-08,PNCINFRA,342.9,345.45,331.95,337.1,202559,0.7526,269146
2021-11-09,PNCINFRA,338.5,344.9,334.3,338.05,307283,0.7172,428431
2021-11-10,PNCINFRA,339.3,341.0,335.1,336.95,57041,0.47340000000000004,120493
2021-11-11,PNCINFRA,336.3,342.5,335.0,337.45,123590,0.5628000000000001,219581
2021-11-12,PNCINFRA,339.95,344.0,338.0,338.5,70982,0.48240000000000005,147154
2021-11-15,PNCINFRA,340.0,342.85,326.3,328.8,162591,0.6055,268543
2021-11-16,PNCINFRA,332.0,336.25,322.05,324.65,206807,0.5942000000000001,348014
2021-11-17,PNCINFRA,329.9,329.9,315.05,318.35,210304,0.6124,343390
2021-11-18,PNCINFRA,315.05,317.3,301.3,303.5,693929,0.6433,1078696
2021-11-22,PNCINFRA,305.5,311.0,298.65,307.85,568981,0.5388000000000001,1056082
2021-11-23,PNCINFRA,307.8,312.75,303.0,304.45,170029,0.43100000000000005,394506
2021-11-24,PNCINFRA,309.7,309.8,300.15,300.85,131118,0.5652,232003
2021-11-25,PNCINFRA,305.0,305.95,297.1,297.7,134213,0.6301,213008
2021-11-26,PNCINFRA,296.0,301.0,282.25,285.3,219669,0.5644,389216
2021-11-29,PNCINFRA,285.0,288.9,266.5,285.3,139220,0.45060000000000006,308990
2021-11-30,PNCINFRA,285.0,309.95,285.0,307.4,342476,0.4625,740432
2021-12-01,PNCINFRA,308.0,308.0,297.2,298.65,71186,0.4529,157175
2021-12-02,PNCINFRA,304.95,304.95,293.5,295.05,113646,0.6403,177478
2021-12-03,PNCINFRA,299.8,301.95,297.35,300.25,228209,0.7434999999999999,306949
2021-12-06,PNCINFRA,298.1,299.0,287.45,289.45,83121,0.6157,135003
2021-12-07,PNCINFRA,293.0,296.95,289.2,290.2,78520,0.5167,151970
2021-12-08,PNCINFRA,291.8,296.85,291.2,291.95,64644,0.5581,115820
2021-12-09,PNCINFRA,293.95,308.8,293.05,307.15,199689,0.3379,590949
2021-12-10,PNCINFRA,310.0,310.0,295.9,299.15,236799,0.40659999999999996,582372
2021-12-13,PNCINFRA,305.0,305.0,289.6,291.1,176277,0.549,321089
2021-12-14,PNCINFRA,291.1,294.8,284.2,285.55,211643,0.5644,374977
2021-12-15,PNCINFRA,289.0,293.9,288.1,291.85,97390,0.4035,241384
2021-12-16,PNCINFRA,294.5,296.75,285.0,288.1,108537,0.424,255974
2021-12-17,PNCINFRA,285.0,288.1,275.0,278.45,148194,0.4607,321694
2021-12-20,PNCINFRA,279.75,279.75,261.0,265.55,176384,0.5002000000000001,352605
2021-12-21,PNCINFRA,267.0,271.5,257.9,261.75,144683,0.3956,365762
2021-12-22,PNCINFRA,264.85,273.95,263.0,272.35,115977,0.20940000000000003,553789
2021-12-23,PNCINFRA,274.9,274.9,268.6,269.25,71650,0.40520000000000006,176846
2021-12-24,PNCINFRA,273.8,273.8,263.2,265.05,64313,0.419,153494
2021-12-27,PNCINFRA,265.9,266.9,259.85,264.4,64534,0.4218,152998
2021-12-28,PNCINFRA,265.75,269.8,264.4,265.8,60359,0.48100000000000004,125481
2021-12-29,PNCINFRA,268.0,269.0,259.0,260.7,158948,0.5824,272933
2021-12-30,PNCINFRA,261.7,262.8,258.1,260.55,248627,0.6327,392956
