Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,POKARNA,499.0,508.0,483.4,485.65,60747,0.6543000000000001,92845
2021-09-02,POKARNA,490.0,503.0,490.0,494.55,77777,0.5229,148752
2021-09-03,POKARNA,498.9,504.0,484.25,486.95,42309,0.6284000000000001,67331
2021-09-06,POKARNA,488.0,498.9,485.1,489.65,33229,0.6631,50108
2021-09-07,POKARNA,494.85,495.0,485.1,488.45,30543,0.679,44980
2021-09-08,POKARNA,488.45,493.85,485.0,486.55,22270,0.645,34527
2021-09-09,POKARNA,485.0,532.05,485.0,508.4,102395,0.4822,212367
2021-09-13,POKARNA,502.25,525.0,502.25,511.0,47820,0.513,93221
2021-09-14,POKARNA,511.6,520.7,500.0,504.1,44145,0.6448,68461
2021-09-15,POKARNA,504.25,512.95,489.05,494.4,71527,0.7229000000000001,98948
2021-09-16,POKARNA,494.4,504.95,491.05,495.55,42932,0.6728000000000001,63811
2021-09-17,POKARNA,497.0,505.5,485.0,490.2,49202,0.6659999999999999,73876
2021-09-20,POKARNA,487.0,493.5,475.0,477.4,32058,0.6411,50006
2021-09-21,POKARNA,475.0,484.9,456.0,469.45,48959,0.6577,74445
2021-09-22,POKARNA,470.6,483.5,461.65,475.9,27637,0.5306000000000001,52088
2021-09-23,POKARNA,479.9,496.0,477.7,480.5,29638,0.5144,57612
2021-09-24,POKARNA,490.6,490.6,470.25,473.9,28264,0.6222,45427
2021-09-27,POKARNA,473.9,486.0,473.9,482.25,27284,0.6748000000000001,40430
2021-09-28,POKARNA,485.35,485.35,466.2,470.35,24362,0.6365,38276
2021-09-29,POKARNA,470.4,512.8,465.8,491.7,103746,0.6079,170651
2021-09-30,POKARNA,491.7,506.0,489.4,493.6,50267,0.40850000000000003,123049
2021-10-01,POKARNA,485.0,502.6,483.6,500.55,60162,0.7664,78497
2021-10-04,POKARNA,504.0,505.05,488.0,490.65,26330,0.63,41791
2021-10-05,POKARNA,490.95,497.0,488.0,488.8,12980,0.5848,22195
2021-10-06,POKARNA,489.0,501.0,482.9,497.7,33399,0.6141,54385
2021-10-07,POKARNA,501.0,504.3,493.35,501.85,33186,0.7162999999999999,46330
2021-10-08,POKARNA,504.0,504.9,485.9,494.85,192449,0.8602,223713
2021-10-11,POKARNA,492.1,514.9,492.05,506.8,165830,0.7528,220281
2021-10-12,POKARNA,506.8,553.0,502.9,548.4,188704,0.5431,347465
2021-10-13,POKARNA,554.5,554.8,512.15,535.05,110372,0.6269,176063
2021-10-14,POKARNA,540.0,543.7,534.45,535.95,58017,0.8615,67347
2021-10-18,POKARNA,541.0,565.0,530.5,556.25,55854,0.5371,104000
2021-10-19,POKARNA,556.25,568.9,545.95,559.65,272595,0.8731,312219
2021-10-20,POKARNA,570.0,576.0,538.05,569.9,144216,0.5787,249209
2021-10-21,POKARNA,576.0,584.9,538.7,544.1,73946,0.7041,105021
2021-10-22,POKARNA,540.5,555.75,529.0,539.4,34807,0.6802,51168
2021-10-25,POKARNA,534.0,545.05,512.0,540.35,44350,0.6141,72214
2021-10-26,POKARNA,531.2,558.0,531.2,553.85,65165,0.8043000000000001,81017
2021-10-27,POKARNA,558.0,595.0,558.0,591.3,70772,0.6364,111211
2021-10-28,POKARNA,590.8,608.0,566.7,573.95,49981,0.6206,80538
2021-10-29,POKARNA,565.05,599.0,552.25,592.55,42041,0.6642,63295
2021-11-01,POKARNA,592.0,600.0,579.0,583.15,32388,0.5725,56577
2021-11-02,POKARNA,596.65,644.9,573.0,626.8,135336,0.5269,256862
2021-11-03,POKARNA,629.0,644.0,612.4,632.15,49603,0.5331,93040
2021-11-04,POKARNA,635.95,645.0,630.0,633.8,9710,0.6442,15074
2021-11-08,POKARNA,636.6,648.5,624.95,640.2,63322,0.7715000000000001,82074
2021-11-09,POKARNA,643.65,668.9,640.1,660.65,38002,0.6926000000000001,54869
2021-11-10,POKARNA,664.0,680.0,656.0,662.8,32800,0.5337,61452
2021-11-11,POKARNA,666.55,677.8,651.8,661.55,16143,0.5876,27474
2021-11-12,POKARNA,668.85,675.55,613.45,627.65,78396,0.6203000000000001,126377
2021-11-15,POKARNA,639.9,646.8,605.0,635.7,28509,0.5662,50355
2021-11-16,POKARNA,640.6,647.0,627.0,638.75,10629,0.5162,20589
2021-11-17,POKARNA,631.0,648.0,620.1,623.45,12834,0.7372,17408
2021-11-18,POKARNA,623.45,643.0,609.2,616.2,26881,0.6043999999999999,44477
2021-11-22,POKARNA,607.1,635.0,583.75,600.2,22733,0.6581999999999999,34538
2021-11-23,POKARNA,612.0,623.6,589.0,610.15,9000,0.5579,16132
2021-11-24,POKARNA,607.0,626.75,607.0,609.55,8444,0.42560000000000003,19841
2021-11-25,POKARNA,611.0,615.6,601.1,607.55,9318,0.5746,16217
2021-11-26,POKARNA,604.95,612.6,563.55,575.7,38624,0.6215999999999999,62141
2021-11-29,POKARNA,565.6,574.3,503.6,540.05,33055,0.56,59026
2021-11-30,POKARNA,540.0,556.7,522.55,546.15,47671,0.4761,100124
2021-12-01,POKARNA,559.0,566.75,536.0,540.9,17096,0.47259999999999996,36171
2021-12-02,POKARNA,545.0,630.0,543.45,599.75,68736,0.3835,179251
2021-12-03,POKARNA,599.0,627.0,590.4,623.5,70109,0.679,103252
2021-12-06,POKARNA,631.0,644.9,600.0,606.35,23885,0.4747,50317
2021-12-07,POKARNA,613.9,620.5,593.6,602.8,12553,0.5655,22198
2021-12-08,POKARNA,608.45,629.9,608.45,625.35,24639,0.6463,38121
2021-12-09,POKARNA,625.35,668.7,608.0,660.15,96765,0.4758,203389
2021-12-10,POKARNA,663.35,680.0,636.05,645.6,42226,0.4706,89719
2021-12-13,POKARNA,650.0,662.0,638.1,646.6,26170,0.535,48915
2021-12-14,POKARNA,645.9,649.9,639.2,644.25,10126,0.6016,16831
2021-12-15,POKARNA,646.9,659.95,637.0,642.05,13385,0.5122,26133
2021-12-16,POKARNA,646.15,659.0,630.0,633.55,22193,0.47850000000000004,46385
2021-12-17,POKARNA,634.9,644.9,615.6,631.3,28914,0.61,47398
2021-12-20,POKARNA,629.8,630.25,607.0,624.25,76371,0.7065,108097
2021-12-21,POKARNA,625.0,720.9,624.35,701.4,144344,0.4227,341504
2021-12-22,POKARNA,712.0,747.0,701.4,727.45,112827,0.2704,417207
2021-12-23,POKARNA,729.7,733.95,692.05,698.8,42315,0.4558,92838
2021-12-24,POKARNA,707.3,735.5,684.0,722.2,51841,0.3811,136034
2021-12-27,POKARNA,722.0,738.45,705.0,720.8,26000,0.402,64682
2021-12-28,POKARNA,722.0,729.95,707.95,723.15,22970,0.44439999999999996,51691
2021-12-29,POKARNA,734.15,741.75,706.0,709.7,29037,0.4236,68548
2021-12-30,POKARNA,711.0,724.6,696.1,699.3,21186,0.5673,37343
2021-12-31,POKARNA,692.0,722.9,692.0,707.65,24466,0.5238,46711
2022-01-03,POKARNA,713.0,730.0,708.0,721.15,28073,0.6033,46530
2022-01-04,POKARNA,735.0,738.0,715.0,730.05,29044,0.6515000000000001,44577
2022-01-05,POKARNA,736.5,736.5,715.6,720.9,21325,0.541,39415
2022-01-06,POKARNA,715.0,724.0,708.95,716.25,11022,0.4988,22098
2022-01-07,POKARNA,724.5,734.0,697.35,706.75,19998,0.48610000000000003,41143
2022-01-10,POKARNA,708.8,720.9,693.2,696.95,27555,0.5415,50891
2022-01-11,POKARNA,701.0,728.9,701.0,719.9,23154,0.44170000000000004,52418
2022-01-12,POKARNA,723.0,768.55,708.8,734.3,101865,0.488,208751
2022-01-13,POKARNA,739.5,765.0,731.45,751.0,79165,0.6076,130286
2022-01-14,POKARNA,750.0,762.0,726.65,739.0,27508,0.4299,63988
2022-01-17,POKARNA,740.9,754.65,715.4,721.2,40862,0.649,62966
2022-01-18,POKARNA,735.0,739.75,710.0,714.25,20869,0.5679,36750
2022-01-19,POKARNA,725.0,725.0,701.0,709.45,20889,0.5752,36317
2022-01-20,POKARNA,710.9,722.7,705.0,707.4,7865,0.44920000000000004,17510
2022-01-21,POKARNA,703.2,738.95,703.0,715.1,27200,0.5149,52828
2022-01-24,POKARNA,716.0,740.05,658.45,685.6,54296,0.7206,91763
2022-01-25,POKARNA,687.0,717.0,658.8,712.95,56584,0.6901,81990
2022-01-27,POKARNA,699.0,745.0,690.55,737.0,63672,0.6142000000000001,103672
2022-01-28,POKARNA,749.0,790.0,735.5,770.05,116664,0.4893,238429
2022-01-31,POKARNA,800.0,840.55,764.0,795.1,148627,0.5556,267496
2022-02-01,POKARNA,799.8,815.65,763.0,769.75,54048,0.5764,93765
2022-02-02,POKARNA,784.0,785.0,758.05,771.1,53494,0.6726000000000001,79531
2022-02-03,POKARNA,777.8,780.0,764.0,768.2,20409,0.5995,34041
2022-02-04,POKARNA,780.0,780.0,730.0,739.0,35495,0.6119,58004
2022-02-07,POKARNA,736.95,736.95,698.0,709.6,108403,0.6518,166302
2022-02-08,POKARNA,728.75,728.75,692.3,703.0,27040,0.6093999999999999,44374
2022-02-09,POKARNA,705.0,719.0,696.2,703.35,19564,0.6315999999999999,30975
2022-02-10,POKARNA,713.0,749.6,703.35,736.75,42619,0.6409,66494
2022-02-11,POKARNA,720.0,739.95,720.0,731.6,20433,0.6395000000000001,31951
2022-02-14,POKARNA,701.3,730.0,685.1,701.1,51334,0.6970000000000001,73653
2022-02-15,POKARNA,718.9,725.85,697.0,712.85,29666,0.6256,47423
2022-02-16,POKARNA,725.0,728.0,705.05,713.5,21394,0.6735,31766
2022-02-17,POKARNA,723.0,725.0,710.0,718.4,30438,0.8203,37106
2022-02-18,POKARNA,710.0,729.6,707.2,720.75,13154,0.6223,21139
2022-02-21,POKARNA,706.25,720.0,700.0,703.25,31222,0.7158,43619
2022-02-22,POKARNA,686.0,708.7,662.0,690.75,45653,0.6141,74342
2022-02-23,POKARNA,728.0,730.0,695.55,708.2,38043,0.6973999999999999,54552
2022-02-24,POKARNA,690.0,695.0,624.8,629.15,67779,0.5583,121398
2022-02-25,POKARNA,627.0,669.9,615.8,623.35,69857,0.5902000000000001,118358
2022-02-28,POKARNA,619.0,634.8,585.45,630.1,36279,0.5217,69544
2022-03-02,POKARNA,626.0,628.0,600.05,609.3,51421,0.5802,88629
2022-03-03,POKARNA,628.0,628.0,596.25,613.8,64282,0.622,103350
2022-03-04,POKARNA,612.0,650.0,594.3,626.8,72355,0.5655,127959
2022-03-07,POKARNA,610.0,622.9,601.0,612.2,30918,0.4974,62157
2022-03-08,POKARNA,614.0,628.0,600.0,607.35,17167,0.579,29648
2022-03-09,POKARNA,607.35,650.0,607.35,631.8,33956,0.614,55301
2022-03-10,POKARNA,650.2,650.2,624.0,629.75,18954,0.44780000000000003,42323
2022-03-11,POKARNA,623.5,642.75,623.5,628.45,12847,0.4954,25930
2022-03-14,POKARNA,630.0,664.0,622.1,646.05,27042,0.5494,49219
2022-03-15,POKARNA,664.0,674.0,634.05,653.6,31797,0.5292,60085
2022-03-16,POKARNA,668.0,672.85,656.0,665.7,16679,0.6365,26204
2022-03-17,POKARNA,666.0,687.0,663.9,671.4,25367,0.5039,50342
2022-03-21,POKARNA,674.0,680.95,661.5,668.05,8449,0.3561,23729
2022-03-22,POKARNA,673.0,711.3,652.7,697.8,37725,0.5796,65087
