Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,PONNIERODE,240.1,255.5,240.1,244.55,7277,0.6555,11101
2021-10-13,PONNIERODE,248.6,250.8,236.6,240.8,13681,0.7937000000000001,17238
2021-10-14,PONNIERODE,252.5,252.5,240.55,242.15,9720,0.6576000000000001,14780
2021-10-18,PONNIERODE,248.0,249.0,243.0,243.15,8810,0.7556,11660
2021-10-19,PONNIERODE,247.95,248.0,239.0,241.05,6736,0.7419,9080
2021-10-20,PONNIERODE,246.7,247.7,235.05,239.95,9541,0.6657,14332
2021-10-21,PONNIERODE,244.0,244.0,240.5,241.55,1961,0.6866,2856
2021-10-22,PONNIERODE,245.9,253.6,238.05,248.9,12757,0.3739,34119
2021-10-25,PONNIERODE,258.0,261.3,247.35,249.95,14234,0.6768000000000001,21031
2021-10-26,PONNIERODE,250.65,253.3,239.2,241.55,13185,0.7514000000000001,17548
2021-10-27,PONNIERODE,243.95,243.95,237.0,239.5,4520,0.6378,7087
2021-10-28,PONNIERODE,239.0,240.95,230.0,230.9,14983,0.7107,21082
2021-10-29,PONNIERODE,232.7,236.95,226.25,229.9,3292,0.5178,6358
2021-11-01,PONNIERODE,236.0,236.0,230.1,232.15,2872,0.6737000000000001,4263
2021-11-02,PONNIERODE,235.0,236.0,230.75,231.9,4726,0.7006,6746
2021-11-03,PONNIERODE,234.65,234.65,226.6,232.3,5705,0.7515000000000001,7591
2021-11-04,PONNIERODE,234.95,240.0,227.1,237.9,3267,0.645,5065
2021-11-08,PONNIERODE,238.15,241.0,232.0,234.2,2647,0.579,4572
2021-11-09,PONNIERODE,235.95,241.95,234.1,237.45,3458,0.7167,4825
2021-11-10,PONNIERODE,238.0,245.0,237.55,240.75,4917,0.5143,9561
2021-11-11,PONNIERODE,246.7,246.7,236.8,240.55,2368,0.5987,3955
2021-11-12,PONNIERODE,237.0,241.9,235.0,235.95,3223,0.7194,4480
2021-11-15,PONNIERODE,233.25,241.0,233.0,238.85,3632,0.5955,6099
2021-11-16,PONNIERODE,239.0,241.0,233.55,235.15,5578,0.8436,6612
2021-11-17,PONNIERODE,239.9,246.9,234.2,246.25,9140,0.478,19122
2021-11-18,PONNIERODE,252.0,253.0,238.0,239.3,4675,0.6513,7178
2021-11-22,PONNIERODE,249.7,249.7,230.1,233.2,5581,0.6554000000000001,8515
2021-11-23,PONNIERODE,232.9,237.5,230.1,233.55,5659,0.596,9495
2021-11-24,PONNIERODE,236.0,241.5,234.05,236.2,4733,0.663,7139
2021-11-25,PONNIERODE,238.75,238.75,233.05,234.85,7344,0.946,7763
2021-11-26,PONNIERODE,235.85,235.95,226.05,227.1,8721,0.8273,10542
2021-11-29,PONNIERODE,225.0,225.15,216.0,217.5,6373,0.7126,8943
2021-11-30,PONNIERODE,227.0,227.0,216.0,217.0,2138,0.5354,3993
2021-12-01,PONNIERODE,223.95,223.95,217.1,219.4,3065,0.745,4114
2021-12-02,PONNIERODE,221.0,221.0,217.05,219.2,2461,0.7717,3189
2021-12-03,PONNIERODE,223.6,223.6,217.3,218.0,5647,0.7586,7444
2021-12-06,PONNIERODE,219.8,220.0,215.0,215.15,3558,0.7312000000000001,4866
2021-12-07,PONNIERODE,219.85,219.95,216.55,217.45,6192,0.6534000000000001,9477
2021-12-08,PONNIERODE,220.0,220.0,216.1,217.9,5580,0.7161,7792
2021-12-09,PONNIERODE,218.0,224.0,215.55,217.8,75495,0.7295999999999999,103478
2021-12-10,PONNIERODE,220.4,221.7,213.95,215.75,30956,0.8442000000000001,36667
2021-12-13,PONNIERODE,219.7,220.9,212.8,213.95,13890,0.7297,19035
2021-12-14,PONNIERODE,213.85,219.0,206.8,211.4,15019,0.6301,23836
2021-12-15,PONNIERODE,211.8,213.0,207.55,210.5,14268,0.6379,22366
2021-12-16,PONNIERODE,209.05,214.0,205.35,209.4,6788,0.6489,10460
2021-12-17,PONNIERODE,208.0,209.65,203.1,203.85,6895,0.7151000000000001,9642
2021-12-20,PONNIERODE,207.7,207.7,196.0,199.2,8330,0.612,13611
2021-12-21,PONNIERODE,203.95,203.95,200.45,201.55,2192,0.6014,3645
2021-12-22,PONNIERODE,202.75,203.85,201.1,202.65,1902,0.5488000000000001,3466
2021-12-23,PONNIERODE,203.0,208.4,201.1,206.0,4513,0.6928,6514
2021-12-24,PONNIERODE,208.6,208.6,203.3,205.55,1463,0.48979999999999996,2987
2021-12-27,PONNIERODE,209.7,209.7,201.65,207.85,3716,0.5341,6958
2021-12-28,PONNIERODE,208.9,224.85,206.5,222.7,10904,0.5382,20259
2021-12-29,PONNIERODE,224.0,226.0,216.3,218.8,20982,0.7914,26513
2021-12-30,PONNIERODE,223.95,223.95,215.1,215.9,1821,0.4228,4307
2021-12-31,PONNIERODE,218.0,219.9,212.0,213.65,6217,0.8798,7066
2022-01-03,PONNIERODE,226.0,226.0,216.9,219.15,14597,0.6920999999999999,21091
2022-01-04,PONNIERODE,213.3,241.05,213.3,241.05,65638,0.4914,133584
2022-01-05,PONNIERODE,265.0,265.15,255.15,265.15,88968,0.9154000000000001,97185
2022-01-06,PONNIERODE,275.0,291.65,270.45,291.65,137971,0.5592,246718
2022-01-07,PONNIERODE,298.8,306.2,277.1,280.4,149253,0.4389,340030
2022-01-10,PONNIERODE,282.9,282.9,270.5,272.7,34759,0.5341,65076
2022-01-11,PONNIERODE,271.0,273.55,260.05,261.9,32712,0.5876,55669
2022-01-12,PONNIERODE,258.4,274.95,258.4,274.1,45806,0.6032000000000001,75942
2022-01-13,PONNIERODE,279.4,283.65,266.85,276.45,34804,0.4746,73335
2022-01-14,PONNIERODE,279.0,283.3,272.5,277.45,21679,0.5602,38698
2022-01-17,PONNIERODE,283.0,283.0,274.0,279.4,22246,0.608,36588
2022-01-18,PONNIERODE,283.0,284.35,270.0,272.8,22918,0.6598,34734
2022-01-19,PONNIERODE,273.0,278.75,267.0,272.05,22109,0.5947,37175
2022-01-20,PONNIERODE,272.05,285.65,272.05,284.75,40445,0.6862,58940
2022-01-21,PONNIERODE,296.65,298.7,270.55,272.45,99186,0.588,168682
2022-01-24,PONNIERODE,272.0,272.0,258.85,258.85,26051,0.5603,61288
2022-01-25,PONNIERODE,264.9,264.9,250.0,254.4,31340,0.5423,57795
2022-01-27,PONNIERODE,254.3,263.0,246.65,258.15,13710,0.4704,29147
2022-01-28,PONNIERODE,260.0,267.0,257.15,258.7,13482,0.5347,25214
2022-01-31,PONNIERODE,258.7,268.45,257.1,257.9,10467,0.7476,14001
2022-02-01,PONNIERODE,262.9,262.9,247.5,248.85,19401,0.6652,29167
2022-02-02,PONNIERODE,254.25,260.65,254.25,258.25,14724,0.5956,24723
2022-02-03,PONNIERODE,258.25,271.15,257.45,269.65,29137,0.48450000000000004,60135
2022-02-04,PONNIERODE,269.65,274.0,261.25,263.5,13679,0.5748,23799
2022-02-07,PONNIERODE,263.5,276.6,261.0,264.2,25659,0.41250000000000003,62198
2022-02-08,PONNIERODE,264.8,268.0,252.5,260.45,7932,0.519,15283
2022-02-09,PONNIERODE,260.05,264.9,252.7,255.1,20391,0.5839,34924
2022-02-10,PONNIERODE,258.0,260.0,249.5,250.85,20852,0.7926000000000001,26307
2022-02-11,PONNIERODE,248.05,250.7,245.0,246.0,10975,0.6229,17618
2022-02-14,PONNIERODE,241.1,245.6,231.1,231.8,11397,0.6835,16674
2022-02-15,PONNIERODE,231.1,240.0,226.95,234.3,9165,0.5781000000000001,15854
2022-02-16,PONNIERODE,237.9,249.55,235.0,245.3,12021,0.6096,19720
2022-02-17,PONNIERODE,250.0,251.0,238.0,240.7,6692,0.6926000000000001,9662
2022-02-18,PONNIERODE,238.0,241.75,230.0,232.15,4190,0.6164000000000001,6797
2022-02-21,PONNIERODE,232.0,238.4,223.35,225.6,8337,0.6052000000000001,13775
2022-02-22,PONNIERODE,219.0,227.95,210.85,223.25,6812,0.6442,10575
2022-02-23,PONNIERODE,235.4,235.4,222.95,225.1,7151,0.4476,15977
2022-02-24,PONNIERODE,218.25,218.95,207.0,209.1,14874,0.627,23721
2022-02-25,PONNIERODE,206.0,223.75,206.0,219.85,10456,0.6555,15952
2022-02-28,PONNIERODE,216.25,229.4,212.0,226.95,6855,0.5084000000000001,13484
2022-03-02,PONNIERODE,219.0,229.5,219.0,221.8,7155,0.5475,13068
2022-03-03,PONNIERODE,228.8,233.95,224.0,228.4,10087,0.5111,19736
2022-03-04,PONNIERODE,224.05,235.0,222.2,223.75,5128,0.6022,8515
2022-03-07,PONNIERODE,226.7,226.7,217.15,221.3,6496,0.6074,10695
2022-03-08,PONNIERODE,217.5,233.9,217.5,228.3,8000,0.5647,14168
2022-03-09,PONNIERODE,235.0,247.45,223.7,233.7,27581,0.4571,60339
2022-03-10,PONNIERODE,240.0,243.0,237.4,240.25,11696,0.6733,17370
2022-03-11,PONNIERODE,245.0,264.25,237.0,264.25,38708,0.5297,73078
2022-03-14,PONNIERODE,272.0,283.5,255.0,269.25,69823,0.358,195036
2022-03-15,PONNIERODE,268.9,273.7,250.15,251.7,32986,0.5025000000000001,65647
2022-03-16,PONNIERODE,255.0,259.65,248.0,250.5,24651,0.6156,40046
2022-03-17,PONNIERODE,254.7,256.85,245.0,246.15,12320,0.5669,21732
2022-03-21,PONNIERODE,252.0,258.0,248.25,251.15,17219,0.5102,33752
2022-03-22,PONNIERODE,252.35,275.0,249.25,267.6,33094,0.45740000000000003,72350
2022-03-23,PONNIERODE,268.0,273.7,255.1,258.25,34455,0.5542,62175
2022-03-24,PONNIERODE,260.8,264.5,250.0,252.35,23108,0.5660000000000001,40829
2022-03-25,PONNIERODE,252.55,255.7,246.45,249.75,11290,0.6288,17955
2022-03-28,PONNIERODE,250.1,253.35,235.15,239.55,21712,0.6032000000000001,35994
2022-03-29,PONNIERODE,242.95,245.0,235.2,238.55,8323,0.6339,13129
2022-03-30,PONNIERODE,242.5,246.0,235.35,237.65,12985,0.5660000000000001,22941
2022-03-31,PONNIERODE,237.65,240.95,227.9,230.15,17818,0.7120000000000001,25026
2022-04-01,PONNIERODE,235.0,243.4,234.9,238.9,15307,0.8117000000000001,18857
2022-04-04,PONNIERODE,243.4,248.75,240.1,246.05,23282,0.6866,33907
2022-04-05,PONNIERODE,246.35,267.5,243.65,257.8,41619,0.5285,78745
2022-04-06,PONNIERODE,259.4,274.8,257.45,264.6,50949,0.4288,118806
2022-04-07,PONNIERODE,265.8,282.55,265.0,272.2,59345,0.47200000000000003,125727
2022-04-08,PONNIERODE,274.9,275.0,268.0,273.35,15388,0.5612,27421
2022-04-11,PONNIERODE,273.5,285.0,267.95,277.25,26698,0.5647,47276
2022-04-12,PONNIERODE,277.25,278.95,266.05,269.9,19566,0.514,38067
2022-04-13,PONNIERODE,275.0,278.0,268.85,272.15,25137,0.5919,42466
2022-04-18,PONNIERODE,272.15,288.0,268.1,280.85,55063,0.543,101398
2022-04-19,PONNIERODE,284.7,293.0,275.1,283.25,56933,0.6309,90241
2022-04-20,PONNIERODE,282.95,284.75,269.0,277.55,24237,0.5885,41182
2022-04-21,PONNIERODE,281.5,297.9,280.7,290.45,61255,0.5055,121167
2022-04-22,PONNIERODE,289.9,319.7,288.15,302.0,92000,0.32130000000000003,286302
2022-04-25,PONNIERODE,300.9,304.85,287.1,289.3,38132,0.4304,88593
2022-04-26,PONNIERODE,291.0,297.0,281.0,284.25,29622,0.4765,62171
2022-04-27,PONNIERODE,282.85,282.85,267.1,271.6,23782,0.4911,48422
2022-04-28,PONNIERODE,274.2,276.95,267.0,268.95,13810,0.429,32188
2022-04-29,PONNIERODE,271.0,276.0,260.0,263.25,16789,0.4509,37234
2022-05-02,PONNIERODE,261.7,273.0,260.1,270.8,16322,0.4886,33409
2022-05-04,PONNIERODE,265.6,271.2,252.0,255.0,25444,0.5529000000000001,46020
2022-05-05,PONNIERODE,259.6,284.6,258.35,275.3,39184,0.16899999999999998,231852
2022-05-06,PONNIERODE,270.0,275.2,255.2,268.2,35764,0.3065,116670
2022-05-09,PONNIERODE,267.0,304.4,266.05,272.35,79620,0.3204,248495
2022-05-10,PONNIERODE,275.35,279.4,256.05,260.95,15302,0.37450000000000006,40864
2022-05-11,PONNIERODE,256.05,261.8,245.0,249.4,26181,0.5372,48736
2022-05-12,PONNIERODE,245.0,250.15,240.0,241.15,22336,0.6032000000000001,37032
2022-05-13,PONNIERODE,248.7,258.65,246.55,250.9,11717,0.4161,28157
2022-05-16,PONNIERODE,255.95,260.0,252.15,255.75,5777,0.4473,12914
2022-05-17,PONNIERODE,260.8,296.0,256.1,283.85,81855,0.19140000000000001,427773
2022-05-18,PONNIERODE,283.55,295.45,280.05,287.3,46369,0.3815,121552
2022-05-19,PONNIERODE,279.35,291.0,270.05,272.25,25850,0.4303,60072
2022-05-20,PONNIERODE,277.2,283.95,275.25,278.1,9680,0.2987,32408
2022-05-23,PONNIERODE,284.0,284.0,265.0,268.4,8724,0.5913,14754
2022-05-24,PONNIERODE,268.35,268.35,245.0,250.55,24669,0.48310000000000003,51064
2022-05-25,PONNIERODE,244.0,254.65,230.0,234.6,21466,0.49960000000000004,42969
2022-05-26,PONNIERODE,233.0,240.35,226.1,237.0,18614,0.4112,45263
2022-05-27,PONNIERODE,240.55,248.9,237.8,242.3,12358,0.3975,31093
2022-05-30,PONNIERODE,246.2,248.1,242.55,243.45,7956,0.5512,14433
2022-05-31,PONNIERODE,245.0,254.8,240.85,243.2,16347,0.4794,34102
2022-06-01,PONNIERODE,245.0,253.95,240.6,250.75,11839,0.4857,24376
2022-06-02,PONNIERODE,253.0,255.75,246.5,252.9,11716,0.4571,25632
2022-06-03,PONNIERODE,256.0,256.65,242.1,244.65,10863,0.5963,18216
2022-06-06,PONNIERODE,246.7,250.0,242.3,246.9,10445,0.4165,25078
2022-06-07,PONNIERODE,250.0,252.9,247.0,251.6,9564,0.5562,17196
2022-06-08,PONNIERODE,254.0,255.0,241.05,243.5,13817,0.6237,22154
2022-06-09,PONNIERODE,243.05,249.4,238.5,248.65,6124,0.5123,11953
2022-06-10,PONNIERODE,246.0,250.0,244.05,245.45,4641,0.5515,8415
2022-06-13,PONNIERODE,245.0,245.0,232.0,235.45,8250,0.6112,13498
2022-06-14,PONNIERODE,237.4,253.0,236.95,250.65,18718,0.1409,132888
2022-06-15,PONNIERODE,250.0,252.55,243.9,245.05,9243,0.43770000000000003,21117
2022-06-16,PONNIERODE,251.0,251.5,231.0,232.8,8582,0.48810000000000003,17584
2022-06-17,PONNIERODE,239.4,239.4,222.5,225.1,9031,0.5284000000000001,17092
2022-06-20,PONNIERODE,226.3,265.6,209.5,231.9,13253,0.5336,24837
2022-06-21,PONNIERODE,240.95,244.3,231.7,240.7,7125,0.4961,14361
2022-06-22,PONNIERODE,242.4,242.5,228.15,230.45,5349,0.4107,13025
2022-06-23,PONNIERODE,238.0,238.0,230.45,231.65,2995,0.5892000000000001,7205
2022-06-24,PONNIERODE,230.2,245.0,230.2,241.7,8214,0.4916,16709
2022-06-27,PONNIERODE,245.0,245.0,236.1,238.6,7731,0.5281,14640
2022-06-28,PONNIERODE,238.6,254.95,236.85,253.4,22272,0.289,77071
2022-06-29,PONNIERODE,251.95,255.0,244.3,245.55,11139,0.48960000000000004,22749
2022-06-30,PONNIERODE,248.65,249.45,242.0,245.9,4865,0.5392,9022
2022-07-01,PONNIERODE,244.9,248.85,241.0,243.0,7332,0.6426000000000001,11410
2022-07-04,PONNIERODE,245.4,248.0,241.65,244.85,8081,0.6018,13429
2022-07-05,PONNIERODE,246.8,253.5,246.0,248.85,18219,0.6442,28280
2022-07-06,PONNIERODE,248.3,248.3,242.0,243.3,3177,0.40659999999999996,7814
2022-07-07,PONNIERODE,246.85,248.75,242.1,243.75,4792,0.5999,7988
2022-07-08,PONNIERODE,244.05,261.95,244.05,251.75,16637,0.44920000000000004,37034
2022-07-11,PONNIERODE,256.4,257.6,250.35,255.0,8379,0.4447,18844
2022-07-12,PONNIERODE,252.0,262.0,250.55,251.8,10736,0.39,27527
2022-07-13,PONNIERODE,258.0,258.0,245.0,247.45,2837,0.41340000000000005,6862
2022-07-14,PONNIERODE,250.65,250.9,242.0,242.9,4435,0.6315999999999999,7022
2022-07-15,PONNIERODE,245.3,247.7,239.25,243.7,8076,0.5471,14761
2022-07-18,PONNIERODE,246.4,251.95,243.9,249.2,4442,0.4905,9056
2022-07-19,PONNIERODE,252.0,254.75,250.1,252.15,6241,0.5625,11096
2022-07-20,PONNIERODE,247.9,251.5,240.0,245.25,23140,0.47759999999999997,48452
2022-07-21,PONNIERODE,248.0,255.5,246.55,249.35,20978,0.4947,42405
2022-07-22,PONNIERODE,253.0,253.85,242.65,244.25,11940,0.5740999999999999,20798
2022-07-25,PONNIERODE,246.2,246.2,236.45,237.9,19546,0.603,32417
2022-07-26,PONNIERODE,238.5,241.0,235.0,235.75,7588,0.7187,10558
2022-07-27,PONNIERODE,232.15,239.5,232.15,237.45,1845,0.658,2804
2022-07-28,PONNIERODE,239.5,243.8,235.9,236.7,7618,0.47159999999999996,16155
2022-07-29,PONNIERODE,240.2,242.0,237.3,239.4,4929,0.5271,9352
2022-08-01,PONNIERODE,241.9,242.3,237.65,239.35,5389,0.6936,7770
2022-08-02,PONNIERODE,239.35,248.9,238.15,245.1,29996,0.7553000000000001,39712
2022-08-03,PONNIERODE,245.1,252.4,243.9,246.65,12370,0.66,18742
2022-08-04,PONNIERODE,246.65,246.95,237.5,238.15,10020,0.7001000000000001,14312
2022-08-05,PONNIERODE,238.15,259.8,238.15,256.15,61579,0.321,191819
2022-08-08,PONNIERODE,253.9,259.75,248.0,252.7,18217,0.5826,31269
2022-08-10,PONNIERODE,252.7,252.7,243.0,245.65,12424,0.7388,16817
2022-08-11,PONNIERODE,249.2,252.0,247.0,247.4,6537,0.6020000000000001,10858
2022-08-12,PONNIERODE,251.0,252.0,246.05,249.15,7290,0.6043000000000001,12063
2022-08-16,PONNIERODE,250.0,262.6,249.0,257.6,23019,0.6137,37510
2022-08-17,PONNIERODE,258.2,258.2,250.55,252.9,8346,0.5794,14405
2022-08-18,PONNIERODE,250.0,256.0,248.65,250.9,4603,0.5626,8181
2022-08-19,PONNIERODE,253.0,255.5,248.0,249.2,3702,0.5046,7336
2022-08-22,PONNIERODE,252.75,252.75,242.4,242.95,6712,0.6685,10040
2022-08-23,PONNIERODE,246.55,249.7,241.05,244.8,10381,0.6419,16173
2022-08-24,PONNIERODE,243.1,251.9,243.1,246.2,3317,0.4642,7145
2022-08-25,PONNIERODE,249.5,255.8,247.1,250.05,9938,0.6936,14329
2022-08-26,PONNIERODE,253.5,253.5,248.45,250.45,3131,0.6729,4653
2022-08-29,PONNIERODE,243.2,252.95,241.0,252.1,8418,0.7966,10567
2022-08-30,PONNIERODE,254.0,259.95,251.15,254.2,11487,0.6785,16930
2022-09-01,PONNIERODE,257.7,259.95,253.65,256.15,4350,0.5427000000000001,8015
2022-09-02,PONNIERODE,257.75,259.0,251.95,253.7,3075,0.46880000000000005,6559
2022-09-05,PONNIERODE,257.3,259.0,252.25,253.65,4125,0.5033,8196
2022-09-06,PONNIERODE,257.0,276.4,254.0,265.05,33746,0.3931,85844
2022-09-07,PONNIERODE,268.8,271.55,263.2,266.05,7068,0.6004,11773
2022-09-08,PONNIERODE,267.75,270.35,259.25,262.05,7442,0.5346000000000001,13921
2022-09-09,PONNIERODE,264.75,265.0,253.0,255.1,10468,0.8007,13073
2022-09-12,PONNIERODE,263.75,263.75,251.35,254.95,5322,0.35979999999999995,14791
2022-09-13,PONNIERODE,254.0,258.0,247.55,252.3,6907,0.5147999999999999,13418
2022-09-14,PONNIERODE,251.4,258.3,249.1,251.75,7110,0.6224000000000001,11423
2022-09-15,PONNIERODE,253.8,258.8,251.0,256.1,7613,0.466,16338
2022-09-16,PONNIERODE,259.85,259.85,246.1,250.5,8617,0.5914,14571
2022-09-19,PONNIERODE,250.7,256.0,248.0,248.55,7633,0.6005,12712
2022-09-20,PONNIERODE,255.0,261.0,250.15,259.55,13136,0.6464,20321
2022-09-21,PONNIERODE,263.7,274.0,256.2,266.7,24852,0.32380000000000003,76758
2022-09-22,PONNIERODE,263.15,268.75,257.7,262.0,12928,0.5763,22434
2022-09-23,PONNIERODE,262.1,265.0,254.2,255.9,13294,0.5883,22597
2022-09-26,PONNIERODE,255.85,258.65,240.05,241.1,12110,0.5685,21300
2022-09-27,PONNIERODE,243.0,248.2,240.0,242.9,5305,0.6235,9109
2022-09-28,PONNIERODE,240.05,242.9,238.55,239.8,4641,0.5549000000000001,8364
2022-09-29,PONNIERODE,251.95,251.95,240.3,241.0,2120,0.66,3212
2022-09-30,PONNIERODE,240.0,249.9,240.0,246.8,3839,0.3915,9807
2022-10-03,PONNIERODE,245.0,246.95,240.25,241.25,3312,0.6844,4839
2022-10-04,PONNIERODE,244.85,246.45,240.05,242.45,2233,0.6607,3380
2022-10-06,PONNIERODE,245.6,254.0,243.35,247.4,6794,0.6276,10825
2022-10-07,PONNIERODE,247.4,258.5,245.25,256.75,12592,0.4186,30084
2022-10-10,PONNIERODE,256.75,258.9,250.05,252.2,4339,0.46590000000000004,9313
2022-10-11,PONNIERODE,255.95,260.0,251.2,253.05,3767,0.396,9513
2022-10-12,PONNIERODE,252.05,258.0,249.25,252.85,2181,0.6357,3431
2022-10-13,PONNIERODE,251.25,255.95,248.35,251.0,2122,0.6249,3396
2022-10-14,PONNIERODE,254.75,259.9,249.0,249.85,4726,0.6553,7212
2022-10-17,PONNIERODE,253.0,253.55,248.5,249.45,3025,0.7131000000000001,4242
2022-10-18,PONNIERODE,250.2,254.95,247.15,248.05,2728,0.5302,5145
2022-10-19,PONNIERODE,252.95,256.0,245.0,247.35,3215,0.5512,5833
2022-10-20,PONNIERODE,246.5,253.9,245.35,248.8,2285,0.44630000000000003,5120
2022-10-21,PONNIERODE,253.75,253.75,244.0,246.7,3028,0.8465,4680
