Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,POWERGRID,177.8,177.8,174.65,175.65,6577365,0.7421,8863194
2021-09-02,POWERGRID,175.4,176.1,174.2,175.75,7642927,0.7523000000000001,10158768
2021-09-03,POWERGRID,176.0,176.8,174.4,175.55,6383450,0.6927,9214857
2021-09-06,POWERGRID,175.7,176.35,173.0,174.1,7450126,0.7121,10462864
2021-09-07,POWERGRID,174.1,174.15,172.45,173.0,6053880,0.6465000000000001,9363774
2021-09-08,POWERGRID,171.25,173.6,170.2,172.85,12597542,0.6620999999999999,19027722
2021-09-09,POWERGRID,172.4,174.15,171.9,173.5,2136676,0.561,3808763
2021-09-13,POWERGRID,174.25,174.3,172.7,173.9,4222643,0.7484000000000001,5641863
2021-09-14,POWERGRID,173.9,175.1,173.5,174.1,4001797,0.6325999999999999,6325821
2021-09-15,POWERGRID,174.0,179.0,173.75,177.9,8580109,0.5702,15048179
2021-09-16,POWERGRID,178.95,181.65,178.3,179.45,7143789,0.5874,12161163
2021-09-17,POWERGRID,179.55,180.4,176.75,178.8,11692337,0.7347,15914420
2021-09-20,POWERGRID,177.2,179.2,175.1,177.0,2671127,0.4547,5874802
2021-09-21,POWERGRID,176.05,178.4,175.45,175.9,4118170,0.5791,7110756
2021-09-22,POWERGRID,175.8,177.45,175.8,176.75,4856489,0.7065,6874226
2021-09-23,POWERGRID,177.0,178.75,177.0,178.25,5156736,0.6678000000000001,7721935
2021-09-24,POWERGRID,178.3,179.5,175.8,176.15,3564744,0.6701,5320059
2021-09-27,POWERGRID,176.5,177.15,175.1,176.0,2603800,0.6668999999999999,3904237
2021-09-28,POWERGRID,176.85,188.9,176.1,183.95,10123835,0.3472,29155220
2021-09-29,POWERGRID,183.5,196.3,182.45,195.05,15728942,0.39060000000000006,40264997
2021-09-30,POWERGRID,194.95,198.0,188.65,189.9,7975394,0.45020000000000004,17713650
2021-10-01,POWERGRID,190.8,193.5,189.65,191.85,6326056,0.4963,12746178
