Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,PREMEXPLN,243.5,260.0,243.5,253.0,12500,0.7963,15698
2021-10-13,PREMEXPLN,247.65,265.0,247.65,261.85,26801,0.778,34449
2021-10-14,PREMEXPLN,263.95,266.0,260.1,263.2,11483,0.7147,16066
2021-10-18,PREMEXPLN,266.95,266.95,255.65,261.6,10609,0.713,14880
2021-10-19,PREMEXPLN,261.7,262.6,248.55,254.95,17753,0.7288,24359
2021-10-20,PREMEXPLN,262.9,262.9,242.25,243.3,5002,0.6386999999999999,7832
2021-10-21,PREMEXPLN,254.9,254.9,241.0,246.1,5915,0.8835,6695
2021-10-22,PREMEXPLN,246.8,253.3,240.25,241.65,2007,0.2662,7539
2021-10-25,PREMEXPLN,243.0,246.0,235.0,236.0,10583,0.8109000000000001,13051
2021-10-26,PREMEXPLN,230.65,239.0,228.9,235.75,19341,0.6988,27679
2021-10-27,PREMEXPLN,238.95,244.0,238.0,242.95,2745,0.7029000000000001,3905
2021-10-28,PREMEXPLN,243.7,254.0,232.0,232.15,48258,0.8166,59093
2021-10-29,PREMEXPLN,233.3,237.5,224.45,229.15,8227,0.6947,11843
2021-11-01,PREMEXPLN,222.05,229.65,218.55,223.35,17874,0.8165000000000001,21891
2021-11-02,PREMEXPLN,232.3,234.5,224.2,234.5,16762,0.8401000000000001,19952
2021-11-03,PREMEXPLN,242.0,242.0,235.0,237.0,15413,0.9420999999999999,16361
2021-11-04,PREMEXPLN,237.0,248.0,228.2,244.4,21920,0.8140999999999999,26924
2021-11-08,PREMEXPLN,249.0,253.95,241.15,242.8,12833,0.7478,17161
2021-11-09,PREMEXPLN,242.85,254.65,235.95,238.7,5636,0.554,10173
2021-11-10,PREMEXPLN,239.5,244.1,231.7,236.15,33646,0.7081999999999999,47510
2021-11-11,PREMEXPLN,238.0,247.95,232.0,245.0,20357,0.8235,24719
2021-11-12,PREMEXPLN,255.4,255.4,235.95,238.0,8171,0.6339,12890
2021-11-15,PREMEXPLN,243.0,248.5,231.6,232.65,19408,0.8065000000000001,24063
2021-11-16,PREMEXPLN,237.3,244.25,233.8,242.15,14832,0.49210000000000004,30141
2021-11-17,PREMEXPLN,243.0,248.2,236.4,242.5,20775,0.8052,25802
2021-11-18,PREMEXPLN,245.0,250.0,234.0,238.3,27350,0.7451000000000001,36705
2021-11-22,PREMEXPLN,235.0,242.4,233.0,233.05,5753,0.7586,7584
2021-11-23,PREMEXPLN,232.9,237.55,229.95,235.3,8576,0.7590000000000001,11299
2021-11-24,PREMEXPLN,243.75,247.05,234.1,246.95,39194,0.4929,79520
2021-11-25,PREMEXPLN,253.0,259.25,247.6,259.25,18582,0.9014,20614
2021-11-26,PREMEXPLN,269.2,272.2,260.0,268.1,56294,0.8199,68663
2021-11-29,PREMEXPLN,274.0,274.0,254.7,254.7,10333,0.7331000000000001,14094
2021-11-30,PREMEXPLN,244.0,260.0,242.0,242.05,11695,0.654,17883
2021-12-01,PREMEXPLN,245.0,249.5,235.0,235.45,4829,0.6931999999999999,6966
2021-12-02,PREMEXPLN,239.0,247.0,235.6,244.15,7757,0.5879,13195
2021-12-03,PREMEXPLN,244.2,251.45,239.0,241.75,3746,0.6677,5610
2021-12-06,PREMEXPLN,241.85,247.95,236.1,239.45,4049,0.7386,5482
2021-12-07,PREMEXPLN,239.0,246.9,237.0,239.45,4758,0.6275000000000001,7582
2021-12-08,PREMEXPLN,245.0,245.65,237.1,239.8,11913,0.7784000000000001,15304
2021-12-09,PREMEXPLN,244.0,244.0,238.0,239.0,4147,0.8797,4714
2021-12-10,PREMEXPLN,242.5,252.0,238.0,246.7,12861,0.7615999999999999,16887
2021-12-13,PREMEXPLN,246.7,257.6,243.3,251.7,8167,0.7388,11055
2021-12-14,PREMEXPLN,258.0,260.0,246.1,247.2,13349,0.5575,23946
2021-12-15,PREMEXPLN,249.8,261.1,245.15,252.0,14827,0.6497,22820
2021-12-16,PREMEXPLN,259.6,259.6,249.0,251.45,21616,0.875,24703
2021-12-17,PREMEXPLN,249.5,252.85,238.3,240.7,3181,0.5403,5888
2021-12-20,PREMEXPLN,237.65,238.85,232.35,235.05,9659,0.7483,12908
2021-12-21,PREMEXPLN,237.0,253.0,235.65,237.3,9988,0.4191,23833
2021-12-22,PREMEXPLN,246.6,246.6,234.05,235.75,18998,0.7954000000000001,23884
2021-12-23,PREMEXPLN,235.75,243.0,235.75,239.0,14221,0.8382,16966
2021-12-24,PREMEXPLN,245.95,245.95,238.0,238.8,1965,0.8133,2416
2021-12-27,PREMEXPLN,240.0,240.05,235.3,239.2,8221,0.7371,11153
2021-12-28,PREMEXPLN,242.7,242.7,236.4,237.25,9455,0.7208,13118
2021-12-29,PREMEXPLN,238.55,240.5,237.2,237.75,1286,0.6323,2034
2021-12-30,PREMEXPLN,240.0,240.0,236.0,237.3,3634,0.7565000000000001,4804
2021-12-31,PREMEXPLN,239.95,239.95,236.55,238.0,4770,0.774,6163
2022-01-03,PREMEXPLN,236.05,243.45,236.05,239.4,4393,0.5966,7364
2022-01-04,PREMEXPLN,241.85,241.85,235.0,235.45,10330,0.7651000000000001,13502
2022-01-05,PREMEXPLN,238.0,239.0,235.05,236.45,3046,0.6176,4932
2022-01-06,PREMEXPLN,236.45,238.5,236.45,237.4,4958,0.9081,5460
2022-01-07,PREMEXPLN,237.0,239.75,235.3,235.9,11521,0.8356,13788
2022-01-10,PREMEXPLN,237.9,238.75,235.85,236.25,10721,0.7818,13714
2022-01-11,PREMEXPLN,236.95,237.0,235.0,235.95,6763,0.807,8380
2022-01-12,PREMEXPLN,235.65,239.5,235.05,236.2,18141,0.8196,22133
2022-01-13,PREMEXPLN,239.0,239.0,235.15,238.3,27081,0.9009,30061
2022-01-14,PREMEXPLN,238.0,262.1,238.0,247.1,59109,0.40770000000000006,144968
2022-01-17,PREMEXPLN,247.1,252.0,242.1,246.45,14362,0.6659,21567
2022-01-18,PREMEXPLN,246.45,248.95,237.5,241.45,15858,0.6689,23706
2022-01-19,PREMEXPLN,238.6,244.75,237.1,240.6,4701,0.6527,7202
2022-01-20,PREMEXPLN,240.6,264.65,236.7,264.05,49658,0.6507,76313
2022-01-21,PREMEXPLN,269.9,290.45,268.0,281.5,167578,0.5712,293362
2022-01-24,PREMEXPLN,286.0,305.0,272.2,280.9,53203,0.49820000000000003,259906
2022-01-25,PREMEXPLN,290.0,304.9,275.1,300.4,59291,0.46909999999999996,126398
2022-01-27,PREMEXPLN,300.5,315.4,300.5,315.4,72885,0.5654,128902
2022-01-28,PREMEXPLN,322.0,325.0,299.65,299.65,29600,0.7494,39496
2022-01-31,PREMEXPLN,299.0,299.0,284.7,284.7,20866,0.7417,28134
2022-02-01,PREMEXPLN,276.5,297.0,274.05,283.55,31767,0.5414,58678
2022-02-02,PREMEXPLN,284.1,292.0,280.1,286.8,11201,0.5619,19933
2022-02-03,PREMEXPLN,289.8,289.8,274.25,275.85,11054,0.6209,17803
2022-02-04,PREMEXPLN,270.5,284.9,266.0,269.95,7310,0.6708,10898
2022-02-07,PREMEXPLN,275.0,276.75,268.0,268.65,4580,0.7241,6325
2022-02-08,PREMEXPLN,279.3,279.3,255.25,255.65,11924,0.6646,17942
2022-02-09,PREMEXPLN,255.55,268.3,255.55,267.45,6409,0.5568,11511
2022-02-10,PREMEXPLN,270.0,273.0,254.1,254.1,18217,0.72,25301
2022-02-11,PREMEXPLN,247.05,266.1,241.4,254.25,29608,0.5579999999999999,53058
2022-02-14,PREMEXPLN,259.85,259.85,241.55,242.65,26392,0.7876000000000001,33508
2022-02-15,PREMEXPLN,238.0,241.85,230.55,232.0,79038,0.7683,102872
2022-02-16,PREMEXPLN,237.0,243.6,232.55,243.6,7206,0.758,9507
2022-02-17,PREMEXPLN,255.75,255.75,255.75,255.75,3474,1.0,3474
2022-02-18,PREMEXPLN,264.0,268.5,259.15,268.5,31782,0.8279000000000001,38390
2022-02-21,PREMEXPLN,281.9,281.9,281.9,281.9,32360,0.9676000000000001,33444
2022-02-22,PREMEXPLN,278.0,286.4,268.0,270.9,32680,0.7412000000000001,44091
2022-02-23,PREMEXPLN,272.0,284.4,272.0,284.4,17436,0.8236,21170
2022-02-24,PREMEXPLN,270.2,284.3,270.2,275.3,51694,0.8529000000000001,60611
2022-02-25,PREMEXPLN,288.0,289.05,277.5,289.05,24870,0.9492,26202
2022-02-28,PREMEXPLN,278.5,303.5,277.3,303.5,27723,0.7222,38387
2022-03-02,PREMEXPLN,295.05,318.65,295.05,318.65,11395,0.9989,11408
2022-03-03,PREMEXPLN,333.95,334.55,318.8,330.65,50231,0.6881,72996
2022-03-04,PREMEXPLN,325.0,342.95,319.0,336.15,26665,0.54,49382
2022-03-07,PREMEXPLN,328.6,347.9,328.6,338.55,31843,0.6917,46033
2022-03-08,PREMEXPLN,338.0,344.2,331.0,335.35,33937,0.6693000000000001,50706
2022-03-09,PREMEXPLN,336.0,346.9,335.35,336.3,6923,0.6308,10975
2022-06-21,PREMEXPLN,299.0,311.3,292.0,300.5,3327,0.7870999999999999,4227
2022-06-22,PREMEXPLN,299.95,306.9,291.5,298.8,1836,0.7798999999999999,2354
2022-06-23,PREMEXPLN,300.05,311.9,293.5,306.35,665,0.8914,972
2022-06-24,PREMEXPLN,298.75,316.95,298.6,307.45,2411,0.8456999999999999,2851
2022-06-27,PREMEXPLN,310.15,314.8,304.0,309.95,993,0.7404999999999999,1341
2022-06-28,PREMEXPLN,310.2,315.9,303.25,303.85,4653,0.7929,5868
2022-06-29,PREMEXPLN,304.15,309.55,301.2,303.6,1194,0.6604000000000001,1808
2022-06-30,PREMEXPLN,300.05,316.0,297.2,305.6,4149,0.5194,7988
2022-07-01,PREMEXPLN,300.0,311.55,295.7,300.05,1005,0.8002,1256
2022-07-04,PREMEXPLN,315.0,315.0,295.55,298.0,16530,0.8979,18410
2022-07-05,PREMEXPLN,308.75,309.0,296.0,298.95,5008,0.7869,6364
2022-07-06,PREMEXPLN,296.0,305.4,295.3,298.6,541,0.7391,732
