Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,PREMIER,3.8,4.0,3.8,3.9,46014,0.9768000000000001,47106
2021-10-13,PREMIER,4.0,4.05,3.8,4.0,29526,0.8009000000000001,36864
2021-10-14,PREMIER,4.2,4.2,3.85,3.9,14155,0.7878000000000001,17967
2021-10-18,PREMIER,3.9,4.05,3.75,4.05,18103,0.9255,19560
2021-10-19,PREMIER,4.25,4.25,3.9,4.1,13109,0.9725,13480
2021-10-20,PREMIER,4.0,4.25,3.95,4.1,33649,0.8142,41328
2021-10-21,PREMIER,4.2,4.2,3.9,4.15,4602,0.9259999999999999,4970
2021-10-22,PREMIER,4.3,4.3,3.95,3.95,9175,0.7952,11538
2021-10-25,PREMIER,4.1,4.1,3.8,3.95,8349,0.7621,10955
2021-10-26,PREMIER,3.95,4.0,3.8,3.85,13000,0.8553000000000001,15199
2021-10-27,PREMIER,3.95,4.0,3.95,4.0,26623,1.0,26623
2021-10-28,PREMIER,4.2,4.2,4.2,4.2,73238,1.0,73238
2021-10-29,PREMIER,4.4,4.4,4.4,4.4,10067,0.9902,10167
2021-11-01,PREMIER,4.6,4.6,4.6,4.6,7502,1.0,7502
2021-11-02,PREMIER,4.8,4.8,4.8,4.8,3405,1.0,3405
2021-11-03,PREMIER,5.0,5.0,5.0,5.0,5629,1.0,5629
2021-11-04,PREMIER,5.25,5.25,5.25,5.25,1121,1.0,1121
2021-11-08,PREMIER,5.5,5.5,5.5,5.5,18515,1.0,18515
2021-11-09,PREMIER,5.75,5.75,5.3,5.75,78254,0.9318000000000001,83984
2021-11-10,PREMIER,6.0,6.0,5.5,5.75,137095,0.6756000000000001,202938
2021-11-11,PREMIER,5.55,6.0,5.5,5.85,105303,0.779,135176
2021-11-12,PREMIER,6.1,6.1,5.6,5.6,40463,0.8527,47454
2021-11-15,PREMIER,5.35,5.8,5.35,5.35,17252,0.8711,19805
2021-11-16,PREMIER,5.1,5.2,5.1,5.1,6947,1.0,6947
2021-11-17,PREMIER,4.95,4.95,4.85,4.85,15420,1.0,15420
2021-11-18,PREMIER,4.65,5.05,4.65,5.05,36601,0.9918000000000001,36905
2021-11-22,PREMIER,5.3,5.3,5.0,5.3,72304,0.9794,73823
2021-11-23,PREMIER,5.55,5.55,5.45,5.55,13867,0.9899,14008
2021-11-24,PREMIER,5.8,5.8,5.4,5.75,33590,0.853,39377
2021-11-25,PREMIER,5.9,5.95,5.5,5.8,43327,0.7820999999999999,55399
2021-11-26,PREMIER,6.05,6.05,5.55,6.05,45899,0.9686,47388
2021-11-29,PREMIER,6.35,6.35,5.8,6.35,93855,0.5855,160294
2021-11-30,PREMIER,6.35,6.65,6.35,6.65,13848,1.0,13848
2021-12-01,PREMIER,6.95,6.95,6.95,6.95,2606,1.0,2606
2021-12-02,PREMIER,7.25,7.25,7.25,7.25,4758,1.0,4758
2021-12-03,PREMIER,7.6,7.6,7.6,7.6,7296,1.0,7296
2021-12-06,PREMIER,7.95,7.95,7.95,7.95,28654,1.0,28654
2021-12-07,PREMIER,8.3,8.3,8.3,8.3,8207,1.0,8207
2021-12-08,PREMIER,8.7,8.7,8.7,8.7,6213,0.8381000000000001,7413
2021-12-09,PREMIER,9.1,9.1,9.1,9.1,3224,1.0,3224
