Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,PRESTIGE,350.0,383.35,350.0,372.25,1549149,0.4464,3470392
2021-09-02,PRESTIGE,372.25,386.4,363.95,383.15,718354,0.3404,2110523
2021-09-03,PRESTIGE,386.0,436.8,385.8,422.7,1992044,0.19280000000000003,10331644
2021-09-06,PRESTIGE,424.0,501.9,415.65,479.45,1449875,0.1354,10709792
2021-09-07,PRESTIGE,487.7,487.7,450.0,451.2,1663303,0.318,5230670
2021-09-08,PRESTIGE,453.0,455.5,434.0,442.75,787085,0.41600000000000004,1892022
2021-09-09,PRESTIGE,437.6,441.45,426.15,429.25,561803,0.5334000000000001,1053295
2021-09-13,PRESTIGE,429.0,442.5,428.0,436.0,901835,0.6,1502952
2021-09-14,PRESTIGE,435.75,444.4,424.2,433.9,483800,0.4989,969686
2021-09-15,PRESTIGE,435.0,437.75,425.0,427.65,373106,0.6333,589163
2021-09-16,PRESTIGE,430.0,435.8,423.0,425.8,310950,0.5672,548189
2021-09-17,PRESTIGE,430.0,442.5,408.0,410.6,941130,0.40700000000000003,2312603
2021-09-20,PRESTIGE,405.8,415.4,392.0,395.9,477658,0.42100000000000004,1134714
2021-09-21,PRESTIGE,396.4,427.8,394.0,418.85,1367339,0.2368,5774056
2021-09-22,PRESTIGE,426.0,446.5,419.0,430.9,1505759,0.33549999999999996,4488132
2021-09-23,PRESTIGE,434.3,467.7,431.8,456.35,1391474,0.2636,5279176
2021-09-24,PRESTIGE,459.0,473.9,450.65,459.1,1026364,0.2615,3924263
2021-09-27,PRESTIGE,464.0,503.15,462.5,494.6,1676433,0.3408,4918987
2021-09-28,PRESTIGE,502.0,507.3,465.6,474.5,765032,0.2524,3030447
2021-09-29,PRESTIGE,465.0,482.75,460.15,478.15,400932,0.1968,2037043
2021-09-30,PRESTIGE,479.2,496.2,475.9,490.85,569281,0.2904,1960530
2021-10-01,PRESTIGE,487.9,489.0,473.65,480.95,392938,0.3832,1025401
2021-10-04,PRESTIGE,481.0,492.0,478.0,484.6,193235,0.21960000000000002,879818
2021-10-05,PRESTIGE,483.0,483.3,475.0,477.0,200599,0.4044,496062
2021-10-06,PRESTIGE,479.0,482.0,455.0,457.3,381845,0.44880000000000003,850807
2021-10-07,PRESTIGE,467.0,494.8,467.0,484.6,611121,0.2433,2511785
2021-10-08,PRESTIGE,487.0,491.7,475.15,481.7,423474,0.39770000000000005,1064702
2021-10-11,PRESTIGE,483.0,502.0,474.05,484.15,764119,0.2801,2728409
2021-10-12,PRESTIGE,481.75,487.7,467.8,471.0,419036,0.4096,1022931
2021-10-13,PRESTIGE,473.5,475.95,453.5,458.3,466470,0.4251,1097344
2021-10-14,PRESTIGE,463.0,471.6,451.2,453.55,243862,0.2773,879300
2021-10-18,PRESTIGE,456.9,459.3,445.6,450.5,413871,0.5423,763200
2021-10-19,PRESTIGE,450.0,454.55,435.4,440.75,430603,0.36590000000000006,1176979
2021-10-20,PRESTIGE,440.95,445.65,424.0,433.6,363122,0.3873,937570
2021-10-21,PRESTIGE,437.5,444.35,416.0,419.35,551015,0.3705,1487167
2021-10-22,PRESTIGE,424.0,443.0,421.1,437.95,410117,0.2685,1527372
2021-10-25,PRESTIGE,442.85,448.5,417.05,421.0,246646,0.2702,912762
2021-10-26,PRESTIGE,420.8,445.45,419.95,441.1,365677,0.31620000000000004,1156595
2021-10-27,PRESTIGE,444.9,448.4,430.6,432.9,438142,0.4293,1020590
2021-10-28,PRESTIGE,436.7,436.7,418.0,421.6,161523,0.3726,433461
2021-10-29,PRESTIGE,420.5,442.0,406.1,426.1,190037,0.18539999999999998,1024883
2021-11-01,PRESTIGE,430.85,442.8,430.0,435.7,327256,0.3275,999332
2021-11-02,PRESTIGE,435.0,466.5,435.0,463.6,680410,0.25329999999999997,2686407
2021-11-03,PRESTIGE,466.0,476.6,462.2,466.0,316814,0.2325,1362387
2021-11-04,PRESTIGE,469.7,475.0,466.6,470.2,99451,0.4446,223691
2021-11-08,PRESTIGE,474.0,492.0,464.75,487.85,707532,0.4532,1561090
2021-11-09,PRESTIGE,489.0,517.0,489.0,514.85,1189309,0.3075,3867720
2021-11-10,PRESTIGE,514.75,522.0,492.5,514.55,584577,0.2584,2261928
2021-11-11,PRESTIGE,515.8,518.8,492.5,495.7,351893,0.3262,1078907
2021-11-12,PRESTIGE,484.0,517.0,475.3,510.55,498950,0.244,2044647
2021-11-15,PRESTIGE,514.0,516.25,486.55,490.95,306208,0.35740000000000005,856648
2021-11-16,PRESTIGE,490.9,501.6,475.8,479.65,241945,0.2898,834983
2021-11-17,PRESTIGE,478.5,485.5,461.2,466.25,216784,0.3185,680539
2021-11-18,PRESTIGE,468.5,472.15,452.85,466.75,233074,0.2828,824258
2021-11-22,PRESTIGE,465.0,465.0,440.0,441.6,238836,0.2619,911920
2021-11-23,PRESTIGE,436.0,457.05,431.0,441.2,372258,0.3406,1092859
2021-11-24,PRESTIGE,440.0,448.0,432.5,435.85,350887,0.342,1025963
2021-11-25,PRESTIGE,435.85,473.95,435.7,467.45,410440,0.2514,1632423
2021-11-26,PRESTIGE,463.0,463.0,437.0,440.2,338601,0.2548,1329017
2021-11-29,PRESTIGE,440.2,442.0,412.3,416.5,256371,0.2452,1045694
2021-11-30,PRESTIGE,415.9,436.8,414.0,421.75,232228,0.204,1138369
2021-12-01,PRESTIGE,425.0,446.95,417.55,442.75,245360,0.1727,1420390
2021-12-02,PRESTIGE,437.0,449.9,433.25,446.35,111298,0.1743,638702
2021-12-03,PRESTIGE,446.6,451.95,431.0,436.4,95561,0.21170000000000003,451461
2021-12-06,PRESTIGE,438.2,455.5,433.7,439.0,236055,0.209,1129402
2021-12-07,PRESTIGE,443.0,446.25,438.2,440.75,136124,0.2786,488579
2021-12-08,PRESTIGE,444.0,456.4,442.15,451.0,138648,0.2751,504044
2021-12-09,PRESTIGE,451.3,470.1,451.3,467.5,228964,0.2832,808407
2021-12-10,PRESTIGE,465.0,479.0,447.0,472.7,200766,0.24239999999999998,828179
2021-12-13,PRESTIGE,474.8,487.0,458.0,460.6,294558,0.3458,851800
2021-12-14,PRESTIGE,458.5,466.6,451.0,461.35,79341,0.1608,493330
2021-12-15,PRESTIGE,461.95,463.75,448.0,450.1,206944,0.4389,471463
2021-12-16,PRESTIGE,453.0,467.4,449.5,455.3,287219,0.33390000000000003,860175
2021-12-17,PRESTIGE,454.7,458.85,438.25,450.85,1884358,0.8013,2351567
2021-12-20,PRESTIGE,441.5,454.45,424.35,432.7,308928,0.3605,857059
2021-12-21,PRESTIGE,439.25,445.0,430.15,433.85,94254,0.23809999999999998,395804
2021-12-22,PRESTIGE,435.0,462.1,434.95,456.9,289851,0.35869999999999996,807963
2021-12-23,PRESTIGE,459.0,474.5,457.4,471.65,253526,0.2586,980384
2021-12-24,PRESTIGE,471.65,473.95,458.95,467.4,106068,0.2343,452767
2021-12-27,PRESTIGE,462.45,482.4,457.95,477.55,313567,0.41509999999999997,755365
2021-12-28,PRESTIGE,475.95,486.8,472.45,478.35,300797,0.3854,780448
2021-12-29,PRESTIGE,479.2,484.45,469.5,474.2,110759,0.30010000000000003,369089
2021-12-30,PRESTIGE,476.4,477.65,464.0,466.45,77057,0.3054,252332
2021-12-31,PRESTIGE,467.7,479.4,467.7,474.75,77114,0.2495,309041
2022-01-03,PRESTIGE,475.0,491.5,470.55,472.45,252622,0.3006,840412
2022-01-04,PRESTIGE,474.7,486.0,470.0,472.45,350321,0.4325,810008
2022-01-05,PRESTIGE,472.6,476.05,465.45,470.95,91577,0.2741,334060
2022-01-06,PRESTIGE,469.0,473.95,460.2,463.95,95365,0.2768,344516
2022-01-07,PRESTIGE,467.5,472.7,460.3,462.45,85944,0.252,341095
2022-01-10,PRESTIGE,467.0,474.2,461.5,464.75,317396,0.5236,606162
2022-01-11,PRESTIGE,466.95,479.1,455.3,461.7,683769,0.5059,1351549
2022-01-12,PRESTIGE,467.55,501.65,466.95,471.15,1418901,0.3207,4424048
2022-01-13,PRESTIGE,474.6,495.0,467.0,491.4,587941,0.38549999999999995,1524993
2022-01-14,PRESTIGE,489.6,510.0,479.0,504.45,1728359,0.43579999999999997,3965540
2022-01-17,PRESTIGE,504.5,530.2,504.5,512.45,941090,0.3486,2699621
2022-01-18,PRESTIGE,537.1,554.9,522.0,526.65,1212828,0.24550000000000002,4939545
2022-01-19,PRESTIGE,528.0,528.0,505.1,517.8,1013625,0.44939999999999997,2255323
2022-01-20,PRESTIGE,521.5,533.7,510.0,514.2,381651,0.304,1255610
2022-01-21,PRESTIGE,507.2,515.25,498.8,504.7,490317,0.39659999999999995,1236234
2022-01-24,PRESTIGE,503.0,504.5,451.45,480.75,423945,0.37579999999999997,1935645
2022-01-25,PRESTIGE,470.0,505.45,469.35,500.35,427303,0.334,1279187
2022-01-27,PRESTIGE,488.0,496.9,478.15,491.95,336566,0.3654,921118
2022-01-28,PRESTIGE,496.85,499.45,472.0,478.7,197125,0.3065,643136
2022-01-31,PRESTIGE,483.45,497.45,480.05,488.3,257558,0.3985,646257
2022-02-01,PRESTIGE,492.0,501.75,479.0,484.3,318848,0.324,984060
2022-02-02,PRESTIGE,488.95,494.8,487.0,491.7,226928,0.47700000000000004,475691
