Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,PSB,16.8,17.25,16.65,16.8,116362,0.5991,194234
2021-09-02,PSB,16.85,17.4,16.8,17.1,221553,0.5693,389185
2021-09-03,PSB,17.35,17.65,17.1,17.15,97527,0.4866,200441
2021-09-06,PSB,17.05,17.4,16.95,17.15,113103,0.4461,253534
2021-09-07,PSB,17.35,17.35,16.7,16.9,182359,0.7081000000000001,257519
2021-09-08,PSB,16.95,17.25,16.9,16.95,135815,0.6547,207433
2021-09-09,PSB,16.75,17.2,16.6,16.75,238778,0.6973,342448
2021-09-13,PSB,16.8,16.85,16.5,16.6,115822,0.6107,189662
2021-09-14,PSB,16.6,17.15,16.6,16.85,278851,0.7211,386679
2021-09-15,PSB,16.9,17.45,16.75,17.1,249039,0.4918,506426
2021-09-16,PSB,17.25,18.85,17.1,18.6,988819,0.4201,2353494
2021-09-17,PSB,18.9,19.0,17.5,17.85,884731,0.5077,1742565
2021-09-20,PSB,17.75,17.75,17.05,17.2,324216,0.6787000000000001,477715
2021-09-21,PSB,17.3,17.6,16.65,17.1,224930,0.5065999999999999,443963
2021-09-22,PSB,17.1,17.4,17.05,17.1,166522,0.6097,273104
2021-09-23,PSB,17.2,17.35,17.1,17.15,140756,0.5186999999999999,271362
2021-09-24,PSB,17.4,17.4,16.45,16.8,294445,0.6043000000000001,487242
2021-09-27,PSB,16.85,17.25,16.7,16.75,384909,0.7179000000000001,536189
2021-09-28,PSB,17.0,17.2,16.8,17.0,169489,0.4875,347647
2021-09-29,PSB,16.8,17.6,16.8,17.1,429292,0.4416,972041
2021-09-30,PSB,17.25,18.5,17.2,17.55,674416,0.3273,2060452
2021-10-01,PSB,17.7,17.8,17.3,17.55,310429,0.4698,660727
2021-10-04,PSB,17.55,17.75,17.4,17.45,296639,0.7029000000000001,421996
2021-10-05,PSB,17.5,17.7,17.35,17.4,469561,0.6112,768210
2021-10-06,PSB,17.5,17.7,17.45,17.5,304204,0.7226,420988
2021-10-07,PSB,17.75,17.75,17.25,17.35,257750,0.6778000000000001,380274
2021-10-08,PSB,17.6,18.9,17.4,18.4,1034532,0.542,1908729
2021-10-11,PSB,18.65,18.75,18.1,18.15,561127,0.5502,1019867
2021-10-12,PSB,18.15,18.65,17.8,18.3,600755,0.3833,1567392
2021-10-13,PSB,18.45,18.5,18.05,18.25,426297,0.45,947330
2021-10-14,PSB,18.45,19.0,18.15,18.55,1051721,0.6515000000000001,1614412
2021-10-18,PSB,18.65,19.5,18.6,19.2,1252498,0.5115,2448782
2021-10-19,PSB,19.35,19.95,17.8,18.3,678608,0.5632,1204884
2021-10-20,PSB,18.3,18.95,17.95,18.15,354234,0.47600000000000003,744164
2021-10-21,PSB,18.75,18.9,18.15,18.5,529976,0.39659999999999995,1336456
2021-10-22,PSB,18.7,19.0,17.85,18.0,599654,0.4247,1411905
2021-10-25,PSB,18.25,18.6,18.05,18.1,478520,0.4509,1061325
2021-10-26,PSB,18.1,18.7,18.0,18.45,470731,0.46280000000000004,1017192
2021-10-27,PSB,18.75,18.9,18.4,18.5,481147,0.4917,978622
2021-10-28,PSB,18.65,18.65,17.8,17.85,379537,0.6157,616411
2021-10-29,PSB,17.75,18.2,17.6,17.8,333658,0.451,739849
2021-11-01,PSB,18.25,19.15,18.05,18.2,630879,0.1802,3500779
2021-11-02,PSB,18.4,18.65,18.05,18.2,342943,0.5353,640661
2021-11-03,PSB,18.35,18.4,17.55,17.7,651998,0.5139,1268837
2021-11-04,PSB,17.95,18.25,17.8,18.1,166927,0.7384000000000001,226055
2021-11-08,PSB,18.3,18.3,17.9,17.95,370529,0.6875,538931
2021-11-09,PSB,18.1,18.35,17.95,18.05,275002,0.4118,667735
2021-11-10,PSB,18.0,18.15,17.9,17.95,191087,0.5161,370287
2021-11-11,PSB,18.0,18.1,17.5,17.75,255207,0.6385000000000001,399719
2021-11-12,PSB,17.8,17.9,17.45,17.6,330013,0.5989,551050
2021-11-15,PSB,17.9,17.95,17.6,17.65,206500,0.6526000000000001,316412
2021-11-16,PSB,17.9,17.9,17.45,17.5,182261,0.6613,275604
2021-11-17,PSB,17.75,17.75,17.2,17.25,174857,0.5684,307647
2021-11-18,PSB,17.1,17.4,16.8,17.0,306713,0.6035,508197
2021-11-22,PSB,17.0,17.3,15.65,16.5,306874,0.7377,415988
2021-11-23,PSB,16.9,17.1,16.25,16.95,158557,0.5275,300606
