Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,PTL,46.75,46.9,45.2,46.2,19408,0.6789000000000001,28586
2021-09-02,PTL,46.5,47.8,45.75,47.0,31664,0.639,49549
2021-09-03,PTL,47.45,48.15,46.5,46.95,32997,0.6784,48636
2021-09-06,PTL,46.75,47.55,46.25,46.7,9179,0.6012,15267
2021-09-07,PTL,47.45,47.45,45.8,46.0,29523,0.7017,42074
2021-09-08,PTL,46.35,47.0,45.9,46.35,31770,0.6836,46477
2021-09-09,PTL,47.2,47.4,46.45,47.15,39710,0.7875,50428
2021-09-13,PTL,47.2,47.75,47.2,47.6,21857,0.8281999999999999,26391
2021-09-14,PTL,48.1,48.15,47.5,47.7,25230,0.7605,33176
2021-09-15,PTL,47.7,48.15,47.5,47.55,36011,0.7511,47944
2021-09-16,PTL,48.25,48.25,47.0,47.2,34896,0.6027,57902
2021-09-17,PTL,48.15,48.15,46.05,46.5,35601,0.5211,68324
2021-09-20,PTL,47.0,47.45,46.0,46.6,23060,0.6209,37142
2021-09-21,PTL,47.0,47.15,46.2,46.5,14929,0.7415999999999999,20130
2021-09-22,PTL,46.5,47.6,46.05,46.6,31927,0.5996,53250
2021-09-23,PTL,47.0,47.4,46.45,46.6,26106,0.6292,41488
2021-09-24,PTL,47.0,47.3,46.2,46.45,27965,0.731,38255
2021-09-27,PTL,46.25,46.7,45.2,45.85,34242,0.7073,48412
2021-09-28,PTL,46.3,47.45,45.1,46.65,80148,0.5645,141988
2021-09-29,PTL,46.95,47.5,46.05,46.9,24261,0.6061,40026
2021-09-30,PTL,47.3,47.8,46.4,46.95,23790,0.7006,33959
2021-10-01,PTL,46.65,47.2,46.6,46.95,29269,0.6659,43956
2021-10-04,PTL,47.5,47.55,46.85,47.05,35722,0.7261,49198
2021-10-05,PTL,46.85,47.65,46.6,46.85,42524,0.6756000000000001,62941
2021-10-06,PTL,47.1,47.25,46.65,46.85,45953,0.7786,59022
2021-10-07,PTL,47.5,47.5,46.75,46.95,26490,0.7031000000000001,37677
2021-10-08,PTL,47.35,47.4,46.9,47.3,37092,0.7156,51837
2021-10-11,PTL,47.75,51.25,47.0,49.6,153669,0.3854,398732
2021-10-12,PTL,51.9,51.9,49.65,50.35,124000,0.6999,177179
2021-10-13,PTL,51.4,51.4,49.35,49.8,138971,0.8052,172594
2021-10-14,PTL,49.65,51.65,49.5,49.85,72443,0.6088,118998
2021-10-18,PTL,50.3,52.6,50.0,50.75,167650,0.5147999999999999,325641
2021-10-19,PTL,51.7,52.0,49.7,50.05,110080,0.6516,168930
2021-10-20,PTL,50.7,54.0,49.6,51.65,199036,0.4081,487767
2021-10-21,PTL,51.65,52.4,50.3,50.55,66614,0.6563,101504
2021-10-22,PTL,51.0,51.75,48.8,49.0,82727,0.6829000000000001,121148
2021-10-25,PTL,49.65,49.85,48.05,48.55,46905,0.6743000000000001,69558
2021-10-26,PTL,49.75,50.45,48.6,49.25,28059,0.534,52545
2021-10-27,PTL,49.35,50.8,49.35,50.05,27805,0.631,44065
2021-10-28,PTL,50.05,51.0,48.9,49.2,28289,0.7140000000000001,39623
2021-10-29,PTL,48.95,50.4,48.25,48.8,51577,0.43840000000000007,117641
2021-11-01,PTL,48.8,50.1,48.0,49.0,55298,0.6801,81308
2021-11-02,PTL,49.5,50.85,49.05,50.5,52690,0.596,88412
2021-11-03,PTL,50.9,52.8,49.65,52.35,167463,0.6032000000000001,277641
2021-11-04,PTL,54.5,55.0,53.4,53.9,205526,0.7340000000000001,280015
2021-11-08,PTL,53.9,54.35,52.2,52.75,69373,0.5423,127934
2021-11-09,PTL,53.25,53.9,52.35,53.45,89256,0.7071,126231
2021-11-10,PTL,53.95,55.75,53.1,53.8,166815,0.5366,310862
2021-11-11,PTL,54.5,54.65,52.5,53.0,40630,0.6739,60289
2021-11-12,PTL,53.6,54.3,52.25,52.95,70499,0.6049,116554
2021-11-15,PTL,53.5,53.9,51.45,51.8,51253,0.7383,69417
2021-11-16,PTL,52.45,53.0,51.35,51.75,37872,0.6535,57955
