Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,RAMCOIND,291.6,300.2,281.0,287.05,68557,0.4685,146337
2021-09-02,RAMCOIND,285.3,295.25,285.3,292.35,44925,0.5566,80720
2021-09-03,RAMCOIND,292.35,296.4,284.55,287.25,60202,0.4533,132821
2021-09-06,RAMCOIND,288.4,290.95,285.7,287.3,34075,0.5131,66410
2021-09-07,RAMCOIND,288.75,289.65,282.3,283.45,29083,0.5037,57739
2021-09-08,RAMCOIND,283.5,293.65,282.75,289.85,71088,0.5559000000000001,127876
2021-09-09,RAMCOIND,293.0,305.5,291.4,303.1,99188,0.48460000000000003,204694
2021-09-13,RAMCOIND,296.25,323.85,296.25,320.45,333054,0.40030000000000004,832044
2021-09-14,RAMCOIND,323.75,327.5,313.25,317.1,120251,0.3931,305882
2021-09-15,RAMCOIND,316.4,323.05,308.0,312.25,91759,0.42810000000000004,214351
2021-09-16,RAMCOIND,312.4,318.75,308.6,309.85,45955,0.49820000000000003,92233
2021-09-17,RAMCOIND,313.0,314.95,295.0,301.25,97136,0.4705,206463
2021-09-20,RAMCOIND,298.8,302.6,290.1,292.1,44187,0.41100000000000003,107517
2021-09-21,RAMCOIND,292.0,296.9,286.0,292.9,38879,0.40630000000000005,95701
2021-09-22,RAMCOIND,294.4,309.4,293.8,305.4,78551,0.4518,173880
2021-09-23,RAMCOIND,306.0,334.85,302.1,304.4,47964,0.3531,135851
2021-09-24,RAMCOIND,305.95,306.65,292.05,294.85,46573,0.441,105619
2021-09-27,RAMCOIND,297.0,318.0,295.4,305.4,104260,0.4021,259281
2021-09-28,RAMCOIND,306.0,307.7,297.2,300.35,36050,0.5207,69233
2021-09-29,RAMCOIND,296.0,316.0,296.0,304.4,63075,0.4911,128447
2021-09-30,RAMCOIND,305.95,306.9,296.1,297.5,50980,0.6446,79084
2021-10-01,RAMCOIND,299.0,306.0,294.0,303.7,55000,0.4933,111483
2021-10-04,RAMCOIND,304.65,308.45,299.7,303.95,53520,0.5217,102591
2021-10-05,RAMCOIND,305.0,309.95,303.0,305.3,69979,0.5652,123812
2021-10-06,RAMCOIND,306.8,311.3,296.0,300.25,78714,0.6188,127201
2021-10-07,RAMCOIND,301.8,308.55,300.25,305.2,32977,0.5506000000000001,59893
2021-10-08,RAMCOIND,306.75,314.0,303.6,306.5,53417,0.3761,142018
2021-10-11,RAMCOIND,308.05,310.95,300.1,302.0,83667,0.6202000000000001,134907
2021-10-12,RAMCOIND,303.55,304.0,298.0,299.15,54975,0.6228,88266
2021-10-13,RAMCOIND,299.15,302.2,296.3,296.95,48085,0.5677000000000001,84698
2021-10-14,RAMCOIND,300.0,305.25,297.5,298.15,86719,0.5084000000000001,170577
2021-10-18,RAMCOIND,299.95,307.55,298.6,299.25,72680,0.5261,138145
2021-10-19,RAMCOIND,300.35,303.7,290.25,294.55,62821,0.6364,98717
2021-10-20,RAMCOIND,296.0,296.0,284.05,287.8,45849,0.5008,91557
2021-10-21,RAMCOIND,289.25,309.9,286.3,298.55,81695,0.2011,406298
2021-10-22,RAMCOIND,300.0,302.0,288.3,289.25,33263,0.242,137475
2021-10-25,RAMCOIND,293.05,293.05,282.25,289.35,43115,0.2754,156528
2021-10-26,RAMCOIND,290.25,299.9,290.25,296.25,47753,0.39130000000000004,122022
2021-10-27,RAMCOIND,295.05,306.0,288.1,289.35,72533,0.2942,246534
2021-10-28,RAMCOIND,291.0,292.55,285.0,285.9,35898,0.3073,116826
2021-10-29,RAMCOIND,285.0,288.35,279.7,281.85,30141,0.3529,85402
2021-11-01,RAMCOIND,283.0,286.0,275.8,276.95,62099,0.44270000000000004,140280
2021-11-02,RAMCOIND,278.85,285.8,277.05,283.95,30741,0.3131,98178
2021-11-03,RAMCOIND,285.85,285.85,277.05,279.25,28549,0.1507,189492
2021-11-04,RAMCOIND,281.55,283.0,280.0,281.6,16894,0.7574,22306
2021-11-08,RAMCOIND,281.85,283.75,276.55,279.6,27956,0.23870000000000002,117120
2021-11-09,RAMCOIND,279.6,284.95,279.6,281.55,72491,0.5872999999999999,123437
2021-11-10,RAMCOIND,281.0,283.05,276.05,277.5,80232,0.6433,124723
2021-11-11,RAMCOIND,278.8,279.75,276.0,276.35,26553,0.6217,42710
2021-11-12,RAMCOIND,277.7,278.45,275.5,276.7,19306,0.6171,31285
2021-11-15,RAMCOIND,275.2,278.1,271.95,273.25,23395,0.5547,42176
2021-11-16,RAMCOIND,274.65,278.0,271.0,272.6,34466,0.667,51671
2021-11-17,RAMCOIND,273.6,277.25,273.0,273.35,15051,0.6408,23488
2021-11-18,RAMCOIND,273.5,274.0,264.25,267.05,54309,0.6905,78657
2021-11-22,RAMCOIND,268.3,268.3,255.0,257.05,254800,0.9299,274008
2021-11-23,RAMCOIND,258.35,263.0,251.45,261.45,20612,0.49420000000000003,41710
2021-11-24,RAMCOIND,262.8,271.0,261.65,266.05,31037,0.5188,59828
2021-11-25,RAMCOIND,267.4,267.4,261.55,265.55,7836,0.3589,21833
2021-11-26,RAMCOIND,266.8,266.8,255.0,256.0,28666,0.5826,49201
2021-11-29,RAMCOIND,251.6,255.35,243.3,247.2,31394,0.5059,62053
2021-11-30,RAMCOIND,251.7,256.9,239.0,243.85,27778,0.5357000000000001,51857
2021-12-01,RAMCOIND,245.0,249.7,240.1,242.4,49234,0.6629,74266
2021-12-02,RAMCOIND,243.65,249.0,242.0,247.6,27131,0.6555,41390
2021-12-03,RAMCOIND,249.0,258.9,248.1,251.25,21422,0.38430000000000003,55747
2021-12-06,RAMCOIND,258.0,264.0,250.5,252.35,58300,0.524,111254
2021-12-07,RAMCOIND,254.6,267.15,249.7,262.85,51947,0.6479,80182
2021-12-08,RAMCOIND,264.2,264.55,257.0,258.45,26938,0.6164000000000001,43705
2021-12-09,RAMCOIND,259.75,259.75,253.8,256.05,31698,0.6344,49964
2021-12-10,RAMCOIND,257.35,260.65,254.6,259.3,14709,0.4829,30462
2021-12-13,RAMCOIND,260.6,264.0,253.6,255.55,38041,0.4575,83142
2021-12-14,RAMCOIND,256.45,259.0,254.05,256.65,10980,0.474,23167
2021-12-15,RAMCOIND,257.0,258.0,253.85,256.4,12650,0.465,27206
2021-12-16,RAMCOIND,257.95,257.95,248.0,250.05,30545,0.6189,49353
2021-12-17,RAMCOIND,251.35,256.0,241.05,242.6,29602,0.5949,49759
2021-12-20,RAMCOIND,237.2,243.85,229.25,236.4,34780,0.5228,66528
2021-12-21,RAMCOIND,237.6,247.55,236.55,242.6,20209,0.4363,46322
2021-12-22,RAMCOIND,246.25,247.75,240.0,241.6,13989,0.5424,25791
2021-12-23,RAMCOIND,246.35,246.35,238.3,241.0,29867,0.5974,49993
2021-12-24,RAMCOIND,241.0,246.3,235.6,244.4,20564,0.40280000000000005,51053
2021-12-27,RAMCOIND,245.6,246.9,239.5,243.75,33782,0.614,55022
2021-12-28,RAMCOIND,246.0,260.0,245.05,258.25,68734,0.4205,163476
2021-12-29,RAMCOIND,259.0,260.0,252.0,254.85,34203,0.40030000000000004,85442
2021-12-30,RAMCOIND,255.0,258.5,250.5,253.9,16578,0.4687,35370
2021-12-31,RAMCOIND,251.1,258.45,250.05,250.85,41890,0.6645000000000001,63043
2022-01-03,RAMCOIND,252.0,273.0,251.0,268.3,118766,0.40299999999999997,294672
2022-01-04,RAMCOIND,272.3,275.9,267.55,268.25,78589,0.522,150561
2022-01-05,RAMCOIND,268.25,271.5,265.3,267.15,47102,0.6042000000000001,77961
2022-01-06,RAMCOIND,267.15,267.15,262.05,263.85,22924,0.5927,38677
2022-01-07,RAMCOIND,265.2,275.0,260.3,271.45,104955,0.5583,187975
2022-01-10,RAMCOIND,272.1,275.3,269.0,271.2,45818,0.5554,82500
2022-01-11,RAMCOIND,272.6,275.0,268.0,269.3,77207,0.573,134742
2022-01-12,RAMCOIND,270.65,273.55,267.0,268.9,28235,0.5468000000000001,51640
2022-01-13,RAMCOIND,271.9,273.2,267.1,268.15,31978,0.6248,51183
2022-01-14,RAMCOIND,269.5,272.0,266.55,269.4,35538,0.5178,68634
2022-01-17,RAMCOIND,270.75,281.0,270.0,276.3,80420,0.5466,147124
2022-01-18,RAMCOIND,278.95,291.0,273.05,279.0,174943,0.48810000000000003,358445
2022-01-19,RAMCOIND,279.1,283.7,274.0,278.55,52143,0.5451,95651
2022-01-20,RAMCOIND,280.0,283.5,277.75,281.45,41410,0.6506000000000001,63649
2022-01-21,RAMCOIND,280.0,281.0,269.5,271.65,53992,0.6422,84075
2022-01-24,RAMCOIND,260.5,261.25,248.1,249.35,37365,0.4936,263865
2022-01-25,RAMCOIND,243.35,253.55,241.45,243.8,40472,0.45659999999999995,88643
2022-01-27,RAMCOIND,244.0,245.95,240.25,243.65,22695,0.5145000000000001,44108
2022-01-28,RAMCOIND,244.9,251.0,244.0,245.15,19857,0.5311,37389
2022-01-31,RAMCOIND,244.55,249.6,244.0,244.8,17186,0.6121,28077
