Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,RAMCOSYS,457.0,484.35,451.8,455.75,98255,0.2614,375842
2021-09-02,RAMCOSYS,459.9,468.25,453.9,462.75,43095,0.4217,102186
2021-09-03,RAMCOSYS,461.1,472.0,454.35,461.1,40223,0.4393,91569
2021-09-06,RAMCOSYS,464.8,485.0,460.0,474.7,88122,0.41200000000000003,213881
2021-09-07,RAMCOSYS,476.5,481.4,461.3,464.15,31510,0.4882,64544
2021-09-08,RAMCOSYS,464.15,467.8,458.0,459.75,35314,0.4719,74839
2021-09-09,RAMCOSYS,462.8,466.0,454.65,461.15,30189,0.4961,60853
2021-09-13,RAMCOSYS,463.0,469.2,458.05,461.8,59985,0.5693,105360
2021-09-14,RAMCOSYS,465.5,466.95,458.15,462.1,41208,0.5089,80977
2021-09-15,RAMCOSYS,466.45,526.7,463.1,509.75,312240,0.2977,1048793
2021-09-16,RAMCOSYS,514.4,520.0,500.25,506.75,140552,0.5184000000000001,271138
2021-09-17,RAMCOSYS,505.7,510.0,487.4,504.85,74831,0.38079999999999997,196487
2021-09-20,RAMCOSYS,492.8,508.4,482.4,486.6,44908,0.4415,101708
2021-09-21,RAMCOSYS,492.4,492.4,475.1,482.6,34014,0.4079,83394
2021-09-22,RAMCOSYS,483.5,496.75,483.5,486.35,31365,0.418,75037
2021-09-23,RAMCOSYS,494.0,509.95,491.3,498.4,57773,0.48,120368
2021-09-24,RAMCOSYS,504.9,519.0,491.95,492.95,53165,0.33270000000000005,159804
2021-09-27,RAMCOSYS,490.55,499.0,487.05,492.7,29681,0.428,69356
2021-09-28,RAMCOSYS,494.8,496.3,477.0,486.1,37389,0.5012,74597
2021-09-29,RAMCOSYS,491.0,491.0,477.5,481.7,25705,0.47750000000000004,53837
2021-09-30,RAMCOSYS,483.6,489.9,475.05,480.05,27400,0.5434,50422
2021-10-01,RAMCOSYS,479.9,488.9,476.85,482.7,23160,0.451,51354
2021-10-04,RAMCOSYS,486.25,490.5,482.0,483.15,20012,0.4251,47074
2021-10-05,RAMCOSYS,482.0,489.2,480.05,485.0,18486,0.4449,41551
2021-10-06,RAMCOSYS,487.0,498.0,483.0,485.6,31633,0.4056,77992
2021-10-07,RAMCOSYS,486.0,494.75,473.0,476.05,78460,0.596,131638
2021-10-08,RAMCOSYS,479.6,484.9,473.0,479.0,39888,0.4662,85558
2021-10-11,RAMCOSYS,481.0,486.8,477.25,480.15,23982,0.4622,51885
2021-10-12,RAMCOSYS,481.0,483.3,475.05,476.3,21455,0.10070000000000001,213131
2021-10-13,RAMCOSYS,479.95,484.25,468.6,470.35,56270,0.19920000000000002,282525
2021-10-14,RAMCOSYS,476.9,493.95,465.0,472.05,73399,0.26730000000000004,274631
2021-10-18,RAMCOSYS,475.45,484.0,472.5,475.0,33230,0.1753,189571
2021-10-19,RAMCOSYS,479.9,482.95,470.95,471.55,39289,0.3023,129953
2021-10-20,RAMCOSYS,479.25,479.25,460.55,464.35,33981,0.46590000000000004,72932
2021-10-21,RAMCOSYS,464.5,469.5,454.0,458.65,21343,0.40240000000000004,53041
2021-10-22,RAMCOSYS,460.6,465.8,452.25,454.75,26611,0.4949,53770
2021-10-25,RAMCOSYS,469.0,469.0,444.5,447.0,47117,0.535,88061
2021-10-26,RAMCOSYS,447.2,456.5,447.2,453.5,40180,0.5740999999999999,69982
2021-10-27,RAMCOSYS,458.0,458.0,444.0,447.45,76830,0.4965,154734
2021-10-28,RAMCOSYS,424.0,428.0,408.2,414.35,143826,0.5275,272666
2021-10-29,RAMCOSYS,415.0,422.05,407.45,414.1,75911,0.6146,123515
2021-11-01,RAMCOSYS,418.7,421.35,395.25,397.65,83344,0.5927,140618
2021-11-02,RAMCOSYS,399.9,404.95,395.6,399.65,39386,0.5034000000000001,78238
2021-11-03,RAMCOSYS,399.65,403.6,369.4,391.65,140977,0.44680000000000003,315510
2021-11-04,RAMCOSYS,394.9,406.0,394.9,403.95,28480,0.6905,41243
2021-11-08,RAMCOSYS,406.0,406.95,395.0,396.15,37687,0.4536,83084
2021-11-09,RAMCOSYS,397.0,409.2,380.0,403.25,105468,0.4661,226288
2021-11-10,RAMCOSYS,405.0,414.95,401.45,410.3,53062,0.4523,117308
2021-11-11,RAMCOSYS,410.3,415.45,402.6,405.35,37133,0.5545,66969
2021-11-12,RAMCOSYS,405.35,410.4,397.9,399.55,29459,0.5584,52757
2021-11-15,RAMCOSYS,402.0,402.0,389.2,392.55,31851,0.5107,62362
2021-11-16,RAMCOSYS,392.55,401.6,392.0,394.0,28649,0.5404,53017
