Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,RATNAMANI,2168.75,2170.1,2134.85,2155.6,9931,0.5617,17680
2021-09-02,RATNAMANI,2160.0,2161.0,2125.05,2137.65,11208,0.564,19872
2021-09-03,RATNAMANI,2148.35,2179.0,2102.0,2130.05,15408,0.6365,24208
2021-09-06,RATNAMANI,2140.75,2154.0,2105.0,2117.7,4823,0.5149,9367
2021-09-07,RATNAMANI,2139.0,2140.0,2102.15,2129.95,6523,0.6239,10456
2021-09-08,RATNAMANI,2140.6,2150.0,2116.85,2142.5,15244,0.44700000000000006,34106
2021-09-09,RATNAMANI,2159.55,2162.25,2122.1,2140.55,3603,0.4949,7280
2021-09-13,RATNAMANI,2141.5,2209.05,2130.0,2160.05,19814,0.6718999999999999,29491
2021-09-14,RATNAMANI,2174.95,2174.95,2145.0,2159.6,12291,0.6912,17781
2021-09-15,RATNAMANI,2170.0,2170.0,2135.0,2160.05,18622,0.6348,29334
2021-09-16,RATNAMANI,2160.05,2170.0,2115.0,2151.9,6725,0.4686,14352
2021-09-17,RATNAMANI,2140.0,2212.0,2106.7,2193.9,120345,0.7970999999999999,150974
2021-09-20,RATNAMANI,2204.9,2204.9,2140.0,2173.95,8046,0.4693,17143
2021-09-21,RATNAMANI,2177.0,2177.0,2130.1,2163.55,4956,0.4808,10308
2021-09-22,RATNAMANI,2195.0,2195.2,2152.0,2175.35,8037,0.5763,13946
2021-09-23,RATNAMANI,2175.0,2192.0,2148.15,2188.95,64842,0.9165000000000001,70746
2021-09-24,RATNAMANI,2179.95,2202.0,2162.25,2186.8,5049,0.43710000000000004,11552
2021-09-27,RATNAMANI,2187.0,2200.0,2157.35,2179.7,8642,0.5949,14527
2021-09-28,RATNAMANI,2160.5,2218.0,2151.05,2199.5,128490,0.9336,137626
2021-09-29,RATNAMANI,2199.5,2220.0,2142.35,2199.4,48365,0.5062,95552
2021-09-30,RATNAMANI,2208.0,2230.0,2163.3,2186.35,8365,0.451,18548
2021-10-01,RATNAMANI,2229.9,2232.0,2166.8,2180.4,6379,0.46649999999999997,13674
2021-10-04,RATNAMANI,2185.0,2191.35,2155.0,2180.15,7662,0.6077,12608
2021-10-05,RATNAMANI,2190.25,2227.7,2162.25,2201.6,14033,0.318,44131
2021-10-06,RATNAMANI,2215.0,2215.0,2161.0,2172.7,6245,0.4455,14018
2021-10-07,RATNAMANI,2188.0,2205.0,2161.55,2200.05,9991,0.6329,15786
2021-10-08,RATNAMANI,2269.9,2300.0,2172.65,2207.15,131976,0.41090000000000004,321190
2021-10-11,RATNAMANI,2203.25,2245.0,2181.55,2208.6,4528,0.44420000000000004,10193
2021-10-12,RATNAMANI,2218.6,2227.0,2178.95,2199.95,13060,0.7119,18344
2021-10-13,RATNAMANI,2209.0,2220.1,2185.0,2200.8,6269,0.6175,10153
2021-10-14,RATNAMANI,2195.0,2215.0,2190.0,2211.35,9039,0.7014,12887
2021-10-18,RATNAMANI,2211.35,2226.0,2195.0,2222.0,10842,0.6541,16575
2021-10-19,RATNAMANI,2222.0,2230.0,2171.05,2214.0,13225,0.5875,22512
2021-10-20,RATNAMANI,2219.8,2225.0,2082.6,2220.4,22900,0.5690999999999999,40242
2021-10-21,RATNAMANI,2206.0,2299.0,2194.6,2258.0,17320,0.7114,24346
2021-10-22,RATNAMANI,2269.3,2297.85,2200.0,2206.45,9475,0.5886,16098
2021-10-25,RATNAMANI,2205.0,2229.3,2172.45,2181.8,6929,0.5508,12579
2021-10-26,RATNAMANI,2192.75,2215.0,2156.55,2209.55,12328,0.6237,19766
2021-10-27,RATNAMANI,2229.35,2235.05,2190.0,2198.6,4776,0.6092000000000001,7840
2021-10-28,RATNAMANI,2208.0,2220.0,2162.0,2170.4,2715,0.5129,5293
2021-10-29,RATNAMANI,2195.0,2215.0,2122.0,2142.55,3672,0.3948,9300
2021-11-01,RATNAMANI,2142.55,2186.4,2102.15,2120.05,2558,0.5439,4703
2021-11-02,RATNAMANI,2120.05,2182.3,2075.0,2156.7,5434,0.379,14338
2021-11-03,RATNAMANI,2155.0,2176.3,2126.0,2168.1,1799,0.5435,3310
2021-11-04,RATNAMANI,2197.0,2198.95,2151.05,2176.35,501,0.3896,1286
2021-11-08,RATNAMANI,2187.25,2200.0,2173.55,2182.25,3774,0.5829,6474
2021-11-09,RATNAMANI,2193.2,2193.2,2161.5,2176.15,2030,0.6227,3260
2021-11-10,RATNAMANI,2180.0,2187.05,2132.1,2166.8,1616,0.4865,3322
2021-11-11,RATNAMANI,2166.0,2210.0,2136.2,2164.45,6782,0.3493,19417
2021-11-12,RATNAMANI,2165.0,2282.05,2164.5,2240.85,196729,0.5651,348136
2021-11-15,RATNAMANI,2269.0,2280.0,2210.05,2231.75,3106,0.37060000000000004,8381
2021-11-16,RATNAMANI,2206.5,2299.0,2136.0,2168.65,156818,0.5347,293300
2021-11-17,RATNAMANI,2149.0,2199.9,2144.25,2170.35,4524,0.5572,8119
2021-11-18,RATNAMANI,2179.95,2180.0,2130.0,2138.55,5635,0.6436000000000001,8755
2021-11-22,RATNAMANI,2115.0,2160.0,2103.9,2141.45,3789,0.5057,7493
2021-11-23,RATNAMANI,2105.0,2195.0,2100.0,2156.95,11818,0.2843,41569
2021-11-24,RATNAMANI,2156.95,2229.3,2112.25,2209.3,4057,0.2531,16027
2021-11-25,RATNAMANI,2202.0,2209.0,2139.9,2180.15,3463,0.359,9647
2021-11-26,RATNAMANI,2160.0,2171.5,2102.0,2128.05,2572,0.5860000000000001,4389
2021-11-29,RATNAMANI,2110.0,2127.95,2012.2,2040.1,6840,0.45780000000000004,14940
2021-11-30,RATNAMANI,2090.0,2305.3,2082.0,2206.95,25238,0.1474,171225
2021-12-01,RATNAMANI,2182.05,2205.0,2155.0,2188.7,5964,0.2641,22585
2021-12-02,RATNAMANI,2200.0,2200.0,2105.1,2118.2,25956,0.7434000000000001,34917
2021-12-03,RATNAMANI,2116.0,2116.0,2028.9,2042.05,9288,0.45420000000000005,20451
2021-12-06,RATNAMANI,2050.0,2060.05,1915.25,1937.4,10033,0.3918,25605
2021-12-07,RATNAMANI,1955.0,1965.0,1904.35,1911.7,6375,0.32630000000000003,19540
2021-12-08,RATNAMANI,1935.0,1998.75,1912.0,1981.5,4795,0.2953,16240
2021-12-09,RATNAMANI,2021.5,2027.0,1940.2,1964.9,2548,0.37,6886
2021-12-10,RATNAMANI,1959.0,2025.0,1959.0,2017.25,4938,0.1968,25088
2021-12-13,RATNAMANI,2041.0,2041.0,1965.0,1972.05,5904,0.48119999999999996,12270
2021-12-14,RATNAMANI,1967.0,1981.95,1911.1,1923.2,16496,0.7103,23224
2021-12-15,RATNAMANI,1918.0,1932.85,1870.0,1900.4,6309,0.46130000000000004,13677
2021-12-16,RATNAMANI,1909.95,1937.45,1891.05,1898.25,1614,0.3884,4155
2021-12-17,RATNAMANI,1907.75,1948.0,1883.35,1924.75,2174,0.35990000000000005,6041
2021-12-20,RATNAMANI,1930.0,1958.5,1859.05,1889.05,8982,0.5114,17565
2021-12-21,RATNAMANI,1898.5,2022.5,1898.5,1920.1,11707,0.3744,31271
2021-12-22,RATNAMANI,1921.6,1931.65,1881.35,1895.3,6909,0.5652,12224
2021-12-23,RATNAMANI,1895.3,1933.75,1885.85,1902.15,5059,0.6291,8042
2021-12-24,RATNAMANI,1900.0,1911.7,1855.6,1883.8,4244,0.4579,9268
2021-12-27,RATNAMANI,1883.75,1975.0,1879.5,1956.4,6032,0.4022,14997
2021-12-28,RATNAMANI,1956.4,1964.9,1897.0,1903.5,3597,0.5045000000000001,7130
2021-12-29,RATNAMANI,1913.05,1944.05,1908.6,1919.0,1498,0.4587,3266
2021-12-30,RATNAMANI,1905.9,1954.45,1905.9,1944.9,11052,0.596,18544
2021-12-31,RATNAMANI,1954.65,1954.65,1917.0,1944.45,5493,0.6685,8217
2022-01-03,RATNAMANI,1940.0,1945.0,1912.55,1917.45,4426,0.5562,7958
2022-01-04,RATNAMANI,1918.0,1955.0,1909.05,1949.9,5743,0.5274,10889
2022-01-05,RATNAMANI,1926.55,1949.75,1911.7,1917.8,2533,0.5872999999999999,4313
2022-01-06,RATNAMANI,1927.4,1955.0,1910.0,1921.55,8027,0.4313,18611
