Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,REDINGTON,156.0,158.15,149.5,149.85,768843,0.6596,1165535
2021-09-02,REDINGTON,149.85,150.5,146.4,147.0,770229,0.7552,1019931
2021-09-03,REDINGTON,147.0,147.75,143.5,144.25,437607,0.6784,645010
2021-09-06,REDINGTON,144.25,145.4,139.5,141.15,612724,0.6942,882655
2021-09-07,REDINGTON,141.15,142.85,136.2,136.85,648044,0.7447,870254
2021-09-08,REDINGTON,138.0,143.35,138.0,141.75,1695332,0.73,2322464
2021-09-09,REDINGTON,143.85,150.85,141.75,145.45,2198102,0.7111,3090995
2021-09-13,REDINGTON,146.95,148.7,143.7,145.4,1616053,0.6666,2424335
2021-09-14,REDINGTON,151.7,152.95,143.0,144.15,1990047,0.5044,3945011
2021-09-15,REDINGTON,145.0,145.75,141.1,142.95,868547,0.5577000000000001,1557375
2021-09-16,REDINGTON,143.2,146.5,141.35,145.15,1409378,0.6434000000000001,2190550
2021-09-17,REDINGTON,146.5,147.0,141.75,143.4,1540468,0.6819,2259178
2021-09-20,REDINGTON,143.2,143.55,137.2,138.6,475258,0.5495,864906
2021-09-21,REDINGTON,138.8,141.45,137.5,140.6,506687,0.6121,827770
2021-09-22,REDINGTON,141.5,145.0,139.0,143.65,573609,0.5910000000000001,970584
2021-09-23,REDINGTON,144.2,145.25,142.55,144.05,776168,0.6631,1170556
2021-09-24,REDINGTON,145.0,145.6,143.0,144.35,671799,0.7049,953002
2021-09-27,REDINGTON,146.0,146.0,141.5,142.45,343961,0.5494,626093
2021-09-28,REDINGTON,142.2,145.15,142.2,144.9,820733,0.6814,1204544
2021-09-29,REDINGTON,144.9,145.45,143.5,144.3,435425,0.5025000000000001,866527
2021-09-30,REDINGTON,145.0,145.0,138.55,139.4,1177947,0.7256999999999999,1623282
2021-10-01,REDINGTON,140.5,145.45,140.4,144.6,933687,0.5139,1816897
2021-10-04,REDINGTON,145.8,148.2,144.3,146.4,1237166,0.6028,2052404
2021-10-05,REDINGTON,146.5,150.7,145.0,148.75,1633284,0.5869,2783120
2021-10-06,REDINGTON,149.0,150.7,144.05,145.0,856811,0.645,1328456
2021-10-07,REDINGTON,146.6,148.5,144.25,144.85,728735,0.6201,1175233
2021-10-08,REDINGTON,145.9,148.35,144.5,146.05,935253,0.6152000000000001,1520311
2021-10-11,REDINGTON,147.85,148.3,144.65,145.35,693613,0.5529000000000001,1254544
2021-10-12,REDINGTON,145.0,147.0,144.55,145.15,701838,0.6444,1089197
2021-10-13,REDINGTON,145.15,148.85,145.05,147.0,1175404,0.6553,1793758
2021-10-14,REDINGTON,147.9,156.0,147.1,153.25,3920252,0.5542,7074225
2021-10-18,REDINGTON,156.5,156.95,150.85,154.25,2493880,0.6536,3815395
2021-10-19,REDINGTON,154.9,155.2,146.0,146.9,2343062,0.7159000000000001,3272836
2021-10-20,REDINGTON,147.7,151.45,142.45,148.75,1627860,0.5752,2829911
2021-10-21,REDINGTON,149.9,151.7,142.3,143.85,1195446,0.5977,2000050
2021-10-22,REDINGTON,144.0,144.9,139.1,143.05,829660,0.5750000000000001,1442843
2021-10-25,REDINGTON,143.05,145.8,140.2,144.8,674668,0.5842,1154833
2021-10-26,REDINGTON,144.85,150.3,143.55,149.45,962718,0.6691,1438748
2021-10-27,REDINGTON,150.2,150.2,145.0,145.4,890039,0.6847,1299846
2021-10-28,REDINGTON,145.4,146.3,141.05,142.0,353176,0.4916,718439
2021-10-29,REDINGTON,140.2,144.8,139.55,143.7,232113,0.43770000000000003,530252
2021-11-01,REDINGTON,141.0,147.7,141.0,142.9,466490,0.4292,1087004
2021-11-02,REDINGTON,144.15,144.3,142.2,142.95,457206,0.6273,728845
2021-11-03,REDINGTON,143.9,144.7,141.6,143.1,429370,0.6318,679567
2021-11-04,REDINGTON,145.4,149.05,144.65,147.5,334810,0.7484000000000001,447382
2021-11-08,REDINGTON,149.1,149.5,143.95,145.05,1200488,0.7434000000000001,1614903
2021-11-09,REDINGTON,144.55,146.5,144.15,144.8,656579,0.6468,1015046
2021-11-10,REDINGTON,164.0,164.0,154.05,155.75,7287528,0.41850000000000004,17414815
2021-11-11,REDINGTON,152.2,154.8,152.2,153.5,2353015,0.6361,3698970
2021-11-12,REDINGTON,156.0,156.9,149.0,149.7,1543396,0.5655,2729154
2021-11-15,REDINGTON,152.0,152.6,144.05,145.0,3652455,0.4986,7325203
2021-11-16,REDINGTON,146.55,154.2,144.5,149.05,4556494,0.5096,8941468
2021-11-17,REDINGTON,148.9,151.3,147.75,150.2,1613312,0.4868,3314379
2021-11-18,REDINGTON,150.5,151.0,144.1,144.65,1683927,0.5478000000000001,3074061
2021-11-22,REDINGTON,145.0,145.4,139.95,141.3,916895,0.49770000000000003,1842362
2021-11-23,REDINGTON,140.1,145.65,139.15,144.3,1897926,0.6104,3109508
2021-11-24,REDINGTON,145.95,147.8,141.2,142.95,3426600,0.7169,4779461
2021-11-25,REDINGTON,143.6,145.15,143.05,144.35,400755,0.42619999999999997,940301
2021-11-26,REDINGTON,142.0,151.6,141.2,146.45,2668429,0.4924,5419364
2021-11-29,REDINGTON,147.2,147.2,140.95,142.7,1093303,0.5634,1940546
2021-11-30,REDINGTON,142.8,149.9,142.5,147.05,3048618,0.6527,4670539
2021-12-01,REDINGTON,147.5,149.7,145.55,147.1,2039328,0.5966,3418051
2021-12-02,REDINGTON,148.35,153.7,147.75,151.0,4960077,0.5575,8896816
2021-12-03,REDINGTON,151.45,156.3,151.1,152.65,6497072,0.5539000000000001,11730701
2021-12-06,REDINGTON,153.9,153.9,146.6,147.2,1633302,0.4534,3602096
2021-12-07,REDINGTON,148.9,152.2,145.1,150.25,3778178,0.5598,6748655
2021-12-08,REDINGTON,152.0,159.7,150.75,155.1,7731694,0.5238,14761113
2021-12-09,REDINGTON,156.55,157.75,154.45,155.3,4106365,0.5896,6964466
2021-12-10,REDINGTON,156.1,159.45,154.1,155.0,3437084,0.5153,6670706
2021-12-13,REDINGTON,158.1,159.15,152.4,154.2,3374444,0.5404,6244697
2021-12-14,REDINGTON,153.0,157.3,152.1,154.75,2871350,0.501,5731399
2021-12-15,REDINGTON,152.25,155.2,151.1,151.9,2009431,0.5006,4014280
