Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,RELAXO,1200.1,1205.95,1184.0,1195.9,70360,0.4251,165495
2021-09-02,RELAXO,1205.0,1216.4,1190.05,1198.9,65478,0.4037,162196
2021-09-03,RELAXO,1209.0,1225.4,1200.0,1204.2,128249,0.465,275825
2021-09-06,RELAXO,1214.35,1230.0,1200.0,1203.1,95254,0.4046,235454
2021-09-07,RELAXO,1210.9,1211.85,1180.0,1183.65,92593,0.4888,189446
2021-09-08,RELAXO,1183.0,1196.55,1176.0,1180.75,83418,0.528,157980
2021-09-09,RELAXO,1182.0,1188.7,1175.5,1179.65,92900,0.6437999999999999,144309
2021-09-13,RELAXO,1187.0,1200.0,1183.75,1196.85,88770,0.532,166857
2021-09-14,RELAXO,1210.0,1225.0,1185.8,1205.85,92891,0.392,236958
2021-09-15,RELAXO,1208.0,1221.5,1196.0,1198.6,114813,0.5228,219617
2021-09-16,RELAXO,1209.4,1211.4,1191.3,1193.9,76299,0.521,146459
2021-09-17,RELAXO,1196.15,1207.0,1168.8,1171.75,232954,0.5402,431203
2021-09-20,RELAXO,1175.0,1184.95,1155.3,1164.5,129333,0.4789,270081
2021-09-21,RELAXO,1170.0,1175.5,1150.55,1154.15,145298,0.5038,288389
2021-09-22,RELAXO,1164.0,1181.85,1149.9,1161.0,164311,0.47700000000000004,344494
2021-09-23,RELAXO,1172.4,1177.8,1162.75,1170.9,201122,0.6986,287911
2021-09-24,RELAXO,1179.95,1193.3,1156.6,1161.55,152114,0.5534,274848
2021-09-27,RELAXO,1176.05,1176.05,1149.45,1154.3,160077,0.5752,278308
2021-09-28,RELAXO,1164.4,1164.5,1149.5,1154.3,150858,0.58,260120
2021-09-29,RELAXO,1156.85,1161.7,1138.0,1141.0,174072,0.5805,299850
2021-09-30,RELAXO,1148.0,1170.0,1136.0,1141.05,168178,0.522,322175
2021-10-01,RELAXO,1140.8,1178.0,1138.95,1171.6,420603,0.6973999999999999,603137
2021-10-04,RELAXO,1171.65,1215.0,1171.65,1206.7,456463,0.6159,741134
2021-10-05,RELAXO,1213.2,1222.95,1182.6,1199.9,192347,0.5266,365279
2021-10-06,RELAXO,1210.0,1210.0,1194.05,1204.7,110078,0.5517000000000001,199523
2021-10-07,RELAXO,1200.2,1349.85,1200.2,1330.1,540671,0.28550000000000003,1894059
2021-10-08,RELAXO,1350.5,1404.5,1300.0,1312.55,302060,0.2278,1326258
2021-10-11,RELAXO,1350.0,1381.8,1338.8,1361.0,225353,0.3644,618441
2021-10-12,RELAXO,1364.0,1382.2,1340.85,1359.9,84428,0.3531,239086
2021-10-13,RELAXO,1369.8,1371.4,1348.0,1366.15,67974,0.38420000000000004,176901
2021-10-14,RELAXO,1364.0,1368.85,1342.55,1352.1,72621,0.4994,145412
2021-10-18,RELAXO,1360.0,1392.0,1351.0,1370.3,82070,0.3604,227737
2021-10-19,RELAXO,1379.8,1381.2,1349.0,1351.7,57304,0.3993,143516
2021-10-20,RELAXO,1340.0,1360.0,1296.9,1337.8,99688,0.42240000000000005,235976
2021-10-21,RELAXO,1348.2,1354.9,1309.8,1321.55,79066,0.40399999999999997,195723
2021-10-22,RELAXO,1326.45,1367.0,1314.0,1357.15,75610,0.39490000000000003,191443
2021-10-25,RELAXO,1374.0,1374.0,1294.05,1305.2,67246,0.3697,181898
2021-10-26,RELAXO,1310.4,1353.05,1308.15,1338.75,72630,0.41759999999999997,173910
2021-10-27,RELAXO,1347.6,1359.8,1312.35,1326.85,96202,0.46640000000000004,206258
2021-10-28,RELAXO,1327.0,1332.8,1301.35,1313.25,46861,0.41500000000000004,112908
2021-10-29,RELAXO,1314.0,1339.0,1300.0,1331.0,30838,0.2933,105150
2021-11-01,RELAXO,1331.0,1347.95,1308.0,1340.45,49372,0.3849,128260
2021-11-02,RELAXO,1322.2,1346.95,1285.0,1334.65,70535,0.3028,232955
2021-11-03,RELAXO,1345.0,1420.0,1334.7,1409.65,222176,0.2781,799038
2021-11-04,RELAXO,1429.0,1448.0,1426.0,1436.2,60214,0.39049999999999996,154187
2021-11-08,RELAXO,1439.0,1445.0,1382.3,1392.75,139320,0.4326,322035
2021-11-09,RELAXO,1402.8,1414.0,1392.0,1394.35,65982,0.45840000000000003,143929
2021-11-10,RELAXO,1392.0,1402.5,1380.0,1385.4,32828,0.3924,83668
2021-11-11,RELAXO,1380.6,1391.1,1351.25,1360.8,58750,0.5309,110660
2021-11-12,RELAXO,1366.0,1379.95,1358.35,1376.8,32857,0.4425,74261
2021-11-15,RELAXO,1388.0,1403.95,1380.0,1397.25,54287,0.43590000000000007,124530
