Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-20,RELINFRA,94.5,99.25,92.25,98.0,3950822,0.5748,6873441
2021-09-21,RELINFRA,98.7,98.7,93.1,93.1,3194151,0.41130000000000005,7766227
2021-09-22,RELINFRA,93.0,97.75,91.5,97.45,2537122,0.5845,4340649
2021-09-23,RELINFRA,99.0,102.3,98.05,102.3,2387848,0.478,4995623
2021-09-24,RELINFRA,104.3,106.7,99.4,105.35,4383641,0.5652,7755268
2022-01-04,RELINFRA,102.0,102.8,96.8,97.5,1069106,0.6568,1627872
2022-01-05,RELINFRA,97.9,99.5,96.05,97.05,535650,0.5899,907997
2022-01-06,RELINFRA,96.45,101.7,94.5,100.15,858262,0.4778,1796340
2022-01-07,RELINFRA,101.55,102.3,98.05,98.55,701188,0.6422,1091828
2022-01-10,RELINFRA,98.55,103.45,95.1,103.45,2498974,0.5654,4419483
2022-01-11,RELINFRA,105.1,107.5,98.3,98.4,3017983,0.6129,4924424
2022-01-12,RELINFRA,98.2,99.75,94.4,96.4,1686932,0.6609,2552372
2022-01-13,RELINFRA,97.8,100.0,95.0,99.05,870977,0.5347,1628860
2022-01-14,RELINFRA,98.7,104.0,97.4,102.75,1755713,0.5335,3291223
2022-01-17,RELINFRA,103.65,107.8,102.75,105.55,1948514,0.5165,3772409
2022-01-18,RELINFRA,106.9,107.5,101.5,101.95,1114458,0.6037,1845994
2022-01-19,RELINFRA,102.4,102.95,98.8,99.75,823993,0.5965,1381285
2022-01-20,RELINFRA,99.0,102.5,99.0,101.55,893164,0.5833,1531294
2022-01-21,RELINFRA,100.0,102.0,97.2,98.25,821782,0.5681,1446661
2022-01-24,RELINFRA,98.0,98.75,93.35,93.55,1100231,0.5211,2332253
2022-01-25,RELINFRA,92.6,98.2,91.4,98.05,1150400,0.5197,2213795
2022-01-27,RELINFRA,97.0,100.5,96.05,97.8,895175,0.5718,1565476
2022-01-28,RELINFRA,98.65,102.65,98.65,102.3,1681555,0.5215,3224151
2022-01-31,RELINFRA,103.3,104.0,99.8,101.05,1364758,0.6492,2102086
2022-02-01,RELINFRA,103.0,106.1,101.55,106.1,1841781,0.6462000000000001,2850166
2022-02-02,RELINFRA,108.7,111.4,104.7,110.1,2794746,0.5127,5451390
2022-02-03,RELINFRA,111.05,115.6,111.0,115.6,1542369,0.8875000000000001,1737907
2022-02-04,RELINFRA,119.6,121.35,118.55,121.35,1482661,0.9398000000000001,1577705
2022-02-07,RELINFRA,128.0,133.45,123.0,133.45,3686738,0.4036,9134933
2022-02-08,RELINFRA,140.0,143.8,126.6,134.45,5267249,0.4232,12445385
2022-02-09,RELINFRA,138.7,147.85,133.0,147.85,4450361,0.3883,11459699
2022-02-10,RELINFRA,149.4,150.0,133.1,133.1,3596246,0.5837,6161277
2022-02-11,RELINFRA,128.5,141.0,127.5,134.0,2148052,0.44689999999999996,4806656
2022-02-14,RELINFRA,120.6,120.6,120.6,120.6,974556,1.0,974557
2022-02-15,RELINFRA,111.1,119.0,108.55,111.85,5388642,0.3925,13727792
2022-02-16,RELINFRA,114.5,123.0,114.3,122.6,3135401,0.44070000000000004,7114241
2022-02-17,RELINFRA,123.0,127.7,111.8,113.35,2191967,0.4241,5168249
2022-02-18,RELINFRA,114.85,122.65,113.85,120.1,1718931,0.4686,3668594
2022-02-21,RELINFRA,120.5,123.75,111.15,112.7,1819712,0.4897,3716304
2022-02-22,RELINFRA,111.0,116.75,108.45,114.35,1706273,0.4254,4010678
2022-02-23,RELINFRA,116.3,119.7,112.3,113.25,1073029,0.459,2337557
2022-02-24,RELINFRA,108.5,108.5,101.95,101.95,1930422,0.6028,3202409
2022-02-25,RELINFRA,104.0,110.0,103.0,104.6,2143425,0.5086999999999999,4213193
2022-02-28,RELINFRA,102.0,106.6,101.15,104.6,1301124,0.49369999999999997,2635673
2022-03-02,RELINFRA,101.5,110.8,101.5,107.6,1178873,0.4748,2483054
2022-03-03,RELINFRA,110.0,110.95,105.1,106.4,888284,0.5782,1536356
2022-03-04,RELINFRA,105.0,107.1,102.65,103.5,859689,0.5011,1715481
2022-03-07,RELINFRA,101.8,102.7,97.0,99.6,1373308,0.5269,2606599
