Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,RENUKA,30.5,30.5,28.15,29.5,2980699,0.6531999999999999,4563040
2021-10-13,RENUKA,29.8,30.95,29.25,30.15,5708736,0.5255,10863578
2021-10-14,RENUKA,30.4,30.45,29.4,29.75,2391487,0.6851,3490491
2021-10-18,RENUKA,30.25,31.2,29.3,31.2,5979266,0.7526999999999999,7943285
2021-10-19,RENUKA,31.85,32.75,30.1,30.6,7973649,0.46890000000000004,17006110
2021-10-20,RENUKA,29.25,30.3,29.1,29.5,4826643,0.5304,9100733
2021-10-21,RENUKA,29.8,30.5,28.75,29.35,1990831,0.5361,3713536
2021-10-22,RENUKA,29.1,29.75,28.05,28.3,2509956,0.6264000000000001,4006934
2021-10-25,RENUKA,28.3,28.8,26.95,27.75,2004633,0.5277000000000001,3798927
2021-10-26,RENUKA,27.9,29.1,27.7,29.1,1934158,0.688,2811148
2021-10-27,RENUKA,30.2,30.5,29.35,29.85,3236689,0.6886,4700356
2021-10-28,RENUKA,29.0,29.9,28.4,28.45,2875755,0.6662,4316736
2021-10-29,RENUKA,27.05,27.05,27.05,27.05,1593538,0.9995999999999999,1594228
2021-11-01,RENUKA,26.2,26.95,25.7,25.7,7156903,0.534,13401800
2021-11-02,RENUKA,25.15,26.95,24.9,26.95,4628950,0.40909999999999996,11315049
2021-11-03,RENUKA,27.05,27.5,26.25,26.4,2396390,0.5168,4636793
2021-11-04,RENUKA,26.95,27.25,26.55,27.05,1245024,0.737,1689405
2021-11-08,RENUKA,27.75,27.75,26.7,26.85,1945357,0.6720999999999999,2894418
2021-11-09,RENUKA,26.85,27.2,26.55,26.75,1866439,0.6406000000000001,2913467
2021-11-10,RENUKA,26.65,28.05,26.4,28.05,4189971,0.41950000000000004,9989132
2021-11-11,RENUKA,28.8,29.45,27.0,29.4,5902536,0.47740000000000005,12363454
2021-11-12,RENUKA,29.7,29.85,28.15,28.9,3757798,0.6365,5903747
2021-11-15,RENUKA,29.05,29.5,27.55,27.75,2758052,0.6672,4133948
2021-11-16,RENUKA,27.95,28.75,27.25,27.55,2449561,0.6712,3649545
2021-11-17,RENUKA,27.65,28.4,27.2,27.4,1913103,0.6184000000000001,3093623
2021-11-18,RENUKA,27.35,27.65,26.3,26.8,2280315,0.6429,3546663
2021-11-22,RENUKA,27.05,27.25,25.5,25.6,3763251,0.6359,5917959
2021-11-23,RENUKA,25.5,26.85,24.75,26.85,2962213,0.6942,4267178
2021-11-24,RENUKA,27.1,28.15,27.05,27.65,3845885,0.603,6377568
2021-11-25,RENUKA,27.95,28.7,27.35,27.95,3281558,0.6722,4882015
2021-11-26,RENUKA,27.35,27.85,26.6,26.65,3155889,0.5735,5502570
2021-11-29,RENUKA,26.0,26.35,25.35,25.35,3156606,0.5474,5766264
2021-11-30,RENUKA,25.05,26.3,24.4,24.8,9858210,0.7371,13374234
2021-12-01,RENUKA,24.8,25.55,24.75,24.9,1819826,0.5896,3086534
2021-12-02,RENUKA,25.15,25.4,24.75,25.25,1394235,0.6112,2281039
2021-12-03,RENUKA,25.2,26.5,25.05,25.8,3357368,0.4325,7763110
2021-12-06,RENUKA,25.95,26.3,25.25,25.35,1786415,0.5832,3063115
2021-12-07,RENUKA,25.85,27.85,25.65,27.85,4556562,0.423,10772412
2021-12-08,RENUKA,28.5,29.5,27.4,28.85,6158510,0.46380000000000005,13279079
2021-12-09,RENUKA,28.9,31.7,28.2,31.7,10325261,0.5456000000000001,18923670
2021-12-10,RENUKA,32.6,33.25,32.25,33.25,6815533,0.7591,8978948
2021-12-13,RENUKA,34.85,34.9,31.6,31.6,11839893,0.4814,24594115
2021-12-14,RENUKA,30.05,32.35,30.05,31.2,5584567,0.35850000000000004,15579082
