Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,RESPONIND,124.65,126.25,120.25,124.55,5323,0.09960000000000001,53463
2021-09-02,RESPONIND,123.0,130.15,122.8,129.0,12337,0.1627,75831
2021-09-03,RESPONIND,129.05,131.8,126.0,127.2,8787,0.13240000000000002,66351
2021-09-06,RESPONIND,127.7,130.5,126.4,127.45,5737,0.10210000000000001,56179
2021-09-07,RESPONIND,127.05,128.05,126.0,126.8,3081,0.058499999999999996,52668
2021-09-08,RESPONIND,126.8,128.05,126.1,126.3,3422,0.0696,49196
2021-09-09,RESPONIND,127.0,134.0,125.9,129.45,22614,0.2074,109050
2021-09-13,RESPONIND,130.1,131.05,128.05,129.2,3755,0.0677,55429
2021-09-14,RESPONIND,129.2,132.95,128.05,132.15,6708,0.1119,59936
2021-09-15,RESPONIND,132.15,135.95,130.0,131.8,12072,0.20809999999999998,58001
2021-09-16,RESPONIND,131.85,133.75,129.25,132.45,10037,0.18059999999999998,55581
2021-09-17,RESPONIND,132.45,132.95,121.65,125.25,17687,0.2993,59091
2021-09-20,RESPONIND,122.3,125.0,122.0,122.8,7540,0.1467,51406
2021-09-21,RESPONIND,123.4,128.0,121.0,126.9,6023,0.1034,58243
2021-09-22,RESPONIND,127.55,127.55,122.05,124.9,8923,0.1351,66057
2021-09-23,RESPONIND,125.0,128.75,123.4,124.95,7551,0.1176,64230
2021-09-24,RESPONIND,125.6,127.0,124.05,125.3,6259,0.11699999999999999,53505
2021-09-27,RESPONIND,125.15,132.0,124.2,125.5,4702,0.0848,55432
2021-09-28,RESPONIND,126.1,126.1,120.85,122.3,7615,0.162,47000
2021-09-29,RESPONIND,121.5,124.9,119.0,120.9,21127,0.2903,72783
2021-09-30,RESPONIND,121.4,123.75,120.8,122.5,9688,0.1673,57910
2021-10-01,RESPONIND,123.0,124.0,120.0,122.4,10835,0.17629999999999998,61443
2021-10-04,RESPONIND,122.5,124.4,122.25,122.85,4492,0.0844,53242
2021-10-05,RESPONIND,123.5,134.0,122.65,129.65,45809,0.4683,97811
2021-10-06,RESPONIND,133.5,134.95,124.95,126.7,64311,0.44320000000000004,145096
2021-10-07,RESPONIND,127.35,128.65,124.1,125.9,14385,0.26280000000000003,54743
2021-10-08,RESPONIND,125.9,127.35,125.2,126.65,6823,0.12539999999999998,54407
2021-10-11,RESPONIND,127.3,127.7,125.45,126.15,5130,0.0956,53673
2021-10-12,RESPONIND,126.35,126.4,124.5,125.05,10620,0.1837,57801
2021-10-13,RESPONIND,125.05,129.4,124.25,127.95,23052,0.3929,58676
2021-10-14,RESPONIND,127.0,128.45,126.0,126.4,6924,0.1456,47566
2021-10-18,RESPONIND,126.3,128.4,123.35,125.3,10504,0.19640000000000002,53476
2021-10-19,RESPONIND,125.1,126.2,119.55,121.0,13882,0.2374,58481
2021-10-20,RESPONIND,119.35,126.55,118.3,121.0,9828,0.17079999999999998,57542
2021-10-21,RESPONIND,123.0,123.85,119.0,120.3,5396,0.0985,54754
2021-10-22,RESPONIND,120.3,123.75,119.35,121.35,4114,0.0909,45279
2021-10-25,RESPONIND,121.35,122.0,117.35,118.2,9521,0.18739999999999998,50817
2021-10-26,RESPONIND,118.8,120.5,116.6,118.35,5229,0.0951,55003
2021-10-27,RESPONIND,118.0,119.6,117.8,118.15,2256,0.0435,51810
2021-10-28,RESPONIND,118.55,118.55,110.2,113.7,11983,0.2741,43719
2021-10-29,RESPONIND,114.3,118.85,114.05,115.9,4914,0.09970000000000001,49306
2021-11-01,RESPONIND,116.45,118.0,115.2,117.8,2169,0.0417,52038
2021-11-02,RESPONIND,118.4,120.0,117.45,118.75,2595,0.0499,51956
2021-11-03,RESPONIND,118.0,121.1,118.0,120.4,4191,0.07940000000000001,52770
2021-11-04,RESPONIND,123.0,123.5,121.2,122.6,2421,0.1537,15749
2021-11-08,RESPONIND,123.2,123.2,118.0,121.65,2714,0.052000000000000005,52159
2021-11-09,RESPONIND,122.3,123.2,119.4,120.6,3700,0.0699,52962
2021-11-10,RESPONIND,121.25,124.5,121.15,122.6,6686,0.11939999999999999,55980
2021-11-11,RESPONIND,123.25,123.95,120.0,121.3,1754,0.0326,53879
2021-11-12,RESPONIND,121.9,124.35,121.25,122.45,1796,0.0353,50923
2021-11-15,RESPONIND,120.2,126.7,120.2,123.65,5863,0.0916,63973
2021-11-16,RESPONIND,124.3,124.6,120.55,121.9,2364,0.0426,55484
2021-11-17,RESPONIND,122.55,124.0,118.1,120.15,4187,0.0765,54714
2021-11-18,RESPONIND,120.0,120.9,114.0,116.5,5123,0.09460000000000002,54154
2021-11-22,RESPONIND,116.5,116.95,111.1,112.05,7060,0.1309,53950
2021-11-23,RESPONIND,111.9,114.75,109.3,112.9,5233,0.085,61529
2021-11-24,RESPONIND,112.9,117.2,112.9,116.5,3239,0.0616,52554
2021-11-25,RESPONIND,116.5,117.1,114.45,115.4,1267,0.024,52735
2021-11-26,RESPONIND,115.0,115.9,107.5,111.45,8840,0.1001,88348
2021-11-29,RESPONIND,111.9,111.9,90.3,105.75,15816,0.2484,63666
2021-11-30,RESPONIND,106.3,108.8,102.25,103.95,7446,0.12369999999999999,60199
2021-12-01,RESPONIND,102.0,106.15,97.8,99.7,13433,0.2245,59847
2021-12-02,RESPONIND,99.45,101.65,98.7,100.15,11532,0.1585,72744
2021-12-03,RESPONIND,101.5,103.0,99.05,101.45,5628,0.081,69522
2021-12-06,RESPONIND,102.95,121.7,100.05,121.25,130362,0.16690000000000002,780904
2021-12-07,RESPONIND,127.0,127.0,113.0,114.55,67371,0.1968,342397
2021-12-08,RESPONIND,117.0,120.0,113.0,114.4,17250,0.1749,98628
2021-12-09,RESPONIND,115.7,119.3,113.1,114.2,11160,0.1481,75332
2021-12-10,RESPONIND,114.8,116.9,112.5,112.95,14972,0.2016,74269
2021-12-13,RESPONIND,113.55,118.75,109.9,113.05,32258,0.3531,91363
2021-12-14,RESPONIND,113.65,114.4,110.2,111.1,18827,0.307,61316
2021-12-15,RESPONIND,111.1,112.0,108.1,109.3,8236,0.1388,59342
2021-12-16,RESPONIND,109.0,110.35,105.0,105.95,12005,0.2046,58668
2021-12-17,RESPONIND,105.95,106.5,104.1,105.4,8467,0.1456,58136
2021-12-20,RESPONIND,105.0,105.0,100.0,101.1,8288,0.3387,24469
2021-12-21,RESPONIND,101.0,118.0,101.0,107.4,31230,0.2403,129946
2021-12-22,RESPONIND,112.0,123.75,110.05,118.3,101391,0.147,689646
2021-12-23,RESPONIND,114.1,116.7,109.0,110.45,31639,0.2454,128945
2021-12-24,RESPONIND,111.85,112.4,108.5,109.5,12809,0.1804,71008
2021-12-27,RESPONIND,110.0,120.0,109.5,115.65,35806,0.11800000000000001,303533
2021-12-28,RESPONIND,115.95,116.85,103.75,106.75,88615,0.23079999999999998,383890
2021-12-29,RESPONIND,108.3,128.1,105.1,127.2,234340,0.08720000000000001,2687070
2021-12-30,RESPONIND,130.0,152.0,123.0,150.85,388705,0.0876,4436058
2021-12-31,RESPONIND,143.0,177.85,143.0,170.1,441704,0.0755,5850496
2022-01-03,RESPONIND,165.1,184.75,163.1,170.1,236500,0.0771,3067128
2022-01-04,RESPONIND,171.85,178.7,164.25,166.3,93592,0.1779,525965
2022-01-05,RESPONIND,166.9,179.5,162.55,175.65,145115,0.21489999999999998,675384
2022-01-06,RESPONIND,173.9,180.0,171.0,178.05,82245,0.1963,419048
2022-01-07,RESPONIND,177.3,181.7,175.7,180.55,102332,0.24,426394
2022-01-10,RESPONIND,181.1,181.8,178.0,181.0,38888,0.10400000000000001,374025
2022-01-11,RESPONIND,181.5,181.9,176.0,180.9,39035,0.1379,283149
2022-01-12,RESPONIND,181.5,181.85,178.5,181.5,26658,0.11900000000000001,224031
2022-01-13,RESPONIND,180.0,181.95,178.0,181.7,32328,0.15050000000000002,214804
2022-01-14,RESPONIND,181.7,187.05,178.0,184.75,75839,0.2842,266891
2022-01-17,RESPONIND,185.0,185.05,182.75,184.85,35586,0.1576,225730
2022-01-18,RESPONIND,185.0,190.05,183.0,184.65,48107,0.17809999999999998,270063
2022-01-19,RESPONIND,186.5,192.9,184.75,191.65,38249,0.1721,222301
2022-01-20,RESPONIND,190.0,193.0,189.0,191.25,21578,0.0884,244016
2022-01-21,RESPONIND,191.95,193.75,187.1,193.5,18807,0.085,221321
2022-01-24,RESPONIND,193.0,198.0,182.05,196.4,30417,0.11570000000000001,320422
2022-01-25,RESPONIND,196.4,198.8,190.2,197.35,28269,0.09949999999999999,284060
2022-01-27,RESPONIND,195.5,198.25,193.25,198.05,27413,0.17420000000000002,157359
2022-01-28,RESPONIND,198.0,198.65,195.45,198.2,33209,0.1572,211305
2022-01-31,RESPONIND,198.5,199.5,196.1,198.95,14817,0.060599999999999994,244636
2022-02-01,RESPONIND,196.6,201.5,196.6,198.9,20899,0.0956,218590
2022-02-02,RESPONIND,198.9,201.2,195.0,198.75,38303,0.1396,274281
2022-02-03,RESPONIND,198.75,206.5,198.25,198.3,43665,0.1399,312098
2022-02-04,RESPONIND,200.95,202.9,198.0,198.1,31891,0.1158,275369
2022-02-07,RESPONIND,199.6,215.0,198.55,201.65,69506,0.15630000000000002,444559
2022-02-08,RESPONIND,203.75,214.75,202.0,203.15,81620,0.1195,682829
2022-02-09,RESPONIND,204.5,214.5,204.2,207.6,41228,0.1118,368687
2022-02-10,RESPONIND,209.9,213.75,203.75,210.95,28221,0.0882,319930
2022-02-11,RESPONIND,208.0,209.85,190.0,195.65,72248,0.1388,520411
2022-02-14,RESPONIND,194.7,194.7,190.0,190.05,45496,0.1838,247523
2022-02-15,RESPONIND,190.15,207.0,190.15,198.8,60940,0.10869999999999999,560794
2022-02-16,RESPONIND,200.75,207.0,194.7,206.55,47842,0.1427,335156
2022-02-17,RESPONIND,205.0,208.0,191.25,196.3,20838,0.08710000000000001,239182
2022-02-18,RESPONIND,196.3,200.25,190.0,191.1,61701,0.2134,289071
2022-02-21,RESPONIND,190.0,190.95,185.0,185.2,30568,0.1494,204662
2022-02-22,RESPONIND,181.95,194.9,176.0,191.25,37903,0.1486,255130
2022-02-23,RESPONIND,192.95,197.9,185.0,185.4,40663,0.16190000000000002,251178
2022-02-24,RESPONIND,181.1,181.1,165.5,166.2,35436,0.2143,165327
2022-02-25,RESPONIND,168.0,197.8,168.0,188.95,74922,0.1802,415863
2022-02-28,RESPONIND,188.0,191.0,160.7,163.2,114673,0.2403,477173
2022-03-02,RESPONIND,162.85,169.65,160.0,160.5,41936,0.17980000000000002,233235
2022-03-03,RESPONIND,162.75,165.45,158.6,160.25,19179,0.0956,200626
2022-03-04,RESPONIND,159.9,159.9,152.0,154.15,16749,0.0815,205384
2022-03-07,RESPONIND,153.8,153.8,141.15,145.05,8727,0.0553,157739
2022-03-08,RESPONIND,143.9,173.0,143.9,162.6,59513,0.18059999999999998,329598
2022-03-09,RESPONIND,159.9,171.7,157.4,167.4,70735,0.2354,300536
2022-03-10,RESPONIND,166.7,177.55,164.7,168.9,39089,0.14830000000000002,263635
2022-03-11,RESPONIND,167.45,171.9,166.05,169.35,13405,0.11080000000000001,120945
2022-03-14,RESPONIND,172.7,179.0,170.0,175.7,15031,0.0646,232719
2022-03-15,RESPONIND,179.0,181.5,165.0,171.1,13063,0.0698,187265
2022-03-16,RESPONIND,174.8,180.0,174.8,177.55,9043,0.0441,204969
2022-03-17,RESPONIND,180.5,180.55,171.6,173.9,14149,0.0799,176997
2022-03-21,RESPONIND,171.3,177.0,170.0,172.15,11050,0.0556,198843
2022-03-22,RESPONIND,170.15,176.0,168.5,171.1,5564,0.031000000000000003,179249
2022-03-23,RESPONIND,177.7,189.3,175.05,179.6,50604,0.1225,413257
2022-03-24,RESPONIND,179.8,179.8,166.2,170.0,26852,0.1307,205473
2022-03-25,RESPONIND,171.3,175.0,167.0,168.8,8122,0.0438,185471
2022-03-28,RESPONIND,170.7,170.7,164.3,169.35,8626,0.045,191781
2022-03-29,RESPONIND,174.4,190.0,170.15,180.55,77016,0.1371,561906
2022-03-30,RESPONIND,183.3,189.75,181.55,186.3,22910,0.11,208270
2022-03-31,RESPONIND,186.0,186.0,177.6,181.85,6877,0.034,202384
2022-04-01,RESPONIND,181.85,183.7,179.0,181.2,7897,0.0581,135955
2022-04-04,RESPONIND,183.9,189.75,181.5,187.85,19780,0.0947,208863
2022-04-05,RESPONIND,189.5,193.7,182.0,184.85,31082,0.13369999999999999,232504
2022-04-06,RESPONIND,184.0,185.85,176.95,182.2,25012,0.12490000000000001,200205
2022-04-07,RESPONIND,181.85,185.6,175.0,175.7,26006,0.1446,179864
2022-04-08,RESPONIND,177.9,179.7,171.55,172.85,23545,0.141,167005
2022-04-11,RESPONIND,174.0,174.95,166.5,168.85,13571,0.12539999999999998,108196
2022-04-12,RESPONIND,168.5,172.4,163.85,165.65,20511,0.129,159042
2022-04-13,RESPONIND,165.4,169.35,165.4,167.0,7354,0.0643,114334
2022-04-18,RESPONIND,168.9,169.3,160.2,163.05,14652,0.12390000000000001,118238
2022-04-19,RESPONIND,163.9,163.9,158.75,161.1,11782,0.076,155061
2022-04-20,RESPONIND,161.0,189.9,161.0,178.0,80850,0.057,1418409
2022-04-21,RESPONIND,180.65,182.9,172.0,175.8,37190,0.1984,187490
2022-04-22,RESPONIND,172.5,175.15,168.0,169.95,13910,0.0966,143949
2022-04-25,RESPONIND,169.85,169.85,162.25,164.45,16379,0.1264,129624
2022-04-26,RESPONIND,165.0,169.35,164.1,165.5,6798,0.0422,161204
2022-04-27,RESPONIND,163.1,170.0,161.6,164.0,27592,0.11970000000000001,230585
2022-04-28,RESPONIND,164.7,165.95,160.9,162.2,17223,0.09480000000000001,181692
2022-04-29,RESPONIND,162.3,166.25,161.25,162.45,15621,0.055400000000000005,281989
2022-05-02,RESPONIND,160.0,164.3,160.0,162.6,9932,0.0516,192393
2022-05-04,RESPONIND,164.7,164.7,150.1,156.65,29998,0.13470000000000001,222673
2022-05-05,RESPONIND,156.1,162.75,150.15,152.8,14433,0.0471,306540
2022-05-06,RESPONIND,150.0,153.6,145.5,147.7,11164,0.0434,257280
2022-05-09,RESPONIND,147.0,147.0,142.0,143.25,14662,0.09269999999999999,158206
2022-05-10,RESPONIND,143.0,146.75,133.2,135.2,14908,0.1161,128399
2022-05-11,RESPONIND,133.5,140.7,128.15,130.3,18916,0.1068,177150
2022-05-12,RESPONIND,129.5,130.9,126.1,127.4,6225,0.059800000000000006,104011
2022-05-13,RESPONIND,130.8,139.6,123.65,136.35,15232,0.0757,201221
2022-05-16,RESPONIND,136.35,157.0,127.1,132.7,6066,0.043,140911
2022-05-17,RESPONIND,133.8,144.0,132.45,141.5,14566,0.0932,156275
2022-05-18,RESPONIND,143.6,164.7,133.2,142.5,9734,0.0605,160841
2022-05-19,RESPONIND,141.9,141.9,135.0,136.25,5932,0.040999999999999995,144756
2022-05-20,RESPONIND,137.5,143.0,137.5,138.95,4567,0.0294,155534
2022-05-23,RESPONIND,137.0,142.3,137.0,139.15,6221,0.0385,161440
2022-05-24,RESPONIND,141.25,141.25,132.6,135.15,8069,0.0446,180899
2022-05-25,RESPONIND,132.1,134.3,126.3,128.8,7407,0.0453,163447
2022-05-26,RESPONIND,127.35,135.95,120.3,131.75,10036,0.0768,130651
2022-05-27,RESPONIND,133.0,138.75,129.3,137.4,7319,0.0483,151471
2022-05-30,RESPONIND,135.0,137.85,132.75,134.25,8004,0.048600000000000004,164710
2022-05-31,RESPONIND,134.8,137.0,131.25,135.25,10031,0.0527,190257
2022-06-01,RESPONIND,133.15,139.55,132.2,137.7,11119,0.0808,137538
2022-06-02,RESPONIND,138.7,149.65,135.3,143.3,17858,0.16090000000000002,110971
2022-06-03,RESPONIND,144.55,148.35,140.0,141.4,13893,0.1734,80102
2022-06-06,RESPONIND,141.4,141.4,137.25,138.15,4909,0.1011,48563
2022-06-07,RESPONIND,137.9,139.7,135.0,135.85,3822,0.06730000000000001,56764
2022-06-08,RESPONIND,137.0,138.55,132.75,133.7,12289,0.16920000000000002,72623
2022-06-09,RESPONIND,133.0,134.8,130.0,130.7,12734,0.3693,34484
2022-06-10,RESPONIND,130.7,131.2,126.05,128.75,3356,0.1076,31186
2022-06-13,RESPONIND,125.95,125.95,119.2,121.25,5831,0.11720000000000001,49769
2022-06-14,RESPONIND,122.0,125.6,118.2,119.45,7238,0.1446,50056
2022-06-15,RESPONIND,120.7,121.45,117.5,118.85,3262,0.1401,23281
2022-06-16,RESPONIND,119.1,124.9,116.5,117.3,4551,0.086,52942
2022-06-17,RESPONIND,109.05,116.0,109.05,112.2,3889,0.0983,39571
2022-06-20,RESPONIND,116.0,116.0,105.05,105.9,4283,0.12150000000000001,35245
2022-06-21,RESPONIND,104.5,112.0,104.3,111.0,4216,0.0808,52206
2022-06-22,RESPONIND,114.0,115.85,108.1,110.15,3463,0.0756,45829
2022-06-23,RESPONIND,110.05,132.15,110.05,128.65,52126,0.1593,486747
2022-06-24,RESPONIND,128.65,129.95,123.5,126.35,19214,0.18050000000000002,106474
2022-06-27,RESPONIND,127.2,130.8,123.15,124.0,7582,0.0975,77740
2022-06-28,RESPONIND,123.6,123.7,118.6,119.7,7479,0.23120000000000002,32344
2022-06-29,RESPONIND,118.5,121.1,117.5,118.65,2667,0.0489,54517
2022-06-30,RESPONIND,118.15,120.3,116.95,118.05,3022,0.0706,42824
2022-07-01,RESPONIND,119.9,141.65,119.9,139.6,72101,0.0894,806921
2022-07-04,RESPONIND,139.6,140.95,130.85,133.8,32874,0.2052,160240
2022-07-05,RESPONIND,135.0,135.0,129.0,129.85,10203,0.15109999999999998,67528
2022-07-06,RESPONIND,132.9,154.9,132.6,153.0,92625,0.0478,1936331
2022-07-07,RESPONIND,150.0,152.6,145.2,150.3,41480,0.0855,485308
2022-07-08,RESPONIND,150.25,151.9,143.0,147.45,16784,0.1815,92466
2022-07-11,RESPONIND,147.35,147.35,141.55,143.8,20987,0.3568,58820
2022-07-12,RESPONIND,142.95,146.0,130.9,139.65,24205,0.3033,79815
2022-07-13,RESPONIND,141.0,152.0,138.5,139.9,80412,0.2716,296037
2022-07-14,RESPONIND,140.85,149.0,139.0,140.35,44211,0.1723,256613
2022-07-15,RESPONIND,148.0,148.0,139.0,140.3,27142,0.2486,109187
2022-07-18,RESPONIND,142.4,147.6,139.25,140.6,18539,0.39130000000000004,47381
2022-07-19,RESPONIND,143.0,147.0,136.05,140.4,21340,0.21559999999999999,99000
2022-07-20,RESPONIND,143.0,144.65,140.0,140.7,16315,0.0654,249405
2022-07-21,RESPONIND,140.0,142.25,140.0,140.2,11846,0.48810000000000003,24268
2022-07-22,RESPONIND,141.6,141.7,140.0,140.1,11868,0.5225,22712
2022-07-25,RESPONIND,141.0,146.0,137.0,142.7,17650,0.3626,48676
2022-07-26,RESPONIND,142.0,144.95,135.0,135.7,24405,0.30820000000000003,79182
2022-07-27,RESPONIND,138.0,142.7,135.0,136.3,15566,0.18989999999999999,81976
2022-07-28,RESPONIND,139.5,149.0,138.0,142.6,65096,0.1222,532725
2022-07-29,RESPONIND,143.75,146.5,140.25,141.6,17888,0.3669,48750
2022-08-01,RESPONIND,141.0,144.95,140.5,142.8,21211,0.5601,37872
2022-08-02,RESPONIND,142.95,144.0,141.4,143.05,9516,0.3936,24179
2022-08-03,RESPONIND,142.95,144.0,138.0,139.0,11610,0.42810000000000004,27120
2022-08-04,RESPONIND,140.4,144.0,138.0,139.8,11324,0.2758,41054
2022-08-05,RESPONIND,141.9,142.9,138.0,138.6,6983,0.32780000000000004,21302
2022-08-08,RESPONIND,138.7,143.9,138.35,141.05,13554,0.5243,25850
2022-08-10,RESPONIND,142.5,142.5,138.7,139.4,24983,0.6028,41446
2022-08-11,RESPONIND,141.0,141.0,135.1,139.7,38797,0.48240000000000005,80418
2022-08-12,RESPONIND,142.9,144.8,140.05,141.7,27891,0.3816,73086
2022-08-16,RESPONIND,140.95,153.0,136.65,137.7,37931,0.30010000000000003,126401
2022-08-17,RESPONIND,139.7,141.5,137.55,139.1,20573,0.5174000000000001,39761
2022-08-18,RESPONIND,138.0,140.5,138.0,138.8,8296,0.2826,29361
2022-08-19,RESPONIND,138.3,139.85,136.5,136.75,10474,0.22039999999999998,47522
2022-08-22,RESPONIND,137.9,137.95,136.0,136.0,20236,0.3111,65044
2022-08-23,RESPONIND,135.15,138.25,133.5,134.1,6257,0.3847,16266
2022-08-24,RESPONIND,135.0,146.0,134.65,140.85,36413,0.131,278017
2022-08-25,RESPONIND,140.8,145.0,138.0,138.6,20283,0.4239,47852
2022-08-26,RESPONIND,139.0,145.15,139.0,140.1,27900,0.1479,188594
2022-08-29,RESPONIND,136.5,143.75,135.2,142.3,17871,0.2829,63173
2022-08-30,RESPONIND,144.0,148.0,139.4,145.2,25765,0.17260000000000003,149261
2022-09-01,RESPONIND,143.0,144.85,141.35,142.0,51561,0.2717,189786
2022-09-02,RESPONIND,144.15,149.35,142.0,147.0,44622,0.2665,167427
2022-09-05,RESPONIND,147.9,153.0,143.75,145.25,51210,0.26239999999999997,195143
2022-09-06,RESPONIND,145.25,148.75,143.75,147.2,21718,0.17260000000000003,125825
2022-09-07,RESPONIND,146.85,156.0,145.55,149.85,113334,0.13699999999999998,827249
2022-09-08,RESPONIND,150.9,154.45,148.05,149.1,24402,0.24910000000000002,97972
2022-09-09,RESPONIND,150.0,156.05,144.0,144.65,86484,0.1739,497399
2022-09-12,RESPONIND,147.85,151.0,138.5,139.35,69825,0.2415,289117
2022-09-13,RESPONIND,140.7,150.0,140.7,148.55,64707,0.2898,223297
2022-09-14,RESPONIND,144.5,148.7,139.75,146.35,47920,0.126,380440
2022-09-15,RESPONIND,146.0,151.0,140.3,141.1,60939,0.47130000000000005,129296
2022-09-16,RESPONIND,141.35,151.95,139.05,147.35,79306,0.5009,158336
2022-09-19,RESPONIND,150.0,151.5,138.0,144.75,22499,0.092,244600
2022-09-20,RESPONIND,145.85,149.7,144.0,146.65,23887,0.2829,84435
2022-09-21,RESPONIND,145.2,147.85,140.0,141.0,77084,0.4114,187353
