Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,RKDL,12.55,13.25,12.2,13.25,42060,0.7404000000000001,56804
2021-10-13,RKDL,13.9,13.9,13.9,13.9,18059,0.8745,20651
2021-10-14,RKDL,14.45,14.55,13.95,14.55,36112,0.7183,50273
2021-10-18,RKDL,15.25,15.25,13.85,14.0,61960,0.5153,120250
2021-10-19,RKDL,14.35,14.35,13.3,13.35,29648,0.6794,43640
2021-10-20,RKDL,13.65,13.65,12.7,12.75,16913,0.47140000000000004,35880
2021-10-21,RKDL,12.75,13.15,12.55,12.75,9477,0.5910000000000001,16036
2021-10-22,RKDL,12.95,13.0,12.6,12.75,4736,0.4336,10922
2021-10-25,RKDL,13.0,13.35,12.6,13.3,21331,0.5877,36295
2021-10-26,RKDL,13.7,13.9,13.35,13.8,20225,0.5776,35016
2021-10-27,RKDL,13.8,13.85,13.15,13.15,6633,0.5788000000000001,11459
2021-10-28,RKDL,13.8,13.8,13.0,13.0,9438,0.748,12618
2021-10-29,RKDL,13.6,13.6,12.6,13.15,31518,0.5738000000000001,54933
2021-11-01,RKDL,13.6,13.8,12.75,13.8,63612,0.7881999999999999,80704
2021-11-02,RKDL,14.2,14.2,13.35,13.8,8799,0.33590000000000003,26195
2021-11-03,RKDL,13.95,13.95,13.35,13.4,9591,0.6047,15861
2021-11-04,RKDL,13.85,13.85,13.05,13.3,2938,0.44689999999999996,6574
2021-11-08,RKDL,13.35,13.75,13.05,13.35,9064,0.4642,19527
2021-11-09,RKDL,13.6,13.65,12.7,12.7,68251,0.8384,81407
2021-11-10,RKDL,12.95,13.25,12.1,12.1,73199,0.7888,92803
2021-11-11,RKDL,12.35,12.4,11.5,11.8,93760,0.7554000000000001,124125
2021-11-12,RKDL,11.75,12.3,11.75,12.1,21004,0.6544,32096
2021-11-15,RKDL,12.65,12.65,12.15,12.2,15206,0.5439,27956
2021-11-16,RKDL,12.5,12.5,11.7,12.1,8598,0.7051999999999999,12192
2021-11-17,RKDL,12.35,12.35,11.65,11.85,11581,0.6553,17672
2021-11-18,RKDL,11.65,12.15,11.5,11.55,8458,0.6383,13251
2022-02-22,RKDL,8.3,8.3,7.65,8.3,45672,0.9919,46044
2022-02-23,RKDL,8.7,8.7,8.7,8.7,1399,1.0,1399
2022-02-24,RKDL,9.1,9.1,9.1,9.1,19357,1.0,19357
2022-02-25,RKDL,9.55,9.55,9.55,9.55,2819,1.0,2819
2022-02-28,RKDL,10.0,10.0,9.2,10.0,59250,0.7540000000000001,78584
2022-03-02,RKDL,10.5,10.5,10.1,10.5,73243,0.6498999999999999,112691
2022-03-03,RKDL,11.0,11.0,11.0,11.0,12462,0.9825,12684
2022-03-04,RKDL,11.55,11.55,11.4,11.55,45726,0.7693000000000001,59438
2022-03-07,RKDL,12.1,12.1,12.1,12.1,26570,0.9952,26698
2022-03-08,RKDL,12.7,12.7,12.7,12.7,12857,1.0,12857
2022-03-09,RKDL,13.3,13.3,13.3,13.3,10149,1.0,10149
2022-06-21,RKDL,9.75,10.5,9.75,10.0,7283,0.6967,10453
2022-06-22,RKDL,10.4,10.4,9.75,10.2,2680,0.9981000000000001,2685
2022-06-23,RKDL,10.7,10.7,9.85,10.0,1423,0.9958,1633
2022-06-24,RKDL,10.3,10.5,9.95,10.35,5291,0.7498,7057
2022-06-27,RKDL,10.7,10.8,9.95,10.2,7251,0.6648999999999999,10905
2022-06-28,RKDL,10.0,10.55,9.85,10.05,18262,0.895,20404
