Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,RKFORGE,1007.0,1007.0,969.5,975.5,86257,0.5866,147040
2021-09-02,RKFORGE,980.3,983.0,966.0,968.25,60488,0.5113000000000001,118292
2021-09-03,RKFORGE,1000.0,1010.0,974.55,979.65,74339,0.5529000000000001,134443
2021-09-06,RKFORGE,979.65,995.0,965.65,981.2,31242,0.29850000000000004,104658
2021-09-07,RKFORGE,982.0,993.1,972.35,977.0,18703,0.2122,88158
2021-09-08,RKFORGE,980.0,1023.7,980.0,994.15,80764,0.3904,206888
2021-09-09,RKFORGE,995.05,1006.1,986.0,991.45,38421,0.4618,83196
2021-09-13,RKFORGE,987.1,1013.2,987.1,992.9,26638,0.47250000000000003,56380
2021-09-14,RKFORGE,1000.0,1035.0,1000.0,1018.5,89358,0.5451,163915
2021-09-15,RKFORGE,1034.0,1062.0,1021.0,1045.8,59088,0.3713,159125
2021-09-16,RKFORGE,1077.0,1077.0,1037.0,1039.95,35785,0.49090000000000006,72892
2021-09-17,RKFORGE,1049.7,1056.9,1015.0,1046.5,41335,0.45909999999999995,90028
2021-09-20,RKFORGE,1027.7,1044.0,983.75,991.55,44607,0.5368,83094
2021-09-21,RKFORGE,991.0,1025.0,970.0,1017.7,35119,0.39909999999999995,87995
2021-09-22,RKFORGE,1020.0,1054.65,1019.4,1039.9,52980,0.3826,138464
2021-09-23,RKFORGE,1059.95,1067.95,1035.0,1037.35,43931,0.5640999999999999,77878
2021-09-24,RKFORGE,1046.85,1046.85,1020.0,1036.5,55304,0.38200000000000006,144785
2021-09-27,RKFORGE,1040.0,1045.0,1029.4,1034.8,86023,0.43710000000000004,196817
2021-09-28,RKFORGE,1040.0,1088.7,1024.05,1048.25,88040,0.3105,283508
2021-09-29,RKFORGE,1044.0,1069.0,1034.8,1062.65,63684,0.3556,179080
2021-09-30,RKFORGE,1069.95,1098.75,1069.0,1082.55,44366,0.32549999999999996,136302
2021-10-01,RKFORGE,1084.7,1097.7,1065.0,1088.6,47283,0.3,157607
2021-10-04,RKFORGE,1092.5,1148.55,1092.5,1125.1,73411,0.3973,184770
2021-10-05,RKFORGE,1129.9,1135.0,1101.0,1115.8,44422,0.3697,120150
2021-10-06,RKFORGE,1110.0,1155.0,1103.5,1107.55,49872,0.24059999999999998,207239
2021-10-07,RKFORGE,1144.0,1187.1,1124.1,1152.1,73222,0.23120000000000002,316713
2021-10-08,RKFORGE,1163.8,1209.9,1157.1,1192.55,196124,0.554,354040
2021-10-11,RKFORGE,1195.95,1260.0,1160.25,1185.9,205498,0.2993,686681
2021-10-12,RKFORGE,1220.0,1230.0,1191.8,1206.45,124099,0.49729999999999996,249541
2021-10-13,RKFORGE,1238.7,1238.7,1183.0,1186.2,118873,0.5875,202353
2021-10-14,RKFORGE,1198.0,1202.7,1155.0,1163.35,83526,0.5508,151637
2021-10-18,RKFORGE,1189.0,1209.0,1155.0,1201.0,103984,0.3411,304872
