Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,ROLTA,6.0,6.05,5.65,5.7,621861,0.6429,967311
2021-10-13,ROLTA,5.7,5.9,5.6,5.7,494050,0.6706000000000001,736678
2021-10-14,ROLTA,5.8,5.85,5.6,5.65,318969,0.6294,506772
2021-10-18,ROLTA,5.75,5.8,5.6,5.7,356851,0.6070000000000001,587878
2021-10-19,ROLTA,5.75,5.75,5.45,5.45,487976,0.6658,732963
2021-10-20,ROLTA,5.5,5.5,5.25,5.3,333370,0.7259000000000001,459256
2021-10-21,ROLTA,5.4,5.4,5.05,5.15,681520,0.506,1346991
2021-10-22,ROLTA,5.15,5.25,5.1,5.1,313913,0.7737999999999999,405666
2022-01-24,ROLTA,7.8,8.0,7.55,7.55,361458,0.5918,454291
2022-01-25,ROLTA,7.2,7.5,7.2,7.2,412914,0.604,683655
2022-01-27,ROLTA,6.9,7.15,6.85,6.95,388976,0.5753,676083
2022-01-28,ROLTA,7.0,7.25,6.95,7.25,240631,0.9102,264361
2022-01-31,ROLTA,7.55,7.6,7.0,7.1,480705,0.5822999999999999,825565
2022-02-01,ROLTA,7.2,7.3,7.0,7.05,254340,0.6524,389825
2022-02-02,ROLTA,7.05,7.15,6.8,6.85,349788,0.7011000000000001,498898
2022-02-03,ROLTA,7.0,7.15,6.95,7.15,263977,0.7626999999999999,346099
2022-02-04,ROLTA,7.35,7.5,7.25,7.5,290001,0.8387000000000001,345758
2022-02-07,ROLTA,7.85,7.85,7.15,7.45,1014512,0.5586,1816112
2022-02-08,ROLTA,7.45,7.6,7.15,7.25,270359,0.5293,510807
2022-02-09,ROLTA,7.25,7.3,7.0,7.0,239227,0.5579,428810
2022-02-10,ROLTA,6.95,7.1,6.65,6.95,500746,0.5658,884978
2022-02-11,ROLTA,6.85,6.95,6.7,6.85,227670,0.6762,336678
2022-02-14,ROLTA,6.6,6.75,6.55,6.55,227700,0.7829,290848
2022-02-15,ROLTA,6.3,6.45,6.25,6.25,221534,0.7673000000000001,288737
2022-02-16,ROLTA,6.15,6.55,6.15,6.55,218849,0.7098000000000001,308308
2022-02-17,ROLTA,6.75,6.85,6.55,6.8,326943,0.6536,500243
2022-02-18,ROLTA,6.6,6.95,6.5,6.5,213654,0.6376,335096
2022-02-21,ROLTA,6.55,6.65,6.2,6.2,270234,0.6188,436738
2022-05-23,ROLTA,4.9,5.05,4.75,4.85,80317,0.6666,120484
2022-05-24,ROLTA,4.8,4.95,4.75,4.95,74813,0.7238,103365
2022-05-25,ROLTA,4.9,4.9,4.75,4.8,108861,0.7829,139045
2022-05-26,ROLTA,4.85,4.85,4.65,4.75,86163,0.6854000000000001,125718
2022-05-27,ROLTA,4.8,4.8,4.75,4.75,72806,0.823,88469
2022-05-30,ROLTA,4.85,4.85,4.65,4.7,94415,0.5966,158259
2022-05-31,ROLTA,4.75,4.75,4.65,4.75,98448,0.6937000000000001,141922
2022-06-01,ROLTA,4.8,4.8,4.7,4.75,79391,0.7108,111686
2022-06-02,ROLTA,4.75,4.75,4.55,4.65,438242,0.5622,779457
2022-06-03,ROLTA,4.65,4.8,4.45,4.45,651523,0.6034,1079726
2022-06-06,ROLTA,4.45,4.55,4.25,4.35,326940,0.5634,580307
2022-06-07,ROLTA,4.45,4.55,4.25,4.35,188547,0.5314,354845
2022-06-08,ROLTA,4.35,4.5,4.15,4.3,332434,0.6508,510842
2022-06-09,ROLTA,4.3,4.45,4.25,4.4,80107,0.4133,193805
2022-06-10,ROLTA,4.5,4.5,4.3,4.4,65537,0.6481,101123
2022-06-13,ROLTA,4.4,4.45,4.25,4.25,104994,0.6385000000000001,164429
2022-06-14,ROLTA,4.3,4.35,4.05,4.15,195259,0.6027,323984
2022-06-15,ROLTA,4.25,4.35,4.15,4.35,96452,0.7298,132165
2022-06-16,ROLTA,4.5,4.55,4.1,4.15,151789,0.6173,245872
2022-06-17,ROLTA,4.25,4.25,4.0,4.1,133649,0.736,181591
2022-06-20,ROLTA,4.15,4.2,4.0,4.0,147095,0.5177,284141
2022-06-21,ROLTA,4.1,4.2,3.95,4.05,161772,0.599,270048
2022-06-22,ROLTA,4.05,4.2,4.0,4.1,82771,0.37460000000000004,220933
2022-06-23,ROLTA,4.2,4.2,3.95,4.1,76583,0.5333,185330
2022-06-24,ROLTA,4.2,4.3,4.15,4.2,66162,0.5086,130081
2022-06-27,ROLTA,4.3,4.4,4.3,4.3,118719,0.8172,145275
2022-06-28,ROLTA,4.3,4.4,4.2,4.25,48702,0.7579000000000001,64258
2022-06-29,ROLTA,4.2,4.35,4.2,4.2,61095,0.7926000000000001,77083
2022-06-30,ROLTA,4.3,4.5,4.1,4.15,74815,0.4001,186990
2022-07-01,ROLTA,4.2,4.3,4.05,4.25,60789,0.5643,107722
2022-07-04,ROLTA,4.3,4.35,4.2,4.25,35894,0.8207,43735
2022-07-05,ROLTA,4.4,4.4,4.15,4.2,74127,0.6217,119235
2022-07-06,ROLTA,4.2,4.2,4.1,4.2,61676,0.7155,86195
2022-07-07,ROLTA,4.3,4.3,4.1,4.15,83642,0.7609,109930
2022-07-08,ROLTA,4.15,4.25,4.1,4.2,76322,0.7298,104578
2022-07-11,ROLTA,4.25,4.25,4.1,4.1,105892,0.7861,134698
2022-07-12,ROLTA,4.2,4.25,4.05,4.15,88461,0.5486,161235
2022-07-13,ROLTA,4.2,4.4,4.2,4.4,162808,0.7209000000000001,225826
2022-07-14,ROLTA,4.5,4.6,4.3,4.3,106057,0.8493,124882
2022-07-15,ROLTA,4.4,4.4,4.2,4.25,62239,0.7166,86853
2022-07-18,ROLTA,4.3,4.6,4.2,4.55,254134,0.6463,393197
2022-07-19,ROLTA,4.65,4.65,4.35,4.4,124710,0.46890000000000004,265944
2022-07-20,ROLTA,4.5,4.6,4.4,4.55,105768,0.6864,154100
2022-07-21,ROLTA,4.5,4.7,4.45,4.5,122586,0.6204,197593
2022-07-22,ROLTA,4.35,4.6,4.3,4.4,162944,0.48310000000000003,337259
2022-07-25,ROLTA,4.5,4.5,4.3,4.35,50865,0.5289,96177
2022-07-26,ROLTA,4.35,4.4,4.25,4.3,103534,0.6484000000000001,159687
2022-07-27,ROLTA,4.4,4.45,4.25,4.3,110732,0.6064,182591
2022-07-28,ROLTA,4.4,4.4,4.2,4.25,99066,0.7573000000000001,130821
2022-07-29,ROLTA,4.25,4.3,4.15,4.25,107067,0.6378,167869
2022-08-01,ROLTA,4.25,4.3,4.15,4.2,317169,0.7658,414151
2022-08-02,ROLTA,4.25,4.6,4.25,4.6,555187,0.5228,1061861
2022-08-03,ROLTA,4.75,5.05,4.5,5.05,754327,0.5640999999999999,1337339
2022-08-04,ROLTA,5.0,5.55,4.7,5.55,1023789,0.4644,2204778
2022-08-05,ROLTA,5.7,5.75,5.3,5.3,627775,0.6607999999999999,950076
2022-08-08,ROLTA,5.25,5.3,5.05,5.05,265566,0.6343,418665
2022-08-10,ROLTA,4.9,5.05,4.8,4.85,262397,0.4219,621896
2022-08-11,ROLTA,4.8,4.9,4.75,4.75,200300,0.488,410456
2022-08-12,ROLTA,4.7,4.95,4.7,4.9,144177,0.6,240312
2022-08-16,ROLTA,5.05,5.05,4.85,4.9,156181,0.5533,282294
2022-08-17,ROLTA,4.95,4.95,4.8,4.85,98336,0.6479,151767
2022-08-18,ROLTA,4.9,4.95,4.8,4.9,109691,0.6353,172667
2022-08-19,ROLTA,4.85,4.9,4.8,4.8,144663,0.5927,244088
2022-08-22,ROLTA,4.75,4.85,4.75,4.75,80836,0.648,124746
