Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,RSYSTEMS,200.2,202.0,192.1,194.15,92367,0.5761000000000001,160335
2021-09-02,RSYSTEMS,194.15,197.8,194.15,194.95,87997,0.7675000000000001,114649
2021-09-03,RSYSTEMS,195.2,203.0,195.15,202.3,79095,0.5377000000000001,147100
2021-09-06,RSYSTEMS,203.45,204.55,197.35,198.0,40557,0.5518,73505
2021-09-07,RSYSTEMS,198.05,199.45,195.0,195.8,23865,0.5918,40327
2021-09-08,RSYSTEMS,196.9,203.0,195.15,197.75,36050,0.4587,78589
2021-09-09,RSYSTEMS,197.8,201.8,197.1,199.45,23473,0.5961,39379
2021-09-13,RSYSTEMS,204.9,208.75,202.1,205.0,100500,0.4554,220693
2021-09-14,RSYSTEMS,208.65,211.0,207.35,209.0,82162,0.5745,143024
2021-09-15,RSYSTEMS,212.0,224.75,209.05,220.45,246006,0.4022,611611
2021-09-16,RSYSTEMS,223.0,224.5,211.7,214.2,118586,0.5577000000000001,212624
2021-09-17,RSYSTEMS,214.8,215.0,202.7,210.6,69169,0.5109,135394
2021-09-20,RSYSTEMS,214.8,214.8,205.0,206.7,41511,0.5071,81855
2021-09-21,RSYSTEMS,206.0,210.0,197.3,204.25,51040,0.483,105664
2021-09-22,RSYSTEMS,207.6,209.75,204.45,206.25,25636,0.52,49299
2021-09-23,RSYSTEMS,214.9,221.0,211.1,214.4,110999,0.35700000000000004,310893
2021-09-24,RSYSTEMS,215.4,218.0,210.0,214.35,46689,0.5007,93252
2021-09-27,RSYSTEMS,215.4,220.9,214.5,217.0,43005,0.4777,90030
2021-09-28,RSYSTEMS,218.0,218.0,210.0,212.65,28228,0.5344,52820
2021-09-29,RSYSTEMS,214.0,218.0,211.05,216.4,45463,0.5690999999999999,79882
2021-09-30,RSYSTEMS,216.4,219.8,212.5,214.6,32223,0.6124,52614
2021-10-01,RSYSTEMS,212.95,231.0,212.75,222.25,102128,0.5268,193852
2021-10-04,RSYSTEMS,224.0,227.3,217.0,219.55,43125,0.49420000000000003,87268
2021-10-05,RSYSTEMS,218.8,221.0,217.45,218.3,26949,0.568,47445
2021-10-06,RSYSTEMS,219.75,219.75,213.05,215.0,22265,0.6041,36854
2021-10-07,RSYSTEMS,216.1,219.9,215.0,216.4,19233,0.5017,38334
2021-10-08,RSYSTEMS,218.55,219.0,212.05,214.4,29431,0.5522,53299
2021-10-11,RSYSTEMS,215.4,215.4,207.25,210.3,44859,0.6265,71599
2021-10-12,RSYSTEMS,213.7,214.5,206.2,211.2,41947,0.5454,76913
2021-10-13,RSYSTEMS,210.5,214.95,207.4,212.0,43658,0.518,84279
2021-10-14,RSYSTEMS,217.0,221.25,211.1,220.3,105475,0.6801,155077
2021-10-18,RSYSTEMS,222.4,224.8,214.15,215.55,61925,0.5585,110879
2021-10-19,RSYSTEMS,222.0,222.0,212.05,214.0,48367,0.6133,78869
2021-10-20,RSYSTEMS,213.0,219.75,209.55,216.7,56374,0.6144,91749
2021-10-21,RSYSTEMS,220.6,220.6,212.0,217.6,29612,0.5561,53245
2021-10-22,RSYSTEMS,217.6,219.35,211.85,216.15,22247,0.5528000000000001,40245
2021-10-25,RSYSTEMS,216.0,217.25,200.1,204.9,49369,0.6175,79951
2021-10-26,RSYSTEMS,204.9,214.0,203.3,212.85,22836,0.5535,41256
2021-10-27,RSYSTEMS,213.9,225.0,209.55,222.6,98143,0.34020000000000006,288495
2021-10-28,RSYSTEMS,224.0,224.0,214.95,220.1,47663,0.49520000000000003,96252
2021-10-29,RSYSTEMS,217.1,221.95,215.5,219.5,26606,0.46840000000000004,56799
2021-11-01,RSYSTEMS,224.0,224.0,218.0,219.7,43051,0.537,80162
2021-11-02,RSYSTEMS,222.4,222.8,210.2,213.35,90712,0.3983,227753
2021-11-03,RSYSTEMS,220.0,220.0,213.1,213.65,26181,0.44770000000000004,58481
2021-11-04,RSYSTEMS,213.7,232.0,213.7,227.4,99037,0.711,139293
2021-11-08,RSYSTEMS,235.0,252.65,229.85,248.7,290445,0.3814,761541
2021-11-09,RSYSTEMS,250.0,259.75,248.7,252.75,149973,0.4545,329981
2021-11-10,RSYSTEMS,252.4,254.95,243.15,244.85,51553,0.528,97638
2021-11-11,RSYSTEMS,243.9,243.9,235.25,237.95,32211,0.4657,69164
2021-11-12,RSYSTEMS,239.15,243.85,235.0,236.5,25022,0.4847,51622
2021-11-15,RSYSTEMS,236.5,239.0,230.1,234.0,26242,0.4853,54076
2021-11-16,RSYSTEMS,236.0,245.0,236.0,243.15,59046,0.46530000000000005,126892
2021-11-17,RSYSTEMS,244.8,254.8,244.0,249.9,58410,0.3968,147209
2021-11-18,RSYSTEMS,251.0,253.0,235.3,239.25,40752,0.5117,79647
2021-11-22,RSYSTEMS,239.65,241.75,221.95,230.2,34381,0.41700000000000004,82447
2021-11-23,RSYSTEMS,230.0,235.6,227.1,231.25,36290,0.4233,85739
2021-11-24,RSYSTEMS,233.6,245.9,232.5,239.5,37367,0.4651,80347
2021-11-25,RSYSTEMS,249.5,287.4,241.85,287.4,423293,0.2798,1512642
2021-11-26,RSYSTEMS,294.0,329.0,290.5,320.3,521226,0.17420000000000002,2991979
2021-11-29,RSYSTEMS,324.85,324.85,293.1,307.4,181640,0.2696,673717
2021-11-30,RSYSTEMS,302.35,351.9,288.95,313.7,283911,0.3066,926097
2021-12-01,RSYSTEMS,326.0,331.0,306.5,312.4,83118,0.31120000000000003,267071
2021-12-02,RSYSTEMS,313.95,329.0,310.0,317.6,96470,0.38310000000000005,251812
2021-12-03,RSYSTEMS,318.0,330.0,316.35,318.85,67095,0.389,172465
2021-12-06,RSYSTEMS,318.85,329.0,311.0,312.45,69737,0.4343,160557
2021-12-07,RSYSTEMS,318.5,322.25,311.55,313.05,32783,0.5455,60102
2021-12-08,RSYSTEMS,315.9,322.6,313.0,314.05,41876,0.5029,83267
2021-12-09,RSYSTEMS,317.4,317.4,306.0,313.05,26810,0.5104,52530
2021-12-10,RSYSTEMS,315.9,315.9,309.0,309.3,28140,0.6847,41101
2021-12-13,RSYSTEMS,312.0,319.5,307.15,308.8,47617,0.506,94110
2021-12-14,RSYSTEMS,310.0,316.5,308.1,313.35,37752,0.5776,65364
2021-12-15,RSYSTEMS,309.5,313.1,300.0,301.4,51256,0.6322,81071
2021-12-16,RSYSTEMS,302.55,308.0,279.05,285.75,111090,0.62,179172
2021-12-17,RSYSTEMS,287.9,314.3,287.9,291.65,87569,0.3013,290647
2021-12-20,RSYSTEMS,291.7,296.75,280.0,294.15,56391,0.5233,107764
2021-12-21,RSYSTEMS,297.9,307.5,291.9,301.45,44955,0.3287,136763
2021-12-22,RSYSTEMS,301.45,308.45,298.0,300.0,33558,0.49840000000000007,67335
2021-12-23,RSYSTEMS,302.8,307.35,302.3,304.05,20053,0.5563,36048
2021-12-24,RSYSTEMS,305.75,314.5,304.1,307.65,46983,0.41979999999999995,111914
2021-12-27,RSYSTEMS,314.0,350.0,310.15,335.15,229604,0.32130000000000003,714558
2021-12-28,RSYSTEMS,339.0,340.0,327.05,331.05,69614,0.4793,145251
2021-12-29,RSYSTEMS,331.05,333.45,322.05,327.0,39651,0.5835,67958
2021-12-30,RSYSTEMS,322.0,335.9,322.0,328.25,48779,0.4486,108730
2021-12-31,RSYSTEMS,329.5,333.95,322.4,324.7,34267,0.5716,59947
2022-01-03,RSYSTEMS,333.0,333.0,312.8,319.45,57101,0.6168,92575
2022-01-04,RSYSTEMS,320.0,323.85,309.0,313.55,47990,0.6393,75070
2022-01-05,RSYSTEMS,313.55,314.7,308.0,309.35,26501,0.5908,44855
2022-01-06,RSYSTEMS,307.0,308.95,300.0,302.1,36653,0.5764,63585
2022-01-07,RSYSTEMS,300.0,327.85,300.0,317.6,87790,0.31570000000000004,278049
2022-01-10,RSYSTEMS,322.0,334.75,317.0,332.0,101594,0.3373,301189
2022-01-11,RSYSTEMS,334.0,338.2,323.5,324.7,46381,0.5397,85932
2022-01-12,RSYSTEMS,322.0,327.7,318.05,319.55,26467,0.5747,46053
2022-01-13,RSYSTEMS,322.0,327.0,316.15,321.65,24993,0.5052000000000001,49475
2022-01-14,RSYSTEMS,320.5,333.7,318.0,324.2,41409,0.4476,92517
2022-01-17,RSYSTEMS,329.0,354.95,324.55,327.25,156244,0.3876,403115
2022-01-18,RSYSTEMS,330.7,334.75,310.1,319.7,71727,0.5668,126546
2022-01-19,RSYSTEMS,316.0,323.4,311.1,319.35,25976,0.47490000000000004,54693
2022-01-20,RSYSTEMS,323.95,332.9,318.95,329.1,67653,0.5386,125606
2022-01-21,RSYSTEMS,328.9,329.1,311.9,317.05,29846,0.5529000000000001,53984
2022-01-24,RSYSTEMS,311.0,316.45,294.4,298.2,32245,0.5319,119795
2022-01-25,RSYSTEMS,286.0,307.4,284.25,304.05,33597,0.5144,65316
2022-01-27,RSYSTEMS,307.2,312.0,291.0,307.2,29093,0.5717,50893
