Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,RTNPOWER,4.5,4.65,4.25,4.25,18141079,0.7182,25258727
2021-10-13,RTNPOWER,4.35,4.45,4.3,4.45,12518326,0.7783,16084658
2021-10-14,RTNPOWER,4.55,4.55,4.4,4.4,8421732,0.7041,11960992
2021-10-18,RTNPOWER,4.5,4.6,4.4,4.4,15751042,0.6691,23539729
2021-10-19,RTNPOWER,4.45,4.45,4.3,4.35,9094482,0.6464,14068441
2021-10-20,RTNPOWER,4.3,4.35,4.15,4.15,8283125,0.5749000000000001,14408596
2021-10-21,RTNPOWER,4.2,4.3,4.15,4.25,3542980,0.48369999999999996,7324892
2021-10-22,RTNPOWER,4.3,4.3,4.1,4.1,5422345,0.5136000000000001,10557508
2021-10-25,RTNPOWER,4.15,4.15,3.95,3.95,6037771,0.6181,9768393
2021-10-26,RTNPOWER,4.0,4.1,3.9,4.0,6003261,0.4792,12527593
2021-10-27,RTNPOWER,4.0,4.05,3.85,3.9,10525699,0.4,26311485
2021-10-28,RTNPOWER,3.9,4.05,3.75,3.95,15108016,0.5594,27007458
2021-10-29,RTNPOWER,4.0,4.0,3.8,3.8,8816097,0.6947,12690083
2021-11-01,RTNPOWER,3.85,3.95,3.8,3.95,1999201,0.5845,3420554
2021-11-02,RTNPOWER,4.0,4.0,3.9,4.0,10515783,0.7632,13779292
2021-11-03,RTNPOWER,4.0,4.0,3.95,4.0,6737788,0.8913,7559714
2021-11-04,RTNPOWER,4.0,4.0,3.8,3.9,5213907,0.5561,9375670
2021-11-08,RTNPOWER,3.9,3.95,3.85,3.85,6270436,0.648,9676009
2021-11-09,RTNPOWER,3.9,4.0,3.85,3.95,7574293,0.6104,12409048
2021-11-10,RTNPOWER,3.95,4.0,3.9,4.0,3896218,0.7556999999999999,5155542
2021-11-11,RTNPOWER,4.0,4.0,3.9,3.95,3238495,0.4853,6672733
2021-11-12,RTNPOWER,4.0,4.0,3.95,4.0,4546009,0.7667,5929410
2021-11-15,RTNPOWER,4.0,4.0,3.85,3.9,5241817,0.6329,8281728
2021-11-16,RTNPOWER,3.85,3.95,3.85,3.9,4217681,0.6157,6850209
2021-11-17,RTNPOWER,3.9,3.9,3.85,3.85,3081516,0.6470999999999999,4762340
2021-11-18,RTNPOWER,3.9,3.9,3.75,3.85,6161244,0.4951,12445611
2021-11-22,RTNPOWER,3.9,3.9,3.7,3.7,5489346,0.502,10934150
2021-11-23,RTNPOWER,3.7,3.85,3.65,3.8,6652797,0.4904,13567432
2021-11-24,RTNPOWER,3.8,3.9,3.7,3.75,19139584,0.6020000000000001,31795930
2021-11-25,RTNPOWER,3.8,3.85,3.75,3.8,9201600,0.7226,12733174
2021-11-26,RTNPOWER,3.75,3.8,3.65,3.7,13701415,0.5996,22852762
2021-11-29,RTNPOWER,3.75,3.75,3.55,3.55,9449174,0.6517000000000001,14499307
2021-11-30,RTNPOWER,3.5,3.65,3.45,3.5,6657638,0.45299999999999996,14698231
2021-12-01,RTNPOWER,3.5,3.65,3.45,3.65,7199939,0.525,13712907
2021-12-02,RTNPOWER,3.8,3.8,3.75,3.8,2281165,0.8142,2801773
2021-12-03,RTNPOWER,3.95,3.95,3.95,3.95,1952857,1.0,1952857
2021-12-06,RTNPOWER,4.1,4.1,4.1,4.1,1581282,1.0,1581282
2021-12-07,RTNPOWER,4.3,4.3,4.3,4.3,1573857,1.0,1573857
2021-12-08,RTNPOWER,4.5,4.5,4.4,4.5,12390491,0.6163000000000001,20104912
2021-12-09,RTNPOWER,4.7,4.7,4.7,4.7,1842971,1.0,1842971
2021-12-10,RTNPOWER,4.9,4.9,4.9,4.9,2426857,1.0,2426857
2021-12-13,RTNPOWER,5.1,5.1,5.1,5.1,1901450,1.0,1901450
2021-12-14,RTNPOWER,5.35,5.35,5.35,5.35,2127420,1.0,2127420
2021-12-15,RTNPOWER,5.6,5.6,5.6,5.6,1553434,1.0,1553434
2021-12-16,RTNPOWER,5.85,5.85,5.4,5.85,51192828,0.4675,109504829
2021-12-17,RTNPOWER,6.1,6.1,5.6,5.65,46591866,0.4001,116457854
2021-12-20,RTNPOWER,5.45,5.5,5.4,5.4,5350799,0.6993,7651146
2021-12-21,RTNPOWER,5.3,5.35,5.15,5.15,20075733,0.34630000000000005,57965266
