Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SADBHIN,17.75,17.75,17.15,17.75,1104464,0.5679,1944771
2021-09-02,SADBHIN,18.2,18.35,17.4,17.45,772791,0.6976000000000001,1107753
2021-09-03,SADBHIN,17.5,17.8,16.85,16.95,562468,0.6914,813500
2021-09-06,SADBHIN,17.3,17.45,16.4,16.45,586044,0.7214,812391
2021-09-07,SADBHIN,16.4,16.85,15.85,16.45,700808,0.5740999999999999,1220744
2021-09-08,SADBHIN,16.8,17.0,16.35,16.55,1579199,0.7962,1983424
2021-09-09,SADBHIN,16.65,16.7,15.75,15.75,1788731,0.8934000000000001,2002149
2021-09-13,SADBHIN,15.75,16.1,15.0,15.3,1185798,0.6847,1731860
2021-09-14,SADBHIN,15.55,16.0,14.85,15.85,1359210,0.745,1824434
2021-09-15,SADBHIN,16.25,16.6,15.85,16.6,1164317,0.8911,1306552
2021-09-16,SADBHIN,17.4,17.4,17.05,17.4,951141,0.7640000000000001,1244939
2021-09-17,SADBHIN,18.05,18.25,16.8,17.8,2049898,0.559,3667382
2021-09-20,SADBHIN,17.5,17.95,16.95,16.95,683512,0.7856000000000001,870041
2021-09-21,SADBHIN,16.4,16.7,16.15,16.3,574927,0.6096,943142
2021-09-22,SADBHIN,16.3,16.6,16.3,16.45,813105,0.8776,926464
2021-09-23,SADBHIN,16.35,16.9,16.35,16.55,298004,0.6731,442735
2021-09-24,SADBHIN,16.55,16.95,15.75,15.9,901027,0.7178,1255334
2021-09-27,SADBHIN,16.0,16.2,15.7,15.85,334796,0.7529000000000001,444652
2021-09-28,SADBHIN,16.05,16.3,15.7,16.05,366397,0.5970000000000001,613734
2021-09-29,SADBHIN,16.05,16.2,15.6,15.95,217823,0.5670000000000001,384149
2021-09-30,SADBHIN,16.05,16.7,15.95,16.65,552324,0.6489,851213
2021-10-01,SADBHIN,16.6,16.7,15.95,16.1,420319,0.7209000000000001,583069
2021-10-04,SADBHIN,16.25,16.45,16.1,16.3,267343,0.6679,400302
2021-10-05,SADBHIN,16.45,16.45,15.9,16.05,626363,0.795,787885
2021-10-06,SADBHIN,16.25,16.4,15.95,16.1,460958,0.7236,636993
2021-10-07,SADBHIN,16.1,16.35,15.9,16.0,496438,0.7295,680504
2021-10-08,SADBHIN,16.15,16.2,15.9,15.95,391276,0.8183,478155
2021-10-11,SADBHIN,16.1,16.25,15.8,15.95,454584,0.8220000000000001,553022
2021-10-12,SADBHIN,16.0,16.45,15.8,15.9,504859,0.6049,834654
2021-10-13,SADBHIN,16.15,16.2,15.65,16.1,2005126,0.7142000000000001,2807450
2021-10-14,SADBHIN,16.2,16.9,16.0,16.9,1198101,0.8453,1417338
2021-10-18,SADBHIN,17.5,17.7,17.0,17.7,942590,0.7669,1229044
2021-10-19,SADBHIN,17.95,18.4,16.85,16.9,1205317,0.7537,1599249
2021-10-20,SADBHIN,17.2,17.2,16.1,16.15,658623,0.7139,922607
2021-10-21,SADBHIN,16.45,16.45,15.7,16.0,305951,0.7748999999999999,394819
2021-10-22,SADBHIN,16.2,16.45,15.8,16.05,210765,0.7083,297585
2021-10-25,SADBHIN,16.05,16.1,15.45,15.7,225652,0.772,292282
2021-10-26,SADBHIN,15.65,16.0,15.5,15.9,136804,0.7277,187990
2021-10-27,SADBHIN,16.0,16.4,15.75,16.05,161898,0.6965000000000001,232456
2021-10-28,SADBHIN,16.0,16.25,15.6,15.7,167966,0.7691,218393
2021-10-29,SADBHIN,15.85,15.95,15.55,15.65,121971,0.6924,176152
2021-11-01,SADBHIN,15.7,16.4,15.55,15.8,136837,0.6494,210718
2021-11-02,SADBHIN,16.0,16.1,15.7,15.8,90924,0.6814,133442
2021-11-03,SADBHIN,15.95,16.1,15.7,15.75,138686,0.7642,181490
2021-11-04,SADBHIN,15.7,15.95,15.55,15.7,109532,0.8062,135861
2021-11-08,SADBHIN,15.9,15.95,15.35,15.5,378451,0.7852,481968
2021-11-09,SADBHIN,15.5,15.8,15.4,15.6,264924,0.6867,385796
2021-11-10,SADBHIN,15.7,16.3,15.6,16.0,272213,0.6778000000000001,401592
2021-11-11,SADBHIN,16.05,16.25,15.5,15.8,233063,0.672,346800
2021-11-12,SADBHIN,15.95,16.0,15.65,15.8,167412,0.7725,216718
2021-11-15,SADBHIN,15.7,15.8,15.05,15.05,486838,0.8292,587137
2021-11-16,SADBHIN,15.2,15.45,14.9,15.0,276008,0.768,359399
2021-11-17,SADBHIN,15.2,15.2,14.25,14.4,378309,0.8671,436315
2021-11-18,SADBHIN,14.05,14.4,13.8,14.05,362883,0.6613,548733
2021-11-22,SADBHIN,14.2,14.2,13.35,13.35,313190,0.8672,361153
2021-11-23,SADBHIN,13.3,14.0,12.85,13.95,436866,0.7693000000000001,567878
2021-11-24,SADBHIN,13.8,14.5,13.8,13.95,2025442,0.9318000000000001,2173696
2021-11-25,SADBHIN,14.2,14.25,13.5,13.7,930921,0.9057,1027815
2021-11-26,SADBHIN,13.5,13.65,13.1,13.15,326492,0.8123,401920
2021-11-29,SADBHIN,12.8,13.15,12.5,12.75,238410,0.6931999999999999,343908
2021-11-30,SADBHIN,12.9,13.35,12.7,13.0,204976,0.6978,293741
2021-12-01,SADBHIN,13.35,13.35,12.8,12.9,214325,0.8004000000000001,267783
2021-12-02,SADBHIN,12.9,13.5,12.8,13.35,277574,0.7868,352770
2021-12-03,SADBHIN,13.65,14.0,13.1,14.0,388164,0.8393,462477
2021-12-06,SADBHIN,14.2,14.45,13.4,13.6,225483,0.5297999999999999,425589
2021-12-07,SADBHIN,14.05,14.25,13.5,14.1,392005,0.7964,492228
2021-12-08,SADBHIN,14.2,14.8,14.2,14.8,560003,0.8327,672542
2021-12-09,SADBHIN,15.5,15.5,15.15,15.5,510411,0.7169,711929
2021-12-10,SADBHIN,15.85,16.2,15.5,15.7,524629,0.7264,722224
2021-12-13,SADBHIN,15.85,16.0,15.0,15.05,374849,0.7206999999999999,520149
2021-12-14,SADBHIN,15.05,15.75,14.55,15.6,396671,0.6422,617697
2021-12-15,SADBHIN,15.9,15.9,14.95,15.05,305582,0.7513,406723
2021-12-16,SADBHIN,15.25,15.3,14.6,14.65,231267,0.7859999999999999,294228
2021-12-17,SADBHIN,14.6,14.75,14.0,14.25,209966,0.7058,297495
2021-12-20,SADBHIN,13.8,13.85,13.55,13.55,270881,0.7095,381788
2021-12-21,SADBHIN,13.55,14.0,13.55,13.8,201053,0.7462000000000001,269434
2021-12-22,SADBHIN,13.9,14.15,13.5,13.8,152123,0.7693000000000001,197744
2021-12-23,SADBHIN,13.95,14.45,13.3,14.05,374061,0.6359,588202
2021-12-24,SADBHIN,14.1,14.2,13.65,13.8,183697,0.6575,279402
2021-12-27,SADBHIN,14.05,14.45,13.7,14.45,366124,0.8247,443961
2021-12-28,SADBHIN,14.8,15.15,14.8,15.15,497965,0.8616,577969
2021-12-29,SADBHIN,15.45,15.9,15.2,15.5,792949,0.6332,1252342
2021-12-30,SADBHIN,15.6,15.6,14.75,15.1,326861,0.6329,516429
2021-12-31,SADBHIN,15.1,15.35,14.8,15.0,277542,0.6470999999999999,428927
2022-01-03,SADBHIN,15.0,15.65,14.7,15.1,512894,0.5055,1014672
2022-01-04,SADBHIN,15.3,15.85,15.0,15.85,1350011,0.8247,1636960
2022-01-05,SADBHIN,16.05,16.05,15.25,15.3,491669,0.7019,700521
2022-01-06,SADBHIN,15.2,15.6,14.8,15.25,244691,0.5837,419236
2022-01-07,SADBHIN,15.4,15.45,15.0,15.1,346293,0.7340000000000001,471789
2022-01-10,SADBHIN,15.25,15.85,15.15,15.85,452694,0.6253000000000001,723958
2022-01-11,SADBHIN,15.85,16.1,15.3,15.35,539172,0.7236,745168
