Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SAGCEM,284.8,284.8,275.15,276.7,51583,0.5833,88429
2021-09-02,SAGCEM,280.0,283.45,274.7,276.5,87997,0.5174000000000001,170072
2021-09-03,SAGCEM,280.0,281.0,275.1,276.6,52101,0.684,76171
2021-09-06,SAGCEM,279.45,281.75,270.5,273.1,62027,0.6108,101549
2021-09-07,SAGCEM,276.9,276.9,268.0,269.6,312551,0.9296,336217
2021-09-08,SAGCEM,269.65,277.25,268.0,269.55,37680,0.5859000000000001,64309
2021-09-09,SAGCEM,270.95,273.95,266.85,267.45,168499,0.9095000000000001,185267
2021-09-13,SAGCEM,275.0,276.0,270.05,272.65,144118,0.823,175122
2021-09-14,SAGCEM,276.95,276.95,273.0,274.35,37924,0.6402,59240
2021-09-15,SAGCEM,274.85,280.0,272.5,273.4,28955,0.583,49662
2021-09-16,SAGCEM,276.5,276.5,272.0,275.95,41643,0.7434999999999999,56012
2021-09-17,SAGCEM,273.45,284.75,273.45,281.0,269269,0.9083,296448
2021-09-20,SAGCEM,284.75,290.0,275.5,285.2,119839,0.573,209142
2021-09-21,SAGCEM,289.0,289.9,270.55,282.55,70566,0.5866,120306
2021-09-22,SAGCEM,282.55,282.55,275.0,276.85,33836,0.5326,63530
2021-09-23,SAGCEM,279.9,290.8,276.15,281.4,64810,0.41740000000000005,155285
2021-09-24,SAGCEM,285.8,290.0,277.0,287.3,54436,0.529,102900
2021-09-27,SAGCEM,289.75,297.85,280.0,282.2,59832,0.5396,110879
2021-09-28,SAGCEM,284.0,305.7,278.35,301.6,209621,0.5331,393229
2021-09-29,SAGCEM,302.0,302.0,292.55,300.1,255083,0.7531,338725
2021-09-30,SAGCEM,300.0,301.75,293.3,294.55,36750,0.5454,67387
2021-10-01,SAGCEM,294.55,294.55,285.35,288.15,26023,0.48490000000000005,53667
2021-10-04,SAGCEM,290.75,303.0,289.05,296.6,74301,0.3168,234554
2021-10-05,SAGCEM,299.0,302.4,297.25,299.25,50405,0.5497,91688
2021-10-06,SAGCEM,298.0,314.4,296.0,307.8,167637,0.4459,375916
2021-10-07,SAGCEM,310.7,314.85,304.0,305.3,98281,0.5511,178327
2021-10-08,SAGCEM,308.9,314.65,301.35,302.65,46995,0.5487,85653
2021-10-11,SAGCEM,305.0,306.1,293.0,294.65,56578,0.6631,85322
2021-10-12,SAGCEM,295.5,298.2,285.5,286.9,64381,0.6311,102014
2021-10-13,SAGCEM,286.9,303.0,282.0,296.7,74995,0.457,164106
2021-10-14,SAGCEM,295.1,305.05,295.1,296.7,52895,0.48310000000000003,109491
2021-10-18,SAGCEM,299.3,303.1,292.0,292.75,35626,0.5663,62906
2021-10-19,SAGCEM,294.0,295.95,285.2,286.3,33153,0.5178,64025
2021-10-20,SAGCEM,287.3,292.95,280.0,284.5,20419,0.4455,45835
2021-10-21,SAGCEM,287.5,290.6,281.5,288.65,29155,0.4693,62129
2021-10-22,SAGCEM,294.0,295.0,283.35,287.35,50322,0.34240000000000004,146964
2021-10-25,SAGCEM,286.05,292.0,275.3,277.05,56708,0.6302000000000001,89986
2021-10-26,SAGCEM,275.0,289.45,273.4,285.95,47378,0.44799999999999995,105748
2021-10-27,SAGCEM,284.8,294.9,267.05,270.15,142816,0.6896,207086
2021-10-28,SAGCEM,265.0,276.15,261.0,265.05,87681,0.5555,157843
2021-10-29,SAGCEM,266.9,282.4,260.85,280.25,104514,0.5452,191682
2021-11-01,SAGCEM,281.0,284.0,274.05,276.7,36244,0.4132,87709
2021-11-02,SAGCEM,277.9,280.0,275.0,275.7,24632,0.5161,47725
2021-11-03,SAGCEM,276.9,276.9,268.0,269.7,33354,0.5861999999999999,56898
2021-11-04,SAGCEM,271.7,277.0,271.0,275.6,10523,0.7134999999999999,14748
2021-11-08,SAGCEM,279.0,298.0,279.0,294.5,206077,0.6257,329377
2021-11-09,SAGCEM,295.65,296.5,288.0,289.85,42044,0.5245000000000001,80159
2021-11-10,SAGCEM,288.0,291.6,282.4,284.35,30053,0.5012,59967
2021-11-11,SAGCEM,283.0,284.55,277.05,279.35,36171,0.5979,60497
2021-11-12,SAGCEM,280.9,280.9,272.1,274.3,34588,0.6174000000000001,56024
2021-11-15,SAGCEM,276.9,276.9,267.05,269.1,37614,0.6818000000000001,55171
2021-11-16,SAGCEM,277.0,290.0,275.55,277.45,55661,0.3626,153523
2021-11-17,SAGCEM,277.45,278.85,270.1,271.7,28455,0.5526,51490
2021-11-18,SAGCEM,275.0,276.4,267.0,272.0,32039,0.5538000000000001,57852
2021-11-22,SAGCEM,274.4,274.5,265.0,266.15,43090,0.5475,78702
2021-11-23,SAGCEM,263.0,272.0,261.0,270.45,18112,0.5146000000000001,35193
2021-11-24,SAGCEM,275.0,275.0,270.0,271.3,16122,0.5915,27256
2021-11-25,SAGCEM,267.5,273.9,267.5,269.7,10144,0.5599000000000001,18116
2021-11-26,SAGCEM,268.5,272.05,260.05,261.9,38159,0.6097,62585
2021-11-29,SAGCEM,261.9,262.65,246.3,255.0,50953,0.5910000000000001,86212
2021-11-30,SAGCEM,260.0,263.65,255.0,257.15,283458,0.9520000000000001,297757
2021-12-01,SAGCEM,257.35,263.8,255.8,257.45,18704,0.5892000000000001,31745
2021-12-02,SAGCEM,258.5,263.45,254.85,257.75,10105,0.5562,18167
2021-12-03,SAGCEM,259.3,260.2,254.1,255.5,15088,0.5357000000000001,28166
2021-12-06,SAGCEM,248.45,252.25,235.1,240.05,147959,0.47619999999999996,310700
2021-12-07,SAGCEM,240.05,254.95,240.05,250.0,57337,0.47619999999999996,120414
2021-12-08,SAGCEM,252.9,256.45,248.0,250.05,44433,0.6311,70404
2021-12-09,SAGCEM,251.9,264.0,248.95,252.15,63277,0.6343,99761
2021-12-10,SAGCEM,257.0,259.0,250.9,252.0,16054,0.5351,30001
2021-12-13,SAGCEM,258.7,260.7,244.35,254.4,89988,0.4757,189159
2021-12-14,SAGCEM,254.4,254.4,247.25,250.75,12348,0.4458,27700
2021-12-15,SAGCEM,250.75,251.9,246.65,248.15,11878,0.5264,22564
2021-12-16,SAGCEM,250.5,260.0,248.4,256.3,136208,0.6027,226005
2021-12-17,SAGCEM,256.0,259.0,250.35,253.7,42122,0.48610000000000003,86661
2021-12-20,SAGCEM,250.0,255.9,236.0,250.7,82634,0.5898,140098
2021-12-21,SAGCEM,255.0,255.85,248.2,250.7,22877,0.552,41443
2021-12-22,SAGCEM,251.9,254.9,248.4,250.55,30204,0.5662,53347
2021-12-23,SAGCEM,251.0,258.0,251.0,255.25,158774,0.7666,207111
2021-12-24,SAGCEM,257.0,258.0,253.3,256.15,14833,0.5063000000000001,29297
2021-12-27,SAGCEM,261.0,269.1,258.0,266.25,68903,0.5166,133366
2021-12-28,SAGCEM,268.4,273.9,264.5,267.95,26400,0.4369,60430
2021-12-29,SAGCEM,270.0,273.0,263.25,266.2,17671,0.48850000000000005,36172
2021-12-30,SAGCEM,266.0,271.5,262.85,265.3,26401,0.5147,51290
2021-12-31,SAGCEM,268.5,274.8,268.0,269.7,21796,0.3216,67768
2022-01-03,SAGCEM,271.7,273.0,268.85,270.3,31314,0.4521,69258
2022-01-04,SAGCEM,274.0,274.0,266.7,268.6,32096,0.6314000000000001,50836
2022-01-05,SAGCEM,266.2,273.4,262.5,264.2,51446,0.5524,93128
2022-01-06,SAGCEM,261.7,269.0,260.0,265.55,19930,0.552,36104
2022-01-07,SAGCEM,268.4,294.7,265.25,278.5,84628,0.25070000000000003,337577
2022-01-10,SAGCEM,278.5,278.5,268.75,271.0,51269,0.5286,96997
2022-01-11,SAGCEM,276.0,278.1,270.5,271.5,34736,0.5063000000000001,68604
2022-01-12,SAGCEM,273.75,274.65,270.0,272.5,21085,0.5343,39461
2022-01-13,SAGCEM,273.9,274.4,269.5,271.15,25763,0.5782,44560
2022-01-14,SAGCEM,269.55,276.3,269.5,271.2,31615,0.46030000000000004,68689
2022-01-17,SAGCEM,265.35,272.8,265.0,269.45,38454,0.4255,90370
2022-01-18,SAGCEM,268.05,276.0,264.2,266.8,41180,0.5362,76793
2022-01-19,SAGCEM,265.0,282.0,260.75,280.0,126970,0.5209,243732
2022-01-20,SAGCEM,282.4,282.4,269.0,272.65,51778,0.43570000000000003,118837
2022-01-21,SAGCEM,271.5,271.85,264.1,266.9,43781,0.6186,70776
2022-01-24,SAGCEM,263.6,266.75,248.0,249.9,37464,0.5186,117965
2022-01-25,SAGCEM,249.0,254.95,241.0,246.3,40278,0.49200000000000005,81858
2022-01-27,SAGCEM,238.0,244.9,236.25,242.65,28207,0.4625,60989
2022-01-28,SAGCEM,241.6,248.75,241.6,243.1,27648,0.3912,70682
2022-01-31,SAGCEM,240.2,242.0,236.05,238.45,82138,0.5778,142167
2022-02-01,SAGCEM,243.95,267.0,238.85,254.95,84572,0.23620000000000002,358085
2022-02-02,SAGCEM,256.9,263.0,250.1,258.8,36912,0.33240000000000003,111034
2022-02-03,SAGCEM,259.9,262.1,255.9,256.25,23971,0.5307000000000001,45172
2022-02-04,SAGCEM,257.3,260.2,252.1,253.1,30148,0.5347,56386
2022-02-07,SAGCEM,259.0,260.75,250.0,252.35,25635,0.45439999999999997,56415
2022-02-08,SAGCEM,253.5,254.0,243.05,251.35,22178,0.5289,41929
2022-02-09,SAGCEM,252.8,257.05,250.05,253.2,10814,0.436,24800
2022-02-10,SAGCEM,254.7,257.0,250.5,254.6,14495,0.6284000000000001,23068
2022-02-11,SAGCEM,255.8,256.45,251.0,253.2,20542,0.5896,34840
2022-02-14,SAGCEM,238.1,253.25,238.1,247.1,66349,0.6633,100024
2022-02-15,SAGCEM,254.85,262.0,247.85,255.4,28591,0.5941,48125
2022-02-16,SAGCEM,259.35,259.4,249.65,255.8,531280,0.9607,553031
2022-02-17,SAGCEM,259.75,260.45,253.8,257.4,16993,0.5963,28497
2022-02-18,SAGCEM,257.0,259.0,250.4,251.4,13718,0.5592,24531
2022-02-21,SAGCEM,251.45,258.0,242.3,244.4,19268,0.4487,42946
2022-02-22,SAGCEM,242.0,249.6,236.0,238.4,17871,0.5606,31878
2022-02-23,SAGCEM,243.8,245.05,237.1,239.2,12109,0.5138,23569
2022-02-24,SAGCEM,239.95,240.0,228.0,228.8,41748,0.7105,58761
2022-02-25,SAGCEM,230.2,239.95,229.7,230.5,28373,0.6678000000000001,42490
2022-02-28,SAGCEM,230.4,233.9,221.95,227.8,37439,0.6601,56719
2022-03-02,SAGCEM,224.85,234.0,211.0,218.4,76935,0.551,139632
2022-03-03,SAGCEM,224.9,226.25,211.4,214.15,40680,0.5395000000000001,75398
2022-03-04,SAGCEM,214.15,214.75,209.05,211.0,31101,0.578,53806
2022-03-07,SAGCEM,209.0,211.05,202.05,206.95,31289,0.5563,56249
2022-03-08,SAGCEM,211.05,215.35,202.6,207.5,31271,0.6418,48727
2022-03-09,SAGCEM,208.15,216.95,206.8,207.75,135688,0.7828,173343
2022-03-10,SAGCEM,212.8,213.1,206.0,207.65,42394,0.6009000000000001,70550
2022-03-11,SAGCEM,205.0,211.65,205.0,209.8,47014,0.6704000000000001,70127
2022-03-14,SAGCEM,212.9,212.9,204.5,204.9,51607,0.6156,83830
2022-03-15,SAGCEM,207.2,210.0,202.75,207.6,45951,0.623,73761
2022-03-16,SAGCEM,212.4,247.75,208.1,226.5,198630,0.268,741222
2022-03-17,SAGCEM,231.95,234.8,227.1,231.7,63658,0.3858,165016
2022-03-21,SAGCEM,234.4,242.0,226.85,240.7,74307,0.4635,160310
2022-03-22,SAGCEM,245.1,252.95,236.1,243.3,142626,0.5657,252139
2022-03-23,SAGCEM,245.9,256.0,245.0,251.4,66756,0.4872,137033
2022-03-24,SAGCEM,252.0,260.95,249.0,250.95,74040,0.47380000000000005,156276
2022-03-25,SAGCEM,252.45,265.0,252.45,254.85,153621,0.5937,258761
2022-03-28,SAGCEM,265.0,275.0,255.05,257.4,374455,0.3398,1102130
2022-03-29,SAGCEM,261.3,265.0,251.9,256.5,159644,0.5353,298245
2022-03-30,SAGCEM,258.6,260.0,250.1,252.8,52782,0.4928,107113
2022-03-31,SAGCEM,255.3,255.35,243.4,246.35,78776,0.5916,133152
2022-04-01,SAGCEM,244.6,262.65,244.6,254.1,56448,0.3805,148344
2022-04-04,SAGCEM,256.15,259.5,251.65,256.15,67080,0.5565,120542
2022-04-05,SAGCEM,259.0,266.35,256.45,258.7,99051,0.4771,207608
2022-04-06,SAGCEM,258.6,266.0,257.15,264.25,156436,0.658,237728
2022-04-07,SAGCEM,263.9,269.9,262.05,267.05,264582,0.6604000000000001,400639
2022-04-08,SAGCEM,268.9,271.8,265.25,267.6,62390,0.5575,111905
2022-04-11,SAGCEM,272.0,272.0,257.65,263.75,54927,0.49100000000000005,111871
2022-04-12,SAGCEM,261.35,264.05,252.9,255.65,60294,0.4661,129358
2022-04-13,SAGCEM,256.9,265.0,252.6,253.5,57344,0.435,131818
2022-04-18,SAGCEM,253.0,254.0,247.0,247.8,58559,0.58,100959
2022-04-19,SAGCEM,250.0,253.1,236.1,242.35,28374,0.5499,51599
2022-04-20,SAGCEM,244.5,249.1,241.05,243.7,25725,0.4619,55694
2022-04-21,SAGCEM,245.5,248.7,242.25,242.85,16686,0.4781,34897
2022-04-22,SAGCEM,242.3,246.4,242.05,243.75,22251,0.5507,40403
2022-04-25,SAGCEM,242.7,247.5,235.6,237.95,19931,0.39640000000000003,50277
2022-04-26,SAGCEM,240.9,243.15,237.1,238.4,16876,0.5533,30502
2022-04-27,SAGCEM,237.5,244.25,235.65,240.15,10398,0.3604,28850
2022-04-28,SAGCEM,242.5,244.45,237.0,237.7,21089,0.5059,41686
2022-04-29,SAGCEM,237.25,240.95,230.15,232.15,21758,0.5086,42781
2022-05-02,SAGCEM,232.0,237.3,228.15,233.8,11481,0.4301,26694
2022-05-04,SAGCEM,235.0,239.9,223.2,226.05,18538,0.3864,47982
2022-05-05,SAGCEM,229.9,234.0,226.5,227.75,15595,0.4854,32131
2022-05-06,SAGCEM,224.0,231.1,220.0,224.35,16303,0.5711,28546
2022-05-09,SAGCEM,225.8,250.0,222.5,225.35,37482,0.2852,131427
2022-05-10,SAGCEM,227.0,232.45,210.15,214.3,47691,0.5796,82279
2022-05-11,SAGCEM,215.05,222.5,203.95,210.6,23055,0.4789,48138
2022-05-12,SAGCEM,195.0,206.0,195.0,203.0,63396,0.3315,191259
2022-05-13,SAGCEM,210.8,223.5,207.1,214.45,32442,0.5913,54868
2022-05-16,SAGCEM,217.9,222.0,213.5,217.45,21573,0.4455,48421
2022-05-17,SAGCEM,216.25,225.0,215.1,218.0,13644,0.49590000000000006,27513
2022-05-18,SAGCEM,221.25,225.0,211.1,214.0,28170,0.5418000000000001,51994
2022-05-19,SAGCEM,210.0,218.0,208.05,215.95,24770,0.43310000000000004,57197
2022-05-20,SAGCEM,222.0,222.0,215.05,219.6,12867,0.43170000000000003,29805
2022-05-23,SAGCEM,218.0,225.8,215.05,222.6,23589,0.5619,41978
2022-05-24,SAGCEM,222.0,224.15,216.35,217.85,16529,0.5944,27810
2022-05-25,SAGCEM,221.95,221.95,207.3,208.7,14192,0.5593,25374
2022-05-26,SAGCEM,211.75,214.95,203.3,210.5,15442,0.544,28388
2022-05-27,SAGCEM,213.65,214.4,207.6,209.25,12129,0.583,20806
2022-05-30,SAGCEM,218.0,218.0,210.3,214.65,7039,0.4214,16705
2022-05-31,SAGCEM,217.9,220.0,213.2,214.8,6090,0.3464,17582
2022-06-01,SAGCEM,219.95,219.95,213.1,216.05,6212,0.4311,14411
2022-06-02,SAGCEM,216.0,218.05,215.7,217.1,4887,0.5791,8439
2022-06-03,SAGCEM,221.95,221.95,208.65,209.85,25794,0.5528000000000001,46661
2022-06-06,SAGCEM,209.0,212.35,208.2,208.6,23458,0.6924,33877
2022-06-07,SAGCEM,210.05,210.8,207.45,208.85,12430,0.5614,22141
2022-06-08,SAGCEM,209.8,209.8,200.2,202.2,40531,0.7194,56338
2022-06-09,SAGCEM,204.95,204.95,198.2,201.1,24330,0.7920999999999999,30717
2022-06-10,SAGCEM,199.0,202.9,198.7,201.65,14126,0.5309,26606
2022-06-13,SAGCEM,199.0,201.0,193.65,199.75,13124,0.5611,23389
2022-06-14,SAGCEM,199.75,203.0,195.0,197.95,6188,0.526,11764
2022-06-15,SAGCEM,200.0,200.85,196.0,197.1,5190,0.5744,9036
