Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SALONA,194.1,197.35,194.1,194.3,3842,0.8959999999999999,4288
2021-09-02,SALONA,195.0,203.65,194.15,196.25,2411,0.5513,4373
2021-09-03,SALONA,194.0,198.75,192.05,195.3,1636,0.6562,2493
2021-09-06,SALONA,191.5,204.65,191.5,199.7,2246,0.5799000000000001,3873
2021-09-07,SALONA,202.0,203.0,193.25,195.7,2036,0.4686,4345
2021-09-08,SALONA,195.0,213.9,194.15,202.6,7509,0.28800000000000003,26073
2021-09-09,SALONA,206.0,209.85,196.6,204.45,2856,0.478,5975
2021-09-13,SALONA,205.15,208.7,202.05,203.55,1682,0.5943,2830
2021-09-14,SALONA,204.0,206.3,201.75,202.5,908,0.7334,1238
2021-09-15,SALONA,202.3,214.45,202.25,207.85,7559,0.7165,10550
2021-09-16,SALONA,208.85,214.3,205.25,207.45,3488,0.6566,5312
2021-09-17,SALONA,208.2,210.9,195.0,198.9,2383,0.6735,3538
2021-09-20,SALONA,192.55,199.55,192.55,196.6,3714,0.6183,6007
2021-09-21,SALONA,195.35,199.0,190.95,198.85,1839,0.7415,2480
2021-09-22,SALONA,209.85,209.85,199.35,204.05,1153,0.6929000000000001,1664
2021-09-23,SALONA,205.8,207.0,199.9,201.6,1563,0.6518,2398
2021-09-24,SALONA,207.5,208.2,190.0,193.2,4765,0.7299,6528
2021-09-27,SALONA,193.55,225.7,193.55,201.15,19787,0.277,71437
2021-09-28,SALONA,200.0,209.9,195.0,201.3,3700,0.39880000000000004,9277
2021-09-29,SALONA,204.0,204.0,198.0,199.25,1831,0.5307000000000001,3450
2021-09-30,SALONA,200.05,201.6,198.5,198.9,575,0.5855,982
2021-10-01,SALONA,192.4,204.25,192.0,200.95,2073,0.5811999999999999,3567
2021-10-04,SALONA,200.0,206.85,200.0,200.95,2067,0.5955,3471
2021-10-05,SALONA,200.0,204.05,197.65,200.6,2175,0.7748,2807
2021-10-06,SALONA,200.6,210.0,198.0,202.4,3030,0.8167,3710
2021-10-07,SALONA,206.0,217.4,204.05,206.05,6495,0.444,14628
2021-10-08,SALONA,211.6,211.6,200.1,202.7,4402,0.6207,7092
2021-10-11,SALONA,203.0,206.9,198.2,203.95,4025,0.5816,6921
2021-10-12,SALONA,207.7,213.0,200.0,208.2,7079,0.6496,10897
2021-10-13,SALONA,207.0,212.75,198.0,201.15,10382,0.5538000000000001,18746
2021-10-14,SALONA,201.2,204.0,198.9,200.65,3852,0.7909999999999999,4870
2021-10-18,SALONA,206.0,207.8,200.0,200.25,6567,0.7317,8975
2021-10-19,SALONA,201.45,207.95,192.7,198.4,4701,0.7132,6591
2021-10-20,SALONA,199.95,199.95,188.0,195.75,2283,0.7177,3181
2021-10-21,SALONA,197.95,201.95,193.8,198.3,2581,0.6931,3724
2021-10-22,SALONA,201.15,201.15,191.4,192.75,1524,0.7049,2162
2021-10-25,SALONA,201.35,201.35,183.3,189.25,866,0.6103000000000001,1419
2021-10-26,SALONA,192.0,192.0,186.1,189.9,972,0.1861,5223
2021-10-27,SALONA,189.45,192.5,188.05,190.7,449,0.4994,899
2021-10-28,SALONA,197.1,199.95,190.05,198.05,2936,0.6263000000000001,4688
2021-10-29,SALONA,193.4,203.9,191.0,202.35,4575,0.49770000000000003,9193
2021-11-01,SALONA,206.4,206.4,201.5,204.55,11836,0.8269,14314
2021-11-02,SALONA,204.7,208.0,201.65,207.6,6809,0.8078000000000001,8429
2021-11-03,SALONA,211.85,211.85,203.05,207.25,816,0.6071,1344
2021-11-04,SALONA,205.0,209.85,201.4,203.25,1403,0.8467,1657
2021-11-08,SALONA,202.1,208.5,194.05,205.45,2895,0.5478000000000001,5285
2021-11-09,SALONA,206.05,210.2,200.65,204.0,2192,0.6748999999999999,3248
2021-11-10,SALONA,200.05,230.0,200.05,213.45,15545,0.7334999999999999,21192
2021-11-11,SALONA,214.95,215.0,201.6,205.75,4201,0.6458,6505
2021-11-12,SALONA,212.5,224.2,201.2,215.9,19546,0.6816,28677
2021-11-15,SALONA,223.9,225.75,215.0,216.65,4803,0.4897,9808
2021-11-16,SALONA,216.2,224.35,211.45,218.4,4037,0.3735,10808
2021-11-17,SALONA,218.95,219.15,201.35,206.25,4679,0.4728,9897
