Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SANGHVIMOV,180.25,186.45,179.05,185.6,31969,0.5324,60047
2021-09-02,SANGHVIMOV,185.6,188.5,181.0,182.25,52262,0.6854000000000001,76246
2021-09-03,SANGHVIMOV,182.0,184.45,176.6,177.9,38740,0.7278,53228
2021-09-06,SANGHVIMOV,179.15,181.4,176.6,178.3,23881,0.5412,44128
2021-09-07,SANGHVIMOV,176.3,187.75,175.2,186.25,39714,0.4803,82689
2021-09-08,SANGHVIMOV,186.25,186.85,178.1,179.75,28642,0.5462,52439
2021-09-09,SANGHVIMOV,180.65,180.7,178.0,178.65,16469,0.5916,27840
2021-09-13,SANGHVIMOV,179.5,184.9,178.0,179.6,22442,0.5042,44512
2021-09-14,SANGHVIMOV,178.2,182.3,178.2,179.45,20018,0.45380000000000004,44108
2021-09-15,SANGHVIMOV,181.2,181.75,175.2,178.6,30177,0.5118,58964
2021-09-16,SANGHVIMOV,179.7,180.65,172.8,177.05,20417,0.5315,38416
2021-09-17,SANGHVIMOV,178.2,179.9,174.0,175.1,27901,0.5864,47577
2021-09-20,SANGHVIMOV,174.0,181.6,171.6,174.5,35307,0.5726,61662
2021-09-21,SANGHVIMOV,170.5,176.45,170.5,174.6,83069,0.8019,103591
2021-09-22,SANGHVIMOV,175.7,176.95,172.0,173.2,32454,0.6598,49185
2021-09-23,SANGHVIMOV,173.5,178.85,173.3,176.75,42199,0.6694,63041
2021-09-24,SANGHVIMOV,177.55,182.65,174.4,175.25,50549,0.6627,76282
2021-09-27,SANGHVIMOV,174.2,180.6,174.0,176.5,75247,0.7093,106090
2021-09-28,SANGHVIMOV,177.8,177.85,170.0,173.05,36322,0.6182,58759
2021-09-29,SANGHVIMOV,171.4,179.75,170.25,176.95,58372,0.7814,74706
2021-09-30,SANGHVIMOV,177.35,194.7,177.0,192.9,229766,0.47520000000000007,483529
2021-10-01,SANGHVIMOV,195.0,198.0,186.75,188.0,110611,0.48600000000000004,227594
2021-10-04,SANGHVIMOV,188.0,191.0,182.2,183.55,109346,0.6559,166707
2021-10-05,SANGHVIMOV,181.35,184.8,176.85,180.4,106256,0.631,168394
2021-10-06,SANGHVIMOV,180.95,204.9,180.95,201.1,368766,0.4343,849113
2021-10-07,SANGHVIMOV,206.0,214.7,198.25,207.25,227028,0.4087,555525
2021-10-08,SANGHVIMOV,206.5,208.25,201.0,203.55,64201,0.4897,131115
2021-10-11,SANGHVIMOV,203.4,204.75,198.75,199.35,38800,0.5835,66492
2021-10-12,SANGHVIMOV,201.8,201.8,194.75,196.6,55765,0.6609,84376
2021-10-13,SANGHVIMOV,195.25,201.0,188.75,189.25,62776,0.55,114144
2021-10-14,SANGHVIMOV,191.85,205.0,190.85,203.5,101455,0.4914,206445
2021-10-18,SANGHVIMOV,206.2,206.3,195.3,196.55,57345,0.59,97187
2021-10-19,SANGHVIMOV,198.95,202.6,193.0,193.7,54604,0.5001,109193
2021-10-20,SANGHVIMOV,194.8,198.8,184.0,186.4,46319,0.5649000000000001,81991
2021-10-21,SANGHVIMOV,188.5,195.0,184.75,188.35,42053,0.501,83945
2021-10-22,SANGHVIMOV,197.0,198.0,184.95,190.2,33279,0.45189999999999997,73646
2021-10-25,SANGHVIMOV,188.2,191.8,180.65,185.75,34435,0.5592,61574
2021-10-26,SANGHVIMOV,180.35,192.8,180.2,185.6,21689,0.4756,45599
2021-10-27,SANGHVIMOV,189.5,189.85,185.2,186.7,20722,0.5527000000000001,37492
2021-10-28,SANGHVIMOV,187.6,207.9,183.55,202.55,144091,0.4976,289579
2021-10-29,SANGHVIMOV,204.45,224.6,199.1,219.5,273600,0.364,751716
2021-11-01,SANGHVIMOV,222.5,229.0,221.25,224.6,248064,0.48810000000000003,508246
2021-11-02,SANGHVIMOV,226.05,238.45,221.55,235.6,257524,0.371,694189
2021-11-03,SANGHVIMOV,235.0,235.5,221.15,227.25,123090,0.4786,257184
2021-11-04,SANGHVIMOV,229.65,234.4,227.0,231.5,47643,0.7423000000000001,64183
2021-11-08,SANGHVIMOV,231.75,234.4,223.0,227.35,64559,0.6766,95417
2021-11-09,SANGHVIMOV,225.35,234.0,223.25,226.4,50122,0.6459,77602
2021-11-10,SANGHVIMOV,225.2,228.6,217.0,222.55,57649,0.574,100436
2021-11-11,SANGHVIMOV,220.1,233.0,218.0,229.45,57297,0.5444,105242
2021-11-12,SANGHVIMOV,231.0,231.7,200.4,208.9,113734,0.5179,219609
2021-11-15,SANGHVIMOV,201.5,217.0,201.0,212.1,112933,0.4807,234911
2021-11-16,SANGHVIMOV,214.9,218.3,208.0,209.4,50179,0.5366,93512
2021-11-17,SANGHVIMOV,210.6,212.95,203.5,207.05,50664,0.5951,85140
2021-11-18,SANGHVIMOV,205.3,211.0,196.5,207.55,109792,0.5932000000000001,185094
2021-11-22,SANGHVIMOV,201.35,209.8,190.25,195.95,51881,0.5011,103538
2021-11-23,SANGHVIMOV,196.5,204.0,194.65,199.05,26311,0.44920000000000004,58574
2021-11-24,SANGHVIMOV,203.0,209.4,199.0,207.5,38744,0.5666,68376
2021-11-25,SANGHVIMOV,206.95,210.2,202.95,208.05,32832,0.6388,51397
2021-11-26,SANGHVIMOV,205.6,216.05,199.0,203.5,65422,0.5038,129863
2021-11-29,SANGHVIMOV,200.5,207.85,189.05,201.8,41458,0.47100000000000003,88027
2021-11-30,SANGHVIMOV,200.0,205.9,195.0,200.9,30504,0.5599000000000001,54482
2021-12-01,SANGHVIMOV,202.0,208.8,199.0,204.85,27828,0.47009999999999996,59191
2021-12-02,SANGHVIMOV,204.8,207.8,198.3,203.7,38256,0.5589000000000001,68450
2021-12-03,SANGHVIMOV,201.35,210.45,201.35,206.2,28336,0.4436,63884
2021-12-06,SANGHVIMOV,204.2,223.95,204.2,209.7,134154,0.5378000000000001,249464
2021-12-07,SANGHVIMOV,220.0,221.55,212.65,215.45,35863,0.5645,63536
2021-12-08,SANGHVIMOV,218.7,228.0,214.35,220.45,101668,0.4685,217019
2021-12-09,SANGHVIMOV,219.0,234.0,218.15,228.2,159462,0.36060000000000003,442242
2021-12-10,SANGHVIMOV,230.0,234.0,223.7,225.6,92423,0.521,177385
2021-12-13,SANGHVIMOV,229.95,232.35,216.7,218.7,56560,0.5242,107897
2021-12-14,SANGHVIMOV,218.65,221.9,211.9,213.2,36089,0.5104,70702
2021-12-15,SANGHVIMOV,215.35,216.9,211.3,212.75,23239,0.48950000000000005,47479
2021-12-16,SANGHVIMOV,213.5,218.4,205.2,211.1,52120,0.5296000000000001,98412
2021-12-17,SANGHVIMOV,212.6,213.7,201.85,210.25,40118,0.4325,92757
2021-12-20,SANGHVIMOV,203.05,211.0,192.15,194.2,78202,0.5689000000000001,137461
2021-12-21,SANGHVIMOV,196.0,200.85,195.0,198.3,53786,0.6053000000000001,88858
2021-12-22,SANGHVIMOV,200.1,212.0,199.6,210.35,58469,0.46770000000000006,125002
2021-12-23,SANGHVIMOV,212.4,227.8,212.4,223.6,107457,0.4901,219277
2021-12-24,SANGHVIMOV,225.9,226.5,212.0,213.6,65825,0.6328,104021
2021-12-27,SANGHVIMOV,216.95,220.75,207.25,213.7,32245,0.4047,79680
2021-12-28,SANGHVIMOV,217.8,220.1,214.55,216.4,22765,0.5159,44126
2021-12-29,SANGHVIMOV,214.0,219.45,210.2,212.7,22448,0.5905,38018
2021-12-30,SANGHVIMOV,216.8,225.9,211.2,217.8,34425,0.4681,73545
2021-12-31,SANGHVIMOV,215.0,239.4,215.0,236.05,381056,0.42,907202
2022-01-03,SANGHVIMOV,240.0,253.9,239.9,241.35,331359,0.4965,667387
2022-01-04,SANGHVIMOV,243.0,247.5,228.1,234.6,108433,0.4368,248236
2022-01-05,SANGHVIMOV,236.45,236.9,229.0,230.65,48827,0.5477000000000001,89153
2022-01-06,SANGHVIMOV,226.0,242.0,226.0,235.7,113889,0.5502,207009
2022-01-07,SANGHVIMOV,235.15,257.65,235.15,253.6,269946,0.3286,821506
2022-01-10,SANGHVIMOV,261.0,262.7,245.9,247.7,168368,0.4547,370269
2022-01-11,SANGHVIMOV,247.7,249.35,236.25,239.35,71823,0.4418,162578
2022-01-12,SANGHVIMOV,235.0,242.4,234.0,235.4,62410,0.4549,137180
2022-01-13,SANGHVIMOV,238.0,238.9,230.2,232.45,58563,0.5263,111268
2022-01-14,SANGHVIMOV,232.5,246.4,231.2,243.55,86614,0.5246999999999999,165068
2022-01-17,SANGHVIMOV,244.6,253.7,241.05,243.1,67763,0.4416,153455
2022-01-18,SANGHVIMOV,245.8,246.9,229.3,231.45,61319,0.5341,114811
2022-01-19,SANGHVIMOV,232.05,234.0,223.55,225.2,130544,0.609,214358
2022-01-20,SANGHVIMOV,226.9,237.8,225.75,229.9,53271,0.4847,109902
2022-01-21,SANGHVIMOV,226.1,236.05,226.0,230.05,39721,0.3791,104777
2022-01-24,SANGHVIMOV,233.0,237.85,205.1,214.7,46264,0.48869999999999997,166674
2022-01-25,SANGHVIMOV,217.95,224.35,205.0,220.6,54766,0.5052000000000001,108395
2022-01-27,SANGHVIMOV,219.0,221.0,213.5,216.2,38288,0.5488000000000001,69761
2022-01-28,SANGHVIMOV,216.2,224.95,214.85,216.15,27018,0.5493,49182
2022-01-31,SANGHVIMOV,220.9,229.8,214.05,226.45,59931,0.5681,105499
2022-02-01,SANGHVIMOV,230.2,230.2,215.95,225.8,41690,0.45530000000000004,91563
