Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SASKEN,1380.0,1384.4,1350.0,1369.1,17229,0.304,56668
2021-09-02,SASKEN,1357.2,1464.2,1357.2,1448.35,78318,0.3503,223601
2021-09-03,SASKEN,1484.0,1485.0,1401.15,1412.6,55494,0.42460000000000003,130694
2021-09-06,SASKEN,1402.65,1447.85,1395.15,1403.65,16835,0.369,45619
2021-09-07,SASKEN,1404.85,1434.2,1366.0,1374.55,22819,0.42310000000000003,53928
2021-09-08,SASKEN,1389.7,1394.75,1362.0,1368.65,7348,0.3936,18667
2021-09-09,SASKEN,1360.0,1379.0,1341.0,1349.8,10858,0.5091,21326
2021-09-13,SASKEN,1362.8,1470.0,1345.0,1440.3,38683,0.3755,103021
2021-09-14,SASKEN,1480.0,1480.0,1402.5,1410.0,22258,0.5197,42825
2021-09-15,SASKEN,1420.0,1425.55,1400.0,1402.45,13350,0.5011,26643
2021-09-16,SASKEN,1408.0,1457.0,1382.05,1385.7,22358,0.4491,49787
2021-09-17,SASKEN,1389.0,1450.0,1366.0,1421.15,22877,0.4975,45988
2021-09-20,SASKEN,1410.0,1423.0,1380.0,1385.25,13010,0.4978,26137
2021-09-21,SASKEN,1375.1,1397.0,1346.5,1371.75,12005,0.4548,26394
2021-09-22,SASKEN,1372.0,1397.9,1368.0,1370.9,11752,0.4907,23948
2021-09-23,SASKEN,1375.0,1399.15,1350.0,1359.4,13772,0.5427000000000001,25379
2021-09-24,SASKEN,1371.9,1399.95,1363.0,1373.95,12018,0.2889,41602
2021-09-27,SASKEN,1385.25,1419.7,1375.0,1409.2,22877,0.3455,66211
2021-09-28,SASKEN,1409.9,1410.0,1355.5,1365.75,17138,0.5481,31267
2021-09-29,SASKEN,1365.0,1374.35,1333.0,1345.35,13050,0.5426,24053
2021-09-30,SASKEN,1339.0,1367.9,1335.15,1340.5,6646,0.5236,12693
2021-10-01,SASKEN,1338.2,1355.0,1333.25,1346.6,6561,0.5548,11825
2021-10-04,SASKEN,1355.0,1365.0,1333.3,1342.2,14724,0.6424,22921
2021-10-05,SASKEN,1345.0,1355.3,1321.65,1335.2,7853,0.4754,16517
2021-10-06,SASKEN,1333.05,1344.15,1305.0,1311.75,12031,0.6346,18958
2021-10-07,SASKEN,1312.0,1344.1,1312.0,1327.45,8703,0.5538000000000001,15716
2021-10-08,SASKEN,1332.5,1380.0,1323.15,1349.6,14859,0.4307,34499
2021-10-11,SASKEN,1353.7,1360.0,1335.0,1338.9,7513,0.5373,13984
2021-10-12,SASKEN,1345.6,1355.0,1330.0,1340.65,9435,0.5416,17421
2021-10-13,SASKEN,1347.35,1418.4,1338.4,1395.75,41353,0.5399,76589
2021-10-14,SASKEN,1406.25,1424.9,1366.2,1379.5,13464,0.5188,25952
2021-10-18,SASKEN,1397.25,1432.75,1370.0,1408.45,24605,0.4441,55410
2021-10-19,SASKEN,1416.9,1512.1,1381.0,1465.0,118995,0.3744,317844
2021-10-20,SASKEN,1475.0,1519.0,1414.0,1459.4,40578,0.2827,143562
2021-10-21,SASKEN,1470.0,1525.0,1439.95,1508.5,46123,0.5474,84263
2021-10-22,SASKEN,1490.0,1490.0,1370.8,1387.45,49550,0.53,93493
2021-10-25,SASKEN,1404.3,1404.3,1264.0,1281.2,29160,0.4706,61966
2021-10-26,SASKEN,1297.0,1338.4,1290.85,1326.85,8134,0.29910000000000003,27198
2021-10-27,SASKEN,1333.5,1346.1,1288.75,1309.85,10089,0.5989,16845
2021-10-28,SASKEN,1300.0,1300.0,1250.05,1265.6,12550,0.47090000000000004,26653
2021-10-29,SASKEN,1266.0,1276.95,1184.0,1225.7,10539,0.39189999999999997,26894
2021-11-01,SASKEN,1231.85,1277.0,1231.85,1253.85,6691,0.40659999999999996,16455
2021-11-02,SASKEN,1260.15,1279.0,1242.05,1254.2,5316,0.39740000000000003,13376
2021-11-03,SASKEN,1253.95,1279.95,1242.95,1267.0,8781,0.5655,15528
2021-11-04,SASKEN,1294.0,1320.0,1292.0,1311.6,8574,0.7686000000000001,11156
2021-11-08,SASKEN,1320.0,1325.0,1278.0,1313.7,7242,0.2812,25752
2021-11-09,SASKEN,1325.25,1347.0,1286.25,1293.85,10026,0.41009999999999996,24449
2021-11-10,SASKEN,1293.85,1361.8,1262.65,1308.3,5359,0.1691,31691
2021-11-11,SASKEN,1312.5,1340.0,1295.1,1312.35,5264,0.3841,13705
2021-11-12,SASKEN,1318.95,1338.0,1303.05,1307.5,7819,0.4474,17477
2021-11-15,SASKEN,1313.95,1314.05,1275.0,1280.85,6183,0.5543,11154
2021-11-16,SASKEN,1280.95,1305.0,1280.95,1287.75,5159,0.5282,9767
2021-11-17,SASKEN,1294.0,1315.0,1262.95,1269.1,10531,0.5302,19863
2021-11-18,SASKEN,1269.95,1282.25,1242.0,1253.5,5958,0.4581,13006
2021-11-22,SASKEN,1259.8,1259.8,1189.65,1196.9,9833,0.6013000000000001,16354
2021-11-23,SASKEN,1191.75,1235.05,1185.15,1200.15,9894,0.512,19323
2021-11-24,SASKEN,1210.0,1239.6,1200.0,1205.75,9509,0.46549999999999997,20427
2021-11-25,SASKEN,1228.0,1228.0,1189.0,1206.3,3900,0.5313,7340
2021-11-26,SASKEN,1200.0,1200.0,1158.85,1164.55,6231,0.5675,10980
2021-11-29,SASKEN,1150.0,1165.0,1100.0,1115.7,10225,0.36100000000000004,28328
2021-11-30,SASKEN,1102.0,1155.85,1066.0,1073.2,23834,0.5011,47563
2021-12-01,SASKEN,1075.25,1116.65,1070.05,1085.9,5687,0.4644,12246
2021-12-02,SASKEN,1081.0,1108.65,1081.0,1097.7,10038,0.527,19049
2021-12-03,SASKEN,1105.0,1130.05,1091.85,1103.15,21630,0.5071,42657
2021-12-06,SASKEN,1119.0,1119.0,1063.9,1071.45,9978,0.5614,17774
2021-12-07,SASKEN,1080.0,1094.0,1065.0,1069.05,9994,0.6141,16273
2021-12-08,SASKEN,1074.5,1109.0,1074.5,1089.3,15751,0.5055,31158
2021-12-09,SASKEN,1108.0,1109.0,1091.3,1099.5,18295,0.8259000000000001,22151
2021-12-10,SASKEN,1105.0,1118.0,1103.6,1110.7,9733,0.6833,14245
2021-12-13,SASKEN,1116.3,1227.0,1112.0,1126.4,66794,0.4062,164435
2021-12-14,SASKEN,1132.05,1189.0,1126.55,1167.2,58731,0.5421,108342
2021-12-15,SASKEN,1167.2,1171.7,1143.6,1149.0,6520,0.433,15058
2021-12-16,SASKEN,1154.75,1170.0,1120.0,1135.05,8471,0.5593,15146
2021-12-17,SASKEN,1160.0,1238.5,1135.0,1186.15,134105,0.408,328717
2021-12-20,SASKEN,1182.0,1182.5,1139.7,1164.3,29712,0.6152000000000001,48296
2021-12-21,SASKEN,1175.0,1206.5,1156.45,1184.75,55154,0.6956,79288
2021-12-22,SASKEN,1190.0,1250.0,1185.0,1234.35,17123,0.5219,32810
2021-12-23,SASKEN,1234.0,1319.2,1232.0,1286.75,31059,0.34390000000000004,90309
2021-12-24,SASKEN,1288.8,1306.0,1250.0,1276.3,10927,0.43710000000000004,24999
2021-12-27,SASKEN,1279.6,1310.0,1255.9,1286.5,12108,0.4207,28781
2021-12-28,SASKEN,1292.0,1355.25,1292.0,1332.95,26314,0.5178,50816
2021-12-29,SASKEN,1322.0,1369.85,1322.0,1346.05,15514,0.4732,32788
2021-12-30,SASKEN,1349.45,1377.0,1335.05,1341.8,10367,0.5051,20523
2021-12-31,SASKEN,1360.0,1360.0,1307.8,1317.9,13334,0.5554,24008
2022-01-03,SASKEN,1306.0,1360.0,1306.0,1344.35,10981,0.44689999999999996,24573
2022-01-04,SASKEN,1340.0,1365.1,1326.3,1349.55,8249,0.3771,21874
2022-01-05,SASKEN,1332.0,1356.25,1316.1,1322.0,7346,0.4103,17902
2022-01-06,SASKEN,1310.0,1318.45,1268.95,1286.1,13825,0.5937,23287
2022-01-07,SASKEN,1278.65,1320.75,1276.65,1292.75,7111,0.4983,14270
2022-01-10,SASKEN,1290.0,1315.15,1278.1,1283.9,13520,0.6019,22461
2022-01-11,SASKEN,1281.8,1369.0,1281.8,1356.05,22480,0.455,49407
2022-01-12,SASKEN,1375.5,1375.5,1320.85,1327.9,8327,0.49600000000000005,16788
2022-01-13,SASKEN,1342.0,1364.0,1315.0,1324.35,7188,0.41759999999999997,17214
2022-01-14,SASKEN,1328.95,1340.0,1300.0,1313.95,6815,0.517,13183
2022-01-17,SASKEN,1341.85,1341.85,1316.0,1320.1,7111,0.5252,13540
2022-01-18,SASKEN,1322.0,1339.75,1285.0,1291.15,8551,0.5119,16704
2022-01-19,SASKEN,1295.0,1308.1,1261.4,1277.15,13922,0.5441,25588
2022-01-20,SASKEN,1299.0,1305.0,1231.05,1249.45,14649,0.6164000000000001,23765
2022-01-21,SASKEN,1172.0,1180.05,1095.25,1119.1,60942,0.39520000000000005,154197
2022-01-24,SASKEN,1124.0,1134.55,1071.25,1093.85,19441,0.498,36800
2022-01-25,SASKEN,1067.0,1134.0,1060.05,1077.75,20129,0.4693,42888
2022-01-27,SASKEN,1083.15,1091.95,1024.2,1030.75,27412,0.5787,47367
2022-01-28,SASKEN,1035.95,1078.55,1017.5,1024.35,20459,0.4437,46109
2022-01-31,SASKEN,1029.5,1054.55,1016.25,1020.95,13203,0.6129,21542
