Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,SASTASUNDR,341.0,341.0,341.0,341.0,13175,1.0,13175
2021-10-13,SASTASUNDR,358.05,358.05,358.05,358.05,16966,1.0,16966
2021-10-14,SASTASUNDR,375.9,375.95,353.05,375.95,346031,0.7184,481641
2021-10-18,SASTASUNDR,390.0,394.7,360.4,384.2,166733,0.6809999999999999,244820
2021-10-19,SASTASUNDR,397.0,397.0,365.0,368.65,72232,0.65,111118
2021-10-20,SASTASUNDR,355.0,378.0,355.0,366.35,64392,0.7859,81936
2021-10-21,SASTASUNDR,375.0,381.0,370.0,374.85,30807,0.7701000000000001,40002
2021-10-22,SASTASUNDR,384.0,393.55,377.1,393.05,79140,0.8062,98164
2021-10-25,SASTASUNDR,397.0,401.0,374.0,380.3,75514,0.7049,107133
2021-10-26,SASTASUNDR,370.0,389.0,370.0,382.05,16673,0.7958,20950
2021-10-27,SASTASUNDR,384.4,398.0,380.6,394.7,47651,0.7017,67904
2021-10-28,SASTASUNDR,396.5,397.0,380.1,384.85,26787,0.6681,40093
2021-10-29,SASTASUNDR,384.85,393.3,370.35,378.95,19512,0.6136,31797
2021-11-01,SASTASUNDR,397.0,397.0,371.5,376.05,18654,0.6978,26734
2021-11-02,SASTASUNDR,382.7,394.85,375.45,394.85,60066,0.7837000000000001,76645
2021-11-03,SASTASUNDR,405.0,414.55,400.1,414.55,113788,0.4375,260062
2021-11-04,SASTASUNDR,428.0,435.25,428.0,435.25,55734,0.9982,55835
2021-11-08,SASTASUNDR,457.0,457.0,457.0,457.0,31483,1.0,31483
2021-11-09,SASTASUNDR,479.85,479.85,479.85,479.85,34156,1.0,34156
2021-11-10,SASTASUNDR,503.8,503.8,475.0,497.8,265426,0.4422,600281
2021-11-11,SASTASUNDR,485.0,485.0,472.95,472.95,28514,0.7737999999999999,36850
2021-11-12,SASTASUNDR,449.35,479.95,449.35,461.1,90343,0.414,218197
2021-11-15,SASTASUNDR,464.95,464.95,438.05,439.65,76079,0.5857,129890
2021-11-16,SASTASUNDR,432.0,461.6,426.0,461.6,61567,0.5647,109034
2021-11-17,SASTASUNDR,472.9,484.65,442.8,481.35,89343,0.5822999999999999,153435
2021-11-18,SASTASUNDR,490.0,498.45,465.0,485.55,88987,0.6662,133572
2021-11-22,SASTASUNDR,509.8,509.8,509.8,509.8,12342,1.0,12342
2021-11-23,SASTASUNDR,535.25,535.25,535.25,535.25,7028,1.0,7028
2021-11-24,SASTASUNDR,562.0,562.0,517.4,562.0,188832,0.3923,481316
2021-11-25,SASTASUNDR,569.0,574.0,533.9,538.35,176433,0.4903,359860
2021-11-26,SASTASUNDR,525.0,532.3,511.45,511.45,54317,0.6464,84027
2021-11-29,SASTASUNDR,495.1,505.5,485.9,485.9,71341,0.6715000000000001,106245
2021-11-30,SASTASUNDR,471.0,506.8,462.2,474.1,69354,0.6104,113622
2021-12-01,SASTASUNDR,467.5,488.9,467.5,479.8,69804,0.6869,101629
2021-12-02,SASTASUNDR,490.0,490.0,470.3,479.55,25661,0.7465999999999999,34372
2021-12-03,SASTASUNDR,485.0,486.95,455.6,459.5,41003,0.7377,55581
2021-12-06,SASTASUNDR,470.0,470.0,437.5,440.95,82585,0.7047,117189
2021-12-07,SASTASUNDR,442.0,462.95,437.0,446.9,59231,0.6443000000000001,91930
2021-12-08,SASTASUNDR,451.95,469.2,443.15,468.6,64537,0.6248,103298
2021-12-09,SASTASUNDR,474.5,474.8,457.25,469.05,25572,0.6858,37288
2021-12-10,SASTASUNDR,461.05,477.0,453.6,474.35,19317,0.5919,32634
2021-12-13,SASTASUNDR,498.0,498.05,453.0,456.9,49553,0.7322,67681
2021-12-14,SASTASUNDR,453.9,476.8,439.0,448.15,30400,0.665,45715
2021-12-15,SASTASUNDR,455.0,470.55,446.0,470.55,41871,0.9024,46400
2021-12-16,SASTASUNDR,494.0,494.05,455.1,458.65,138604,0.44520000000000004,311364
2021-12-17,SASTASUNDR,463.0,463.0,435.75,437.05,50127,0.5994,83624
2021-12-20,SASTASUNDR,426.0,426.55,415.2,416.3,50969,0.6504000000000001,78363
2021-12-21,SASTASUNDR,405.0,427.0,399.2,406.6,23776,0.473,50266
2021-12-22,SASTASUNDR,416.0,426.9,391.55,414.2,90269,0.7154,126188
2021-12-23,SASTASUNDR,424.85,434.9,417.55,434.9,49505,0.8079000000000001,61275
2021-12-24,SASTASUNDR,456.6,456.6,434.9,442.7,70347,0.6038,116514
2021-12-27,SASTASUNDR,454.0,454.0,427.25,444.65,26878,0.5154,52154
2021-12-28,SASTASUNDR,466.85,466.85,466.85,466.85,8835,1.0,8835
2021-12-29,SASTASUNDR,490.15,490.15,466.85,490.15,156804,0.5412,289760
2021-12-30,SASTASUNDR,509.8,514.6,490.0,495.5,97213,0.4985,195003
2021-12-31,SASTASUNDR,510.0,510.0,480.95,485.6,50033,0.6545000000000001,76445
2022-01-03,SASTASUNDR,476.0,489.0,467.0,472.35,30214,0.5704,52974
2022-01-04,SASTASUNDR,463.2,487.8,463.2,484.6,45860,0.6492,70643
2022-01-05,SASTASUNDR,475.55,508.8,475.55,508.8,84428,0.721,117099
2022-01-06,SASTASUNDR,534.2,534.2,513.1,534.2,70886,0.7623000000000001,92989
2022-01-07,SASTASUNDR,559.0,560.9,545.75,560.9,94079,0.5820000000000001,161645
2022-01-10,SASTASUNDR,580.0,580.0,532.9,536.1,94319,0.5910000000000001,159591
2022-01-11,SASTASUNDR,526.0,562.9,526.0,546.5,79873,0.5123,155898
2022-01-12,SASTASUNDR,550.0,550.0,532.0,540.1,20989,0.5221,40203
2022-01-13,SASTASUNDR,540.0,547.65,523.05,528.35,21149,0.4944,42775
2022-01-14,SASTASUNDR,528.0,551.8,515.95,533.05,29686,0.4107,72275
2022-01-17,SASTASUNDR,548.0,548.0,515.0,520.35,44575,0.5904,75503
2022-01-18,SASTASUNDR,524.0,524.9,494.35,497.45,35387,0.5478000000000001,64603
2022-01-19,SASTASUNDR,500.0,508.0,482.1,489.75,28467,0.5349,53218
2022-01-20,SASTASUNDR,490.0,514.2,490.0,514.2,19483,0.8013,24315
2022-01-21,SASTASUNDR,523.0,523.25,488.5,489.45,35622,0.5700000000000001,62490
2022-01-24,SASTASUNDR,495.0,495.7,465.0,465.0,92010,0.4814,77765
2022-01-25,SASTASUNDR,446.0,488.25,441.75,480.1,93078,0.4556,204283
2022-01-27,SASTASUNDR,463.55,477.85,456.1,467.0,47461,0.4316,109971
2022-01-28,SASTASUNDR,467.0,486.6,447.55,454.3,29086,0.3873,75095
2022-01-31,SASTASUNDR,445.25,459.5,445.25,455.65,19874,0.5527000000000001,35955
2022-02-01,SASTASUNDR,456.0,472.95,445.2,451.85,15513,0.45670000000000005,33971
2022-02-02,SASTASUNDR,452.65,466.0,452.65,459.1,12274,0.5515,22254
2022-02-03,SASTASUNDR,457.4,463.75,450.1,454.1,9936,0.5801,17127
2022-02-04,SASTASUNDR,445.0,462.0,444.6,445.5,10288,0.6135,16770
2022-02-07,SASTASUNDR,453.0,457.75,433.25,436.9,15740,0.5516,28534
2022-02-08,SASTASUNDR,432.0,451.8,425.95,428.9,28113,0.606,46394
2022-02-09,SASTASUNDR,427.0,437.15,425.1,428.2,19634,0.6451000000000001,30434
2022-02-10,SASTASUNDR,436.0,437.75,422.2,425.1,26721,0.6631999999999999,40289
2022-02-11,SASTASUNDR,425.1,457.9,414.2,448.95,36923,0.5569,66296
2022-02-14,SASTASUNDR,429.0,448.85,417.2,437.15,31922,0.7039,45348
2022-02-15,SASTASUNDR,449.0,458.0,406.95,449.95,30208,0.4156,72680
2022-02-16,SASTASUNDR,445.45,459.0,432.9,445.7,26785,0.509,52619
2022-02-17,SASTASUNDR,452.0,452.0,422.05,427.2,9029,0.4769,18931
2022-02-18,SASTASUNDR,434.0,434.0,400.0,407.45,16138,0.6136,26300
2022-02-21,SASTASUNDR,423.0,426.0,390.0,397.25,63919,0.7892,80994
2022-02-22,SASTASUNDR,365.0,395.45,361.05,378.9,39306,0.5429,72402
2022-02-23,SASTASUNDR,391.85,403.2,388.8,393.6,11094,0.4926,22520
2022-02-24,SASTASUNDR,370.0,384.55,354.25,356.35,28093,0.623,45090
2022-02-25,SASTASUNDR,365.0,391.9,365.0,386.6,16312,0.4897,33313
2022-02-28,SASTASUNDR,386.0,401.3,375.0,389.75,13642,0.5001,27279
2022-03-02,SASTASUNDR,394.7,394.7,374.95,379.55,32852,0.6365999999999999,51608
2022-03-03,SASTASUNDR,382.0,401.0,380.0,383.6,10418,0.4182,24910
2022-03-04,SASTASUNDR,385.0,389.95,370.0,372.8,12004,0.5045000000000001,23792
2022-03-07,SASTASUNDR,368.0,387.4,355.05,383.5,25167,0.6603,38115
2022-03-08,SASTASUNDR,405.0,405.0,373.2,381.7,7843,0.3663,21410
2022-03-09,SASTASUNDR,395.0,400.0,377.4,395.9,13909,0.4301,32337
2022-03-10,SASTASUNDR,402.0,405.9,383.2,385.85,16327,0.6346,25729
2022-03-11,SASTASUNDR,385.9,403.0,381.5,384.85,40019,0.7506,53313
2022-03-14,SASTASUNDR,393.4,393.4,365.0,368.75,29114,0.6418,45365
2022-03-15,SASTASUNDR,370.95,370.95,351.0,360.35,21742,0.5798,37501
2022-03-16,SASTASUNDR,368.0,372.35,358.5,359.6,19412,0.6517000000000001,29787
2022-03-17,SASTASUNDR,374.0,395.55,364.65,380.15,52790,0.4029,131009
2022-03-21,SASTASUNDR,385.5,385.5,367.5,370.15,21477,0.7015000000000001,30616
2022-03-22,SASTASUNDR,370.15,378.8,367.1,372.15,17471,0.5674,30793
2022-03-23,SASTASUNDR,375.25,377.05,356.0,360.15,19519,0.5863,33292
2022-03-24,SASTASUNDR,355.0,386.9,353.45,375.45,34165,0.49060000000000004,69639
2022-03-25,SASTASUNDR,378.95,381.25,359.0,361.05,23312,0.7428,31383
2022-03-28,SASTASUNDR,363.0,364.15,344.0,349.0,40155,0.798,50321
2022-03-29,SASTASUNDR,361.5,364.9,335.0,358.55,112272,0.5621,199737
2022-03-30,SASTASUNDR,364.0,372.55,349.0,352.65,24957,0.4943,50487
2022-03-31,SASTASUNDR,364.0,373.0,350.0,358.1,45864,0.5507,83282
2022-04-01,SASTASUNDR,365.3,373.0,357.05,370.8,15202,0.5065999999999999,30006
2022-04-04,SASTASUNDR,384.5,388.9,366.75,369.75,20450,0.5479999999999999,37317
2022-04-05,SASTASUNDR,375.3,406.7,335.0,406.7,74000,0.4696,157594
2022-04-06,SASTASUNDR,447.35,447.35,416.05,418.3,76464,0.29,263679
2022-04-07,SASTASUNDR,422.95,448.8,411.1,421.85,76518,0.4294,178188
2022-04-08,SASTASUNDR,427.35,438.55,415.0,419.75,27872,0.4631,60184
2022-04-11,SASTASUNDR,422.3,429.2,416.0,417.55,12422,0.5079,24457
2022-04-12,SASTASUNDR,415.4,424.85,408.0,416.15,15195,0.39490000000000003,38482
2022-04-13,SASTASUNDR,421.3,428.0,414.5,423.15,25481,0.41759999999999997,61014
2022-04-18,SASTASUNDR,425.0,447.65,413.1,433.5,50488,0.3778,133648
2022-04-19,SASTASUNDR,439.15,447.0,383.6,402.95,36676,0.5417000000000001,67702
2022-04-20,SASTASUNDR,407.95,442.0,407.65,435.3,36566,0.40640000000000004,89969
2022-04-21,SASTASUNDR,438.8,439.0,419.0,420.85,24380,0.45060000000000006,54108
2022-04-22,SASTASUNDR,421.95,430.5,410.55,421.75,36217,0.5283,68552
2022-04-25,SASTASUNDR,422.0,422.45,406.25,411.75,12084,0.4415,27371
2022-04-26,SASTASUNDR,422.85,424.15,403.5,407.2,16162,0.637,25374
2022-04-27,SASTASUNDR,418.9,418.9,390.0,394.05,14784,0.5494,26909
