Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SCHAEFFLER,7260.0,7331.0,7260.0,7294.15,7017,0.5891,11912
2021-09-02,SCHAEFFLER,7325.0,7345.95,7222.15,7254.2,15382,0.8604,17877
2021-09-03,SCHAEFFLER,7254.2,7590.75,7226.05,7405.85,11050,0.3859,28638
2021-09-06,SCHAEFFLER,7449.0,7529.75,7301.0,7370.75,2854,0.4459,6400
2021-09-07,SCHAEFFLER,7350.1,7479.85,7350.05,7416.55,1672,0.4802,3482
2021-09-08,SCHAEFFLER,7416.55,7573.85,7395.35,7528.0,12726,0.5004,25431
2021-09-09,SCHAEFFLER,7544.9,7575.35,7332.0,7379.5,3329,0.4939,6740
2021-09-13,SCHAEFFLER,7379.5,7443.95,7250.0,7307.05,2568,0.6197,4144
2021-09-14,SCHAEFFLER,7325.05,7354.65,7194.45,7257.65,6480,0.6434000000000001,10072
2021-09-15,SCHAEFFLER,7250.0,7340.0,7163.35,7237.0,9221,0.7393000000000001,12473
2021-09-16,SCHAEFFLER,7334.0,7334.0,7175.0,7185.6,4923,0.5721,8605
2021-09-17,SCHAEFFLER,7196.0,7336.35,7169.95,7299.85,10982,0.6996,15698
2021-09-20,SCHAEFFLER,7250.0,7359.0,7202.15,7325.05,2253,0.4986,4519
2021-09-21,SCHAEFFLER,7360.0,7380.55,7134.4,7277.35,7512,0.622,12078
2021-09-22,SCHAEFFLER,7380.0,7394.95,7235.3,7300.65,2514,0.49060000000000004,5124
2021-09-23,SCHAEFFLER,7372.0,7588.05,7315.0,7409.65,6557,0.5378000000000001,12193
2021-09-24,SCHAEFFLER,7516.25,7516.25,7240.0,7258.1,6729,0.6284000000000001,10708
2021-09-27,SCHAEFFLER,7321.0,7346.0,7264.25,7297.55,1337,0.5276,2534
2021-09-28,SCHAEFFLER,7369.0,7600.0,7215.8,7367.8,6867,0.29910000000000003,22961
