Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SEAMECLTD,770.7,791.0,730.0,757.15,145980,0.6339,230274
2021-09-02,SEAMECLTD,750.05,805.0,750.05,792.85,47354,0.4615,102618
2021-09-03,SEAMECLTD,804.0,849.6,796.4,842.95,43955,0.5621,78199
2021-09-06,SEAMECLTD,872.0,909.0,851.3,890.8,235675,0.7359,320258
2021-09-07,SEAMECLTD,894.0,909.0,870.4,878.1,31567,0.5494,57453
2021-09-08,SEAMECLTD,885.0,939.0,884.85,915.35,50055,0.4292,116633
2021-09-09,SEAMECLTD,900.0,1000.0,895.05,979.8,171323,0.483,354683
2021-09-13,SEAMECLTD,984.35,1040.0,984.35,1029.75,81137,0.5372,151038
2021-09-14,SEAMECLTD,1010.0,1128.8,1010.0,1101.25,163032,0.5154,316293
2021-09-15,SEAMECLTD,1105.0,1150.0,1072.85,1113.1,125359,0.6169,203204
2021-09-16,SEAMECLTD,1119.0,1155.0,1101.0,1143.8,86137,0.5593,154018
2021-09-17,SEAMECLTD,1167.15,1167.15,1071.3,1136.0,47176,0.5451,86540
2021-09-20,SEAMECLTD,1149.95,1180.0,1100.0,1115.75,59486,0.6007,99035
2021-09-21,SEAMECLTD,1139.95,1200.0,1102.0,1192.85,101593,0.6651,152754
2021-09-22,SEAMECLTD,1204.35,1240.0,1185.7,1217.75,65348,0.5736,113928
2021-09-23,SEAMECLTD,1224.8,1262.5,1193.45,1222.55,25334,0.5539000000000001,45735
2021-09-24,SEAMECLTD,1229.8,1249.0,1205.0,1222.15,73236,0.662,110631
2021-09-27,SEAMECLTD,1230.0,1234.05,1176.0,1187.7,27021,0.7848999999999999,34426
2021-09-28,SEAMECLTD,1185.1,1212.05,1152.25,1183.9,27979,0.7178,38979
2021-09-29,SEAMECLTD,1184.0,1224.25,1167.9,1200.85,16582,0.4045,40995
2021-09-30,SEAMECLTD,1219.0,1219.0,1175.0,1179.7,14382,0.5652,25448
2021-10-01,SEAMECLTD,1190.0,1210.95,1163.85,1182.9,12312,0.7265,16947
2021-10-04,SEAMECLTD,1191.0,1227.3,1165.0,1204.55,47859,0.7101999999999999,67392
2021-10-05,SEAMECLTD,1214.5,1215.05,1190.0,1192.75,8471,0.6381,13275
2021-10-06,SEAMECLTD,1192.0,1238.0,1185.0,1191.05,36738,0.7359,49923
2021-10-07,SEAMECLTD,1199.0,1287.0,1198.0,1241.45,68229,0.679,100480
2021-10-08,SEAMECLTD,1240.0,1250.0,1206.0,1240.85,31072,0.6970999999999999,44571
2021-10-11,SEAMECLTD,1248.9,1275.0,1220.0,1232.95,34479,0.6626000000000001,52034
2022-01-04,SEAMECLTD,1140.0,1160.0,1110.2,1115.65,13697,0.8666,15805
2022-01-05,SEAMECLTD,1066.05,1171.4,1066.05,1111.25,5335,0.789,6762
2022-01-06,SEAMECLTD,1083.5,1131.4,1083.5,1103.05,1975,0.8215000000000001,2404
2022-01-07,SEAMECLTD,1127.9,1127.9,1081.0,1085.45,1298,0.8251999999999999,1573
2022-01-10,SEAMECLTD,1085.0,1138.0,1085.0,1107.35,3246,0.8020999999999999,4047
2022-01-11,SEAMECLTD,1129.0,1139.95,1125.0,1133.8,7764,0.9087000000000001,8544
2022-01-12,SEAMECLTD,1155.0,1155.0,1095.3,1105.95,2019,0.6820999999999999,2960
2022-01-13,SEAMECLTD,1126.95,1129.0,1100.0,1107.7,1957,0.6826000000000001,2867
2022-01-14,SEAMECLTD,1149.0,1149.0,1082.2,1102.7,2364,0.6455,3662
2022-01-17,SEAMECLTD,1128.7,1145.0,1101.0,1109.7,7450,0.7794,9559
2022-01-18,SEAMECLTD,1137.0,1137.0,1083.0,1097.7,3566,0.8668000000000001,4114
2022-01-19,SEAMECLTD,1097.7,1106.9,1071.4,1087.2,2841,0.8542000000000001,3326
2022-01-20,SEAMECLTD,1090.6,1141.55,1090.6,1134.5,6631,0.8233,8054
2022-01-21,SEAMECLTD,1141.0,1177.15,1100.95,1113.05,4395,0.7408,5933
2022-01-24,SEAMECLTD,1111.0,1144.2,1057.4,1063.25,4235,0.7602,9621
2022-01-25,SEAMECLTD,1084.5,1100.0,1031.0,1068.8,4336,0.7595999999999999,5708
2022-01-27,SEAMECLTD,1042.0,1100.0,1034.05,1069.15,3132,0.6851999999999999,4571
2022-01-28,SEAMECLTD,1074.95,1122.6,1054.0,1063.05,2695,0.5062,5324
2022-01-31,SEAMECLTD,1108.0,1109.0,1050.0,1065.65,2442,0.7021,3478
2022-02-01,SEAMECLTD,1089.5,1089.5,1035.0,1045.05,1652,0.6715000000000001,2460
2022-02-02,SEAMECLTD,1045.05,1080.0,1045.05,1050.55,598,0.5962,1003
2022-02-03,SEAMECLTD,1075.0,1075.0,1035.0,1042.65,1512,0.7358,2055
2022-02-04,SEAMECLTD,1089.0,1089.0,1021.9,1039.35,1121,0.6506000000000001,1723
2022-02-07,SEAMECLTD,1030.0,1098.0,1030.0,1084.65,12095,0.6255,19337
2022-02-08,SEAMECLTD,1090.0,1163.0,1090.0,1145.55,14256,0.7918000000000001,18005
2022-02-09,SEAMECLTD,1198.0,1238.3,1171.0,1212.25,47890,0.7479000000000001,64029
2022-02-10,SEAMECLTD,1240.0,1306.0,1192.0,1299.15,70788,0.5918,119610
2022-02-11,SEAMECLTD,1290.0,1293.7,1211.1,1242.8,20639,0.5794,35622
2022-02-14,SEAMECLTD,1202.0,1263.95,1155.0,1185.05,11408,0.5729,19911
2022-02-15,SEAMECLTD,1207.6,1250.0,1161.0,1217.55,7035,0.6129,11478
2022-02-16,SEAMECLTD,1239.0,1239.6,1181.05,1210.9,5596,0.6772,8263
2022-02-17,SEAMECLTD,1186.1,1224.7,1159.05,1171.65,2991,0.5424,5514
2022-02-18,SEAMECLTD,1171.7,1219.95,1171.7,1198.5,3469,0.6192000000000001,5602
2022-02-21,SEAMECLTD,1198.5,1198.5,1100.0,1106.95,3956,0.6015,6577
2022-02-22,SEAMECLTD,1070.0,1154.0,1040.45,1098.65,9896,0.5694,17380
2022-02-23,SEAMECLTD,1144.5,1147.8,1080.0,1139.65,2769,0.7333,3776
2022-02-24,SEAMECLTD,1123.0,1123.0,990.0,1035.05,9388,0.5359,17518
2022-02-25,SEAMECLTD,1090.0,1125.0,1036.05,1068.4,5637,0.6352000000000001,8875
2022-02-28,SEAMECLTD,1069.9,1079.0,1026.0,1048.4,4107,0.5179,7930
2022-03-02,SEAMECLTD,1060.0,1074.95,1030.3,1043.7,1557,0.5365,2902
2022-03-03,SEAMECLTD,1087.0,1108.0,1047.0,1059.45,7987,0.7606999999999999,10500
2022-03-04,SEAMECLTD,1030.3,1070.55,997.15,1021.5,12444,0.6938,17935
2022-03-07,SEAMECLTD,1000.15,1024.15,1000.15,1012.05,3741,0.7602,4921
2022-03-08,SEAMECLTD,1005.0,1048.0,1004.3,1041.5,2267,0.738,3072
2022-03-09,SEAMECLTD,1059.7,1096.0,1012.0,1085.6,4112,0.6297,6530
2022-03-10,SEAMECLTD,1091.35,1095.9,1052.35,1076.35,1876,0.7453000000000001,2517
2022-03-11,SEAMECLTD,1063.5,1084.0,1043.05,1077.7,2086,0.5710000000000001,3653
2022-03-14,SEAMECLTD,1084.0,1109.95,1043.75,1096.4,16881,0.8168000000000001,20666
