Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SHEMAROO,110.25,114.5,110.0,111.0,23749,0.6022,39439
2021-09-02,SHEMAROO,110.95,117.0,110.95,115.05,29966,0.5208,57539
2021-09-03,SHEMAROO,118.45,118.45,113.2,114.05,17009,0.6685,25443
2021-09-06,SHEMAROO,118.0,118.0,112.5,113.5,27248,0.7456,36546
2021-09-07,SHEMAROO,115.9,115.9,111.65,113.45,47475,0.7545000000000001,62923
2021-09-08,SHEMAROO,112.3,124.75,112.3,124.75,231350,0.5185000000000001,446180
2021-09-09,SHEMAROO,127.7,137.2,126.0,137.2,248645,0.5718,434809
2021-09-13,SHEMAROO,140.4,143.7,128.2,138.1,206383,0.4082,505619
2021-09-14,SHEMAROO,138.9,151.9,138.8,151.6,365072,0.4518,808059
2021-09-15,SHEMAROO,153.0,156.0,146.0,146.75,200818,0.5577000000000001,360095
2021-09-16,SHEMAROO,148.45,154.05,140.3,154.05,222797,0.6589,338113
2021-09-17,SHEMAROO,152.0,161.75,150.0,152.6,286982,0.5901,486287
2021-09-20,SHEMAROO,150.0,159.6,145.0,153.6,123467,0.4865,253790
2021-09-21,SHEMAROO,151.05,161.25,151.05,161.25,180721,0.7167,252147
2021-09-22,SHEMAROO,167.4,169.3,166.55,169.3,75029,0.8664000000000001,86600
2022-01-04,SHEMAROO,120.2,125.0,120.2,122.45,18045,0.6470999999999999,27884
2022-01-05,SHEMAROO,124.7,124.7,120.75,122.95,22506,0.7532,29881
2022-01-06,SHEMAROO,122.15,124.7,120.1,120.4,24081,0.7175,33564
2022-01-07,SHEMAROO,122.0,126.4,119.7,126.15,104358,0.5795,180098
2022-01-10,SHEMAROO,129.35,129.35,126.1,126.75,28303,0.6995,40459
2022-01-11,SHEMAROO,128.7,128.7,123.25,124.15,28869,0.6161,46855
2022-01-12,SHEMAROO,126.0,128.15,122.55,124.65,46644,0.6743000000000001,69177
2022-01-13,SHEMAROO,124.95,130.85,124.95,126.65,51038,0.6475,78825
2022-01-14,SHEMAROO,129.75,129.9,125.0,126.9,15242,0.6381,23887
2022-01-17,SHEMAROO,126.2,133.2,126.2,132.6,84589,0.7463,113343
2022-01-18,SHEMAROO,132.8,134.85,126.7,128.2,41876,0.6036,69375
2022-01-19,SHEMAROO,126.8,128.5,123.85,126.45,21760,0.5637,38600
2022-01-20,SHEMAROO,129.4,129.45,125.75,126.5,21721,0.6705,32393
2022-01-21,SHEMAROO,126.5,128.0,125.15,126.45,28556,0.8009999999999999,35651
2022-01-24,SHEMAROO,128.45,130.5,120.15,120.7,57592,0.7064,81663
2022-01-25,SHEMAROO,120.0,120.0,114.7,116.15,60626,0.6541,92692
2022-01-27,SHEMAROO,115.0,118.95,114.45,117.75,23721,0.6816,34802
2022-01-28,SHEMAROO,119.0,120.8,117.0,118.15,31182,0.8101,38492
2022-01-31,SHEMAROO,118.0,119.8,114.5,115.1,21568,0.6641,32476
2022-02-01,SHEMAROO,117.0,120.2,115.4,116.45,18850,0.7078,26630
2022-02-02,SHEMAROO,118.6,120.0,117.1,118.0,19717,0.6894,28602
2022-02-03,SHEMAROO,118.5,121.6,115.0,116.7,28021,0.6239,44912
2022-02-04,SHEMAROO,116.6,122.5,116.6,121.5,51730,0.7042,73457
2022-02-07,SHEMAROO,123.35,123.65,118.9,120.55,43849,0.6527,67178
2022-02-08,SHEMAROO,121.0,123.0,112.7,115.5,28202,0.6344,44455
2022-02-09,SHEMAROO,118.9,118.9,115.1,116.1,19505,0.679,28727
2022-02-10,SHEMAROO,115.5,121.4,114.0,118.35,37880,0.6485,58409
2022-02-11,SHEMAROO,117.9,117.9,115.05,115.4,25816,0.8604,30006
2022-02-14,SHEMAROO,112.0,113.2,104.6,108.15,63773,0.7895000000000001,80777
2022-02-15,SHEMAROO,110.0,118.95,108.2,118.6,278438,0.6452,431565
2022-02-16,SHEMAROO,117.75,129.4,114.75,121.2,227844,0.48460000000000003,470187
2022-02-17,SHEMAROO,121.6,128.35,118.2,124.8,126244,0.4865,259470
2022-02-18,SHEMAROO,124.0,126.0,122.2,122.45,38103,0.7231000000000001,52693
2022-02-21,SHEMAROO,119.0,119.95,113.15,114.65,38170,0.682,55968
2022-02-22,SHEMAROO,113.9,114.45,107.0,109.6,49034,0.657,74635
2022-02-23,SHEMAROO,110.0,114.7,110.0,112.9,28876,0.7311,39495
2022-02-24,SHEMAROO,108.0,110.7,101.65,102.6,48724,0.6259,77848
2022-02-25,SHEMAROO,107.7,108.9,104.05,106.5,20702,0.6723,30791
2022-02-28,SHEMAROO,105.0,108.7,101.55,104.65,48509,0.5953,81491
2022-03-02,SHEMAROO,104.0,109.15,104.0,107.15,38982,0.5772,67540
2022-03-03,SHEMAROO,109.9,111.0,108.0,108.55,17649,0.6905,25561
2022-03-04,SHEMAROO,108.0,113.8,106.3,111.95,49886,0.6958,71699
2022-03-07,SHEMAROO,107.4,114.25,105.3,112.7,65155,0.6934,93961
2022-03-08,SHEMAROO,113.0,123.95,111.7,118.9,78888,0.6382,123601
2022-03-09,SHEMAROO,120.0,129.25,119.95,127.0,102049,0.5094,200314
2022-03-10,SHEMAROO,129.55,130.0,122.5,123.25,67850,0.5811000000000001,116757
2022-03-11,SHEMAROO,123.25,128.5,120.95,123.45,51473,0.5772,89171
2022-03-14,SHEMAROO,125.0,134.5,124.0,128.4,139942,0.5533,252929
2022-03-15,SHEMAROO,128.4,129.55,122.5,122.7,33352,0.6867,48569
2022-03-16,SHEMAROO,125.8,132.0,123.35,130.5,37127,0.6437,57680
2022-03-17,SHEMAROO,132.4,143.55,128.1,140.75,180099,0.5468000000000001,329396
2022-03-21,SHEMAROO,140.55,144.0,135.4,137.5,86979,0.6587000000000001,132041
2022-03-22,SHEMAROO,139.15,139.45,132.1,135.5,30591,0.5921000000000001,51662
2022-03-23,SHEMAROO,135.0,138.15,133.15,133.65,31451,0.7951,39555
2022-03-24,SHEMAROO,135.25,135.3,128.75,130.2,16619,0.5694,29185
2022-03-25,SHEMAROO,130.9,135.0,129.8,133.0,21287,0.6145,34642
2022-03-28,SHEMAROO,134.9,146.3,134.9,143.65,132634,0.44520000000000004,297909
2022-03-29,SHEMAROO,143.65,151.45,137.15,141.0,108100,0.47100000000000003,229499
2022-03-30,SHEMAROO,141.0,144.4,135.4,136.1,29893,0.6679,44758
2022-03-31,SHEMAROO,136.1,140.9,132.4,135.4,27629,0.6492,42560
2022-04-01,SHEMAROO,138.0,143.7,132.8,140.1,46704,0.6346,73601
2022-04-04,SHEMAROO,142.9,142.9,137.15,140.35,17493,0.5374,32551
2022-04-05,SHEMAROO,140.35,148.0,140.0,144.3,45743,0.6168,74163
