Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SHOPERSTOP,247.7,254.9,237.05,239.4,225513,0.14150000000000001,1593407
2021-09-02,SHOPERSTOP,239.4,249.0,238.8,246.1,135526,0.45530000000000004,297635
2021-09-03,SHOPERSTOP,245.6,249.4,244.0,245.0,538491,0.8604,625892
2021-09-06,SHOPERSTOP,245.95,249.0,243.25,245.05,535081,0.8614,621172
2021-09-07,SHOPERSTOP,244.9,253.15,242.25,248.95,63995,0.22100000000000003,289608
2021-09-08,SHOPERSTOP,249.7,259.4,245.85,251.85,157492,0.3129,503376
2021-09-09,SHOPERSTOP,251.0,257.55,249.1,253.05,73884,0.3644,202781
2021-09-13,SHOPERSTOP,250.55,254.55,248.8,250.4,53674,0.3957,135640
2021-09-14,SHOPERSTOP,249.55,258.5,249.35,251.2,90632,0.3234,280231
2021-09-15,SHOPERSTOP,251.2,255.0,250.2,251.15,35531,0.3761,94466
2021-09-16,SHOPERSTOP,251.15,269.7,250.85,264.75,355261,0.2666,1332524
2021-09-17,SHOPERSTOP,264.35,264.35,255.0,259.3,129854,0.47130000000000005,275511
2021-09-20,SHOPERSTOP,256.8,264.0,247.1,248.85,63639,0.35350000000000004,180025
2021-09-21,SHOPERSTOP,249.0,250.85,241.2,243.5,66798,0.401,166598
2021-09-22,SHOPERSTOP,244.9,255.95,244.9,250.1,50055,0.27,185385
2021-09-23,SHOPERSTOP,251.9,261.0,247.0,249.85,80023,0.2661,300693
2021-09-24,SHOPERSTOP,251.45,257.0,243.05,244.55,105900,0.41979999999999995,252291
2021-09-27,SHOPERSTOP,246.6,269.0,246.6,263.75,263293,0.2787,944559
2021-09-28,SHOPERSTOP,262.8,275.0,261.25,263.6,171004,0.23500000000000001,727823
2021-09-29,SHOPERSTOP,260.0,271.9,256.0,263.95,119096,0.3688,322937
2021-09-30,SHOPERSTOP,262.7,271.0,260.7,263.4,57437,0.1911,300591
2021-10-01,SHOPERSTOP,261.8,269.9,261.75,263.8,40788,0.1948,209367
2021-10-04,SHOPERSTOP,264.1,291.6,264.1,288.2,374274,0.282,1327129
2021-10-05,SHOPERSTOP,288.6,296.9,280.2,282.15,188400,0.25920000000000004,726934
2021-10-06,SHOPERSTOP,284.5,289.7,275.0,276.7,83855,0.30770000000000003,272530
2021-10-07,SHOPERSTOP,278.95,289.0,278.0,278.9,50281,0.2466,203911
2021-10-08,SHOPERSTOP,280.95,283.0,275.45,277.1,35036,0.3014,116253
2021-10-11,SHOPERSTOP,278.0,286.1,272.2,275.0,64976,0.4205,154521
2021-10-12,SHOPERSTOP,279.7,279.7,271.1,271.9,48630,0.3503,138833
2021-10-13,SHOPERSTOP,272.65,283.05,267.8,272.4,91327,0.2787,327649
2021-10-14,SHOPERSTOP,272.4,283.75,272.4,277.8,129642,0.3379,383685
2021-10-18,SHOPERSTOP,281.75,282.45,276.65,279.5,59141,0.446,132601
2021-10-19,SHOPERSTOP,283.2,288.0,270.55,282.7,138243,0.4023,343673
2021-10-20,SHOPERSTOP,282.7,299.85,277.15,280.6,180671,0.2804,644267
2021-10-21,SHOPERSTOP,295.0,336.7,294.15,336.7,967766,0.1612,6004848
2021-10-22,SHOPERSTOP,340.0,345.8,317.15,323.0,311345,0.11199999999999999,2779326
2021-10-25,SHOPERSTOP,326.0,362.55,315.05,354.5,643277,0.1696,3792909
2021-10-26,SHOPERSTOP,347.4,366.9,337.05,351.3,298509,0.2129,1401978
2021-10-27,SHOPERSTOP,354.6,369.9,345.15,359.65,102054,0.2028,503189
2021-10-28,SHOPERSTOP,356.0,365.0,336.35,347.6,87068,0.3751,232110
2021-10-29,SHOPERSTOP,348.0,357.05,337.0,344.65,77793,0.35740000000000005,217650
2021-11-01,SHOPERSTOP,352.9,362.0,345.0,353.55,111865,0.3918,285501
2021-11-02,SHOPERSTOP,351.35,384.9,351.35,375.0,167793,0.2608,643282
2021-11-03,SHOPERSTOP,376.4,384.9,353.5,356.4,152120,0.35979999999999995,422734
2021-11-04,SHOPERSTOP,359.45,369.9,355.0,361.05,64909,0.4975,130472
2021-11-08,SHOPERSTOP,363.6,370.0,355.0,358.65,74025,0.36729999999999996,201536
2021-11-09,SHOPERSTOP,360.2,409.0,358.4,395.4,443674,0.1832,2422033
2021-11-10,SHOPERSTOP,388.8,391.0,376.0,378.45,118962,0.2528,470558
2021-11-11,SHOPERSTOP,380.75,390.0,370.1,379.05,79053,0.3029,260972
2021-11-12,SHOPERSTOP,383.9,388.3,372.0,379.35,55280,0.3946,140082
2021-11-15,SHOPERSTOP,381.35,383.25,370.0,371.1,49471,0.6156,80359
2021-11-16,SHOPERSTOP,374.7,377.65,364.0,365.0,30729,0.40770000000000006,75376
2021-11-17,SHOPERSTOP,366.8,370.0,354.35,363.65,43917,0.4266,102953
2021-11-18,SHOPERSTOP,364.75,364.9,350.0,352.75,31456,0.5249,59926
2021-11-22,SHOPERSTOP,352.75,356.55,323.85,336.15,78381,0.5379,145730
2021-11-23,SHOPERSTOP,336.0,352.0,325.0,344.15,116104,0.5594,207568
2021-11-24,SHOPERSTOP,345.9,353.9,343.35,345.45,29352,0.3996,73460
2021-11-25,SHOPERSTOP,348.0,355.0,337.55,341.5,42069,0.5069,82988
2021-11-26,SHOPERSTOP,338.0,347.35,311.5,314.95,158809,0.5577000000000001,284773
2021-11-29,SHOPERSTOP,313.0,320.0,301.1,318.0,63855,0.6038,105753
2021-11-30,SHOPERSTOP,315.35,334.7,315.35,323.25,83269,0.4764,174784
2021-12-01,SHOPERSTOP,328.0,332.5,316.1,326.6,49111,0.7114,69035
2021-12-02,SHOPERSTOP,323.15,340.0,323.15,336.4,45123,0.5025000000000001,89792
2021-12-03,SHOPERSTOP,338.9,342.9,331.6,333.8,110831,0.7767000000000001,142694
2021-12-06,SHOPERSTOP,333.8,351.95,326.55,333.1,42834,0.335,127864
2021-12-07,SHOPERSTOP,343.4,347.0,337.65,341.6,27705,0.2912,95127
2021-12-08,SHOPERSTOP,342.3,365.0,342.3,357.8,120079,0.27690000000000003,433619
