Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SHREECEM,28296.0,28600.0,27948.1,28478.25,42389,0.5592,75809
2021-09-02,SHREECEM,28550.0,30514.85,28480.0,30323.25,42459,0.27030000000000004,157100
2021-09-03,SHREECEM,30290.1,30590.8,29962.1,30440.8,20487,0.2511,81600
2021-09-06,SHREECEM,30499.0,31256.95,30400.05,30535.55,26038,0.27,96454
2021-09-07,SHREECEM,30501.0,30872.95,30260.15,30653.6,21507,0.35950000000000004,59828
2021-09-08,SHREECEM,30734.5,30930.3,30300.0,30794.8,18743,0.40909999999999996,45814
2021-09-09,SHREECEM,30790.0,30830.0,30401.0,30671.35,14955,0.3884,38503
2021-09-13,SHREECEM,30672.0,30832.65,30327.45,30663.35,8839,0.30829999999999996,28668
2021-09-14,SHREECEM,30665.1,30785.0,30403.0,30658.5,12911,0.3911,33014
2021-09-15,SHREECEM,30770.0,31469.95,30650.0,31040.45,29789,0.355,83901
2021-09-16,SHREECEM,31043.5,31246.25,30305.35,30660.65,46409,0.5011,92615
2021-09-17,SHREECEM,30860.0,31039.4,30128.0,30559.45,41223,0.5252,78489
2021-09-20,SHREECEM,30450.0,30700.0,29838.25,30101.9,20616,0.39060000000000006,52781
2021-09-21,SHREECEM,30250.0,30354.65,29486.25,30059.9,24438,0.3655,66855
2021-09-22,SHREECEM,30100.0,30247.3,29575.05,29792.5,16326,0.37070000000000003,44040
2021-09-23,SHREECEM,29851.2,30090.5,29554.65,29919.25,12033,0.3367,35742
2021-09-24,SHREECEM,29999.0,30036.35,29120.05,29411.8,14956,0.33,45317
2021-09-27,SHREECEM,29632.15,29820.0,29288.35,29476.0,8528,0.3042,28033
2021-09-28,SHREECEM,29499.0,29800.0,29090.6,29242.95,11303,0.3617,31253
2021-09-29,SHREECEM,29220.0,29525.1,29168.0,29382.4,5942,0.2883,20612
2021-09-30,SHREECEM,29382.4,29399.95,28750.0,28901.55,11173,0.38070000000000004,29347
2021-10-01,SHREECEM,28800.3,29198.0,28581.85,29099.55,16253,0.4781,33997
2021-10-04,SHREECEM,29219.55,29340.0,29040.5,29289.3,11194,0.4951,22608
2021-10-05,SHREECEM,29289.3,29425.25,28701.0,28766.45,22259,0.5281,42151
2021-10-06,SHREECEM,28819.0,28931.25,28006.2,28109.75,14743,0.41960000000000003,35139
2021-10-07,SHREECEM,28205.0,28344.8,27869.4,28059.35,25916,0.5977,43358
2021-10-08,SHREECEM,28219.2,28219.2,27721.95,27757.15,16138,0.5389,29947
2021-10-11,SHREECEM,27755.0,28096.25,27627.0,28022.45,12556,0.4953,25350
2021-10-12,SHREECEM,28020.0,28089.6,27661.0,27705.8,17585,0.5737,30650
2021-10-13,SHREECEM,27880.5,28240.0,27684.4,27815.7,33219,0.6262,53052
