Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,SILINV,341.0,351.9,340.15,346.6,3447,0.7888,4370
2021-10-13,SILINV,338.0,355.45,336.1,341.75,1017,0.5477000000000001,1857
2021-10-14,SILINV,353.75,353.75,330.2,334.25,23279,0.9312,25000
2021-10-18,SILINV,339.25,339.8,331.15,331.85,7182,0.8793000000000001,8168
2021-10-19,SILINV,333.95,333.95,318.0,323.95,2235,0.8139000000000001,2746
2021-10-20,SILINV,321.1,321.3,308.0,308.7,2854,0.7415,3849
2021-10-21,SILINV,308.1,313.9,304.35,309.25,739,0.7223999999999999,1023
2021-10-22,SILINV,308.2,314.35,302.6,302.6,1500,0.4782,3137
2021-10-25,SILINV,303.3,303.3,290.05,294.45,2353,0.7725,3046
2021-10-26,SILINV,282.1,304.0,282.1,299.35,3338,0.8506999999999999,3924
2021-10-27,SILINV,301.95,305.8,294.55,300.1,2133,0.798,2673
2021-10-28,SILINV,293.3,304.65,290.15,295.35,674,0.5575,1209
2021-10-29,SILINV,294.6,298.8,286.05,292.55,1308,0.6718000000000001,1947
2021-11-01,SILINV,285.7,305.8,285.6,297.9,2451,0.8108,3023
2021-11-02,SILINV,309.65,312.75,296.05,306.45,2916,0.6711,4345
2021-11-03,SILINV,301.15,321.75,301.15,316.55,3956,0.7490000000000001,5282
2021-11-04,SILINV,328.0,328.0,310.95,315.85,281,0.7493000000000001,375
2021-11-08,SILINV,306.6,318.0,306.6,314.9,1398,0.6078,2300
2021-11-09,SILINV,319.55,319.55,305.1,310.35,3138,0.881,3562
2021-11-10,SILINV,308.0,314.9,307.5,313.85,1246,0.89,1400
2021-11-11,SILINV,309.95,309.95,301.1,303.75,283,0.7313,387
2021-11-12,SILINV,300.0,314.05,291.3,303.85,3105,0.506,6136
2021-11-15,SILINV,312.0,319.0,301.0,309.8,3252,0.5423,5997
2021-11-16,SILINV,317.85,325.25,317.5,325.25,2004,0.7069,2835
2021-11-17,SILINV,330.0,330.0,317.0,318.1,1907,0.8582,2222
2021-11-18,SILINV,319.8,319.8,312.85,315.9,216,0.6545000000000001,330
2021-11-22,SILINV,317.85,318.0,302.6,303.35,2291,0.7770999999999999,2948
2021-11-23,SILINV,308.85,308.95,302.95,305.45,500,0.7031999999999999,711
2021-11-24,SILINV,303.65,320.7,303.5,320.2,5571,0.5665,9834
2021-11-25,SILINV,333.95,334.9,315.6,324.6,5697,0.7456999999999999,7640
2021-11-26,SILINV,324.95,324.95,314.8,316.05,1342,0.8531000000000001,1573
2021-11-29,SILINV,322.95,324.0,310.3,313.55,1337,0.7565999999999999,1767
2021-11-30,SILINV,318.35,318.5,307.1,307.7,2071,0.86,2408
2021-12-01,SILINV,318.0,318.0,307.3,309.8,1514,0.8975,1687
2021-12-02,SILINV,309.85,315.9,305.7,311.65,1195,0.9192,1300
2021-12-03,SILINV,310.65,317.0,310.65,315.1,466,0.8161,571
2021-12-06,SILINV,313.65,329.2,313.65,316.75,933,0.5640999999999999,1654
2021-12-07,SILINV,318.15,322.0,316.05,321.45,1586,0.8167,1942
2021-12-08,SILINV,328.0,330.35,320.0,321.85,1561,0.5743,2718
2021-12-09,SILINV,330.0,330.0,313.1,317.45,2601,0.8531000000000001,3049
2021-12-10,SILINV,327.2,327.9,312.0,318.6,960,0.6751,1422
