Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SIS,483.95,483.95,476.05,478.9,51999,0.5651,92021
2021-09-02,SIS,479.35,484.0,476.15,479.2,59542,0.5406000000000001,110134
2021-09-03,SIS,482.9,488.5,478.05,480.05,65506,0.5145000000000001,127332
2021-09-06,SIS,486.7,486.7,479.8,481.65,52107,0.6081000000000001,85691
2021-09-07,SIS,488.3,488.3,480.35,483.45,86209,0.46049999999999996,187223
2021-09-08,SIS,485.3,486.95,481.25,482.7,49139,0.5295000000000001,92801
2021-09-09,SIS,480.0,486.5,479.6,483.6,40825,0.5876,69482
2021-09-13,SIS,483.05,494.0,480.2,484.65,859888,0.8395,1024323
2021-09-14,SIS,487.9,489.2,472.2,478.6,77140,0.5883,131134
2021-09-15,SIS,480.5,496.9,478.05,488.9,152754,0.4565,334630
2021-09-16,SIS,487.5,494.0,481.0,482.15,68254,0.5664,120512
2021-09-17,SIS,484.0,484.0,466.0,477.5,92687,0.5638000000000001,164389
2021-09-20,SIS,472.5,480.0,460.9,463.0,41345,0.5468000000000001,75606
2021-09-21,SIS,457.0,479.0,454.5,470.1,61440,0.5506000000000001,111589
2021-09-22,SIS,477.0,500.8,469.1,475.45,159143,0.3722,427605
2021-09-23,SIS,481.65,484.9,471.05,474.55,28839,0.418,68990
2021-09-24,SIS,476.0,479.0,461.3,465.5,78600,0.5575,140974
2021-09-27,SIS,467.8,473.95,449.6,451.85,216643,0.8031,269771
2021-09-28,SIS,456.0,494.45,449.6,486.55,176498,0.2489,709090
2021-09-29,SIS,482.0,503.35,473.3,500.2,276715,0.44329999999999997,624194
2021-09-30,SIS,504.2,505.1,475.55,495.2,115281,0.4625,249254
2021-10-01,SIS,490.0,499.9,486.2,496.25,68141,0.43320000000000003,157281
2021-10-04,SIS,499.0,503.75,486.2,488.1,100303,0.5684,176453
2021-10-05,SIS,490.0,501.9,490.0,494.95,106708,0.4979,214325
2021-10-06,SIS,497.4,502.0,486.1,488.7,59614,0.41659999999999997,143100
