Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SKIL,3.85,4.2,3.85,3.85,110965,0.8554,129723
2021-09-02,SKIL,4.0,4.0,3.8,4.0,43701,0.9729000000000001,44917
2021-09-03,SKIL,4.2,4.2,3.8,3.9,267006,0.6113000000000001,436758
2021-09-06,SKIL,4.05,4.05,3.75,3.8,130699,0.9361,139618
2021-09-07,SKIL,3.7,3.9,3.7,3.9,101421,0.9146,110888
2021-09-08,SKIL,4.0,4.0,3.8,3.85,112760,0.8547,131928
2021-09-09,SKIL,3.9,4.0,3.8,3.9,91151,0.9366,97325
2021-09-13,SKIL,4.0,4.0,3.75,3.8,88025,0.6767000000000001,130081
2021-09-14,SKIL,3.75,3.85,3.75,3.85,44190,0.9076000000000001,48689
2021-09-15,SKIL,3.9,3.9,3.7,3.85,82810,0.5522,149956
2021-09-16,SKIL,3.95,3.95,3.75,3.8,30356,0.7706000000000001,39395
2021-09-17,SKIL,3.85,3.9,3.75,3.8,23923,0.6838,34985
2021-09-20,SKIL,3.75,3.9,3.7,3.7,63782,0.8806,72433
2021-09-21,SKIL,3.8,3.85,3.65,3.8,54107,0.7265,74477
2021-09-22,SKIL,3.8,3.8,3.65,3.7,93012,0.6473000000000001,143688
2021-09-23,SKIL,3.8,3.8,3.6,3.7,67767,0.7415999999999999,91376
2021-09-24,SKIL,3.65,3.85,3.65,3.75,110924,0.9427,117661
2021-09-27,SKIL,3.9,3.9,3.6,3.6,198410,0.876,226494
2021-09-28,SKIL,3.7,3.7,3.45,3.55,111949,0.7534000000000001,148588
2021-09-29,SKIL,3.6,3.7,3.55,3.7,56580,0.9733,58133
2021-09-30,SKIL,3.8,3.85,3.75,3.8,46599,0.7047,66125
2021-10-01,SKIL,3.85,3.95,3.75,3.95,215158,0.9945,216347
2021-10-04,SKIL,4.1,4.1,4.1,4.1,36682,1.0,36682
2021-10-05,SKIL,4.3,4.3,4.3,4.3,15426,1.0,15426
2021-10-06,SKIL,4.5,4.5,4.5,4.5,163712,1.0,163712
2021-10-07,SKIL,4.7,4.7,4.7,4.7,22041,1.0,22041
2021-10-08,SKIL,4.9,4.9,4.9,4.9,50243,1.0,50243
2021-10-11,SKIL,5.1,5.1,4.7,4.7,280056,0.7437,376551
2021-10-12,SKIL,4.7,4.8,4.5,4.5,132029,0.6213000000000001,212505
2021-10-13,SKIL,4.7,4.7,4.35,4.45,77485,0.7514000000000001,103127
2021-10-14,SKIL,4.6,4.6,4.35,4.45,143715,0.7996,179730
2021-10-18,SKIL,4.5,4.65,4.3,4.35,77697,0.8371,92822
2021-10-19,SKIL,4.45,4.5,4.2,4.25,139303,0.9679000000000001,143922
2021-10-20,SKIL,4.1,4.45,4.1,4.15,100245,0.8398000000000001,119368
2021-10-21,SKIL,4.05,4.3,3.95,4.15,27259,0.6467,42150
2021-10-22,SKIL,4.25,4.3,3.95,3.95,524589,0.8525,615368
2021-10-25,SKIL,4.05,4.1,3.8,3.9,1564793,0.9715,1610761
2021-10-26,SKIL,4.0,4.0,3.75,3.75,219351,0.9379000000000001,233885
2021-10-27,SKIL,3.8,3.9,3.7,3.9,91008,0.8505,107003
2021-10-28,SKIL,4.05,4.05,3.85,3.95,117881,0.9207,128035
2021-10-29,SKIL,4.1,4.1,3.8,3.8,114758,0.7323999999999999,156682
2021-11-01,SKIL,3.65,3.95,3.65,3.8,636696,0.8520000000000001,747289
2021-11-02,SKIL,3.9,3.95,3.75,3.8,390000,0.8066,483533
2021-11-03,SKIL,3.85,3.9,3.75,3.8,58157,0.9556,60857
2021-11-04,SKIL,3.95,3.95,3.85,3.95,16576,1.0,16576
2021-11-08,SKIL,4.05,4.1,3.8,3.8,236855,0.8637,274244
2021-11-09,SKIL,3.75,3.75,3.65,3.65,194901,0.8637,225647
2021-11-10,SKIL,3.65,3.8,3.55,3.6,580134,0.8395,691069
2021-11-11,SKIL,3.6,3.7,3.45,3.5,487099,0.7903,616382
2021-11-12,SKIL,3.5,3.65,3.35,3.4,639272,0.8277,772363
2021-11-15,SKIL,3.4,3.45,3.25,3.25,291451,0.9359000000000001,311427
2021-11-16,SKIL,3.2,3.2,3.1,3.2,140986,0.7722,182575
2021-11-17,SKIL,3.15,3.25,3.1,3.15,114286,0.7963,143517
2021-11-18,SKIL,3.2,3.3,3.1,3.15,144053,0.7587999999999999,189847
