Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SMSPHARMA,171.4,174.0,167.75,169.15,33709,0.6541,51538
2021-09-02,SMSPHARMA,169.45,173.35,169.2,170.15,36492,0.6228,58591
2021-09-03,SMSPHARMA,171.0,171.9,170.0,170.65,28219,0.6835,41286
2021-09-06,SMSPHARMA,173.0,175.15,170.25,171.2,49435,0.6434000000000001,76832
2021-09-07,SMSPHARMA,171.25,171.25,164.8,165.7,64221,0.6867,93524
2021-09-08,SMSPHARMA,166.05,168.0,163.3,164.15,67521,0.5629,119948
2021-09-09,SMSPHARMA,164.3,166.45,162.45,162.7,53641,0.6885,77912
2021-09-13,SMSPHARMA,162.05,165.1,160.5,161.05,72973,0.7241,100778
2021-09-14,SMSPHARMA,162.7,162.85,159.4,160.35,51266,0.6281,81621
2021-09-15,SMSPHARMA,160.0,162.0,158.65,160.3,77425,0.6646,116504
2021-09-16,SMSPHARMA,161.8,166.35,159.1,160.2,63374,0.5655,112065
2021-09-17,SMSPHARMA,162.4,163.65,158.75,160.5,52423,0.5473,95784
2021-09-20,SMSPHARMA,161.95,161.95,156.5,157.35,61556,0.7704000000000001,79904
2021-09-21,SMSPHARMA,156.7,159.0,152.8,153.2,50505,0.63,80161
2021-09-22,SMSPHARMA,153.0,157.95,153.0,156.7,25108,0.44170000000000004,56838
2021-09-23,SMSPHARMA,155.3,160.4,155.3,157.7,35626,0.47250000000000003,75394
2021-09-24,SMSPHARMA,155.4,158.95,150.65,152.25,67498,0.6859000000000001,98412
2021-09-27,SMSPHARMA,152.25,154.8,147.05,148.15,69467,0.6561,105879
2021-09-28,SMSPHARMA,148.2,151.8,147.55,149.35,473169,0.9034000000000001,523755
2021-09-29,SMSPHARMA,148.0,158.15,147.35,157.0,69569,0.4461,155945
2021-09-30,SMSPHARMA,157.8,158.65,154.0,155.2,62292,0.6198,100511
2021-10-01,SMSPHARMA,151.5,153.7,151.0,152.05,57506,0.6356,90475
2021-10-04,SMSPHARMA,155.6,157.85,149.45,156.35,49364,0.5012,98482
2021-10-05,SMSPHARMA,159.5,159.5,154.15,155.7,33640,0.5349,62896
2021-10-06,SMSPHARMA,155.05,158.4,153.0,153.8,44933,0.5647,79564
2021-10-07,SMSPHARMA,155.4,157.4,151.65,155.6,37444,0.4656,80423
2021-10-08,SMSPHARMA,157.4,160.65,152.0,155.35,59029,0.5357999999999999,110173
2021-10-11,SMSPHARMA,156.25,156.5,153.5,154.45,54570,0.6423000000000001,84955
2021-10-12,SMSPHARMA,153.5,157.1,153.5,154.55,40105,0.6558,61151
2021-10-13,SMSPHARMA,154.55,155.5,150.75,151.15,96433,0.7028,137217
2021-10-14,SMSPHARMA,151.2,151.9,147.65,148.75,110043,0.7848,140223
2021-10-18,SMSPHARMA,150.1,150.8,147.3,148.2,92257,0.7717,119558
2021-10-19,SMSPHARMA,148.9,150.9,146.0,147.4,49724,0.6111,81372
2021-10-20,SMSPHARMA,149.4,149.4,141.0,142.4,52045,0.5672,91762
2021-10-21,SMSPHARMA,145.55,145.85,139.1,140.2,47942,0.6859999999999999,69885
2021-10-22,SMSPHARMA,144.7,144.7,137.0,137.55,45976,0.5934,77478
2021-10-25,SMSPHARMA,136.0,139.8,132.1,134.1,42796,0.6419,66672
2021-10-26,SMSPHARMA,133.0,140.7,133.0,140.0,28738,0.561,51227
2021-10-27,SMSPHARMA,140.95,143.7,137.5,138.6,24074,0.5138,46857
2021-10-28,SMSPHARMA,140.0,142.7,137.9,139.95,41753,0.3835,108884
2021-10-29,SMSPHARMA,139.0,144.45,136.05,140.55,47817,0.5432,88024
2021-11-01,SMSPHARMA,143.4,143.4,137.2,139.05,25585,0.536,47729
2021-11-02,SMSPHARMA,139.2,140.15,136.0,137.1,19307,0.5503,35087
2021-11-03,SMSPHARMA,138.05,139.45,134.15,134.8,27601,0.5239,52680
2021-11-04,SMSPHARMA,137.6,137.6,134.15,135.1,11989,0.6543000000000001,18322
2021-11-08,SMSPHARMA,135.9,147.5,132.9,145.7,79809,0.5075000000000001,157254
2021-11-09,SMSPHARMA,144.95,145.35,142.0,143.65,55138,0.6486,85008
2021-11-10,SMSPHARMA,142.5,146.0,139.2,140.5,44781,0.5901,75889
2021-11-11,SMSPHARMA,142.95,143.3,136.15,137.2,31571,0.505,62515
2021-11-12,SMSPHARMA,134.65,143.0,134.5,137.9,89454,0.33890000000000003,263939
2021-11-15,SMSPHARMA,141.9,141.9,133.25,135.3,114422,0.5889,194306
2021-11-16,SMSPHARMA,137.0,137.0,134.0,134.65,198886,0.8421,236176
2021-11-17,SMSPHARMA,135.45,137.0,133.2,134.0,196804,0.7281000000000001,270285
2021-11-18,SMSPHARMA,135.0,135.0,129.95,132.15,49499,0.5753,86041
2021-11-22,SMSPHARMA,132.4,132.5,124.05,125.2,70902,0.614,115470
2021-11-23,SMSPHARMA,123.0,132.5,122.65,131.3,32156,0.4418,72791
2021-11-24,SMSPHARMA,132.7,133.3,128.9,130.2,64949,0.5712,113708
2021-11-25,SMSPHARMA,131.85,132.45,129.0,129.2,35559,0.5917,60095
2021-11-26,SMSPHARMA,128.4,136.0,128.0,130.3,126846,0.5127,247409
2021-11-29,SMSPHARMA,131.9,135.0,122.9,124.55,56841,0.5235000000000001,108578
2021-11-30,SMSPHARMA,125.55,128.0,124.15,125.7,22574,0.5786,39018
2021-12-01,SMSPHARMA,126.95,127.35,121.5,123.65,27306,0.5807,47023
2021-12-02,SMSPHARMA,124.25,129.15,124.25,128.5,36790,0.5806,63367
2021-12-03,SMSPHARMA,129.0,131.85,127.3,128.7,21339,0.5434,39273
2021-12-06,SMSPHARMA,129.7,129.7,126.3,126.65,14006,0.47850000000000004,29272
2021-12-07,SMSPHARMA,126.65,129.0,125.9,128.5,18302,0.5017,36483
2021-12-08,SMSPHARMA,132.0,132.0,126.0,127.0,53079,0.6278,84544
2021-12-09,SMSPHARMA,128.15,129.45,126.15,126.85,50915,0.7144,71274
2021-12-10,SMSPHARMA,126.85,128.5,126.0,126.6,42229,0.7093,59535
2021-12-13,SMSPHARMA,127.85,127.95,126.0,126.25,34890,0.6752,51673
2021-12-14,SMSPHARMA,128.0,128.5,124.6,125.3,31530,0.6779999999999999,46502
2021-12-15,SMSPHARMA,128.45,128.45,125.3,126.0,28404,0.6087,46663
2021-12-16,SMSPHARMA,127.65,127.65,124.5,125.25,38993,0.7605,51272
2021-12-17,SMSPHARMA,125.5,126.0,122.05,122.3,29016,0.7073,41021
2021-12-20,SMSPHARMA,121.7,121.7,116.05,117.3,33613,0.5395000000000001,62300
2021-12-21,SMSPHARMA,120.4,124.0,117.5,118.7,27611,0.4941,55878
2021-12-22,SMSPHARMA,120.0,122.95,119.05,121.75,28527,0.5885,48472
2021-12-23,SMSPHARMA,123.3,127.85,121.0,126.6,46289,0.5670000000000001,81645
2021-12-24,SMSPHARMA,127.85,128.0,123.6,126.5,54715,0.7107,76990
2021-12-27,SMSPHARMA,126.0,134.65,122.8,128.55,65449,0.44810000000000005,146061
2021-12-28,SMSPHARMA,129.9,131.95,128.25,129.25,139408,0.5188,268700
2021-12-29,SMSPHARMA,129.25,130.0,127.0,127.4,43439,0.7184999999999999,60457
2021-12-30,SMSPHARMA,128.3,130.25,127.0,127.8,53749,0.5903,91061
2021-12-31,SMSPHARMA,129.0,130.2,127.15,128.5,68761,0.7031999999999999,97787
2022-01-03,SMSPHARMA,128.65,131.6,128.55,129.9,71878,0.6802,105676
2022-01-04,SMSPHARMA,131.5,139.9,130.25,138.75,212550,0.47090000000000004,451335
2022-01-05,SMSPHARMA,139.0,139.55,133.45,135.0,64832,0.5527000000000001,117299
2022-01-06,SMSPHARMA,134.5,138.75,132.95,133.45,98185,0.6466,151847
2022-01-07,SMSPHARMA,134.65,137.8,134.05,137.3,58013,0.6525,88915
2022-01-10,SMSPHARMA,137.95,138.1,135.2,135.55,38184,0.5949,64183
2022-01-11,SMSPHARMA,135.0,137.1,132.0,132.75,63604,0.6633,95886
2022-01-12,SMSPHARMA,133.8,134.65,129.05,130.4,70754,0.6018,117572
2022-01-13,SMSPHARMA,131.45,135.85,130.25,134.35,449396,0.9381999999999999,479009
2022-01-14,SMSPHARMA,134.25,136.85,133.0,135.2,60776,0.6522,93193
2022-01-17,SMSPHARMA,135.0,139.4,133.55,135.15,61729,0.5515,111929
2022-01-18,SMSPHARMA,136.25,158.85,134.7,135.35,135686,0.6143,220885
2022-01-19,SMSPHARMA,136.4,136.8,126.85,131.2,75379,0.6034,124926
2022-01-20,SMSPHARMA,132.2,145.5,131.2,136.6,192859,0.3196,603386
2022-01-21,SMSPHARMA,135.5,137.55,132.15,132.85,83549,0.6194,134879
2022-01-24,SMSPHARMA,132.5,133.6,125.8,127.95,52818,0.624,112097
2022-01-25,SMSPHARMA,125.25,129.9,125.0,127.3,59457,0.5782,102828
2022-01-27,SMSPHARMA,127.45,127.45,122.0,122.75,63972,0.7023,91093
2022-01-28,SMSPHARMA,124.15,126.75,123.65,124.55,29905,0.5796,51599
2022-01-31,SMSPHARMA,124.0,126.2,124.0,124.45,22810,0.6872,33195
2022-02-01,SMSPHARMA,128.95,128.95,124.1,125.55,39387,0.6564,60003
2022-02-02,SMSPHARMA,126.8,127.5,125.0,125.5,31867,0.6024,52901
2022-02-03,SMSPHARMA,125.5,130.0,125.5,127.95,32331,0.6473000000000001,49946
2022-02-04,SMSPHARMA,127.3,129.0,126.15,126.7,33361,0.8164,40864
2022-02-07,SMSPHARMA,128.9,128.9,126.0,127.15,22525,0.6661,33816
2022-02-08,SMSPHARMA,128.0,128.2,124.15,125.1,28919,0.7072,40894
2022-02-09,SMSPHARMA,126.35,127.05,117.5,118.6,131062,0.4975,263419
2022-02-10,SMSPHARMA,118.6,119.25,112.5,113.2,110107,0.6653,165507
2022-02-11,SMSPHARMA,115.15,115.15,110.05,110.9,63186,0.6675,94657
2022-02-14,SMSPHARMA,103.0,107.55,103.0,103.85,80573,0.6604000000000001,122004
2022-02-15,SMSPHARMA,107.0,109.0,101.0,107.95,50093,0.5449,91932
2022-02-16,SMSPHARMA,111.9,111.9,106.1,107.05,23505,0.5590999999999999,42043
2022-02-17,SMSPHARMA,105.5,108.75,105.0,105.65,30459,0.6441,47291
2022-02-18,SMSPHARMA,105.0,105.9,103.9,105.3,17612,0.5861999999999999,30046
2022-02-21,SMSPHARMA,101.25,106.0,101.25,102.4,32621,0.5789,56353
2022-02-22,SMSPHARMA,102.95,103.9,95.1,98.4,56002,0.7429000000000001,75381
2022-02-23,SMSPHARMA,98.45,104.8,98.45,102.9,42944,0.4955,86660
2022-02-24,SMSPHARMA,99.1,101.6,95.0,95.25,68176,0.6645000000000001,102601
2022-02-25,SMSPHARMA,99.8,100.0,95.45,99.65,34666,0.5914,58616
2022-02-28,SMSPHARMA,99.05,100.7,97.0,98.25,41481,0.6915000000000001,59986
2022-03-02,SMSPHARMA,97.8,101.6,95.55,97.05,40070,0.6501,61637
2022-03-03,SMSPHARMA,98.9,99.35,96.0,97.05,26980,0.6762,39901
2022-03-04,SMSPHARMA,96.75,97.25,94.0,95.5,33460,0.6878000000000001,48649
2022-03-07,SMSPHARMA,93.0,95.35,92.7,93.25,32998,0.7273000000000001,45371
2022-03-08,SMSPHARMA,92.25,94.15,81.1,92.05,74202,0.6224000000000001,119211
2022-03-09,SMSPHARMA,93.8,97.45,93.15,96.75,74857,0.7156,104611
2022-03-10,SMSPHARMA,98.0,99.9,97.1,98.25,61626,0.7278,84680
2022-03-11,SMSPHARMA,98.05,100.35,96.05,98.8,68863,0.7575000000000001,90910
2022-03-14,SMSPHARMA,97.4,99.5,95.9,96.8,86170,0.7623000000000001,113044
2022-03-15,SMSPHARMA,97.7,98.9,95.8,96.0,57335,0.7668,74771
2022-03-16,SMSPHARMA,97.4,98.0,96.5,97.55,44636,0.8383,53249
2022-03-17,SMSPHARMA,98.3,102.0,95.75,96.3,178924,0.7556,236801
2022-03-21,SMSPHARMA,100.0,113.9,100.0,107.5,276585,0.25079999999999997,1102745
2022-03-22,SMSPHARMA,112.8,114.75,110.1,112.1,224448,0.3793,591750
2022-03-23,SMSPHARMA,114.35,114.8,109.55,110.2,111647,0.5363,208179
2022-03-24,SMSPHARMA,109.9,109.9,105.05,105.65,58425,0.48090000000000005,121486
2022-03-25,SMSPHARMA,106.05,107.6,103.1,104.15,53177,0.5215,101978
2022-03-28,SMSPHARMA,104.15,104.8,98.05,99.1,90879,0.6824,133183
2022-03-29,SMSPHARMA,98.1,99.9,94.9,95.7,511224,0.8989,568737
2022-03-30,SMSPHARMA,97.8,99.9,96.0,96.65,210886,0.8428,250220
2022-03-31,SMSPHARMA,98.95,98.95,93.0,93.5,122992,0.7668,160405
2022-04-01,SMSPHARMA,93.9,104.0,93.9,102.9,99330,0.5101,194714
2022-04-04,SMSPHARMA,101.55,103.0,101.1,102.3,49971,0.6617000000000001,75517
2022-04-05,SMSPHARMA,102.3,105.3,102.0,102.8,47717,0.4961,96190
2022-04-06,SMSPHARMA,102.8,104.95,102.5,103.75,29344,0.6892,42574
2022-04-07,SMSPHARMA,102.5,106.1,102.0,103.35,61115,0.6706000000000001,91129
2022-04-08,SMSPHARMA,103.5,106.0,103.0,104.7,35607,0.708,50289
2022-04-11,SMSPHARMA,106.4,109.8,104.7,107.6,97888,0.428,228722
2022-04-12,SMSPHARMA,107.0,108.55,104.55,106.1,26174,0.49979999999999997,52373
2022-04-13,SMSPHARMA,105.2,107.75,104.55,106.35,27985,0.5631,49697
2022-04-18,SMSPHARMA,102.6,105.7,102.0,103.9,47776,0.6518,73298
2022-04-19,SMSPHARMA,104.0,106.6,100.0,102.3,43928,0.585,75090
2022-04-20,SMSPHARMA,103.25,104.7,102.1,103.25,28669,0.6479,44252
2022-04-21,SMSPHARMA,104.45,105.0,101.5,103.4,34804,0.5733,60711
2022-04-22,SMSPHARMA,103.0,104.35,101.75,102.15,30845,0.7648,40330
2022-04-25,SMSPHARMA,102.2,102.5,98.9,99.75,33527,0.7016,47785
2022-04-26,SMSPHARMA,100.65,101.45,99.4,100.05,42446,0.6667000000000001,63663
2022-04-27,SMSPHARMA,100.5,102.35,98.15,101.9,42006,0.6818000000000001,61608
2022-04-28,SMSPHARMA,103.9,103.9,98.1,99.95,24223,0.6158,39335
2022-04-29,SMSPHARMA,99.8,102.4,98.6,99.15,28861,0.5434,53115
2022-05-02,SMSPHARMA,99.15,99.6,96.4,98.5,36878,0.6296,58570
2022-05-04,SMSPHARMA,98.0,99.7,96.4,97.55,26340,0.7497,35135
2022-05-05,SMSPHARMA,99.35,99.35,97.05,97.55,11512,0.7256,15866
2022-05-06,SMSPHARMA,97.0,97.0,94.3,95.65,20878,0.6494,32151
2022-05-09,SMSPHARMA,96.35,96.35,92.65,93.45,12884,0.6151,20947
2022-05-10,SMSPHARMA,94.45,94.45,90.85,91.9,27830,0.7428,37468
2022-05-11,SMSPHARMA,90.0,92.25,87.0,87.8,28519,0.6505,43842
2022-05-12,SMSPHARMA,88.6,88.6,81.2,82.15,61217,0.5964,102636
2022-05-13,SMSPHARMA,82.15,87.35,81.7,82.35,56065,0.6231,89980
2022-05-16,SMSPHARMA,84.9,85.25,83.0,84.85,13630,0.6627,20568
2022-05-17,SMSPHARMA,85.0,90.0,84.5,88.4,27457,0.7014,39147
2022-05-18,SMSPHARMA,89.0,90.0,87.0,88.55,27984,0.6318,44296
2022-05-19,SMSPHARMA,86.5,87.0,83.5,84.35,18968,0.5947,31895
2022-05-20,SMSPHARMA,86.8,87.8,84.85,87.25,19140,0.7868,24326
2022-05-23,SMSPHARMA,88.0,88.0,85.0,85.45,14713,0.594,24769
2022-05-24,SMSPHARMA,86.0,87.9,83.55,87.0,12557,0.5829,21542
2022-05-25,SMSPHARMA,87.0,87.0,83.3,84.25,10400,0.7648,13598
2022-05-26,SMSPHARMA,82.65,85.45,81.1,83.3,11632,0.7061000000000001,16473
2022-05-27,SMSPHARMA,83.2,85.0,82.45,84.6,11501,0.5424,21202
2022-05-30,SMSPHARMA,85.35,86.9,81.75,83.0,37190,0.479,77635
2022-05-31,SMSPHARMA,81.8,82.75,78.0,80.4,90763,0.6748000000000001,134504
2022-06-01,SMSPHARMA,81.15,81.75,80.15,81.2,17958,0.7223,24863
2022-06-02,SMSPHARMA,81.15,81.75,80.0,80.7,22066,0.7062999999999999,31240
2022-06-03,SMSPHARMA,81.45,88.0,79.7,82.15,53845,0.5523,97489
2022-06-06,SMSPHARMA,82.5,82.5,80.55,81.75,7619,0.4732,16102
2022-06-07,SMSPHARMA,82.55,83.65,81.4,82.2,9547,0.6127,15581
2022-06-08,SMSPHARMA,82.95,85.0,81.5,83.45,13413,0.5764,23272
2022-06-09,SMSPHARMA,81.2,84.75,68.4,80.5,37454,0.4892,76557
2022-06-10,SMSPHARMA,80.0,82.95,79.0,82.15,30195,0.6686,45160
2022-06-13,SMSPHARMA,80.1,81.8,78.15,79.25,16328,0.7839,20830
2022-06-14,SMSPHARMA,79.45,80.0,78.0,78.3,29636,0.8228,36017
2022-06-15,SMSPHARMA,77.5,79.95,77.5,78.95,6579,0.6376,10319
2022-06-16,SMSPHARMA,79.9,80.85,75.1,76.2,25242,0.7299,34583
2022-06-17,SMSPHARMA,75.95,75.95,68.7,72.2,20001,0.554,36101
2022-06-20,SMSPHARMA,74.5,74.5,71.0,72.05,13085,0.7519,17403
2022-06-21,SMSPHARMA,73.95,75.3,72.3,74.3,9175,0.5484,16729
