Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SOBHA,628.65,699.45,628.65,685.7,597235,0.3616,1651847
2021-09-02,SOBHA,684.95,729.0,670.0,722.55,393189,0.31420000000000003,1251232
2021-09-03,SOBHA,724.4,778.0,723.4,769.45,394543,0.3456,1141712
2021-09-06,SOBHA,778.9,848.0,775.25,817.9,460624,0.3043,1513517
2021-09-07,SOBHA,822.0,822.0,765.55,770.7,258373,0.36920000000000003,699812
2021-09-08,SOBHA,770.0,814.4,742.0,785.4,236895,0.3315,714544
2021-09-09,SOBHA,789.0,793.0,765.0,776.7,84582,0.3675,230142
2021-09-13,SOBHA,777.7,815.0,763.0,797.8,163088,0.3841,424581
2021-09-14,SOBHA,801.0,804.8,775.2,779.55,118681,0.49350000000000005,240485
2021-09-15,SOBHA,784.0,788.8,760.1,766.45,147204,0.5695,258459
2021-09-16,SOBHA,770.3,771.9,756.0,766.4,136044,0.6064,224345
2021-09-17,SOBHA,773.0,779.0,736.05,741.4,102354,0.47740000000000005,214409
2021-09-20,SOBHA,734.0,746.0,694.0,699.5,129075,0.47100000000000003,274056
2021-09-21,SOBHA,693.1,738.1,685.8,707.8,219664,0.3882,565902
2021-09-22,SOBHA,730.1,774.15,720.0,751.1,367623,0.3301,1113581
2021-09-23,SOBHA,754.8,829.0,745.0,810.6,604944,0.2688,2250946
2021-09-24,SOBHA,819.0,840.0,785.55,798.5,231083,0.25680000000000003,899855
2021-09-27,SOBHA,802.5,814.95,788.4,799.4,214325,0.3951,542398
2021-09-28,SOBHA,803.4,803.4,764.65,779.65,194545,0.5065,384122
2021-09-29,SOBHA,770.0,815.0,763.0,803.1,245972,0.408,602845
2021-09-30,SOBHA,803.0,813.0,785.1,789.85,92289,0.3443,268059
2021-10-01,SOBHA,782.0,795.65,775.7,778.5,71731,0.4529,158367
2021-10-04,SOBHA,785.0,811.0,781.1,793.1,113438,0.37560000000000004,301997
2021-10-05,SOBHA,791.0,794.9,771.1,774.3,118006,0.5527000000000001,213490
2021-10-06,SOBHA,776.0,781.3,755.0,758.5,67633,0.5222,129509
2021-10-07,SOBHA,815.0,901.0,811.0,884.75,684763,0.1977,3463020
2021-10-08,SOBHA,888.0,888.25,849.45,853.65,195286,0.31260000000000004,624814
2021-10-11,SOBHA,859.95,890.0,840.0,863.15,100765,0.2313,435592
2021-10-12,SOBHA,859.0,871.95,846.05,855.3,55269,0.2427,227697
2021-10-13,SOBHA,862.5,862.5,825.45,828.45,155305,0.5277000000000001,294312
2021-10-14,SOBHA,835.9,849.0,825.0,826.75,102214,0.3779,270484
2021-10-18,SOBHA,834.7,846.95,825.0,829.2,123541,0.4979,248128
2021-10-19,SOBHA,830.1,842.65,799.45,805.35,131996,0.5640999999999999,234003
2021-10-20,SOBHA,805.0,823.95,770.0,801.1,71765,0.2888,248522
2021-10-21,SOBHA,808.8,819.0,768.0,771.45,151653,0.611,248187
2021-10-22,SOBHA,777.85,802.55,755.95,779.65,109316,0.4179,261569
2021-10-25,SOBHA,782.0,786.55,694.55,753.75,99031,0.2904,340974
2021-10-26,SOBHA,756.9,779.0,753.85,765.2,98220,0.4404,223012
2021-10-27,SOBHA,768.9,804.8,763.5,789.95,169432,0.32909999999999995,514896
2021-10-28,SOBHA,780.0,785.8,751.85,759.75,60234,0.2963,203320
2021-10-29,SOBHA,764.9,777.0,747.0,770.0,91037,0.3141,289861
2021-11-01,SOBHA,772.8,838.4,772.8,827.8,431082,0.2982,1445404
2021-11-02,SOBHA,831.1,873.7,821.0,866.6,331739,0.32049999999999995,1035018
2021-11-03,SOBHA,868.0,962.0,858.0,951.5,560266,0.1115,5026577
2021-11-04,SOBHA,959.1,969.0,931.15,950.6,76887,0.1955,393384
2021-11-08,SOBHA,952.4,954.7,878.85,885.2,345567,0.2944,1173745
