Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SOMICONVEY,59.25,59.25,54.7,56.45,15470,0.3882,39849
2021-09-02,SOMICONVEY,55.0,62.05,54.6,62.05,78681,0.386,203863
2021-09-03,SOMICONVEY,64.75,68.25,63.0,65.25,153644,0.33799999999999997,454521
2021-09-06,SOMICONVEY,65.6,66.0,62.0,62.0,27617,0.7631,36192
2021-09-07,SOMICONVEY,60.4,64.85,60.1,61.45,31762,0.6667000000000001,47639
2021-09-08,SOMICONVEY,60.0,62.35,58.4,58.4,29906,0.7216,41443
2021-10-12,SOMICONVEY,50.5,54.0,50.5,51.2,9384,0.7848999999999999,11955
2021-10-13,SOMICONVEY,51.0,52.35,50.8,50.9,8098,0.8005,10116
2021-10-14,SOMICONVEY,50.75,51.7,49.8,50.15,10853,0.6766,16040
2021-10-18,SOMICONVEY,49.55,52.0,49.05,51.15,9931,0.6827,14547
2021-10-19,SOMICONVEY,52.4,52.45,48.7,49.15,10049,0.6686,15031
2021-10-20,SOMICONVEY,51.25,51.25,48.25,48.8,8354,0.7857,10632
2021-10-21,SOMICONVEY,50.0,50.0,47.65,47.9,5027,0.7729,6504
2021-10-22,SOMICONVEY,47.05,49.25,47.05,47.25,6451,0.7595000000000001,8494
2021-10-25,SOMICONVEY,48.0,48.0,45.2,46.0,4063,0.4827,8418
2021-10-26,SOMICONVEY,45.2,47.9,45.2,46.3,3272,0.6015,5440
2021-10-27,SOMICONVEY,46.65,48.4,46.65,47.45,4772,0.4889,9760
2021-10-28,SOMICONVEY,48.45,48.45,46.2,47.1,3692,0.39780000000000004,9282
2021-10-29,SOMICONVEY,46.2,48.85,45.35,45.75,6121,0.6147,9958
2021-11-01,SOMICONVEY,45.1,47.6,45.1,46.5,2016,0.5902000000000001,3416
2021-11-02,SOMICONVEY,45.25,48.4,45.25,45.9,7405,0.6287,11779
2021-11-03,SOMICONVEY,45.25,46.25,45.2,45.5,2262,0.6813,3320
2021-11-04,SOMICONVEY,47.3,47.3,44.05,46.85,2758,0.7245,3807
2021-11-08,SOMICONVEY,44.7,47.7,44.7,46.25,8907,0.6069,14677
2021-11-09,SOMICONVEY,47.15,47.2,45.2,45.6,6551,0.7027,9323
2021-11-10,SOMICONVEY,46.0,47.55,45.5,45.65,5159,0.7011000000000001,7358
2021-11-11,SOMICONVEY,45.3,46.9,45.3,45.5,4147,0.909,4562
2021-11-12,SOMICONVEY,46.3,46.35,45.5,45.6,4996,0.8018000000000001,6231
2021-11-15,SOMICONVEY,47.85,47.85,45.3,46.0,8029,0.6178,12997
2021-11-16,SOMICONVEY,47.05,47.05,44.5,44.95,6437,0.6731999999999999,9562
2021-11-17,SOMICONVEY,44.95,47.15,44.4,46.55,15196,0.4318,35192
2021-11-18,SOMICONVEY,47.6,47.6,44.3,45.45,11045,0.6213000000000001,17777
2021-11-22,SOMICONVEY,44.5,45.85,43.2,43.6,7323,0.7388,9912
2021-11-23,SOMICONVEY,43.0,44.65,41.9,42.75,7293,0.5355,13619
2021-11-24,SOMICONVEY,42.05,43.95,42.05,43.1,6822,0.7551000000000001,9035
2021-11-25,SOMICONVEY,43.8,43.8,41.1,41.7,14176,0.6900000000000001,20546
2021-11-26,SOMICONVEY,41.0,42.95,39.65,40.3,10290,0.8595999999999999,11971
2021-11-29,SOMICONVEY,38.35,39.75,38.3,38.3,17002,0.6803,24993
2021-11-30,SOMICONVEY,36.4,39.9,36.4,36.45,24321,0.7959,30559
2021-12-01,SOMICONVEY,35.0,36.05,34.65,34.75,12584,0.6186,20344
2021-12-02,SOMICONVEY,33.15,34.55,33.05,33.05,24942,0.8031999999999999,31055
2021-12-03,SOMICONVEY,33.0,34.7,31.6,34.7,11654,0.7472,15597
2021-12-06,SOMICONVEY,36.4,36.4,36.4,36.4,5416,1.0,5416
2021-12-07,SOMICONVEY,37.9,38.2,37.2,38.2,13649,0.9313,14656
2021-12-08,SOMICONVEY,40.1,40.1,39.7,40.1,6251,1.0,6251
2021-12-09,SOMICONVEY,41.8,41.95,38.1,38.1,28391,0.7284,38979
2021-12-10,SOMICONVEY,36.6,37.45,36.4,37.15,16592,0.7026000000000001,23615
2021-12-13,SOMICONVEY,37.05,37.8,35.7,36.8,18833,0.7745000000000001,24317
2021-12-14,SOMICONVEY,38.6,38.6,38.6,38.6,20281,0.9999,20283
2021-12-15,SOMICONVEY,40.5,40.5,40.5,40.5,15887,1.0,15887
