Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SOUTHBANK,9.9,10.1,9.8,9.95,2744319,0.4042,6789912
2021-09-02,SOUTHBANK,9.95,10.05,9.85,9.9,2997309,0.4534,6611020
2021-09-03,SOUTHBANK,9.9,10.05,9.9,9.9,2383406,0.5212,4572517
2021-09-06,SOUTHBANK,9.9,10.0,9.9,9.9,2135973,0.5355,3988898
2021-09-07,SOUTHBANK,9.95,10.0,9.8,9.85,2266217,0.457,4958470
2021-09-08,SOUTHBANK,9.85,10.0,9.8,9.85,1905607,0.4222,4513492
2021-09-09,SOUTHBANK,9.85,10.3,9.8,10.0,3888349,0.2723,14279125
2021-09-13,SOUTHBANK,10.05,10.05,9.9,9.9,2506439,0.47259999999999996,5303261
2021-09-14,SOUTHBANK,10.0,10.1,9.95,9.95,3429113,0.4483,7649675
2021-09-15,SOUTHBANK,10.0,10.7,10.0,10.25,10470916,0.2785,37598901
2021-09-16,SOUTHBANK,10.35,11.1,10.25,10.8,16073954,0.2927,54919547
2021-09-17,SOUTHBANK,10.85,10.85,10.1,10.4,13427757,0.5261,25522653
2021-09-20,SOUTHBANK,10.1,10.4,10.05,10.05,5082072,0.4792,10604909
2021-09-21,SOUTHBANK,10.1,10.2,9.9,10.05,3136996,0.3113,10077981
2021-09-22,SOUTHBANK,10.05,10.15,10.0,10.0,2111127,0.3669,5753872
2021-09-23,SOUTHBANK,10.1,10.55,10.0,10.1,5553734,0.1761,31529978
2021-09-24,SOUTHBANK,10.15,10.25,10.0,10.05,3613870,0.48,7529268
2021-09-27,SOUTHBANK,10.1,10.15,10.0,10.05,2493793,0.4267,5843838
2021-09-28,SOUTHBANK,10.05,10.15,9.95,10.0,3364780,0.4338,7757288
2021-09-29,SOUTHBANK,9.95,10.45,9.95,10.1,4562139,0.2804,16270524
2021-09-30,SOUTHBANK,10.15,10.45,10.15,10.2,4326064,0.41850000000000004,10337489
2021-10-01,SOUTHBANK,10.15,10.35,10.1,10.2,2774165,0.3436,8074380
2021-10-04,SOUTHBANK,10.25,10.35,10.2,10.2,3800765,0.4507,8433522
2021-10-05,SOUTHBANK,10.2,10.5,10.15,10.25,3654956,0.3677,9939613
2021-10-06,SOUTHBANK,10.25,10.4,10.1,10.1,5478819,0.5464,10026798
2021-10-07,SOUTHBANK,10.15,10.3,10.15,10.15,3789790,0.45880000000000004,8260193
2021-10-08,SOUTHBANK,10.2,10.6,10.2,10.4,10526254,0.44079999999999997,23879133
2021-10-11,SOUTHBANK,10.45,10.55,10.3,10.3,4482839,0.5077,8829783
2021-10-12,SOUTHBANK,10.35,10.8,10.2,10.4,7081398,0.2767,25589703
2021-10-13,SOUTHBANK,10.45,10.7,10.35,10.4,5988563,0.30469999999999997,19653998
2021-10-14,SOUTHBANK,10.45,10.75,10.4,10.45,7422834,0.3407,21784874
2021-10-18,SOUTHBANK,10.5,11.05,10.45,10.7,9679682,0.2901,33369771
2021-10-19,SOUTHBANK,10.7,11.25,10.5,10.6,10994750,0.139,79082016
2021-10-20,SOUTHBANK,10.65,10.8,10.4,10.45,7604059,0.441,17244534
2021-10-21,SOUTHBANK,10.55,10.7,10.45,10.5,6650686,0.3289,20218563
2021-10-22,SOUTHBANK,9.75,9.85,9.15,9.6,22321359,0.3725,59928874
2021-10-25,SOUTHBANK,9.7,9.7,9.45,9.5,5948672,0.4646,12802914
2021-10-26,SOUTHBANK,9.65,9.9,9.5,9.6,5149015,0.23760000000000003,21668592
2021-10-27,SOUTHBANK,9.65,9.75,9.55,9.6,3379951,0.4385,7708268
2021-10-28,SOUTHBANK,9.6,9.6,9.35,9.4,4996800,0.5163,9679014
2021-10-29,SOUTHBANK,9.4,9.5,9.25,9.35,3490888,0.4434,7872112
2021-11-01,SOUTHBANK,9.45,9.55,9.4,9.45,2348149,0.47659999999999997,4927362
2021-11-02,SOUTHBANK,9.45,9.6,9.4,9.45,3203539,0.39909999999999995,8026231
2021-11-03,SOUTHBANK,9.45,9.55,9.3,9.35,3313223,0.4955,6686049
2021-11-04,SOUTHBANK,9.4,9.5,9.35,9.5,1319778,0.7048000000000001,1872558
2021-11-08,SOUTHBANK,9.5,9.55,9.4,9.45,3877907,0.5411,7166144
2021-11-09,SOUTHBANK,9.5,9.5,9.4,9.45,3323892,0.5897,5636120
2021-11-10,SOUTHBANK,9.45,9.55,9.35,9.4,1949275,0.39520000000000005,4932432
2021-11-11,SOUTHBANK,9.4,9.45,9.3,9.35,2944067,0.5533,5320606
2021-11-12,SOUTHBANK,9.4,9.4,9.25,9.3,2450467,0.5921000000000001,4138724
2021-11-15,SOUTHBANK,9.35,9.35,9.2,9.2,2991058,0.6222,4806848
2021-11-16,SOUTHBANK,9.2,9.3,9.1,9.1,3888586,0.5134000000000001,7574310
2021-11-17,SOUTHBANK,9.1,9.15,9.05,9.1,2300674,0.44090000000000007,5217797
2021-11-18,SOUTHBANK,9.1,9.15,9.0,9.0,3218505,0.5327000000000001,6042396
2021-11-22,SOUTHBANK,9.05,9.1,8.8,8.85,4348040,0.5602,7761716
2021-11-23,SOUTHBANK,8.85,9.1,8.8,9.0,2467152,0.3121,7904065
2021-11-24,SOUTHBANK,9.1,9.2,9.05,9.1,1524859,0.3898,3911406
2021-11-25,SOUTHBANK,9.1,9.1,9.0,9.0,2542248,0.5524,4602502
2021-11-26,SOUTHBANK,8.95,9.0,8.8,8.85,4171076,0.608,6860007
2021-11-29,SOUTHBANK,8.85,8.9,8.25,8.55,4374663,0.528,8285818
2021-11-30,SOUTHBANK,8.55,8.85,8.5,8.7,2510468,0.4658,5390013
2021-12-01,SOUTHBANK,8.7,8.95,8.7,8.9,2123396,0.5558,3820536
2021-12-02,SOUTHBANK,8.95,9.05,8.85,8.9,2591548,0.4012,6460093
2021-12-03,SOUTHBANK,8.95,9.0,8.9,8.95,1644650,0.5338,3081182
2021-12-06,SOUTHBANK,8.95,9.0,8.9,8.9,2991114,0.5514,5424772
2021-12-07,SOUTHBANK,8.95,9.35,8.9,9.1,4137357,0.27030000000000004,15303962
2021-12-08,SOUTHBANK,9.15,9.25,9.1,9.15,2000086,0.5792,3453317
2021-12-09,SOUTHBANK,9.15,9.4,9.1,9.2,3239694,0.3714,8723785
2021-12-10,SOUTHBANK,9.2,9.65,9.2,9.5,6471545,0.2896,22343397
2021-12-13,SOUTHBANK,9.65,9.7,9.35,9.35,5034877,0.554,9088431
2021-12-14,SOUTHBANK,9.35,9.4,9.25,9.3,1623882,0.4793,3388342
2021-12-15,SOUTHBANK,9.35,9.4,9.2,9.25,1805147,0.519,3478378
2021-12-16,SOUTHBANK,9.25,9.3,9.1,9.1,2327400,0.484,4809028
2021-12-17,SOUTHBANK,9.1,9.15,8.8,8.85,4164015,0.6208,6707434
2021-12-20,SOUTHBANK,8.7,8.9,8.6,8.65,4718264,0.6348,7432884
2021-12-21,SOUTHBANK,8.7,8.95,8.7,8.75,2691514,0.45840000000000003,5871230
2021-12-22,SOUTHBANK,8.8,9.05,8.8,8.9,1938875,0.34509999999999996,5617643
2021-12-23,SOUTHBANK,9.0,9.0,8.7,8.75,4720799,0.6203000000000001,7610757
2021-12-24,SOUTHBANK,8.75,8.8,8.6,8.75,2021972,0.3718,5437928
2021-12-27,SOUTHBANK,8.7,8.9,8.7,8.8,1859386,0.35100000000000003,5297859
2021-12-28,SOUTHBANK,8.85,9.0,8.8,8.85,2180867,0.5056,4313288
2021-12-29,SOUTHBANK,8.9,8.95,8.85,8.85,1606296,0.47700000000000004,3367460
2021-12-30,SOUTHBANK,8.9,8.9,8.75,8.75,2707077,0.49979999999999997,5416256
2021-12-31,SOUTHBANK,8.75,8.9,8.75,8.85,2014184,0.38450000000000006,5238892
2022-01-03,SOUTHBANK,8.9,9.5,8.85,9.2,6690953,0.2937,22784895
2022-01-04,SOUTHBANK,9.25,9.6,9.1,9.25,4489688,0.2119,21192515
2022-01-05,SOUTHBANK,9.25,9.3,9.1,9.15,3797421,0.4123,9211136
2022-01-06,SOUTHBANK,9.05,9.15,8.95,9.05,3500433,0.4213,8308476
2022-01-07,SOUTHBANK,9.1,9.3,9.05,9.1,3899910,0.4708,8284272
2022-01-10,SOUTHBANK,9.15,9.25,9.1,9.2,4110072,0.5075000000000001,8098795
2022-01-11,SOUTHBANK,9.15,9.2,9.1,9.1,2653428,0.627,4231894
2022-01-12,SOUTHBANK,9.15,9.2,9.05,9.05,3002423,0.48340000000000005,6211029
2022-01-13,SOUTHBANK,9.1,9.2,9.05,9.1,4303153,0.4907,8769766
2022-01-14,SOUTHBANK,9.1,9.25,9.05,9.15,3638509,0.4608,7895934
2022-01-17,SOUTHBANK,9.15,9.4,9.15,9.2,3622217,0.429,8442461
2022-01-18,SOUTHBANK,9.2,9.3,9.05,9.1,3424575,0.4525,7567408
2022-01-19,SOUTHBANK,9.1,9.1,9.0,9.05,2586164,0.4168,6204252
2022-01-20,SOUTHBANK,9.1,9.25,9.05,9.1,2733509,0.4338,6301529
2022-01-21,SOUTHBANK,9.1,9.1,8.8,8.85,5509697,0.4668,11803744
2022-01-24,SOUTHBANK,8.85,9.05,8.65,8.7,2969638,0.4778,11917079
2022-01-25,SOUTHBANK,8.65,8.85,8.55,8.75,3651265,0.494,7391879
2022-01-27,SOUTHBANK,8.75,8.95,8.6,8.9,3389111,0.2823,12005794
2022-01-28,SOUTHBANK,9.0,9.05,8.75,8.8,4844471,0.4904,9879300
2022-01-31,SOUTHBANK,8.85,9.1,8.85,8.95,3901954,0.32170000000000004,12129298
2022-02-01,SOUTHBANK,9.05,9.05,8.85,8.85,3671013,0.4783,7675249
2022-02-02,SOUTHBANK,8.9,9.0,8.9,8.95,2464120,0.4486,5492412
2022-02-03,SOUTHBANK,8.95,9.0,8.85,8.9,1930045,0.5718,3375580
2022-02-04,SOUTHBANK,8.9,8.95,8.8,8.85,2443916,0.5428000000000001,4502106
2022-02-07,SOUTHBANK,8.9,8.95,8.8,8.8,2607507,0.5395000000000001,4833471
2022-02-08,SOUTHBANK,8.85,8.85,8.7,8.75,2430719,0.4362,5573040
2022-02-09,SOUTHBANK,8.8,8.85,8.7,8.75,1909452,0.5944,3212135
2022-02-10,SOUTHBANK,8.8,8.8,8.7,8.75,1503138,0.5147999999999999,2919680
2022-02-11,SOUTHBANK,8.75,8.75,8.65,8.7,2358029,0.7484000000000001,3150702
2022-02-14,SOUTHBANK,8.6,8.65,8.4,8.45,4711229,0.5397,8729323
2022-02-15,SOUTHBANK,8.45,8.5,8.3,8.45,3031711,0.4772,6352629
2022-02-16,SOUTHBANK,8.45,8.6,8.45,8.5,1823082,0.42090000000000005,4331315
2022-02-17,SOUTHBANK,8.5,9.05,8.5,8.6,2968290,0.1704,17419869
2022-02-18,SOUTHBANK,8.5,8.65,8.5,8.55,1401187,0.4391,3190691
2022-02-21,SOUTHBANK,8.5,8.55,8.25,8.35,2593134,0.354,7325684
2022-02-22,SOUTHBANK,8.2,8.3,8.15,8.2,3383968,0.6131000000000001,5519346
2022-02-23,SOUTHBANK,8.25,8.4,8.25,8.25,1548988,0.5697,2718730
2022-02-24,SOUTHBANK,8.1,8.1,7.65,7.7,6829365,0.6208,11001781
2022-02-25,SOUTHBANK,7.75,8.15,7.75,8.05,2697294,0.5007,5386986
2022-02-28,SOUTHBANK,8.05,8.15,7.9,8.1,1672591,0.45740000000000003,3656477
2022-03-02,SOUTHBANK,8.1,8.1,8.0,8.05,1911589,0.5695,3356416
2022-03-03,SOUTHBANK,8.1,8.15,8.0,8.05,1492459,0.5685,2625281
2022-03-04,SOUTHBANK,8.0,8.05,7.9,7.95,2138751,0.5772,3705538
2022-03-07,SOUTHBANK,7.95,7.95,7.8,7.85,2555123,0.6104999999999999,4185288
2022-03-08,SOUTHBANK,7.8,8.0,7.8,7.9,2338875,0.4123,5672106
2022-03-09,SOUTHBANK,7.95,8.1,7.95,7.95,2300768,0.4612,4989165
2022-03-10,SOUTHBANK,8.05,8.2,8.0,8.05,2862353,0.5073,5642679
2022-03-11,SOUTHBANK,8.05,8.05,7.95,8.0,2441358,0.5944,4107125
2022-03-14,SOUTHBANK,8.05,8.05,7.95,7.95,2123077,0.5756,3688436
2022-03-15,SOUTHBANK,7.95,8.0,7.85,7.9,2737914,0.5529999999999999,4950915
2022-03-16,SOUTHBANK,7.95,8.1,7.9,7.95,2130309,0.5454,3905865
2022-03-17,SOUTHBANK,8.0,8.1,7.9,8.05,4119838,0.46280000000000004,8901468
2022-03-21,SOUTHBANK,8.05,8.1,7.95,8.0,2807715,0.6282,4469608
2022-03-22,SOUTHBANK,8.0,8.0,7.95,7.95,1924449,0.6598999999999999,2916220
2022-03-23,SOUTHBANK,8.0,8.0,7.9,7.9,2314883,0.6443000000000001,3592652
2022-03-24,SOUTHBANK,7.95,8.35,7.85,7.9,5132221,0.26670000000000005,19244052
2022-03-25,SOUTHBANK,7.95,8.0,7.85,7.9,3303277,0.5262,6277744
2022-03-28,SOUTHBANK,7.9,7.95,7.75,7.8,4900999,0.6659,7360224
2022-03-29,SOUTHBANK,7.85,7.85,7.45,7.6,7733266,0.5567000000000001,13890337
2022-03-30,SOUTHBANK,7.65,7.7,7.5,7.55,6442824,0.6062,10628205
2022-03-31,SOUTHBANK,7.6,7.65,7.5,7.5,5478492,0.6685,8194593
2022-04-01,SOUTHBANK,7.55,7.9,7.5,7.85,3733839,0.5027,7428202
2022-04-04,SOUTHBANK,8.0,8.05,7.95,8.05,2925393,0.5508,5311584
2022-04-05,SOUTHBANK,8.1,8.1,7.95,8.0,3396521,0.4988,6808744
2022-04-06,SOUTHBANK,8.1,9.1,8.05,8.9,13346562,0.3186,41889633
2022-04-07,SOUTHBANK,9.0,9.1,8.65,8.7,8826554,0.4532,19475966
2022-04-08,SOUTHBANK,8.8,8.9,8.6,8.6,4361633,0.6623,6585607
2022-04-11,SOUTHBANK,8.65,8.7,8.5,8.55,2362362,0.6295000000000001,3752798
2022-04-12,SOUTHBANK,8.55,8.55,8.4,8.45,2129639,0.5447,3909757
2022-04-13,SOUTHBANK,8.5,8.55,8.4,8.4,1876187,0.5675,3306138
2022-04-18,SOUTHBANK,8.4,8.4,8.3,8.3,1866790,0.5778,3230749
2022-04-19,SOUTHBANK,8.35,8.45,8.1,8.15,2548662,0.5851,4355708
2022-04-20,SOUTHBANK,8.15,8.25,8.15,8.15,1359215,0.6051,2246226
2022-04-21,SOUTHBANK,8.2,8.45,8.15,8.35,2968350,0.3944,7526505
2022-04-22,SOUTHBANK,8.3,8.35,8.2,8.25,1585209,0.5861999999999999,2704266
2022-04-25,SOUTHBANK,8.25,8.25,8.1,8.1,1542453,0.5708,2702174
2022-04-26,SOUTHBANK,8.2,8.2,8.1,8.15,1192359,0.5136000000000001,2321573
2022-04-27,SOUTHBANK,8.05,8.15,8.0,8.05,1733106,0.5484,3160382
2022-04-28,SOUTHBANK,8.1,8.1,8.0,8.05,1454062,0.5816,2500060
2022-04-29,SOUTHBANK,8.1,8.1,7.95,7.95,2229995,0.5207,4282454
2022-05-02,SOUTHBANK,8.0,8.0,7.9,7.9,1474537,0.6726000000000001,2192163
2022-05-04,SOUTHBANK,7.95,7.95,7.85,7.9,1300098,0.513,2534530
2022-05-05,SOUTHBANK,7.9,8.05,7.85,7.9,1999292,0.3569,5601441
2022-05-06,SOUTHBANK,7.85,7.85,7.6,7.8,2084587,0.36090000000000005,5776360
2022-05-09,SOUTHBANK,7.85,8.5,7.75,8.05,2786201,0.132,21100480
2022-05-10,SOUTHBANK,8.1,8.15,7.9,7.9,1860816,0.48590000000000005,3829961
2022-05-11,SOUTHBANK,7.95,7.95,7.65,7.75,1880871,0.40380000000000005,4658186
2022-05-12,SOUTHBANK,7.75,7.75,7.6,7.65,2327003,0.5587,4164973
2022-05-13,SOUTHBANK,8.3,8.55,7.85,7.9,5727338,0.4082,14029932
2022-05-16,SOUTHBANK,7.95,8.1,7.95,8.0,2173314,0.47630000000000006,4562538
2022-05-17,SOUTHBANK,8.1,8.2,8.05,8.1,2084174,0.4729,4407653
2022-05-18,SOUTHBANK,8.1,8.15,8.0,8.0,1623634,0.4461,3639722
2022-05-19,SOUTHBANK,7.9,7.95,7.85,7.85,2251158,0.46799999999999997,4810038
2022-05-20,SOUTHBANK,7.9,8.25,7.9,8.05,3291417,0.4911,6701942
2022-05-23,SOUTHBANK,8.1,8.15,8.0,8.05,1791640,0.5434,3296800
2022-05-24,SOUTHBANK,8.0,8.1,7.9,8.0,1403605,0.4019,3492268
2022-05-25,SOUTHBANK,8.05,8.05,7.8,7.85,1759502,0.4703,3741605
2022-05-26,SOUTHBANK,7.9,7.95,7.6,7.9,1884380,0.3527,5342543
2022-05-27,SOUTHBANK,7.95,8.05,7.9,7.95,1581537,0.47409999999999997,3335850
2022-05-30,SOUTHBANK,8.0,8.05,7.95,8.0,1348857,0.5057,2667328
2022-05-31,SOUTHBANK,8.0,8.05,7.95,8.0,1411368,0.45670000000000005,3090081
2022-06-01,SOUTHBANK,8.0,8.1,7.95,7.95,1403770,0.4071,3448428
2022-06-02,SOUTHBANK,8.0,8.2,7.95,8.0,2386110,0.3889,6135259
2022-06-03,SOUTHBANK,8.05,8.1,7.95,8.0,1801508,0.5346000000000001,3370014
2022-06-06,SOUTHBANK,8.0,8.05,7.9,7.95,1253886,0.47409999999999997,2644545
2022-06-07,SOUTHBANK,7.95,8.0,7.85,7.85,1536893,0.5282,2909496
2022-06-08,SOUTHBANK,7.9,8.0,7.85,7.85,1852522,0.4742,3906516
2022-06-09,SOUTHBANK,7.85,7.95,7.85,7.85,947033,0.6182,1531895
2022-06-10,SOUTHBANK,7.85,7.9,7.8,7.8,1320244,0.6751,1955550
2022-06-13,SOUTHBANK,7.8,7.8,7.7,7.7,1512496,0.606,2495686
2022-06-14,SOUTHBANK,7.7,7.8,7.7,7.7,1352594,0.5074000000000001,2665879
2022-06-15,SOUTHBANK,7.7,7.75,7.65,7.7,721996,0.3872,1864738
2022-06-16,SOUTHBANK,7.75,7.85,7.55,7.6,1512201,0.3564,4242668
2022-06-17,SOUTHBANK,7.6,7.65,7.5,7.55,1503472,0.6071,2476533
2022-06-20,SOUTHBANK,7.6,7.6,7.25,7.4,2113373,0.5844,3616237
2022-06-21,SOUTHBANK,7.4,7.55,7.4,7.5,1195957,0.5497,2175514
2022-06-22,SOUTHBANK,7.5,7.55,7.4,7.4,901107,0.4388,2053579
2022-06-23,SOUTHBANK,7.45,7.6,7.4,7.45,561400,0.31120000000000003,2570365
2022-06-24,SOUTHBANK,7.5,7.55,7.45,7.45,1049240,0.6518,1609758
2022-06-27,SOUTHBANK,7.55,7.75,7.5,7.6,1733969,0.40340000000000004,4298727
2022-06-28,SOUTHBANK,7.65,7.65,7.55,7.6,564766,0.599,942897
2022-06-29,SOUTHBANK,7.6,7.75,7.55,7.65,1074083,0.3836,2800128
2022-06-30,SOUTHBANK,7.7,7.75,7.55,7.6,655753,0.4978,1317340
2022-07-01,SOUTHBANK,7.65,7.75,7.55,7.6,1064892,0.5395000000000001,1973873
