Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SPECIALITY,69.1,70.0,67.8,69.0,31895,0.6069,52555
2021-09-02,SPECIALITY,69.45,69.95,68.25,68.9,28795,0.5479999999999999,52544
2021-09-03,SPECIALITY,68.8,69.8,68.0,68.8,36074,0.5589000000000001,64545
2021-09-06,SPECIALITY,69.05,71.8,68.1,71.2,88070,0.5312,165787
2021-09-07,SPECIALITY,71.45,71.8,68.95,69.75,29398,0.4238,69368
2021-09-08,SPECIALITY,69.8,71.65,69.65,71.0,33816,0.5176,65334
2021-09-09,SPECIALITY,71.85,80.35,68.4,77.4,522115,0.33170000000000005,1574241
2021-09-13,SPECIALITY,76.65,79.4,73.7,74.65,318687,0.42850000000000005,743646
2021-09-14,SPECIALITY,74.6,77.0,74.05,74.85,195474,0.5738000000000001,340652
2021-09-15,SPECIALITY,75.0,76.85,74.5,75.2,78646,0.524,150076
2021-09-16,SPECIALITY,74.4,75.85,73.7,74.05,59312,0.63,94140
2021-09-17,SPECIALITY,75.3,76.5,72.2,74.05,126135,0.5989,210625
2021-09-20,SPECIALITY,73.3,77.5,73.0,73.7,124093,0.4181,296831
2021-09-21,SPECIALITY,73.7,75.45,72.55,74.2,64358,0.49570000000000003,129845
2021-09-22,SPECIALITY,74.5,76.35,73.2,74.05,67202,0.4305,156096
2021-09-23,SPECIALITY,74.55,77.0,74.2,74.65,93019,0.4535,205102
2021-09-24,SPECIALITY,74.6,75.7,72.65,72.9,80317,0.7353000000000001,109235
2021-09-27,SPECIALITY,74.7,78.5,73.3,75.65,208345,0.4344,479584
2021-09-28,SPECIALITY,75.7,76.85,74.0,74.85,65355,0.4843,134957
2021-09-29,SPECIALITY,74.85,75.8,73.15,73.8,63268,0.5074000000000001,124684
2021-09-30,SPECIALITY,74.4,75.95,73.25,73.95,42456,0.5266,80623
2021-10-01,SPECIALITY,73.5,74.75,73.0,73.75,34683,0.5444,63707
2021-10-04,SPECIALITY,74.85,76.85,73.8,75.15,96685,0.5094,189814
2021-10-05,SPECIALITY,75.15,77.15,75.0,75.55,104998,0.6013000000000001,174617
2021-10-06,SPECIALITY,75.6,77.75,74.85,75.05,80487,0.3705,217257
2021-10-07,SPECIALITY,76.0,77.0,75.1,75.7,58362,0.40240000000000004,145036
2021-10-08,SPECIALITY,75.9,88.35,75.9,84.0,880445,0.2895,3041532
2021-10-11,SPECIALITY,87.25,88.7,83.05,86.35,249014,0.3996,623157
2021-10-12,SPECIALITY,86.15,91.45,85.45,89.6,220458,0.3985,553193
2021-10-13,SPECIALITY,89.45,90.85,85.5,86.2,132281,0.4954,267004
2021-10-14,SPECIALITY,88.5,95.9,88.2,93.7,329683,0.2571,1282078
2021-10-18,SPECIALITY,93.0,94.5,90.0,92.45,216049,0.5437,397389
2021-10-19,SPECIALITY,102.9,110.9,101.1,107.9,1020347,0.3216,3172811
2021-10-20,SPECIALITY,110.8,110.8,98.25,101.95,380311,0.4229,899314
2021-10-21,SPECIALITY,102.9,105.15,99.0,103.0,108655,0.34409999999999996,315740
2021-10-22,SPECIALITY,103.0,104.4,95.8,98.75,113547,0.5471,207525
2021-10-25,SPECIALITY,100.65,100.75,90.0,91.0,199679,0.5844,341702
2021-10-26,SPECIALITY,91.0,96.3,91.0,93.3,90400,0.5166,175006
2021-10-27,SPECIALITY,93.35,95.8,91.65,92.1,95241,0.6462000000000001,147382
2021-10-28,SPECIALITY,93.0,94.5,90.25,90.8,43826,0.5537,79151
2021-10-29,SPECIALITY,91.5,92.45,87.55,88.6,47914,0.5558,86210
2021-11-01,SPECIALITY,89.0,91.75,83.8,88.45,67757,0.4918,137775
2021-11-02,SPECIALITY,89.3,96.7,89.3,94.1,137862,0.43210000000000004,319053
2021-11-03,SPECIALITY,94.8,99.0,93.55,94.6,69251,0.4308,160737
2021-11-04,SPECIALITY,95.95,97.75,95.95,97.1,62147,0.7261,85589
2021-11-08,SPECIALITY,99.0,102.4,97.3,100.9,184732,0.598,308901
2021-11-09,SPECIALITY,100.75,102.0,98.2,99.6,63336,0.5881000000000001,107703
2021-11-10,SPECIALITY,100.0,107.45,98.0,105.8,178460,0.6709999999999999,265947
2021-11-11,SPECIALITY,105.95,109.0,103.5,105.35,120569,0.5441,221610
2021-11-12,SPECIALITY,106.7,111.0,104.5,109.8,209385,0.5618,372736
2021-11-15,SPECIALITY,109.9,114.45,108.5,109.25,264062,0.5034000000000001,524576
2021-11-16,SPECIALITY,110.5,110.5,103.4,104.0,88023,0.5849000000000001,150489
2021-11-17,SPECIALITY,104.0,106.7,101.2,101.65,108082,0.5774,187185
2021-11-18,SPECIALITY,102.5,103.75,97.75,99.35,127570,0.6301,202470
2021-11-22,SPECIALITY,100.25,102.65,93.95,96.55,93321,0.4961,188118
2021-11-23,SPECIALITY,94.15,101.9,94.15,98.45,83406,0.5267000000000001,158349
2021-11-24,SPECIALITY,99.2,99.2,96.95,97.3,77243,0.5712,135235
2021-11-25,SPECIALITY,97.5,99.75,96.3,98.65,62374,0.40390000000000004,154430
2021-11-26,SPECIALITY,97.6,97.6,89.5,90.4,166211,0.632,263006
2021-11-29,SPECIALITY,85.0,95.25,83.7,91.7,193088,0.4877,395915
2021-11-30,SPECIALITY,92.0,99.45,91.75,94.9,168844,0.4755,355106
2021-12-01,SPECIALITY,93.85,97.5,93.2,96.25,50668,0.5094,99471
2021-12-02,SPECIALITY,96.6,100.3,95.05,98.55,77173,0.5748,134263
2021-12-03,SPECIALITY,98.05,99.95,95.4,96.25,30722,0.5078,60496
2021-12-06,SPECIALITY,96.25,96.9,93.45,93.75,54071,0.7223,74857
2021-12-07,SPECIALITY,92.7,97.3,92.4,96.45,42878,0.5568,77009
2021-12-08,SPECIALITY,97.25,103.8,95.25,102.1,106825,0.5233,204123
2021-12-09,SPECIALITY,103.0,107.0,102.05,103.7,79721,0.5849000000000001,136306
2021-12-10,SPECIALITY,102.8,106.8,101.0,103.6,49017,0.6049,81031
2021-12-13,SPECIALITY,103.55,106.6,102.0,102.7,31485,0.6219,50629
2021-12-14,SPECIALITY,102.3,105.0,100.15,101.45,39363,0.645,61028
2021-12-15,SPECIALITY,103.5,103.65,99.6,100.05,22782,0.5118,44510
2021-12-16,SPECIALITY,101.95,103.2,99.05,100.45,26082,0.5596,46612
2021-12-17,SPECIALITY,100.15,100.6,95.2,96.05,37739,0.6319,59726
2021-12-20,SPECIALITY,97.5,97.5,89.2,91.3,63320,0.5957,106303
2021-12-21,SPECIALITY,92.9,95.5,92.5,93.4,29774,0.5554,53607
2021-12-22,SPECIALITY,95.5,97.75,92.55,94.0,40358,0.5951,67816
2021-12-23,SPECIALITY,95.25,95.95,92.5,93.8,28465,0.5379,52921
2021-12-24,SPECIALITY,94.85,94.85,90.05,92.1,49055,0.5650000000000001,86825
2021-12-27,SPECIALITY,91.0,92.45,89.4,91.05,31926,0.5244,60882
2021-12-28,SPECIALITY,91.5,94.75,91.5,92.4,26621,0.5544,48021
2021-12-29,SPECIALITY,92.4,94.75,90.8,91.75,45482,0.6461,70394
2021-12-30,SPECIALITY,89.45,91.45,88.15,88.45,59108,0.71,83245
