Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SPLIL,52.2,53.0,50.4,50.8,28766,0.6685,43030
2021-09-02,SPLIL,51.6,52.2,50.0,51.55,28461,0.6156,46236
2021-09-03,SPLIL,51.2,52.3,50.95,51.3,12337,0.5518,22359
2021-09-06,SPLIL,51.15,52.3,48.3,49.75,61082,0.7173999999999999,85140
2021-09-07,SPLIL,49.55,51.0,49.0,49.6,35014,0.6223,56266
2021-09-08,SPLIL,50.45,50.5,49.25,49.5,13335,0.5301,25158
2021-09-09,SPLIL,49.4,50.35,48.85,49.35,19893,0.46520000000000006,42763
2021-09-13,SPLIL,49.2,49.9,48.0,48.15,28887,0.5846,49414
2021-09-14,SPLIL,48.15,49.5,48.15,48.65,15808,0.5462,28940
2021-09-15,SPLIL,48.55,51.7,48.55,50.6,41121,0.6781,60644
2021-09-16,SPLIL,50.6,51.0,49.1,49.55,18163,0.5432,33439
2021-09-17,SPLIL,49.7,50.35,48.15,48.95,10204,0.6074,16799
2021-09-20,SPLIL,47.85,49.95,46.25,47.2,22024,0.6359,34636
2021-09-21,SPLIL,47.2,48.3,45.65,46.3,24479,0.556,44026
2021-09-22,SPLIL,46.3,47.4,46.1,47.05,16114,0.568,28371
2021-09-23,SPLIL,47.9,48.8,46.9,47.05,13807,0.7325,18849
2021-09-24,SPLIL,47.9,48.4,46.25,46.4,19209,0.6620999999999999,29014
2021-09-27,SPLIL,46.5,47.15,45.5,45.75,22548,0.6865000000000001,32845
2021-09-28,SPLIL,46.2,46.5,45.1,45.6,11678,0.5463,21378
2021-09-29,SPLIL,46.4,48.4,45.0,47.65,38663,0.5807,66582
2021-09-30,SPLIL,49.7,49.7,46.45,46.85,21107,0.5035000000000001,41918
2021-10-01,SPLIL,46.6,47.75,45.9,46.9,18935,0.5961,31767
2021-10-04,SPLIL,46.65,48.35,46.65,47.35,20766,0.6928,29974
2021-10-05,SPLIL,47.35,49.5,47.1,48.95,29764,0.6237,47724
2021-10-06,SPLIL,49.5,50.35,47.45,48.0,20386,0.606,33639
2021-10-07,SPLIL,49.5,49.5,48.05,48.5,22084,0.6938,31831
2021-10-08,SPLIL,48.5,49.2,47.8,48.0,15167,0.7232999999999999,20969
2021-10-11,SPLIL,48.15,49.0,47.55,48.55,41426,0.7115,58220
2021-10-12,SPLIL,48.1,49.3,47.55,47.7,16827,0.6145,27382
2021-10-13,SPLIL,47.75,48.3,47.3,47.4,16107,0.664,24258
2021-10-14,SPLIL,47.5,48.15,46.0,46.15,46893,0.6498999999999999,72156
2021-10-18,SPLIL,46.9,46.95,45.65,46.5,28594,0.549,52084
2021-10-19,SPLIL,47.0,47.35,45.6,45.9,32120,0.6229,51563
2021-10-20,SPLIL,45.85,46.85,43.4,44.5,29904,0.6318,47335
2021-10-21,SPLIL,44.5,45.9,43.25,43.5,26021,0.6394,40699
2021-10-22,SPLIL,43.7,44.6,43.0,43.6,28674,0.7476,38354
2021-10-25,SPLIL,43.2,43.8,42.0,42.3,22211,0.5346000000000001,41546
2021-10-26,SPLIL,43.15,45.45,42.7,44.1,11364,0.5131,22146
2021-10-27,SPLIL,44.55,44.55,43.15,43.75,19382,0.5943,32615
2021-10-28,SPLIL,43.75,43.75,42.3,42.75,11697,0.6825,17139
2021-10-29,SPLIL,44.75,44.75,42.55,43.1,7630,0.5796,13165
2021-11-01,SPLIL,43.1,44.95,43.1,43.55,12129,0.6101,19879
2021-11-02,SPLIL,44.85,45.8,43.55,45.25,17571,0.6587999999999999,26670
2021-11-03,SPLIL,47.9,50.4,46.15,47.4,101331,0.3699,273920
2021-11-04,SPLIL,47.55,49.65,47.55,48.8,28312,0.8912000000000001,31767
2021-11-08,SPLIL,49.8,49.8,46.8,47.95,19291,0.6648000000000001,29016
2021-11-09,SPLIL,47.25,48.85,46.0,47.65,22027,0.5124000000000001,42988
