Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,SREINFRA,6.45,6.45,6.45,6.45,411769,1.0,411769
2021-10-13,SREINFRA,6.15,6.15,6.15,6.15,510000,1.0,510000
2021-10-14,SREINFRA,5.85,5.85,5.85,5.85,796494,0.9981000000000001,797994
2021-10-18,SREINFRA,5.6,6.05,5.6,5.6,9131699,0.7655,11929475
2021-10-19,SREINFRA,5.35,5.35,5.35,5.35,830325,1.0,830325
2021-10-20,SREINFRA,5.1,5.1,5.1,5.1,561126,1.0,561126
2021-10-21,SREINFRA,4.85,4.85,4.85,4.85,691025,1.0,691025
2021-10-22,SREINFRA,4.65,4.65,4.65,4.65,583457,1.0,583457
2021-10-25,SREINFRA,4.45,4.45,4.45,4.45,411924,1.0,411924
2021-10-26,SREINFRA,4.25,4.25,4.25,4.25,488971,1.0,488971
2021-10-27,SREINFRA,4.05,4.05,4.05,4.05,481280,1.0,481280
2021-10-28,SREINFRA,3.85,3.85,3.85,3.85,764780,1.0,764780
2021-10-29,SREINFRA,3.7,4.0,3.7,4.0,8552383,0.5229,16356105
2021-11-01,SREINFRA,4.1,4.2,4.0,4.2,2909634,0.6981999999999999,4167263
2021-11-02,SREINFRA,4.4,4.4,4.35,4.4,1004114,0.8059999999999999,1245842
2021-11-03,SREINFRA,4.6,4.6,4.6,4.6,420072,1.0,420072
2021-11-04,SREINFRA,4.8,4.8,4.7,4.8,1141612,0.9136,1249594
2021-11-08,SREINFRA,5.0,5.0,4.8,5.0,2821575,0.6224000000000001,4533119
2021-11-09,SREINFRA,5.2,5.25,5.15,5.25,1391912,0.6809999999999999,2043925
2021-11-10,SREINFRA,5.45,5.5,5.0,5.5,2526493,0.43560000000000004,5800397
2021-11-11,SREINFRA,5.75,5.75,5.55,5.75,1479311,0.5175,2858570
2021-11-12,SREINFRA,6.0,6.0,5.9,6.0,1472989,0.6815000000000001,2161425
2021-11-15,SREINFRA,6.05,6.15,5.7,5.7,1238392,0.6644,1863905
2021-11-16,SREINFRA,5.45,5.45,5.45,5.45,261231,1.0,261231
2021-11-17,SREINFRA,5.2,5.2,5.2,5.2,278018,1.0,278018
2022-01-04,SREINFRA,6.0,6.05,5.55,5.65,1782460,0.5955,2993149
2022-01-05,SREINFRA,5.6,5.9,5.55,5.9,2216989,0.7695000000000001,2881189
2022-01-06,SREINFRA,5.9,6.15,5.65,6.15,2374336,0.7658,3100295
2022-01-07,SREINFRA,6.45,6.45,6.2,6.45,2606632,0.5519,4722643
2022-01-10,SREINFRA,6.75,6.75,6.7,6.75,817592,0.9245000000000001,884343
2022-01-11,SREINFRA,7.05,7.05,6.85,7.05,2337510,0.8058,2900731
2022-01-12,SREINFRA,7.35,7.4,6.7,6.7,3192801,0.6158,5185097
2022-01-13,SREINFRA,6.45,6.5,6.4,6.4,988206,0.8689,1137306
2022-01-14,SREINFRA,6.1,6.5,6.1,6.3,2702411,0.4308,6273234
2022-01-17,SREINFRA,6.4,6.6,6.3,6.6,1837858,0.5861,3135506
2022-01-18,SREINFRA,6.9,6.9,6.6,6.75,1626804,0.5781000000000001,2814045
2022-01-19,SREINFRA,6.8,6.8,6.45,6.5,1105808,0.5858,1887586
2022-01-20,SREINFRA,6.55,6.75,6.35,6.65,1032307,0.5126,2013811
2022-01-21,SREINFRA,6.7,6.8,6.4,6.4,857327,0.4633,1850611
2022-01-24,SREINFRA,6.35,6.4,6.1,6.1,803865,0.4585,730526
2022-01-25,SREINFRA,5.85,6.3,5.8,6.1,851339,0.4585,1856618
2022-01-27,SREINFRA,6.0,6.25,6.0,6.15,511946,0.4953,1033646
2022-01-28,SREINFRA,6.25,6.4,6.2,6.25,593860,0.4458,1332267
2022-01-31,SREINFRA,6.35,6.4,6.1,6.15,520547,0.37060000000000004,1404432
