Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SRIPIPES,210.1,213.5,210.0,212.5,21343,0.5202,41028
2021-09-02,SRIPIPES,211.6,214.2,210.55,213.2,56295,0.5875,95827
2021-09-03,SRIPIPES,213.0,214.35,209.05,212.35,44565,0.467,95421
2021-09-06,SRIPIPES,212.0,214.65,210.0,210.8,23384,0.5527000000000001,42307
2021-09-07,SRIPIPES,210.8,211.7,206.3,209.3,27111,0.5245000000000001,51694
2021-09-08,SRIPIPES,207.35,222.7,207.35,221.4,110715,0.5249,210917
2021-09-09,SRIPIPES,220.9,227.0,219.1,225.85,87015,0.539,161434
2021-09-13,SRIPIPES,226.1,238.5,222.1,232.1,114845,0.4804,239051
2021-09-14,SRIPIPES,232.45,233.5,225.05,226.2,38292,0.5761000000000001,66469
2021-09-15,SRIPIPES,228.85,234.0,227.15,229.55,29032,0.5132,56569
2021-09-16,SRIPIPES,227.15,230.45,223.6,225.95,31642,0.5795,54599
2021-09-17,SRIPIPES,225.3,226.85,216.0,217.6,43222,0.6675,64750
2021-09-20,SRIPIPES,221.0,221.4,208.55,210.15,30077,0.5707,52703
2021-09-21,SRIPIPES,211.9,212.55,206.3,207.8,27958,0.5521,50639
2021-09-22,SRIPIPES,212.8,215.8,208.75,212.85,26278,0.47259999999999996,55603
2021-09-23,SRIPIPES,214.5,217.0,211.0,213.05,19336,0.5634,34320
2021-09-24,SRIPIPES,214.5,216.6,211.55,213.35,20113,0.5458,36848
2021-09-27,SRIPIPES,213.35,214.25,208.0,209.65,22966,0.5678,40444
2021-09-28,SRIPIPES,210.75,213.2,208.75,211.0,15929,0.5061,31477
2021-09-29,SRIPIPES,211.0,213.6,207.75,209.5,23179,0.43829999999999997,52879
2021-09-30,SRIPIPES,210.7,212.6,207.1,208.75,23563,0.6014,39180
2021-10-01,SRIPIPES,208.1,212.0,205.55,208.45,30088,0.6226,48323
2021-10-04,SRIPIPES,207.2,216.0,207.2,214.15,28441,0.454,62646
2021-10-05,SRIPIPES,214.4,219.7,214.3,218.2,38426,0.5033,76355
2021-10-06,SRIPIPES,217.1,221.0,210.0,211.3,32807,0.4732,69333
2021-10-07,SRIPIPES,213.5,218.7,209.1,211.8,27610,0.5337,51736
2021-10-08,SRIPIPES,213.9,215.3,210.0,210.9,29855,0.6412000000000001,46560
2021-10-11,SRIPIPES,212.5,214.4,209.65,210.6,29118,0.5221,55771
2021-10-12,SRIPIPES,211.5,212.9,208.0,208.8,57575,0.6835,84236
