Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SUMMITSEC,666.0,685.0,649.0,672.15,3291,0.669,4919
2021-09-02,SUMMITSEC,666.3,679.95,663.0,676.15,1318,0.5183,2543
2021-09-03,SUMMITSEC,670.0,724.0,670.0,705.3,14640,0.4925,29725
2021-09-06,SUMMITSEC,719.0,730.0,706.25,717.65,9929,0.6662,14903
2021-09-07,SUMMITSEC,717.7,717.75,707.0,707.8,4277,0.7037000000000001,6078
2021-09-08,SUMMITSEC,711.15,725.9,709.5,714.35,1823,0.48560000000000003,3754
2021-09-09,SUMMITSEC,714.95,727.55,711.5,716.4,2856,0.6469,4415
2021-09-13,SUMMITSEC,705.0,729.0,705.0,715.35,6823,0.7989,8541
2021-09-14,SUMMITSEC,711.75,738.5,711.75,728.65,7141,0.5335,13386
2021-09-15,SUMMITSEC,730.05,837.4,730.0,775.55,26621,0.33,80674
2021-09-16,SUMMITSEC,784.0,808.55,778.1,789.75,11698,0.56,20891
2021-09-17,SUMMITSEC,797.85,798.0,752.5,774.85,7594,0.5065,14994
2021-09-20,SUMMITSEC,799.0,837.95,780.0,814.35,26414,0.49,53904
2021-09-21,SUMMITSEC,829.0,849.0,798.0,811.45,9255,0.3969,23318
2021-09-22,SUMMITSEC,811.5,830.15,789.95,801.95,7032,0.49090000000000006,14324
2021-09-23,SUMMITSEC,816.0,830.0,797.25,810.8,12385,0.5514,22462
2021-09-24,SUMMITSEC,813.5,830.0,803.1,811.2,7526,0.5964,12619
2021-09-27,SUMMITSEC,792.05,816.8,789.1,795.45,4143,0.5737,7221
2021-09-28,SUMMITSEC,787.5,799.15,771.6,780.35,4425,0.5822,7600
2021-09-29,SUMMITSEC,775.35,782.2,768.0,771.3,3778,0.6689,5648
2021-09-30,SUMMITSEC,776.2,785.55,766.25,774.95,3021,0.7863,3842
2021-10-01,SUMMITSEC,767.65,788.25,760.05,766.55,5397,0.5799000000000001,9307
2021-10-04,SUMMITSEC,788.7,820.0,780.0,793.7,8588,0.47009999999999996,18268
2021-10-05,SUMMITSEC,794.35,807.05,780.0,786.1,3056,0.5919,5163
2021-10-06,SUMMITSEC,787.0,792.9,765.0,771.3,4037,0.6038,6686
2021-10-07,SUMMITSEC,777.2,791.0,772.0,778.4,6051,0.6211,9742
2021-10-08,SUMMITSEC,778.4,788.1,765.1,774.4,5174,0.6241,8290
2021-10-11,SUMMITSEC,777.65,820.0,775.0,779.05,7925,0.5196000000000001,15251
2021-10-12,SUMMITSEC,779.05,800.7,750.1,761.0,10601,0.6731,15750
2021-10-13,SUMMITSEC,761.05,773.0,741.0,759.15,10389,0.5915,17564
2021-10-14,SUMMITSEC,773.0,775.85,761.0,766.15,1964,0.5023,3910
2021-10-18,SUMMITSEC,770.0,770.0,761.0,762.95,1771,0.6267,2826
2021-10-19,SUMMITSEC,768.0,774.95,750.05,751.75,5452,0.7123999999999999,7653
2021-10-20,SUMMITSEC,752.9,752.9,730.2,734.3,2489,0.5569,4469
