Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-13,SUPPETRO,701.0,718.0,696.0,703.0,74709,0.8122,91979
2021-09-14,SUPPETRO,713.0,713.0,696.65,709.95,171070,0.8922,191730
2021-09-15,SUPPETRO,713.0,715.0,702.85,705.25,28360,0.6712,42255
2021-09-16,SUPPETRO,714.0,714.0,694.05,697.45,29890,0.7249,41234
2021-09-17,SUPPETRO,708.95,720.6,682.25,710.35,71200,0.7555,94238
2021-09-20,SUPPETRO,691.1,719.0,691.1,695.85,37954,0.6367,59611
2021-09-21,SUPPETRO,700.0,704.45,684.25,691.15,27674,0.6924,39966
2021-09-22,SUPPETRO,698.8,716.0,683.2,697.45,63045,0.7812000000000001,80699
2021-09-23,SUPPETRO,709.0,716.0,700.0,703.45,23525,0.6805,34569
2021-09-24,SUPPETRO,704.0,711.05,682.05,686.6,33273,0.6573000000000001,50617
2021-09-27,SUPPETRO,686.6,709.05,686.6,693.4,29928,0.6896,43398
2021-09-28,SUPPETRO,693.4,707.95,690.1,698.75,16146,0.6958,23204
2021-09-29,SUPPETRO,695.0,700.0,679.1,686.1,54861,0.8864000000000001,61891
2021-09-30,SUPPETRO,695.95,695.95,684.1,686.8,27158,0.7284,37283
2021-10-01,SUPPETRO,682.0,720.0,680.1,718.15,206980,0.8525,242806
2021-10-04,SUPPETRO,725.0,749.95,720.0,739.55,83233,0.643,129440
2021-10-05,SUPPETRO,738.5,764.0,738.5,757.2,113731,0.6520999999999999,174408
2021-10-06,SUPPETRO,770.0,770.0,731.0,734.9,203030,0.7070000000000001,287151
2021-10-07,SUPPETRO,740.25,753.7,702.1,734.25,50168,0.6696,74919
2021-10-08,SUPPETRO,745.9,745.9,697.55,726.95,66374,0.6373,104149
2021-10-11,SUPPETRO,740.0,747.95,717.95,724.15,43679,0.7249,60253
2021-10-12,SUPPETRO,724.15,740.0,724.15,736.85,44511,0.7532,59098
2021-10-13,SUPPETRO,749.0,751.8,738.0,746.1,68489,0.7743000000000001,88453
2021-10-14,SUPPETRO,749.9,755.9,740.25,744.35,38038,0.632,60187
2021-10-18,SUPPETRO,818.75,818.75,761.35,768.45,103245,0.7554000000000001,136678
2021-10-19,SUPPETRO,781.8,782.55,752.0,769.9,91248,0.705,129430
2021-10-20,SUPPETRO,769.9,775.85,728.0,731.65,92303,0.8131999999999999,113505
2021-10-21,SUPPETRO,706.0,706.0,677.0,689.7,344722,0.7977,432155
2021-10-22,SUPPETRO,718.0,718.0,634.0,640.8,407236,0.8208,496118
2021-10-25,SUPPETRO,642.0,649.95,626.0,637.3,43441,0.6997,62082
2021-10-26,SUPPETRO,627.1,640.0,627.1,629.95,39550,0.793,49871
2021-10-27,SUPPETRO,630.5,660.0,630.5,644.85,47013,0.6772,69422
2021-10-28,SUPPETRO,648.8,656.1,624.1,627.3,73172,0.8590000000000001,85179
2021-10-29,SUPPETRO,639.0,640.0,621.0,626.15,42249,0.7194,58732
2021-11-01,SUPPETRO,626.0,650.95,624.1,646.9,25549,0.6803,37558
2021-11-02,SUPPETRO,647.5,655.85,630.0,642.3,21133,0.6663,31716
2021-11-03,SUPPETRO,643.0,649.0,626.0,636.25,32412,0.7751000000000001,41816
2021-11-04,SUPPETRO,649.0,680.0,648.95,674.6,40457,0.7079000000000001,57148
2021-11-08,SUPPETRO,686.7,698.7,674.6,691.95,36156,0.5357000000000001,67490
2021-11-09,SUPPETRO,700.0,709.05,680.0,683.7,41916,0.7191,58292
2021-11-10,SUPPETRO,691.0,699.95,647.15,654.4,82956,0.7042,117797
2021-11-11,SUPPETRO,669.5,688.0,660.0,677.25,27330,0.6082,44934
2021-11-12,SUPPETRO,685.4,686.85,670.0,673.2,7801,0.6179,12626
2021-11-15,SUPPETRO,686.0,686.0,666.0,667.5,22833,0.6379,35792
2021-11-16,SUPPETRO,680.0,680.0,652.85,667.3,18543,0.6215,29837
2021-11-17,SUPPETRO,673.6,673.6,652.25,657.95,31077,0.8094,38396
2021-11-18,SUPPETRO,668.0,668.0,635.0,640.0,41405,0.7295999999999999,56752
2021-11-22,SUPPETRO,654.95,654.95,623.4,631.2,35928,0.6758,53164
2021-11-23,SUPPETRO,635.0,679.75,617.15,670.5,46641,0.5652,82526
2021-11-24,SUPPETRO,670.5,671.65,662.1,667.75,19288,0.669,28830
2021-11-25,SUPPETRO,676.0,684.05,660.05,665.05,21066,0.5056,41663
2021-11-26,SUPPETRO,660.0,667.2,640.0,643.7,16270,0.6454000000000001,25208
2021-11-29,SUPPETRO,622.0,664.9,618.3,631.4,27008,0.6081000000000001,44413
