Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SUTLEJTEX,62.25,64.9,61.1,63.8,71668,0.5,143330
2021-09-02,SUTLEJTEX,64.65,64.65,62.1,62.75,57113,0.5265,108467
2021-09-03,SUTLEJTEX,62.7,64.0,61.5,61.9,97164,0.6358,152811
2021-09-06,SUTLEJTEX,61.0,64.75,60.75,63.95,112642,0.4719,238711
2021-09-07,SUTLEJTEX,64.0,66.3,62.55,65.6,110179,0.4661,236400
2021-09-08,SUTLEJTEX,66.45,73.9,66.2,69.9,734667,0.2579,2848464
2021-09-09,SUTLEJTEX,70.3,70.5,68.0,68.35,204117,0.5383,379155
2021-09-13,SUTLEJTEX,68.4,68.8,66.5,67.05,82884,0.4446,186415
2021-09-14,SUTLEJTEX,67.05,67.9,65.75,66.0,103594,0.6199,167124
2021-09-15,SUTLEJTEX,66.05,68.6,64.7,66.7,157023,0.6137,255855
2021-09-16,SUTLEJTEX,67.9,67.9,66.0,66.65,112483,0.6467,173925
2021-09-17,SUTLEJTEX,67.0,67.55,63.2,63.65,116842,0.6101,191517
2021-09-20,SUTLEJTEX,62.95,64.6,61.05,61.35,83433,0.6096,136859
2021-09-21,SUTLEJTEX,61.1,62.0,57.6,61.35,152855,0.46399999999999997,329461
2021-09-22,SUTLEJTEX,61.5,62.8,60.6,61.75,79811,0.4715,169281
2021-09-23,SUTLEJTEX,62.2,65.85,62.05,64.2,190453,0.5561,342485
2021-09-24,SUTLEJTEX,64.75,64.75,61.65,61.8,147874,0.679,217792
2021-09-27,SUTLEJTEX,62.1,63.9,61.05,62.65,51353,0.5152,99673
2021-09-28,SUTLEJTEX,63.75,65.5,62.1,63.5,104683,0.5501,190301
2021-09-29,SUTLEJTEX,63.5,69.8,63.0,69.0,398627,0.3139,1269827
2021-09-30,SUTLEJTEX,69.5,71.9,68.0,69.35,256808,0.518,495731
2021-10-01,SUTLEJTEX,68.9,69.3,66.7,66.95,142791,0.5965,239381
