Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SUZLON,6.1,6.2,5.95,6.05,9847764,0.5606,17565815
2021-09-02,SUZLON,6.0,6.35,6.0,6.25,32035371,0.474,67580316
2021-09-03,SUZLON,6.3,6.3,6.05,6.15,11865401,0.5042,23531284
2021-09-06,SUZLON,6.1,6.25,6.05,6.1,8587272,0.643,13354102
2021-09-07,SUZLON,6.15,6.15,5.95,6.05,9943509,0.4549,21858723
2021-09-08,SUZLON,6.1,6.2,6.05,6.1,9538602,0.5151,18517149
2021-09-09,SUZLON,6.05,6.4,6.05,6.25,15186412,0.4083,37193929
2021-09-13,SUZLON,6.25,6.45,6.1,6.25,10937834,0.4703,23255404
2021-09-14,SUZLON,6.3,6.55,6.25,6.5,22549294,0.5377000000000001,41938487
2021-09-15,SUZLON,6.55,6.75,6.5,6.55,16429051,0.5194,31632827
2021-09-16,SUZLON,6.6,6.65,6.4,6.5,11841963,0.5707,20751011
2021-09-17,SUZLON,6.55,6.65,6.3,6.45,26617937,0.5446,48877531
2021-09-20,SUZLON,6.4,6.75,6.3,6.5,23076870,0.41159999999999997,56059593
2021-09-21,SUZLON,6.5,6.6,6.25,6.4,10716113,0.47250000000000003,22679099
2021-09-22,SUZLON,6.45,6.55,6.4,6.4,6510526,0.47740000000000005,13636819
2021-09-23,SUZLON,6.5,6.55,6.35,6.35,9044037,0.5911,15299267
2021-09-24,SUZLON,6.4,6.45,6.3,6.3,7362567,0.467,15764674
2021-09-27,SUZLON,6.35,6.4,6.25,6.3,6861564,0.5099,13457353
2021-09-28,SUZLON,6.3,6.35,6.1,6.2,12154608,0.4926,24673048
2021-09-29,SUZLON,6.2,6.5,6.1,6.45,21858202,0.46549999999999997,46956893
2021-09-30,SUZLON,6.55,6.7,6.4,6.45,13585630,0.4917,27627670
2021-10-01,SUZLON,6.4,6.65,6.3,6.5,11670498,0.5075000000000001,22996288
2021-10-04,SUZLON,6.55,6.8,6.5,6.8,25125187,0.5925,42406643
2021-10-05,SUZLON,7.1,7.1,6.95,7.1,21587055,0.6817000000000001,31668556
2021-10-06,SUZLON,7.45,7.45,6.8,6.85,57873573,0.37,156395995
2021-10-07,SUZLON,6.9,7.15,6.85,7.1,23302644,0.4147,56185858
2021-10-08,SUZLON,7.2,7.35,7.15,7.3,22113754,0.5338,41430182
2021-10-11,SUZLON,7.45,7.65,7.45,7.65,50840277,0.585,86906474
2021-10-12,SUZLON,7.9,7.95,7.3,7.35,50146531,0.4631,108287093
2021-10-13,SUZLON,7.4,7.5,7.0,7.1,29192889,0.6097,47880156
2021-10-14,SUZLON,7.15,7.25,7.0,7.05,23103494,0.5276,43790636
2021-10-18,SUZLON,7.15,7.4,7.1,7.4,31224225,0.4721,66134870
2021-10-19,SUZLON,7.6,7.6,7.1,7.15,24155791,0.6021,40116385
2021-10-20,SUZLON,7.15,7.2,6.85,7.0,15212397,0.5761999999999999,26400729
2021-10-21,SUZLON,7.1,7.25,7.0,7.1,9728681,0.47259999999999996,20587618
2021-10-22,SUZLON,7.2,7.25,7.0,7.05,10299704,0.6215,16572669
2021-10-25,SUZLON,7.1,7.15,6.7,6.9,11489076,0.5651,20330775
2021-10-26,SUZLON,6.95,7.15,6.9,7.05,7898570,0.47590000000000005,16596032
2021-10-27,SUZLON,7.1,7.1,6.95,6.95,7077961,0.6692,10577478
2021-10-28,SUZLON,7.0,7.0,6.7,6.75,13128499,0.5786,22688609
2021-10-29,SUZLON,6.8,6.85,6.55,6.75,7913929,0.4579,17282985
2021-11-01,SUZLON,6.9,7.05,6.85,7.05,10802300,0.6922,15605951
2021-11-02,SUZLON,7.0,7.15,6.9,7.0,9680170,0.5219,18548241
2021-11-03,SUZLON,7.05,7.15,6.95,6.95,7316824,0.613,11936211
2021-11-04,SUZLON,7.05,7.15,7.0,7.1,5070773,0.6482,7823115
2021-11-08,SUZLON,7.15,7.4,7.1,7.2,16070945,0.5997,26799579
2021-11-09,SUZLON,7.25,7.25,7.05,7.1,10079279,0.6165,16348919
2021-11-10,SUZLON,7.1,7.1,6.95,7.0,10864459,0.6016,18060521
2021-11-11,SUZLON,7.05,7.1,7.0,7.1,8184298,0.583,14038609
2021-11-12,SUZLON,7.1,7.3,7.05,7.1,15117577,0.5243,28835161
2021-11-15,SUZLON,7.2,7.2,6.9,6.95,13970927,0.6609999999999999,21136719
2021-11-16,SUZLON,7.0,7.25,6.9,7.0,21933753,0.3641,60243878
2021-11-17,SUZLON,6.95,7.05,6.95,6.95,13455467,0.6531999999999999,20599142
2021-11-18,SUZLON,7.0,7.15,6.8,6.9,12179587,0.4731,25742984
2021-11-22,SUZLON,7.0,7.05,6.8,6.85,14804683,0.6168,24003175
2021-11-23,SUZLON,6.85,6.95,6.75,6.9,10010756,0.5407000000000001,18515651
2021-11-24,SUZLON,6.95,7.1,6.85,6.95,16634790,0.5893,28226344
2021-11-25,SUZLON,7.0,7.1,6.95,7.05,14314949,0.6965000000000001,20552052
2021-11-26,SUZLON,7.05,7.05,6.8,6.85,14457808,0.5251,27534845
2021-11-29,SUZLON,6.85,6.9,6.55,6.6,12463722,0.5159,24158441
2021-11-30,SUZLON,6.65,6.9,6.6,6.85,81623026,0.7417,110048148
2021-12-01,SUZLON,7.0,7.15,6.9,7.15,27998950,0.6615000000000001,42323739
2021-12-02,SUZLON,7.4,7.4,7.0,7.05,27307415,0.4951,55157601
2021-12-03,SUZLON,7.05,7.1,6.95,7.0,9376422,0.5463,17162856
2021-12-06,SUZLON,7.0,7.2,6.95,7.0,16594577,0.3911,42431828
2021-12-07,SUZLON,7.05,7.15,7.0,7.0,14179742,0.5022,28237672
2021-12-08,SUZLON,7.05,7.35,7.05,7.15,21177960,0.4254,49781867
2021-12-09,SUZLON,7.2,7.5,7.1,7.5,49726552,0.48369999999999996,102797428
2021-12-10,SUZLON,7.7,7.85,7.65,7.85,75505203,0.6341,119073478
2021-12-13,SUZLON,7.9,8.0,7.5,7.5,44430840,0.5761999999999999,77112976
2021-12-14,SUZLON,7.45,7.55,7.2,7.3,25913621,0.5104,50775292
2021-12-15,SUZLON,7.25,7.45,7.2,7.3,22193565,0.6145,36116121
2021-12-16,SUZLON,7.3,7.35,6.95,7.05,38976844,0.4535,85938379
2021-12-17,SUZLON,7.1,7.1,6.7,6.8,31400952,0.6581,47714038
2021-12-20,SUZLON,6.8,7.1,6.6,7.1,25618763,0.5107,50166975
2021-12-21,SUZLON,7.3,7.45,7.3,7.45,17084249,0.4583,37274894
2021-12-22,SUZLON,7.8,7.8,7.8,7.8,7762150,1.0,7762150
2021-12-23,SUZLON,8.15,8.15,7.7,7.75,61711393,0.43210000000000004,142814213
2021-12-24,SUZLON,7.85,8.1,7.45,8.1,35134166,0.4581,76693591
2021-12-27,SUZLON,8.4,8.5,8.3,8.5,22016155,0.7923,27786223
2021-12-28,SUZLON,8.9,8.9,8.9,8.9,4939710,1.0,4939710
2021-12-29,SUZLON,9.3,9.3,8.8,9.3,87757339,0.3694,237558976
2021-12-30,SUZLON,9.65,9.75,9.55,9.75,30347182,0.4625,65608733
2021-12-31,SUZLON,10.05,10.2,9.9,10.2,33258659,0.7340000000000001,45312941
