Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SWARAJENG,1676.0,1676.0,1650.0,1658.4,7064,0.5608,12597
2021-09-02,SWARAJENG,1653.0,1673.0,1643.45,1657.4,11572,0.5337,21683
2021-09-03,SWARAJENG,1675.0,1675.0,1656.7,1660.7,8750,0.735,11905
2021-09-06,SWARAJENG,1660.7,1665.2,1647.0,1649.65,5805,0.655,8862
2021-09-07,SWARAJENG,1669.0,1712.0,1654.0,1701.9,9384,0.4818,19476
2021-09-08,SWARAJENG,1718.9,1750.0,1702.55,1724.1,7817,0.5189,15066
2021-09-09,SWARAJENG,1730.8,1732.0,1680.0,1707.35,5614,0.5394,10407
2021-09-13,SWARAJENG,1707.35,1714.3,1683.0,1685.55,9154,0.6979000000000001,13116
2021-09-14,SWARAJENG,1702.0,1702.0,1677.65,1679.85,5318,0.7792,6825
2021-09-15,SWARAJENG,1680.0,1688.25,1675.0,1680.45,5990,0.6812,8793
2021-09-16,SWARAJENG,1680.0,1688.0,1655.5,1664.35,8358,0.6948000000000001,12030
2021-09-17,SWARAJENG,1672.7,1684.2,1628.0,1634.55,12510,0.6711,18642
2021-09-20,SWARAJENG,1630.0,1650.0,1601.5,1619.5,6954,0.6339,10970
2021-09-21,SWARAJENG,1618.0,1622.2,1585.0,1598.85,6362,0.5997,10608
2021-09-22,SWARAJENG,1628.7,1631.0,1605.0,1622.7,3096,0.5907,5241
2021-09-23,SWARAJENG,1640.0,1649.0,1630.0,1640.4,4373,0.6027,7256
2021-09-24,SWARAJENG,1648.65,1648.65,1601.0,1618.55,5245,0.5648,9287
2021-09-27,SWARAJENG,1631.0,1670.45,1628.1,1652.75,7895,0.4305,18338
2021-09-28,SWARAJENG,1670.0,1670.0,1620.0,1631.3,5682,0.6278,9050
2021-09-29,SWARAJENG,1633.95,1633.95,1603.35,1613.8,5217,0.6665000000000001,7828
2021-09-30,SWARAJENG,1613.8,1650.0,1613.8,1626.15,2514,0.562,4473
2021-10-01,SWARAJENG,1629.7,1664.0,1619.55,1654.5,5838,0.6481,9008
2021-10-04,SWARAJENG,1655.0,1697.65,1655.0,1681.2,9195,0.6175,14891
