Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,SYNGENE,643.1,644.8,626.0,629.75,199200,0.4642,429124
2021-09-02,SYNGENE,631.4,637.65,628.25,631.25,122316,0.48210000000000003,253699
2021-09-03,SYNGENE,636.65,639.0,623.2,629.6,177879,0.4192,424310
2021-09-06,SYNGENE,630.0,641.0,625.1,628.8,194272,0.40130000000000005,484068
2021-09-07,SYNGENE,628.5,631.85,618.85,620.85,137668,0.44439999999999996,309797
2021-09-08,SYNGENE,620.85,622.95,612.25,613.9,136061,0.4308,315846
2021-09-09,SYNGENE,613.9,632.85,611.0,630.55,288683,0.37329999999999997,773343
2021-09-13,SYNGENE,630.55,676.6,626.05,668.8,1389784,0.3456,4020821
2021-09-14,SYNGENE,671.8,674.95,662.0,667.1,561448,0.3497,1605712
2021-09-15,SYNGENE,669.8,686.3,664.1,667.2,504520,0.3054,1652189
2021-09-16,SYNGENE,667.6,675.0,652.15,659.1,218775,0.385,568219
2021-09-17,SYNGENE,662.0,670.0,642.05,646.9,206402,0.3351,615911
2021-09-20,SYNGENE,641.0,649.2,632.0,643.55,293274,0.4269,686968
2021-09-21,SYNGENE,645.0,669.0,634.85,656.7,269157,0.2544,1057842
2021-09-22,SYNGENE,656.0,667.25,651.1,662.4,406876,0.4917,827463
2021-09-23,SYNGENE,666.0,669.8,654.15,658.65,181775,0.4255,427248
2021-09-24,SYNGENE,663.0,663.95,642.8,644.55,139332,0.4146,336061
2021-09-27,SYNGENE,641.0,658.8,631.15,634.9,398517,0.5143,774825
2021-09-28,SYNGENE,637.8,645.0,614.0,616.3,402797,0.5402,745661
2021-09-29,SYNGENE,616.4,627.95,607.15,612.05,287538,0.3265,880533
2021-09-30,SYNGENE,617.5,617.5,594.1,599.9,785355,0.5157,1522941
2021-10-01,SYNGENE,600.0,618.8,599.05,615.4,300023,0.37460000000000004,800894
2021-10-04,SYNGENE,615.5,628.75,615.4,626.85,307475,0.49100000000000005,626172
2021-10-05,SYNGENE,629.9,637.65,623.55,631.45,405438,0.49350000000000005,821549
2021-10-06,SYNGENE,631.4,639.25,612.05,620.6,187680,0.3822,491114
2021-10-07,SYNGENE,623.45,629.6,618.0,621.7,114628,0.37020000000000003,309636
2021-10-08,SYNGENE,622.0,634.1,622.0,624.7,96433,0.3539,272506
2021-10-11,SYNGENE,624.0,632.4,619.1,622.2,144980,0.4399,329562
2021-10-12,SYNGENE,623.7,623.7,609.05,614.95,231302,0.49210000000000004,470025
2021-10-13,SYNGENE,615.5,622.9,612.8,616.45,124881,0.4175,299091
2021-10-14,SYNGENE,616.45,619.9,609.1,612.75,182497,0.589,309835
2021-10-18,SYNGENE,614.8,619.35,610.05,613.15,149139,0.5078,293682
2021-10-19,SYNGENE,613.15,623.35,603.4,610.2,662358,0.5759000000000001,1150219
2021-10-20,SYNGENE,609.95,612.4,600.0,605.95,229974,0.4111,559347
2021-10-21,SYNGENE,593.9,604.0,580.0,595.65,777272,0.5366,1448636
2021-10-22,SYNGENE,591.0,606.7,575.0,578.65,485477,0.5313,913715
2021-10-25,SYNGENE,580.0,582.75,554.0,560.8,202044,0.37320000000000003,541423
2021-10-26,SYNGENE,566.2,570.0,547.5,549.6,570441,0.6342,899406
2021-10-27,SYNGENE,552.95,563.95,546.45,549.3,536447,0.589,910837
2021-10-28,SYNGENE,555.0,557.7,538.0,543.55,722085,0.6299,1146336
