Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TAJGVK,121.6,127.85,121.6,127.1,64455,0.5354,120377
2021-09-02,TAJGVK,125.25,129.65,123.2,126.4,60539,0.4026,150379
2021-09-03,TAJGVK,126.0,128.5,126.0,126.35,24896,0.4626,53817
2021-09-06,TAJGVK,126.5,128.4,125.05,125.5,16382,0.4728,34646
2021-09-07,TAJGVK,126.15,126.35,123.75,124.95,22498,0.5055,44505
2021-09-08,TAJGVK,126.95,127.9,124.3,126.25,23323,0.42479999999999996,54903
2021-09-09,TAJGVK,126.25,136.7,125.1,133.55,257084,0.2601,988551
2021-09-13,TAJGVK,134.4,135.35,130.5,132.4,109163,0.3885,280957
2021-09-14,TAJGVK,133.65,136.9,132.55,133.3,114176,0.3379,337943
2021-09-15,TAJGVK,134.0,134.25,132.1,132.95,51193,0.5395000000000001,94891
2021-09-16,TAJGVK,133.0,134.1,129.6,131.4,48981,0.5504,88994
2021-09-17,TAJGVK,132.85,134.0,130.05,130.75,43825,0.4521,96929
2021-09-20,TAJGVK,132.25,148.7,130.0,137.0,923281,0.2723,3390172
2021-09-21,TAJGVK,138.2,143.65,137.2,139.45,216517,0.3607,600326
2021-09-22,TAJGVK,141.0,148.0,139.15,144.15,443803,0.4476,991494
2021-09-23,TAJGVK,145.0,153.0,140.65,141.85,534661,0.353,1514753
2021-09-24,TAJGVK,143.9,144.0,135.0,140.3,157278,0.4509,348798
2021-09-27,TAJGVK,142.65,153.0,138.6,146.25,847683,0.2809,3018003
2021-09-28,TAJGVK,147.0,154.3,144.25,148.2,602176,0.2752,2187990
2021-09-29,TAJGVK,147.0,152.25,146.25,147.05,183733,0.32380000000000003,567469
2021-09-30,TAJGVK,146.7,149.6,145.0,145.3,110316,0.4811,229310
2021-10-01,TAJGVK,143.5,149.35,143.25,144.8,107913,0.2676,403313
2021-10-04,TAJGVK,145.7,150.2,144.3,145.8,137653,0.35600000000000004,386656
2021-10-05,TAJGVK,146.45,149.35,145.4,146.15,132681,0.38530000000000003,344335
2021-10-06,TAJGVK,146.15,149.8,139.0,140.8,221932,0.3743,593003
2021-10-07,TAJGVK,143.85,147.5,143.1,144.2,130210,0.311,418681
2021-10-08,TAJGVK,147.0,152.85,146.2,146.8,359715,0.3447,1043677
2021-10-11,TAJGVK,147.65,152.8,146.35,147.9,407695,0.3829,1064693
2021-10-12,TAJGVK,148.8,151.8,147.2,147.85,179472,0.3579,501443
2021-10-13,TAJGVK,148.75,154.4,146.7,149.8,545762,0.29850000000000004,1828524
2021-10-14,TAJGVK,152.5,153.0,147.0,147.8,296168,0.4731,626007
2021-10-18,TAJGVK,149.4,158.5,148.15,155.6,928943,0.43810000000000004,2120404
2021-10-19,TAJGVK,160.0,161.55,151.2,153.2,422308,0.4318,978075
2021-10-20,TAJGVK,153.1,159.5,148.85,153.15,416759,0.1877,2220562
2021-10-21,TAJGVK,156.5,157.9,151.5,153.2,157136,0.4111,382249
2021-10-22,TAJGVK,155.0,155.5,147.0,147.95,144143,0.4964,290369
2021-10-25,TAJGVK,150.0,152.0,143.8,146.55,141836,0.4878,290782
2021-10-26,TAJGVK,147.45,149.5,146.25,147.85,65319,0.4769,136963
2021-10-27,TAJGVK,148.6,151.15,148.0,149.4,83883,0.5007,167521
2021-10-28,TAJGVK,148.0,149.5,147.15,147.55,109295,0.5341,204624
2021-10-29,TAJGVK,147.4,147.5,143.0,144.05,64764,0.45049999999999996,143768
2021-11-01,TAJGVK,147.9,147.9,144.0,144.95,44693,0.4183,106855
2021-11-02,TAJGVK,145.7,148.4,145.1,145.95,47071,0.4243,110928
2021-11-03,TAJGVK,146.5,149.9,143.65,145.65,75108,0.4514,166399
2021-11-04,TAJGVK,146.9,148.0,145.8,147.35,38094,0.5568,68411
2021-11-08,TAJGVK,149.0,151.5,147.0,150.4,154389,0.4804,321406
2021-11-09,TAJGVK,151.7,154.9,150.15,151.2,127110,0.35960000000000003,353475
2021-11-10,TAJGVK,151.0,153.45,150.3,150.65,75792,0.49600000000000005,152799
2021-11-11,TAJGVK,150.7,151.2,147.1,148.5,73955,0.5921000000000001,124910
2021-11-12,TAJGVK,150.0,150.6,147.3,147.9,48168,0.5629,85569
2021-11-15,TAJGVK,147.5,149.3,145.35,146.05,75829,0.514,147531
2021-11-16,TAJGVK,149.0,150.75,148.1,148.7,120185,0.39670000000000005,302996
2021-11-17,TAJGVK,149.0,151.3,146.25,147.8,106156,0.44060000000000005,240919
2021-11-18,TAJGVK,147.8,148.95,143.1,143.95,84414,0.5684,148523
2021-11-22,TAJGVK,144.0,144.6,137.6,139.35,96256,0.5999,160459
2021-11-23,TAJGVK,139.25,141.55,136.7,139.65,55605,0.4363,127444
2021-11-24,TAJGVK,140.35,142.95,137.25,140.0,117221,0.6733,174100
