Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TATACOFFEE,214.0,214.25,207.9,211.1,662931,0.21,3157189
2021-09-02,TATACOFFEE,211.9,213.75,208.7,209.5,535190,0.2162,2475783
2021-09-03,TATACOFFEE,210.0,211.25,206.4,207.6,433941,0.2465,1760535
2021-09-06,TATACOFFEE,207.6,209.5,203.2,204.1,495006,0.3453,1433678
2021-09-07,TATACOFFEE,211.35,217.0,209.6,212.45,1777388,0.149,11930285
2021-09-08,TATACOFFEE,213.0,214.2,210.05,211.9,399498,0.2127,1877968
2021-09-09,TATACOFFEE,211.0,211.7,208.2,210.75,388568,0.2665,1458061
2021-09-13,TATACOFFEE,207.15,211.0,207.15,208.25,445592,0.3065,1453649
2021-09-14,TATACOFFEE,210.0,210.35,207.5,208.2,310402,0.3293,942617
2021-09-15,TATACOFFEE,208.2,211.9,207.85,208.75,299126,0.294,1017341
2021-09-16,TATACOFFEE,209.75,214.9,207.95,212.35,889454,0.2553,3483788
2021-09-17,TATACOFFEE,213.5,213.6,205.5,208.4,500309,0.3012,1661113
2021-09-20,TATACOFFEE,207.9,209.35,201.1,202.2,458590,0.3565,1286530
2021-09-21,TATACOFFEE,202.0,204.75,197.3,202.65,382585,0.258,1483020
2021-09-22,TATACOFFEE,205.9,208.45,204.55,205.8,266270,0.24100000000000002,1104626
2021-09-23,TATACOFFEE,207.75,208.7,205.75,206.55,304743,0.3539,861173
2021-09-24,TATACOFFEE,209.5,209.5,202.75,203.4,433966,0.3872,1120638
2021-09-27,TATACOFFEE,205.0,206.5,201.5,203.5,316911,0.3128,1013121
2021-09-28,TATACOFFEE,204.45,204.5,201.0,202.2,252512,0.327,772278
2021-09-29,TATACOFFEE,200.55,207.3,200.2,203.2,355224,0.1998,1777850
2021-09-30,TATACOFFEE,204.0,206.35,203.0,203.55,272873,0.26480000000000004,1030533
2021-10-01,TATACOFFEE,203.0,204.05,200.7,201.4,360051,0.40399999999999997,891125
2021-10-04,TATACOFFEE,206.0,209.7,204.65,205.55,475553,0.3081,1543450
2021-10-05,TATACOFFEE,205.5,207.7,204.5,205.4,387157,0.3969,975538
2021-10-06,TATACOFFEE,206.0,218.9,204.1,212.95,2175969,0.2168,10037554
2021-10-07,TATACOFFEE,215.4,220.0,215.0,218.35,1610249,0.3025,5323927
2021-10-08,TATACOFFEE,221.0,223.5,218.0,218.9,1212786,0.31980000000000003,3792068
2021-10-11,TATACOFFEE,219.5,220.4,215.3,216.85,632920,0.3373,1876687
2021-10-12,TATACOFFEE,217.3,229.6,216.5,227.85,2479569,0.2657,9331216
2021-10-13,TATACOFFEE,230.25,242.25,229.6,233.9,2338319,0.2198,10637119
2021-10-14,TATACOFFEE,236.0,237.8,227.8,230.45,1131460,0.3344,3383263
2021-10-18,TATACOFFEE,232.9,238.0,231.25,234.15,1499680,0.3298,4546742
2021-10-19,TATACOFFEE,241.0,254.4,230.25,235.8,3548928,0.18170000000000003,19529290
2021-10-20,TATACOFFEE,237.0,242.0,224.0,227.05,1010820,0.19649999999999998,5144557
2021-10-21,TATACOFFEE,229.8,231.2,223.05,225.3,429328,0.17579999999999998,2442113
2021-10-22,TATACOFFEE,227.0,228.3,214.5,218.8,675948,0.2572,2628324
2021-10-25,TATACOFFEE,218.9,222.05,207.7,212.3,461952,0.2071,2230740
2021-10-26,TATACOFFEE,212.0,218.0,210.55,214.4,467108,0.2633,1774132
2021-10-27,TATACOFFEE,216.4,220.25,213.3,214.4,426773,0.2584,1651892
2021-10-28,TATACOFFEE,213.0,214.7,208.55,209.95,352948,0.27690000000000003,1274473
2021-10-29,TATACOFFEE,210.0,212.0,203.8,207.9,342469,0.22829999999999998,1500093
2021-11-01,TATACOFFEE,209.2,215.85,207.15,211.8,416581,0.1916,2174167
2021-11-02,TATACOFFEE,213.5,215.35,211.1,213.55,281214,0.2571,1093905
2021-11-03,TATACOFFEE,214.15,214.15,211.5,212.8,225254,0.262,859800
2021-11-04,TATACOFFEE,214.5,216.5,213.0,215.85,237795,0.4608,516071
2021-11-08,TATACOFFEE,217.55,218.7,214.0,216.05,328028,0.3031,1082101
2021-11-09,TATACOFFEE,216.05,221.5,215.55,218.75,527052,0.3171,1661913
2021-11-10,TATACOFFEE,218.0,227.25,217.0,220.55,700250,0.2,3501601
2021-11-11,TATACOFFEE,221.2,224.25,218.4,219.7,307614,0.2236,1375781
2021-11-12,TATACOFFEE,221.75,225.75,217.8,220.7,422491,0.227,1861022
2021-11-15,TATACOFFEE,224.9,227.8,222.45,225.6,704443,0.23140000000000002,3044279
2021-11-16,TATACOFFEE,227.4,229.0,223.25,224.8,558174,0.2762,2020942
2021-11-17,TATACOFFEE,227.0,231.4,226.95,228.85,922307,0.20120000000000002,4583403
2021-11-18,TATACOFFEE,230.4,231.95,222.2,225.4,639757,0.19820000000000002,3228280
2021-11-22,TATACOFFEE,225.0,225.0,211.7,213.85,704698,0.2883,2444641
2021-11-23,TATACOFFEE,211.0,219.4,206.85,217.3,328062,0.16870000000000002,1944367
2021-11-24,TATACOFFEE,219.35,223.0,215.8,216.6,329542,0.24910000000000002,1322964
2021-11-25,TATACOFFEE,217.7,218.4,215.15,216.7,201657,0.24059999999999998,838216
2021-11-26,TATACOFFEE,215.0,215.25,206.95,208.05,456328,0.3168,1440611
2021-11-29,TATACOFFEE,205.35,206.75,192.15,199.4,491098,0.2497,1966905
2021-11-30,TATACOFFEE,199.95,207.0,199.95,202.85,266482,0.2323,1147181
2021-12-01,TATACOFFEE,204.65,208.9,203.05,204.5,187023,0.19920000000000002,939064
2021-12-02,TATACOFFEE,205.7,206.0,203.4,205.35,178632,0.2802,637574
2021-12-03,TATACOFFEE,205.0,207.8,203.5,204.35,225753,0.2466,915547
2021-12-06,TATACOFFEE,206.9,206.9,202.0,202.5,174495,0.2554,683356
2021-12-07,TATACOFFEE,207.0,214.4,204.1,212.4,402637,0.2427,1659220
2021-12-08,TATACOFFEE,213.0,215.8,210.5,213.5,352685,0.18300000000000002,1926862
2021-12-09,TATACOFFEE,213.5,215.0,211.25,212.8,258923,0.2677,967371
2021-12-10,TATACOFFEE,213.0,219.25,212.1,216.45,464265,0.18480000000000002,2512575
2021-12-13,TATACOFFEE,218.25,218.25,213.1,214.65,224721,0.2595,865938
2021-12-14,TATACOFFEE,214.7,214.7,211.65,212.95,172041,0.2515,683980
2021-12-15,TATACOFFEE,213.9,213.9,210.0,211.1,152408,0.2395,636373
2021-12-16,TATACOFFEE,213.0,213.0,207.0,207.8,198134,0.26420000000000005,749872
2021-12-17,TATACOFFEE,208.0,208.0,203.05,204.25,253383,0.34500000000000003,734531
2021-12-20,TATACOFFEE,200.0,200.0,190.3,194.55,487848,0.2801,1741983
2021-12-21,TATACOFFEE,196.0,204.05,196.0,199.65,250678,0.203,1234994
2021-12-22,TATACOFFEE,202.9,207.8,201.35,205.0,224188,0.1833,1223216
2021-12-23,TATACOFFEE,206.0,206.85,202.05,202.95,206920,0.32270000000000004,641118
2021-12-24,TATACOFFEE,203.9,203.9,199.35,201.0,144755,0.1981,730734
2021-12-27,TATACOFFEE,200.0,222.0,196.0,218.35,1149413,0.19510000000000002,5891092
2021-12-28,TATACOFFEE,219.65,220.45,211.55,212.35,739502,0.2577,2869999
2021-12-29,TATACOFFEE,213.0,216.7,210.0,211.35,566674,0.20920000000000002,2708289
2021-12-30,TATACOFFEE,211.45,211.5,207.9,208.5,272840,0.2791,977484
2021-12-31,TATACOFFEE,208.9,216.2,208.4,213.15,619788,0.20350000000000001,3045699
2022-01-03,TATACOFFEE,213.95,216.9,212.3,214.05,389236,0.2552,1525259
