Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TATAELXSI,4800.0,4900.0,4800.0,4848.5,68916,0.5311,129752
2021-09-02,TATAELXSI,4874.0,4977.0,4832.0,4922.9,69260,0.3957,175023
2021-09-03,TATAELXSI,4945.0,4970.0,4856.9,4886.0,61395,0.4815,127507
2021-09-06,TATAELXSI,4899.0,4910.45,4827.0,4876.3,32849,0.42340000000000005,77586
2021-09-07,TATAELXSI,4887.8,5015.85,4861.4,4919.5,81988,0.2902,282529
2021-09-08,TATAELXSI,4920.0,4920.0,4821.15,4864.6,65981,0.5384000000000001,122544
2021-09-09,TATAELXSI,4876.8,4955.0,4851.0,4928.75,60422,0.4215,143361
2021-09-13,TATAELXSI,4951.0,5072.0,4935.0,5009.3,96550,0.47020000000000006,205324
2021-09-14,TATAELXSI,5018.0,5057.9,4970.0,4987.0,74193,0.5019,147811
2021-09-15,TATAELXSI,5007.4,5248.5,5005.0,5113.4,227502,0.46880000000000005,485270
2021-09-16,TATAELXSI,5140.0,5200.0,5115.0,5153.6,74023,0.526,140731
2021-09-17,TATAELXSI,5184.0,5600.0,5184.0,5490.65,218917,0.3791,577393
2021-09-20,TATAELXSI,5470.0,5955.0,5352.3,5831.7,163176,0.22350000000000003,730123
2021-09-21,TATAELXSI,5889.95,5949.0,5461.65,5619.95,230444,0.37520000000000003,614214
2021-09-22,TATAELXSI,5668.8,5699.0,5553.05,5580.15,121037,0.4916,246188
2021-09-23,TATAELXSI,5630.0,5888.0,5582.0,5726.8,139151,0.3701,375994
2021-09-24,TATAELXSI,5764.7,5971.9,5733.0,5866.95,127536,0.4006,318392
2021-09-27,TATAELXSI,5923.8,5951.0,5691.05,5720.9,129511,0.5525,234408
2021-09-28,TATAELXSI,5752.5,5832.0,5555.55,5665.65,102114,0.43770000000000003,233310
2021-09-29,TATAELXSI,5645.0,5684.0,5563.75,5597.75,66086,0.49979999999999997,132221
2021-09-30,TATAELXSI,5627.05,5668.0,5580.0,5594.05,83713,0.5774,144992
2021-10-01,TATAELXSI,5594.0,5824.6,5594.0,5782.8,76277,0.3899,195617
2021-10-04,TATAELXSI,5818.0,5938.0,5801.0,5889.6,106943,0.5024000000000001,212879
2021-10-05,TATAELXSI,5895.0,5926.95,5790.0,5840.15,101754,0.5234000000000001,194416
2021-10-06,TATAELXSI,5868.0,6277.0,5850.0,6163.95,223367,0.31829999999999997,701813
2021-10-07,TATAELXSI,6223.5,6387.0,6223.0,6348.25,82794,0.3615,229047
2021-10-08,TATAELXSI,6396.0,6397.0,6200.15,6231.7,134109,0.5312,252479
2021-10-11,TATAELXSI,6287.0,6340.0,6111.1,6232.8,83634,0.4526,184786
2021-10-12,TATAELXSI,6262.0,6321.0,6050.0,6073.65,138075,0.6402,215661
2021-10-13,TATAELXSI,6130.0,6294.85,6088.45,6120.1,155363,0.5369,289391
2021-10-14,TATAELXSI,6200.0,6363.0,6200.0,6259.95,139236,0.48100000000000004,289468
2021-10-18,TATAELXSI,6315.0,6346.1,6242.2,6318.3,142932,0.6592,216817
2021-10-19,TATAELXSI,6375.2,6610.0,6179.75,6289.35,133653,0.3196,418233
2021-10-20,TATAELXSI,6318.0,6387.9,5975.0,6178.85,124311,0.5483,226705
2021-10-21,TATAELXSI,6199.45,6259.9,5843.55,5911.1,176964,0.5465,323837
2021-10-22,TATAELXSI,5940.0,6135.9,5700.0,6032.3,108979,0.3968,274624
2021-10-25,TATAELXSI,6079.8,6117.95,5721.0,5809.2,165094,0.5688000000000001,290234
2021-10-26,TATAELXSI,5825.0,6000.0,5824.0,5876.2,89470,0.5532,161740
2021-10-27,TATAELXSI,5903.0,5940.0,5800.0,5867.15,93255,0.6251,149191
2021-10-28,TATAELXSI,5889.7,6067.05,5875.05,5897.5,108348,0.6365999999999999,170187
2021-10-29,TATAELXSI,5860.0,5940.0,5700.0,5872.3,61924,0.4719,131235
2021-11-01,TATAELXSI,5900.0,5999.65,5833.6,5974.2,51458,0.5177,99402
2021-11-02,TATAELXSI,6000.0,6165.0,6000.0,6079.65,91211,0.61,149524
2021-11-03,TATAELXSI,6119.0,6205.0,6086.0,6190.1,81579,0.584,139692
2021-11-04,TATAELXSI,6221.1,6245.0,6205.45,6220.1,24069,0.6016,40009
2021-11-08,TATAELXSI,6248.7,6258.95,6110.35,6184.55,54533,0.6132,88925
2021-11-09,TATAELXSI,6184.55,6285.4,6184.55,6270.0,117965,0.6586,179117
2021-11-10,TATAELXSI,6270.0,6455.0,6270.0,6410.15,90678,0.44070000000000004,205740
2021-11-11,TATAELXSI,6433.7,6638.9,6403.95,6591.8,123562,0.4324,285766
2021-11-12,TATAELXSI,6651.15,6689.0,6462.0,6552.75,64423,0.3912,164665
2021-11-15,TATAELXSI,6598.0,6650.0,6501.0,6619.3,49373,0.3995,123582
2021-11-16,TATAELXSI,6648.7,6725.45,6580.3,6599.35,53481,0.4241,126118
2021-11-17,TATAELXSI,6625.0,6730.0,6550.0,6595.1,55549,0.4132,134439
2021-11-18,TATAELXSI,6623.85,6660.3,6336.0,6390.75,107454,0.6186,173718
2021-11-22,TATAELXSI,6391.4,6413.7,6000.0,6029.8,146558,0.5692,257465
2021-11-23,TATAELXSI,6017.0,6145.0,5750.0,6038.45,110562,0.5302,208513
2021-11-24,TATAELXSI,6053.0,6244.0,5990.0,6012.25,85993,0.5445000000000001,157944
2021-11-25,TATAELXSI,6020.0,6043.7,5901.0,5951.1,76074,0.6253000000000001,121653
2021-11-26,TATAELXSI,5920.0,5920.0,5775.0,5838.2,81408,0.5581,145873
2021-11-29,TATAELXSI,5600.0,5755.0,5263.4,5679.35,209529,0.40640000000000004,515607
2021-11-30,TATAELXSI,5700.0,5948.0,5685.8,5781.65,107952,0.4339,248780
2021-12-01,TATAELXSI,5781.65,5900.0,5750.0,5883.45,39275,0.42969999999999997,91400
2021-12-02,TATAELXSI,5913.0,5999.0,5850.0,5979.75,55409,0.5033,110093
2021-12-03,TATAELXSI,5952.0,5985.8,5843.0,5897.25,68054,0.48369999999999996,140689
2021-12-06,TATAELXSI,5843.0,5870.3,5691.3,5701.85,77177,0.5497,140411
2021-12-07,TATAELXSI,5750.0,5960.0,5613.95,5898.15,105801,0.40659999999999996,260215
2021-12-08,TATAELXSI,5998.0,6030.65,5870.7,5889.9,52138,0.4194,124308
2021-12-09,TATAELXSI,5948.0,6059.0,5882.05,5943.4,91385,0.46049999999999996,198455
2021-12-10,TATAELXSI,5974.0,6050.0,5877.0,5993.75,73401,0.4429,165738
2021-12-13,TATAELXSI,6045.0,6057.0,5821.0,5873.65,75826,0.5224,145139
2021-12-14,TATAELXSI,5890.0,6099.0,5885.0,6021.95,123263,0.49090000000000006,251089
2021-12-15,TATAELXSI,6025.0,6025.15,5850.0,5867.45,87170,0.47009999999999996,185419
2021-12-16,TATAELXSI,5980.0,6025.0,5870.0,5908.9,62254,0.41619999999999996,149563
2021-12-17,TATAELXSI,5935.0,5935.0,5707.85,5732.65,98845,0.5836,169369
2021-12-20,TATAELXSI,5710.0,5715.0,5340.0,5433.8,132184,0.5194,254500
2021-12-21,TATAELXSI,5530.15,5560.0,5425.0,5434.5,114648,0.5894,194508
2021-12-22,TATAELXSI,5540.0,5550.0,5454.0,5476.65,66516,0.5927,112229
2021-12-23,TATAELXSI,5535.0,5535.0,5461.25,5491.0,61279,0.6329,96829
2021-12-24,TATAELXSI,5499.2,5594.9,5481.0,5501.0,51313,0.45640000000000003,112435
2021-12-27,TATAELXSI,5516.0,5520.0,5421.0,5444.1,48700,0.5664,85984
2021-12-28,TATAELXSI,5500.0,5550.0,5460.05,5529.1,66427,0.5238,126814
2021-12-29,TATAELXSI,5554.8,5725.0,5519.95,5707.1,65185,0.3273,199190
2021-12-30,TATAELXSI,5748.0,5850.0,5726.0,5814.15,56169,0.35100000000000003,160005
2021-12-31,TATAELXSI,5875.0,5895.0,5801.0,5868.0,42997,0.4457,96466
2022-01-03,TATAELXSI,5888.0,5983.75,5868.0,5893.65,59328,0.4916,120686
2022-01-04,TATAELXSI,5950.0,5989.5,5895.05,5977.75,59196,0.5496,107717
2022-01-05,TATAELXSI,6000.0,6027.0,5884.95,5963.8,47846,0.4499,106351
2022-01-06,TATAELXSI,5873.0,5901.75,5805.0,5873.55,47658,0.5099,93465
2022-01-07,TATAELXSI,5900.0,5938.85,5782.0,5799.55,71930,0.642,112039
2022-01-10,TATAELXSI,5861.05,6020.0,5800.0,5992.95,88196,0.5007,176137
2022-01-11,TATAELXSI,6010.0,6042.9,5925.0,5938.75,41095,0.5105,80493
2022-01-12,TATAELXSI,5978.05,6167.0,5950.0,6114.1,112869,0.5421,208195
2022-01-13,TATAELXSI,6141.0,6450.0,6137.0,6401.75,183893,0.39299999999999996,467887
2022-01-14,TATAELXSI,6411.0,6415.0,6232.0,6312.0,84340,0.4893,172383
2022-01-17,TATAELXSI,6350.0,6505.15,6345.0,6398.1,74546,0.4147,179777
2022-01-18,TATAELXSI,6480.0,6523.8,6301.0,6376.3,114124,0.4158,274448
2022-01-19,TATAELXSI,6547.95,7170.0,6381.4,6977.25,484217,0.171,2831099
2022-01-20,TATAELXSI,7059.0,7525.0,7037.3,7430.45,323269,0.1499,2156628
2022-01-21,TATAELXSI,7520.0,7800.0,7025.0,7200.7,271025,0.1353,2003434
2022-01-24,TATAELXSI,7275.0,7495.0,6834.4,7040.7,119775,0.1645,995137
2022-01-25,TATAELXSI,7085.0,7280.0,6840.0,7179.2,113781,0.1412,805943
2022-01-27,TATAELXSI,7103.0,7129.0,6930.0,6974.15,98821,0.2758,358322
2022-01-28,TATAELXSI,7030.9,7400.0,7008.05,7183.15,116686,0.19340000000000002,603449
2022-01-31,TATAELXSI,7438.7,7777.0,7376.7,7607.35,210945,0.2095,1006940
2022-02-01,TATAELXSI,7779.0,7964.4,7400.0,7464.85,159580,0.1863,856691
2022-02-02,TATAELXSI,7580.0,7672.0,7430.0,7482.5,78673,0.25329999999999997,310590
2022-02-03,TATAELXSI,7504.0,7526.4,7260.05,7293.85,100789,0.318,316939
2022-02-04,TATAELXSI,7300.0,7493.0,7205.3,7424.8,68641,0.20940000000000003,327785
2022-02-07,TATAELXSI,7490.0,7700.0,7425.0,7640.05,111382,0.2733,407494
2022-02-08,TATAELXSI,7706.0,7833.0,7578.85,7615.6,104594,0.1641,637281
2022-02-09,TATAELXSI,7660.0,7725.0,7651.0,7667.7,58898,0.39520000000000005,149046
2022-02-10,TATAELXSI,7700.0,7707.4,7560.65,7603.6,66105,0.4792,137948
2022-02-11,TATAELXSI,7455.0,7560.0,7350.0,7397.6,95547,0.4843,197308
2022-02-14,TATAELXSI,7020.0,7139.15,6872.5,6911.35,155525,0.4094,379926
2022-02-15,TATAELXSI,7020.0,7145.8,6701.0,7111.05,129419,0.2927,442208
2022-02-16,TATAELXSI,7235.0,7269.0,6960.0,6998.5,102638,0.3946,260130
2022-02-17,TATAELXSI,7040.3,7175.9,6902.1,6941.25,66857,0.35340000000000005,189183
2022-02-18,TATAELXSI,6900.0,7039.0,6860.3,6985.5,28809,0.2306,124944
2022-02-21,TATAELXSI,6915.0,6943.6,6710.4,6733.0,86511,0.3679,235154
2022-02-22,TATAELXSI,6422.9,6665.0,6422.9,6560.85,97095,0.3358,289125
2022-02-23,TATAELXSI,6650.0,6760.0,6565.0,6603.75,59158,0.324,182581
2022-02-24,TATAELXSI,6380.0,6428.75,5990.0,6074.1,231750,0.4278,541664
2022-02-25,TATAELXSI,6350.0,6534.9,6350.0,6499.75,109930,0.3297,333438
2022-02-28,TATAELXSI,6465.0,6480.0,6282.05,6431.85,87673,0.2981,294069
2022-03-02,TATAELXSI,6374.0,6629.0,6340.05,6564.8,108186,0.3271,330743
2022-03-03,TATAELXSI,6744.4,6789.0,6617.0,6659.55,80613,0.3908,206261
2022-03-04,TATAELXSI,6635.0,6800.0,6518.0,6673.6,58387,0.1956,298568
2022-03-07,TATAELXSI,6571.0,6637.0,6465.0,6554.75,51385,0.30010000000000003,171241
2022-03-08,TATAELXSI,6554.1,6656.25,6486.0,6572.7,54019,0.2852,189439
2022-03-09,TATAELXSI,6664.0,7060.0,6580.05,6993.0,113915,0.2713,419890
2022-03-10,TATAELXSI,7247.0,7290.0,6990.0,7010.05,96156,0.4061,236784
2022-03-11,TATAELXSI,7010.05,7180.0,6925.3,7121.2,59272,0.3005,197254
2022-03-14,TATAELXSI,7150.0,7220.0,7115.0,7169.65,52935,0.3357,157696
2022-03-15,TATAELXSI,7164.0,7229.7,6908.0,6997.45,70002,0.3529,198353
2022-03-16,TATAELXSI,7140.0,7249.0,7075.0,7213.4,65705,0.3835,171345
2022-03-17,TATAELXSI,7300.0,7625.0,7137.6,7431.75,380471,0.4731,804233
2022-03-21,TATAELXSI,7520.0,7527.6,7340.1,7403.75,94188,0.3376,278972
2022-03-22,TATAELXSI,7429.8,7554.05,7311.0,7512.6,69925,0.2237,312549
2022-03-23,TATAELXSI,7550.2,7722.1,7535.0,7692.0,96661,0.2702,357796
2022-03-24,TATAELXSI,7685.0,7775.0,7566.6,7606.9,97067,0.3385,286798
2022-03-25,TATAELXSI,7649.0,8534.0,7600.25,8438.2,226457,0.12380000000000001,1829120
2022-03-28,TATAELXSI,8465.0,9160.0,8180.0,9035.5,249613,0.0803,3109546
2022-03-29,TATAELXSI,8970.0,9024.0,8500.0,8552.85,306852,0.2277,1347710
2022-03-30,TATAELXSI,8564.0,9192.1,8460.0,8996.8,255929,0.10439999999999999,2450372
2022-03-31,TATAELXSI,9000.0,9420.0,8790.5,8840.15,314108,0.1506,2086042
2022-04-01,TATAELXSI,8884.0,9142.6,8732.0,8912.8,160734,0.11359999999999999,1414522
2022-04-04,TATAELXSI,8988.0,9164.4,8931.5,9009.7,133373,0.2607,511585
2022-04-05,TATAELXSI,9090.0,9090.0,8850.0,8878.35,270209,0.4379,617070
2022-04-06,TATAELXSI,8875.0,8990.0,8762.0,8893.65,107394,0.28809999999999997,372750
2022-04-07,TATAELXSI,8907.0,8938.25,8703.0,8747.8,132057,0.3841,343816
2022-04-08,TATAELXSI,8791.55,9088.0,8621.0,8685.2,187109,0.2402,778818
2022-04-11,TATAELXSI,8723.0,8820.0,8620.0,8711.15,116006,0.2758,420571
2022-04-12,TATAELXSI,8740.0,8741.0,8326.4,8409.25,190317,0.3177,599014
2022-04-13,TATAELXSI,8470.0,8635.0,8350.0,8383.8,89288,0.22469999999999998,397311
2022-04-18,TATAELXSI,8319.0,8319.0,7789.8,7815.95,279047,0.40740000000000004,685016
2022-04-19,TATAELXSI,7944.0,8040.0,7580.0,7693.15,153427,0.1845,831426
2022-04-20,TATAELXSI,7777.95,7975.0,7733.05,7807.7,129903,0.19190000000000002,676897
2022-04-21,TATAELXSI,7940.0,8190.0,7825.75,7903.85,242213,0.17600000000000002,1376486
2022-04-22,TATAELXSI,7876.0,8480.0,7795.0,8358.0,270441,0.1749,1546038
2022-04-25,TATAELXSI,8319.0,8320.0,7980.0,8009.4,167894,0.2613,642502
2022-04-26,TATAELXSI,8167.0,8225.0,7802.0,7842.35,147012,0.2309,636737
2022-04-27,TATAELXSI,7842.35,8125.5,7461.0,7980.85,237514,0.17170000000000002,1383493
2022-04-28,TATAELXSI,8052.7,8178.65,7801.0,7843.5,124429,0.192,648047
2022-04-29,TATAELXSI,7974.0,7988.0,7720.0,7746.0,107695,0.2299,468423
2022-05-02,TATAELXSI,7690.0,7817.55,7531.0,7672.25,135508,0.3243,417790
2022-05-04,TATAELXSI,7748.0,7888.0,7679.55,7776.5,103675,0.20920000000000002,495595
2022-05-05,TATAELXSI,7815.0,7940.0,7754.0,7826.2,54067,0.2211,244579
2022-05-06,TATAELXSI,7575.0,7721.6,7487.0,7508.0,140869,0.2817,499986
2022-05-09,TATAELXSI,7468.0,7468.0,7147.0,7227.3,149963,0.2773,540875
2022-05-10,TATAELXSI,7168.0,7305.0,6771.0,6815.7,190844,0.31670000000000004,602605
2022-05-11,TATAELXSI,6801.0,6990.0,6432.0,6872.5,194837,0.16760000000000003,1162695
2022-05-12,TATAELXSI,6805.3,6975.0,6601.55,6884.5,155362,0.17440000000000003,890703
2022-05-13,TATAELXSI,7180.0,8000.0,7119.2,7886.65,496693,0.1816,2734940
2022-05-16,TATAELXSI,7960.0,8261.0,7913.45,8121.15,225040,0.1517,1483361
2022-05-17,TATAELXSI,8139.95,8234.7,8021.0,8197.55,213386,0.28850000000000003,739730
2022-05-18,TATAELXSI,8258.1,8499.0,8245.0,8437.7,186473,0.187,997190
2022-05-19,TATAELXSI,8075.0,8317.65,8020.0,8261.5,159421,0.2214,719905
2022-05-20,TATAELXSI,8510.0,8620.5,8316.0,8412.4,205971,0.2745,750432
2022-05-23,TATAELXSI,8419.95,8585.0,8400.2,8541.75,170278,0.31170000000000003,546351
2022-05-24,TATAELXSI,8600.0,8690.0,8405.0,8457.4,173315,0.3075,563544
2022-05-25,TATAELXSI,8581.0,8589.85,8092.0,8121.2,202064,0.2636,766623
2022-05-26,TATAELXSI,8150.0,8380.0,8150.0,8258.25,179221,0.2807,638433
2022-05-27,TATAELXSI,8470.0,8470.0,8301.2,8336.9,133448,0.3186,418901
2022-05-30,TATAELXSI,8450.0,8513.8,8015.0,8076.7,190722,0.3431,555822
2022-05-31,TATAELXSI,8180.0,8820.0,8092.25,8381.1,3010669,0.5307000000000001,5673542
2022-06-01,TATAELXSI,8612.0,8821.95,8525.6,8606.0,135720,0.2073,654606
2022-06-02,TATAELXSI,8649.0,8689.0,8560.0,8629.15,68846,0.2114,325702
2022-06-03,TATAELXSI,8740.0,8775.95,8366.3,8433.3,104866,0.2957,354646
2022-06-06,TATAELXSI,8400.0,8758.4,8324.0,8696.25,142468,0.2077,685885
2022-06-07,TATAELXSI,8680.0,8770.0,8582.0,8618.35,67406,0.17120000000000002,393626
2022-06-08,TATAELXSI,8630.35,8710.0,8552.2,8608.95,33540,0.15960000000000002,210199
2022-06-09,TATAELXSI,8595.0,8740.0,8560.0,8693.6,78890,0.2321,339870
2022-06-10,TATAELXSI,8620.0,8665.2,8550.0,8602.9,49112,0.22960000000000003,213882
2022-06-13,TATAELXSI,8470.0,8696.0,8411.6,8462.0,103237,0.2116,487797
2022-06-14,TATAELXSI,8439.95,8555.5,8375.0,8386.75,44932,0.19460000000000002,230884
2022-06-15,TATAELXSI,8475.0,8521.8,8111.1,8159.65,66744,0.2144,311273
2022-06-16,TATAELXSI,8340.0,8369.0,7775.0,7991.9,93442,0.1759,531165
2022-06-17,TATAELXSI,7875.0,7925.0,7680.5,7812.85,187199,0.2898,645946
2022-06-20,TATAELXSI,7810.0,7812.8,7200.0,7254.85,149496,0.23800000000000002,628149
2022-06-21,TATAELXSI,7301.0,7600.0,7123.0,7551.6,113152,0.1186,954372
2022-06-22,TATAELXSI,7550.0,7625.0,7351.0,7492.3,44001,0.081,542906
2022-06-23,TATAELXSI,7500.0,7848.7,7481.6,7788.05,74321,0.2006,562596
2022-06-24,TATAELXSI,7900.0,7964.85,7738.05,7794.35,58610,0.1479,396405
2022-06-27,TATAELXSI,7940.0,8050.0,7861.75,7991.6,68275,0.1691,403762
2022-06-28,TATAELXSI,7958.0,8060.0,7915.0,8036.7,41068,0.1503,273264
2022-06-29,TATAELXSI,8000.0,8231.0,7951.4,8186.35,83781,0.19219999999999998,435851
2022-06-30,TATAELXSI,8225.0,8329.95,8085.0,8170.55,55479,0.1985,279462
2022-07-01,TATAELXSI,8170.55,8239.0,8022.0,8152.05,35288,0.1306,270194
2022-07-04,TATAELXSI,8205.0,8235.0,8050.1,8081.4,32133,0.2064,155702
2022-07-05,TATAELXSI,8124.0,8148.95,7970.0,8003.2,32117,0.1937,165819
2022-07-06,TATAELXSI,8035.9,8090.0,7912.0,7973.85,46725,0.2504,186608
2022-07-07,TATAELXSI,8114.0,8150.0,8009.0,8082.9,36222,0.1956,185172
2022-07-08,TATAELXSI,8125.0,8144.85,7952.0,7993.15,54022,0.2779,194361
2022-07-11,TATAELXSI,7948.0,8120.0,7815.65,8046.0,44458,0.1837,242078
2022-07-12,TATAELXSI,8000.0,8075.0,7933.0,7958.0,36727,0.2457,149473
2022-07-13,TATAELXSI,8004.0,8017.9,7685.0,7711.4,113798,0.37,307560
