Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TATAMOTORS,289.0,297.4,287.3,295.25,8894065,0.2687,33103168
2021-09-02,TATAMOTORS,295.25,296.3,291.7,293.15,3964310,0.2659,14907001
2021-09-03,TATAMOTORS,292.5,296.45,292.0,295.55,4108259,0.24760000000000001,16594135
2021-09-06,TATAMOTORS,297.5,298.95,296.0,297.45,5629041,0.3386,16622865
2021-09-07,TATAMOTORS,297.35,297.8,290.9,294.6,3980234,0.2778,14325904
2021-09-08,TATAMOTORS,293.5,298.8,291.6,295.25,4668379,0.3129,14920479
2021-09-09,TATAMOTORS,294.0,303.5,293.55,298.95,9883486,0.29050000000000004,34020970
2021-09-13,TATAMOTORS,299.0,302.0,295.5,301.2,5213539,0.3191,16339860
2021-09-14,TATAMOTORS,302.25,307.2,302.2,306.1,6975975,0.3002,23234649
2021-09-15,TATAMOTORS,306.1,313.0,306.1,311.95,8379612,0.31260000000000004,26808872
2021-09-16,TATAMOTORS,313.4,315.0,307.65,311.65,8807961,0.33549999999999996,26249369
2021-09-17,TATAMOTORS,312.0,315.35,306.0,308.6,7769130,0.3111,24972069
2021-09-20,TATAMOTORS,304.9,310.25,297.3,298.95,5758398,0.2933,19632688
2021-09-21,TATAMOTORS,298.6,302.7,293.1,301.95,3576840,0.184,19439330
2021-09-22,TATAMOTORS,303.15,313.8,303.0,310.1,7652282,0.259,29545253
2021-09-23,TATAMOTORS,313.2,324.0,313.2,321.5,19717115,0.3741,52701665
2021-09-24,TATAMOTORS,325.1,326.95,316.05,317.95,6895772,0.2386,28901243
2021-09-27,TATAMOTORS,323.15,333.6,323.15,331.65,14894214,0.2645,56305136
2021-09-28,TATAMOTORS,334.0,336.0,324.5,329.3,6297165,0.22100000000000003,28497009
2021-09-29,TATAMOTORS,325.0,333.0,324.0,330.25,3950402,0.20010000000000003,19740150
2021-09-30,TATAMOTORS,331.25,337.9,329.1,333.35,6839602,0.226,30268517
2021-10-01,TATAMOTORS,332.65,337.3,325.7,333.3,4898283,0.16390000000000002,29877695
2021-10-04,TATAMOTORS,336.8,343.25,335.15,342.0,8249669,0.2791,29553072
2021-10-05,TATAMOTORS,340.45,351.5,338.85,344.95,7956502,0.2497,31861985
2021-10-06,TATAMOTORS,347.0,348.7,335.0,336.05,8977040,0.3552,25272592
2021-10-07,TATAMOTORS,341.1,383.0,339.25,376.5,27569259,0.16890000000000002,163238084
2021-10-08,TATAMOTORS,385.9,397.55,380.0,382.95,16364554,0.1746,93728117
2021-10-11,TATAMOTORS,390.15,420.9,388.0,415.75,16741980,0.1476,113404983
2021-10-12,TATAMOTORS,423.0,435.7,413.6,420.85,14527893,0.1492,97349265
2021-10-13,TATAMOTORS,462.9,523.85,462.9,506.9,52470394,0.2651,197949387
