Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TATAMTRDVR,136.55,141.2,135.5,139.45,1230200,0.3755,3276215
2021-09-02,TATAMTRDVR,140.15,142.1,139.15,140.4,1088291,0.5375,2024645
2021-09-03,TATAMTRDVR,141.15,142.2,139.6,140.25,1005545,0.5273,1906972
2021-09-06,TATAMTRDVR,141.0,142.15,138.3,139.65,1463283,0.532,2750383
2021-09-07,TATAMTRDVR,140.0,140.35,138.05,138.7,834754,0.42969999999999997,1942749
2021-09-08,TATAMTRDVR,138.6,140.1,137.5,138.55,1015885,0.5263,1930190
2021-09-09,TATAMTRDVR,137.5,144.1,137.5,140.95,1810782,0.474,3819992
2021-09-13,TATAMTRDVR,141.4,141.45,139.4,140.95,1873707,0.6970999999999999,2687711
2021-09-14,TATAMTRDVR,141.5,144.2,141.5,143.15,1961983,0.6115,3208214
2021-09-15,TATAMTRDVR,143.9,164.6,143.6,161.5,8233690,0.3897,21130145
2021-09-16,TATAMTRDVR,161.5,162.35,154.05,157.0,2804297,0.3148,8909293
2021-09-17,TATAMTRDVR,157.0,158.55,145.2,146.55,4225568,0.534,7912912
2021-09-20,TATAMTRDVR,145.0,149.7,142.3,146.9,2988769,0.47130000000000005,6341869
2021-09-21,TATAMTRDVR,146.75,150.9,143.6,149.65,1098728,0.3031,3624980
2021-09-22,TATAMTRDVR,150.0,156.2,148.75,153.3,1974974,0.38810000000000006,5088931
2021-09-23,TATAMTRDVR,154.5,173.0,154.5,164.75,6805433,0.4168,16327479
2021-09-24,TATAMTRDVR,167.25,171.6,160.2,161.3,3081232,0.4353,7077622
2021-09-27,TATAMTRDVR,162.05,174.35,162.05,172.25,5268506,0.3643,14461930
2021-09-28,TATAMTRDVR,172.75,175.4,167.5,171.9,2969222,0.3527,8418257
2021-09-29,TATAMTRDVR,170.55,183.3,169.1,180.3,2621013,0.2959,8856345
2021-09-30,TATAMTRDVR,181.0,194.7,180.1,189.3,4446429,0.3208,13858724
